event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	sg_shape	sg_chirality	sg_orientation	sg_aspectratio	sg_peakcontrast	sg_meancontrast
SG	2013-09-09T08:29:20	POINT(16.77048 -450.1002)	POLYGON((-56.89662 -523.9812,89.028 -523.629,95.4066 -371.6784,-60.9732 -372.054,-56.89662 -523.9812))		POINT(1.07458 -20.8172)	POLYGON((-3.794325 -25.98545,5.943485 -25.98545,5.943485 -15.64895,-3.794325 -15.64895,-3.794325 -25.98545))			Forward-S Sigmoid	null	null	14.6625	null	null
SG	2013-09-09T08:59:20	POINT(22.11096 -447.7278)	POLYGON((-47.56686 -517.5462,90.0702 -517.1088,96.075 -373.905,-50.73792 -374.3688,-47.56686 -517.5462))		POINT(1.41532 -20.657)	POLYGON((-3.158925 -25.519625,5.989565 -25.519625,5.989565 -15.794375,-3.158925 -15.794375,-3.158925 -25.519625))			Forward-S Sigmoid	null	null	22.8488	null	null
SG	2013-09-09T09:29:20	POINT(23.28594 -451.4154)	POLYGON((-54.76146 -529.6464,99.2268 -529.1298,106.8264 -368.0592,-58.95558 -368.6118,-54.76146 -529.6464))		POINT(1.49303 -20.9076)	POLYGON((-3.66452 -26.39125,6.65058 -26.39125,6.65058 -15.42395,-3.66452 -15.42395,-3.66452 -26.39125))			Forward-S Sigmoid	null	null	13.9909	null	null
SG	2013-09-09T09:59:20	POINT(26.5335 -451.3374)	POLYGON((-50.04786 -528.0648,100.7736 -527.4882,108.3246 -369.6936,-53.79822 -370.3098,-50.04786 -528.0648))		POINT(1.70125 -20.903)	POLYGON((-3.3453 -26.27445,6.7478 -26.27445,6.7478 -15.53155,-3.3453 -15.53155,-3.3453 -26.27445))			Forward-S Sigmoid	null	null	14.8626	null	null
SG	2013-09-09T10:29:20	POINT(33.6495 -449.8098)	POLYGON((-40.74966 -524.2788,105.2058 -523.5714,112.7796 -370.749,-43.68342 -371.5026,-40.74966 -524.2788))		POINT(2.15622 -20.8011)	POLYGON((-2.71676 -25.99765,7.0292 -25.99765,7.0292 -15.60455,-2.71676 -15.60455,-2.71676 -25.99765))			Forward-S Sigmoid	null	null	29.5809	null	null
SG	2013-09-09T10:59:20	POINT(38.83278 -450.9144)	POLYGON((-37.30842 -527.0868,111.5916 -526.2534,119.8584 -369.9198,-40.07238 -370.8102,-37.30842 -527.0868))		POINT(2.48982 -20.8779)	POLYGON((-2.49145 -26.19775,7.47109 -26.19775,7.47109 -15.55805,-2.49145 -15.55805,-2.49145 -26.19775))			Forward-S Sigmoid	null	null	36.8375	null	null
SG	2013-09-09T11:29:20	POINT(41.22186 -450.7512)	POLYGON((-34.66284 -526.644,113.5356 -525.7638,121.9044 -370.0776,-37.21794 -371.0172,-34.66284 -526.644))		POINT(2.64291 -20.8676)	POLYGON((-2.314005 -26.16475,7.599825 -26.16475,7.599825 -15.57045,-2.314005 -15.57045,-2.314005 -26.16475))			Forward-S Sigmoid	null	null	19.4982	null	null
SG	2013-09-09T11:59:20	POINT(43.13772 -448.9764)	POLYGON((-31.64814 -523.7478,114.2796 -522.8412,122.5014 -369.5976,-33.9252 -370.5642,-31.64814 -523.7478))		POINT(2.76361 -20.7477)	POLYGON((-2.108855 -25.95555,7.636075 -25.95555,7.636075 -15.53985,-2.108855 -15.53985,-2.108855 -25.95555))			Forward-S Sigmoid	null	null	14.7784	null	null
SG	2013-09-09T13:29:20	POINT(59.14668 -451.5642)	POLYGON((-15.81612 -526.3842,129.0762 -525.147,138.4584 -372.111,-16.96572 -373.4304,-15.81612 -526.3842))		POINT(3.79513 -20.9312)	POLYGON((-1.05537 -26.1403,8.64563 -26.1403,8.64563 -15.7221,-1.05537 -15.7221,-1.05537 -26.1403))			Forward-S Sigmoid	null	null	27.1823	null	null
SG	2013-09-09T13:29:20	POINT(-230.949 -561.2598)	POLYGON((-268.6836 -600.18,-177.9138 -603.546,-188.9382 -520.4364,-285.33 -516.8724,-268.6836 -600.18))		POINT(-16.0288 -28.995)	POLYGON((-19.371525 -32.0839,-12.686075 -32.0839,-12.686075 -25.9061,-19.371525 -25.9061,-19.371525 -32.0839))			Inverse-S Sigmoid	null	null	51.5665	null	null
