event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	sg_shape	sg_chirality	sg_orientation	sg_aspectratio	sg_peakcontrast	sg_meancontrast
SG	2014-03-01T01:47:56	POINT(-65.5386 275.4942)	POLYGON((-108.1884 232.6212,-23.59734 233.3544,-23.2497 317.5596,-106.5948 316.8348,-108.1884 232.6212))		POINT(-3.91347 9.25055)	POLYGON((-6.42779 6.66321,-1.39915 6.66321,-1.39915 11.83789,-6.42779 11.83789,-6.42779 6.66321))			Inverse-S Sigmoid	null	null	19.8701	null	null
SG	2014-03-01T03:47:56	POINT(264.9408 96.1062)	POLYGON((215.7198 47.25396,312.1284 43.81818,312.8358 144.3702,216.2088 147.8268,215.7198 47.25396))		POINT(15.8063 -1.27412)	POLYGON((12.845425 -4.2531,18.767175 -4.2531,18.767175 1.70486,12.845425 1.70486,12.845425 -4.2531))			Inverse-S Sigmoid	null	null	10.888	null	null
SG	2014-03-01T08:47:56	POINT(-460.0242 -283.4364)	POLYGON((-504.0114 -330.1188,-394.4646 -321.9468,-410.37 -236.4768,-524.3274 -245.0064,-504.0114 -330.1188))		POINT(-30.9776 -23.1836)	POLYGON((-35.16927 -25.81892,-26.78593 -25.81892,-26.78593 -20.54828,-35.16927 -20.54828,-35.16927 -25.81892))			Forward-S Sigmoid	null	null	21.2232	null	null
SG	2014-03-01T10:17:56	POINT(668.97 326.9946)	POLYGON((621.282 282.6534,729.618 268.6602,708.57 369.9408,603.348 383.5818,621.282 282.6534))		POINT(45.3875 14.6695)	POLYGON((40.725055 11.485565,50.049945 11.485565,50.049945 17.853435,40.725055 17.853435,40.725055 11.485565))			Inverse-S Sigmoid	null	null	18.6586	null	null
SG	2014-03-01T11:17:56	POINT(335.2806 94.4952)	POLYGON((291.3696 51.04944,377.0622 47.08398,377.7858 137.4654,291.9288 141.4524,291.3696 51.04944))		POINT(20.167 -1.20195)	POLYGON((17.46968 -3.88044,22.86432 -3.88044,22.86432 1.47654,17.46968 1.47654,17.46968 -3.88044))			Inverse-S Sigmoid	null	null	8.19297	null	null
SG	2014-03-01T11:47:56	POINT(339.9144 94.9512)	POLYGON((297.5376 53.02008,380.2752 49.13064,380.9556 136.4376,298.0704 140.3472,297.5376 53.02008))		POINT(20.4581 -1.16231)	POLYGON((17.84929 -3.749835,23.06691 -3.749835,23.06691 1.425215,17.84929 1.425215,17.84929 -3.749835))			Inverse-S Sigmoid	null	null	31.8919	null	null
SG	2014-03-01T15:17:56	POINT(370.9524 90.3672)	POLYGON((321.9198 42.02286,417.0204 37.07742,418.0236 138.1266,322.6944 143.103,321.9198 42.02286))		POINT(22.4266 -1.34393)	POLYGON((19.383965 -4.33868,25.469235 -4.33868,25.469235 1.65082,19.383965 1.65082,19.383965 -4.33868))			Inverse-S Sigmoid	null	null	7.60228	null	null
SG	2014-03-01T16:17:56	POINT(425.94 61.4268)	POLYGON((369.279 5.870088,476.8284 -0.735186,479.7084 116.2998,371.5104 122.9748,369.279 5.870088))		POINT(26.0103 -2.87084)	POLYGON((22.45765 -6.33393,29.56295 -6.33393,29.56295 0.59225,22.45765 0.59225,22.45765 -6.33393))			Inverse-S Sigmoid	null	null	143.791	null	null
SG	2014-03-01T16:47:56	POINT(382.0866 55.88478)	POLYGON((336.2892 10.6755,423.8598 5.95719,426.2772 100.6638,338.2074 105.426,336.2892 10.6755))		POINT(23.1739 -3.34758)	POLYGON((20.34854 -6.147095,25.99926 -6.147095,25.99926 -0.548065,20.34854 -0.548065,20.34854 -6.147095))			Inverse-S Sigmoid	null	null	39.9501	null	null
SG	2014-03-01T19:17:56	POINT(107.5392 277.0224)	POLYGON((59.06052 228.7206,157.299 227.3154,154.5972 324.2574,58.04616 325.6434,59.06052 228.7206))		POINT(6.43342 9.36883)	POLYGON((3.5024 6.38794,9.36444 6.38794,9.36444 12.34972,3.5024 12.34972,3.5024 6.38794))			Inverse-S Sigmoid	null	null	39.187	null	null
