event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	sg_shape	sg_chirality	sg_orientation	sg_aspectratio	sg_peakcontrast	sg_meancontrast
SG	2013-07-01T01:22:56	POINT(346.1424 -346.6836)	POLYGON((270.054 -420.9126,397.6578 -418.1232,421.3386 -269.628,286.1406 -272.5428,270.054 -420.9126))		POINT(22.6974 -18.8084)	POLYGON((18.124435 -23.639385,27.270365 -23.639385,27.270365 -13.977415,18.124435 -13.977415,18.124435 -23.639385))			Inverse-S Sigmoid	null	null	7.86256	null	null
SG	2013-07-01T01:52:56	POINT(350.2926 -348.5616)	POLYGON((273.0726 -423.8376,402.0534 -420.9726,426.5532 -270.357,289.7178 -273.354,273.0726 -423.8376))		POINT(23.0037 -18.9347)	POLYGON((18.36355 -23.83901,27.64385 -23.83901,27.64385 -14.03039,18.36355 -14.03039,18.36355 -23.83901))			Inverse-S Sigmoid	null	null	7.69581	null	null
SG	2013-07-01T02:22:56	POINT(392.676 -226.263)	POLYGON((337.3008 -280.3782,436.257 -277.9956,446.4726 -171.207,345.2004 -173.6214,337.3008 -280.3782))		POINT(24.9843 -11.2027)	POLYGON((21.570045 -14.52973,28.398555 -14.52973,28.398555 -7.87567,21.570045 -7.87567,21.570045 -14.52973))			Inverse-S Sigmoid	null	null	15.7331	null	null
SG	2013-07-01T02:22:56	POINT(353.181 -348.4806)	POLYGON((277.5282 -422.2464,403.7946 -419.4126,427.8684 -271.9062,294.0786 -274.8678,277.5282 -422.2464))		POINT(23.2041 -18.9315)	POLYGON((18.65861 -23.73424,27.74959 -23.73424,27.74959 -14.12876,18.65861 -14.12876,18.65861 -23.73424))			Inverse-S Sigmoid	null	null	12.3651	null	null
SG	2013-07-01T02:52:56	POINT(395.5656 -227.3532)	POLYGON((342.1416 -279.5934,437.5554 -277.2732,447.5034 -174.2328,349.9224 -176.5824,342.1416 -279.5934))		POINT(25.1877 -11.273)	POLYGON((21.89096 -14.48413,28.48444 -14.48413,28.48444 -8.06187,21.89096 -8.06187,21.89096 -14.48413))			Inverse-S Sigmoid	null	null	24.3808	null	null
SG	2013-07-01T03:22:56	POINT(362.697 -347.1234)	POLYGON((285.558 -422.229,413.679 -419.2584,438.6672 -269.1198,302.8122 -272.226,285.558 -422.229))		POINT(23.8561 -18.8528)	POLYGON((19.220285 -23.738505,28.491915 -23.738505,28.491915 -13.967095,19.220285 -13.967095,19.220285 -23.738505))			Inverse-S Sigmoid	null	null	18.826	null	null
SG	2013-07-01T04:22:56	POINT(337.071 -362.2404)	POLYGON((298.1064 -400.737,364.1964 -399.3222,375.8862 -322.9566,307.6764 -324.4056,298.1064 -400.737))		POINT(22.2127 -19.801)	POLYGON((19.87775 -22.301775,24.54765 -22.301775,24.54765 -17.300225,19.87775 -17.300225,19.87775 -22.301775))			Inverse-S Sigmoid	null	null	6.06659	null	null
SG	2013-07-01T05:52:56	POINT(416.5398 -232.8078)	POLYGON((372.4596 -276.0306,450.7902 -273.9876,459.5196 -188.9712,379.6734 -191.037,372.4596 -276.0306))		POINT(26.6636 -11.6344)	POLYGON((23.925435 -14.287635,29.401765 -14.287635,29.401765 -8.981165,23.925435 -8.981165,23.925435 -14.287635))			Inverse-S Sigmoid	null	null	18.3909	null	null
SG	2013-07-01T06:52:56	POINT(516.0576 300.1584)	POLYGON((469.5186 256.2558,576.9342 260.0682,556.7796 343.5132,453.111 339.8646,469.5186 256.2558))		POINT(35.6546 20.8401)	POLYGON((31.435595 18.17353,39.873605 18.17353,39.873605 23.50667,31.435595 23.50667,31.435595 18.17353))			Inverse-S Sigmoid	null	null	15.0661	null	null
SG	2013-07-01T08:52:56	POINT(435.3726 -332.9592)	POLYGON((393.5016 -374.058,462.4674 -372.0534,476.5074 -291.0528,405.45 -293.103,393.5016 -374.058))		POINT(28.8972 -18.0309)	POLYGON((26.34792 -20.64937,31.44648 -20.64937,31.44648 -15.41243,26.34792 -15.41243,26.34792 -20.64937))			Forward-S Sigmoid	null	null	321.221	null	null
SG	2013-07-01T09:22:56	POINT(411.2706 -345.4986)	POLYGON((331.7076 -422.5116,460.404 -418.9974,488.7606 -265.4592,352.1448 -269.1372,331.7076 -422.5116))		POINT(27.2916 -18.8014)	POLYGON((22.49519 -23.79493,32.08801 -23.79493,32.08801 -13.80787,22.49519 -13.80787,22.49519 -23.79493))			Inverse-S Sigmoid	null	null	19.775	null	null
SG	2013-07-01T13:52:56	POINT(483.6738 -230.7252)	POLYGON((440.6286 -272.7828,515.6994 -270.3726,525.3204 -188.0916,448.851 -190.5282,440.6286 -272.7828))		POINT(31.406 -11.5935)	POLYGON((28.658215 -14.16052,34.153785 -14.16052,34.153785 -9.02648,28.658215 -9.02648,28.658215 -14.16052))			Inverse-S Sigmoid	null	null	25.7401	null	null
SG	2013-07-01T16:52:56	POINT(375.9756 -565.0836)	POLYGON((336.8412 -603.576,387.693 -602.064,415.3974 -525.0168,360.915 -526.6248,336.8412 -603.576))		POINT(28.637 -34.0614)	POLYGON((26.4401 -36.972185,30.8339 -36.972185,30.8339 -31.150615,26.4401 -31.150615,26.4401 -36.972185))			Inverse-S Sigmoid	null	null	6.88873	null	null
SG	2013-07-01T17:22:56	POINT(380.0748 -565.7148)	POLYGON((339.8274 -605.268,391.713 -603.702,420.603 -524.4924,364.8942 -526.1622,339.8274 -605.268))		POINT(29 -34.117)	POLYGON((26.74637 -37.11146,31.25363 -37.11146,31.25363 -31.12254,26.74637 -31.12254,26.74637 -37.11146))			Inverse-S Sigmoid	null	null	6.87906	null	null
SG	2013-07-01T18:22:56	POINT(385.6044 -563.043)	POLYGON((345.7824 -602.172,397.0242 -600.6,425.6616 -522.2946,370.7274 -523.9698,345.7824 -602.172))		POINT(29.389 -33.9219)	POLYGON((27.16174 -36.87446,31.61626 -36.87446,31.61626 -30.96934,27.16174 -30.96934,27.16174 -36.87446))			Inverse-S Sigmoid	null	null	6.20283	null	null
SG	2013-07-01T20:22:56	POINT(401.7576 -559.7772)	POLYGON((359.8464 -600.882,412.8444 -599.1618,443.814 -516.9114,386.8452 -518.745,359.8464 -600.882))		POINT(30.6646 -33.7041)	POLYGON((28.333225 -36.795715,32.995975 -36.795715,32.995975 -30.612485,28.333225 -30.612485,28.333225 -36.795715))			Inverse-S Sigmoid	null	null	7.78416	null	null
