event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	sg_shape	sg_chirality	sg_orientation	sg_aspectratio	sg_peakcontrast	sg_meancontrast
SG	2012-05-01T02:35:09	POINT(-389.2656 -397.6716)	POLYGON((-434.5266 -446.0382,-317.8332 -441.7824,-336.8328 -348.342,-460.494 -352.881,-434.5266 -446.0382))		POINT(-27.5339 -28.2592)	POLYGON((-32.16097 -31.339865,-22.90683 -31.339865,-22.90683 -25.178535,-32.16097 -25.178535,-32.16097 -31.339865))			Inverse-S Sigmoid	null	null	9.612	null	null
SG	2012-05-01T09:05:09	POINT(-298.3416 -386.0226)	POLYGON((-339.2448 -428.79,-240.5346 -426.2064,-252.9684 -342.5118,-356.7774 -345.2448,-339.2448 -428.79))		POINT(-20.627 -27.6604)	POLYGON((-24.29572 -30.40327,-16.95828 -30.40327,-16.95828 -24.91753,-24.29572 -24.91753,-24.29572 -30.40327))			Forward-S Sigmoid	null	null	13.0203	null	null
SG	2012-05-01T11:35:09	POINT(210.3828 -364.5282)	POLYGON((134.025 -441.1512,264.9138 -443.4474,289.7154 -285.4602,146.5752 -282.921,134.025 -441.1512))		POINT(14.2153 -26.3788)	POLYGON((9.46314 -31.5142,18.96746 -31.5142,18.96746 -21.2434,9.46314 -21.2434,9.46314 -31.5142))			Forward-S Sigmoid	null	null	12.2015	null	null
SG	2012-05-01T14:35:09	POINT(487.6626 -287.5884)	POLYGON((451.1988 -323.5446,507.2028 -326.0904,523.4802 -251.2638,465.681 -248.6232,451.1988 -323.5446))		POINT(33.1115 -20.9428)	POLYGON((30.925715 -23.299335,35.297285 -23.299335,35.297285 -18.586265,30.925715 -18.586265,30.925715 -23.299335))			Inverse-S Sigmoid	null	null	7.08221	null	null
SG	2012-05-01T15:35:09	POINT(-529.3698 -293.6094)	POLYGON((-569.871 -336.7908,-466.5204 -331.479,-483.075 -249.9924,-590.0856 -255.5238,-569.871 -336.7908))		POINT(-36.446 -21.1888)	POLYGON((-40.665665 -23.75651,-32.226335 -23.75651,-32.226335 -18.62109,-40.665665 -18.62109,-40.665665 -23.75651))			Inverse-S Sigmoid	null	null	10.355	null	null
SG	2012-05-01T18:05:09	POINT(-563.4486 -285.9)	POLYGON((-605.76 -331.4244,-496.4292 -325.266,-514.2624 -239.9238,-627.51 -246.3408,-605.76 -331.4244))		POINT(-39.04 -20.5866)	POLYGON((-43.648875 -23.26882,-34.431125 -23.26882,-34.431125 -17.90438,-43.648875 -17.90438,-43.648875 -23.26882))			Inverse-S Sigmoid	null	null	11.5293	null	null
SG	2012-05-02T01:35:09	POINT(-541.5972 -285.8598)	POLYGON((-593.0226 -341.8698,-459.6936 -334.8846,-480.3036 -229.1478,-619.596 -236.5002,-593.0226 -341.8698))		POINT(-37.2737 -20.6344)	POLYGON((-42.79 -23.95728,-31.7574 -23.95728,-31.7574 -17.31152,-42.79 -17.31152,-42.79 -23.95728))			Inverse-S Sigmoid	null	null	7.55887	null	null
SG	2012-05-02T06:05:09	POINT(-162.0912 -388.0296)	POLYGON((-207.3708 -434.8656,-106.53 -433.527,-112.7574 -340.251,-219.4908 -341.6766,-207.3708 -434.8656))		POINT(-11.058 -27.8862)	POLYGON((-14.650915 -30.94726,-7.465085 -30.94726,-7.465085 -24.82514,-14.650915 -24.82514,-14.650915 -30.94726))			Forward-S Sigmoid	null	null	7.93813	null	null
SG	2012-05-02T07:05:09	POINT(352.9248 -360.2484)	POLYGON((300.9108 -411.7884,382.0002 -414.2676,405.0822 -307.617,319.0962 -304.9686,300.9108 -411.7884))		POINT(24.2121 -25.8081)	POLYGON((21.153485 -29.267695,27.270715 -29.267695,27.270715 -22.348505,21.153485 -22.348505,21.153485 -29.267695))			Forward-S Sigmoid	null	null	141.599	null	null
SG	2012-05-02T08:35:09	POINT(-141.072 -390.0318)	POLYGON((-188.3592 -438.921,-84.3336 -437.727,-89.538 -340.0986,-199.9818 -341.3754,-188.3592 -438.921))		POINT(-9.62198 -28.0248)	POLYGON((-13.322635 -31.232285,-5.921325 -31.232285,-5.921325 -24.817315,-13.322635 -24.817315,-13.322635 -31.232285))			Forward-S Sigmoid	null	null	6.7372	null	null
SG	2012-05-02T13:35:09	POINT(662.484 -288.27)	POLYGON((605.322 -343.1214,682.632 -348.8982,715.878 -232.5672,634.818 -226.4586,605.322 -343.1214))		POINT(47.6939 -20.2766)	POLYGON((43.907655 -23.951325,51.480145 -23.951325,51.480145 -16.601875,43.907655 -16.601875,43.907655 -23.951325))			Forward-S Sigmoid	null	null	22.0488	null	null
SG	2012-05-03T00:35:09	POINT(10.74936 -395.7216)	POLYGON((-27.99774 -435.0684,48.9177 -435.1338,51.40698 -355.6632,-29.4225 -355.5936,-27.99774 -435.0684))		POINT(0.732322 -28.3877)	POLYGON((-1.958323 -31.00722,3.422967 -31.00722,3.422967 -25.76818,-1.958323 -25.76818,-1.958323 -31.00722))			Forward-S Sigmoid	null	null	14.1397	null	null
SG	2012-05-03T01:05:09	POINT(-373.0998 -266.7474)	POLYGON((-412.3614 -307.515,-320.3196 -304.6962,-330.4524 -225.6054,-425.403 -228.5298,-412.3614 -307.515))		POINT(-24.5093 -19.7914)	POLYGON((-27.7899 -22.26107,-21.2287 -22.26107,-21.2287 -17.32173,-27.7899 -17.32173,-27.7899 -22.26107))			Inverse-S Sigmoid	null	null	6.66943	null	null
SG	2012-05-03T01:35:09	POINT(13.1202 -395.421)	POLYGON((-25.37508 -434.5002,50.91498 -434.5794,53.48508 -355.6392,-26.65596 -355.5558,-25.37508 -434.5002))		POINT(0.89366 -28.3637)	POLYGON((-1.77405 -30.96534,3.56137 -30.96534,3.56137 -25.76206,-1.77405 -25.76206,-1.77405 -30.96534))			Forward-S Sigmoid	null	null	6.29318	null	null
SG	2012-05-03T04:05:09	POINT(-243.009 -280.7742)	POLYGON((-286.7808 -325.9212,-188.7978 -324.0702,-195.9672 -235.1058,-297.6696 -237.039,-286.7808 -325.9212))		POINT(-15.7841 -20.8554)	POLYGON((-19.118215 -23.64591,-12.449985 -23.64591,-12.449985 -18.06489,-19.118215 -18.06489,-19.118215 -23.64591))			Inverse-S Sigmoid	null	null	11.1945	null	null
SG	2012-05-03T05:35:09	POINT(518.1684 -370.9776)	POLYGON((464.4018 -423.4848,536.6784 -427.1136,570.6186 -317.2686,493.7796 -313.3794,464.4018 -423.4848))		POINT(37.1231 -25.9964)	POLYGON((33.989335 -29.583765,40.256865 -29.583765,40.256865 -22.409035,33.989335 -22.409035,33.989335 -29.583765))			Inverse-S Sigmoid	null	null	31.8657	null	null
SG	2012-05-03T06:05:09	POINT(-230.0808 -278.487)	POLYGON((-273.4854 -323.1858,-176.9754 -321.4722,-183.5826 -233.2818,-283.6944 -235.071,-273.4854 -323.1858))		POINT(-14.9105 -20.7192)	POLYGON((-18.17652 -23.483315,-11.64448 -23.483315,-11.64448 -17.955085,-18.17652 -17.955085,-18.17652 -23.483315))			Inverse-S Sigmoid	null	null	7.66801	null	null
SG	2012-05-03T06:35:09	POINT(-101.9064 -225.5694)	POLYGON((-168.8772 -294.3786,-28.96236 -293.328,-30.35736 -155.8578,-177.0102 -156.9702,-168.8772 -294.3786))		POINT(-6.41721 -17.5308)	POLYGON((-10.965165 -21.773695,-1.869255 -21.773695,-1.869255 -13.287905,-10.965165 -13.287905,-10.965165 -21.773695))			Inverse-S Sigmoid	null	null	9.73917	null	null
SG	2012-05-03T08:05:09	POINT(-86.616 -229.2978)	POLYGON((-153.084 -297.4878,-15.06258 -296.6088,-15.79344 -160.1958,-160.5114 -161.1264,-153.084 -297.4878))		POINT(-5.45824 -17.7612)	POLYGON((-9.94306 -21.97575,-0.97342 -21.97575,-0.97342 -13.54665,-9.94306 -13.54665,-9.94306 -21.97575))			Forward-S Sigmoid	null	null	8.9685	null	null
SG	2012-05-03T08:05:09	POINT(-213.6486 -278.337)	POLYGON((-255.4734 -321.303,-163.2108 -319.7928,-169.0716 -234.9006,-264.6462 -236.475,-255.4734 -321.303))		POINT(-13.8236 -20.7194)	POLYGON((-16.928025 -23.38,-10.719175 -23.38,-10.719175 -18.0588,-16.928025 -18.0588,-16.928025 -23.38))			Inverse-S Sigmoid	null	null	12.8433	null	null
SG	2012-05-03T08:35:09	POINT(651.972 -279.7842)	POLYGON((611.064 -319.5288,668.418 -323.5608,690.984 -239.6124,631.698 -235.4184,611.064 -319.5288))		POINT(46.5078 -19.7471)	POLYGON((43.79379 -22.38908,49.22181 -22.38908,49.22181 -17.10512,43.79379 -17.10512,43.79379 -22.38908))			Inverse-S Sigmoid	null	null	11.0196	null	null
SG	2012-05-03T08:35:09	POINT(-210.0372 -277.473)	POLYGON((-253.8894 -322.5684,-157.2648 -321.0162,-163.1832 -231.861,-263.4432 -233.4822,-253.8894 -322.5684))		POINT(-13.5806 -20.667)	POLYGON((-16.83055 -23.460475,-10.33065 -23.460475,-10.33065 -17.873525,-16.83055 -17.873525,-16.83055 -23.460475))			Inverse-S Sigmoid	null	null	11.1901	null	null
