event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	sg_shape	sg_chirality	sg_orientation	sg_aspectratio	sg_peakcontrast	sg_meancontrast
SG	2013-12-01T00:57:32	POINT(-38.47302 -444.1776)	POLYGON((-91.581 -498.2682,17.34918 -498.3528,18.47046 -388.2192,-97.4994 -388.1316,-91.581 -498.2682))		POINT(-2.51384 -26.1574)	POLYGON((-6.199975 -29.78847,1.172295 -29.78847,1.172295 -22.52633,-6.199975 -22.52633,-6.199975 -29.78847))			Inverse-S Sigmoid	null	null	20.7995	null	null
SG	2013-12-01T01:27:32	POINT(-33.91554 -444.7644)	POLYGON((-84.2388 -495.9468,18.65958 -496.0176,19.79982 -391.9098,-89.3862 -391.8372,-84.2388 -495.9468))		POINT(-2.21667 -26.1984)	POLYGON((-5.692215 -29.631705,1.258875 -29.631705,1.258875 -22.765095,-5.692215 -22.765095,-5.692215 -29.631705))			Inverse-S Sigmoid	null	null	9.56238	null	null
SG	2013-12-01T01:57:32	POINT(-31.11126 -446.0136)	POLYGON((-83.085 -498.8964,23.0142 -498.9624,24.47652 -391.3368,-88.3644 -391.2678,-83.085 -498.8964))		POINT(-2.03479 -26.2832)	POLYGON((-5.62547 -29.83533,1.55589 -29.83533,1.55589 -22.73107,-5.62547 -22.73107,-5.62547 -29.83533))			Inverse-S Sigmoid	null	null	6.47715	null	null
SG	2013-12-01T02:27:32	POINT(331.5786 282.5784)	POLYGON((271.206 224.4756,401.7858 225.177,386.3736 339.6456,260.8002 338.9982,271.206 224.4756))		POINT(20.854 17.6198)	POLYGON((16.6242 14.110015,25.0838 14.110015,25.0838 21.129585,16.6242 21.129585,16.6242 14.110015))			Forward-S Sigmoid	null	null	10.4068	null	null
SG	2013-12-01T02:57:32	POINT(-21.05766 -446.631)	POLYGON((-69.6408 -495.963,28.87434 -496.0044,30.5835 -395.7402,-73.7634 -395.6976,-69.6408 -495.963))		POINT(-1.37762 -26.3287)	POLYGON((-4.703595 -29.638755,1.948355 -29.638755,1.948355 -23.018645,-4.703595 -23.018645,-4.703595 -29.638755))			Inverse-S Sigmoid	null	null	24.9447	null	null
SG	2013-12-01T02:57:32	POINT(339.3966 283.2246)	POLYGON((276.0996 222.465,413.0664 223.2186,396.4812 342.8496,265.011 342.156,276.0996 222.465))		POINT(21.3741 17.6543)	POLYGON((16.923625 13.98514,25.824575 13.98514,25.824575 21.32346,16.923625 21.32346,16.923625 13.98514))			Forward-S Sigmoid	null	null	12.3427	null	null
SG	2013-12-01T03:27:32	POINT(338.4516 283.2522)	POLYGON((283.365 230.1054,402.9852 230.7576,388.7862 335.5296,273.3786 334.923,283.365 230.1054))		POINT(21.3115 17.6538)	POLYGON((17.41943 14.44101,25.20357 14.44101,25.20357 20.86659,17.41943 20.86659,17.41943 14.44101))			Forward-S Sigmoid	null	null	9.37305	null	null
SG	2013-12-01T03:57:32	POINT(340.4754 285.4494)	POLYGON((287.0022 233.8254,403.3476 234.462,389.418 336.2436,277.0884 335.6514,287.0022 233.8254))		POINT(21.4618 17.7852)	POLYGON((17.6687 14.661935,25.2549 14.661935,25.2549 20.908465,17.6687 20.908465,17.6687 14.661935))			Forward-S Sigmoid	null	null	7.23291	null	null
SG	2013-12-01T04:27:32	POINT(344.7834 284.5866)	POLYGON((289.4442 231.2412,409.8108 231.9078,395.2506 337.05,279.1578 336.4314,289.4442 231.2412))		POINT(21.7399 17.7284)	POLYGON((17.810705 14.502765,25.669095 14.502765,25.669095 20.954035,17.810705 20.954035,17.810705 14.502765))			Forward-S Sigmoid	null	null	6.1476	null	null
SG	2013-12-01T05:27:32	POINT(353.7732 283.6866)	POLYGON((296.433 228.5256,421.212 229.2324,405.8136 337.9086,285.5934 337.2534,296.433 228.5256))		POINT(22.3288 17.6652)	POLYGON((18.241255 14.33195,26.416345 14.33195,26.416345 20.99845,18.241255 20.99845,18.241255 14.33195))			Forward-S Sigmoid	null	null	9.11949	null	null
SG	2013-12-01T05:57:32	POINT(1.765692 -445.926)	POLYGON((-47.12694 -495.4776,50.54514 -495.474,53.54364 -394.8084,-49.9227 -394.812,-47.12694 -495.4776))		POINT(0.115469 -26.2972)	POLYGON((-3.180326 -29.619005,3.411264 -29.619005,3.411264 -22.975395,-3.180326 -22.975395,-3.180326 -29.619005))			Inverse-S Sigmoid	null	null	6.35031	null	null
SG	2013-12-01T06:57:32	POINT(-457.0566 -373.2996)	POLYGON((-497.3802 -415.6896,-396.1164 -416.6814,-411.6744 -329.9868,-516.9096 -328.9818,-497.3802 -415.6896))		POINT(-30.2452 -21.7366)	POLYGON((-34.030625 -24.491045,-26.459775 -24.491045,-26.459775 -18.982155,-34.030625 -18.982155,-34.030625 -24.491045))			Forward-S Sigmoid	null	null	6.5838	null	null
SG	2013-12-01T07:27:32	POINT(373.548 287.2026)	POLYGON((310.749 227.1456,447.7362 227.964,429.7314 346.131,298.2498 345.3786,310.749 227.1456))		POINT(23.6793 17.8638)	POLYGON((19.14724 14.234575,28.21136 14.234575,28.21136 21.493025,19.14724 21.493025,19.14724 14.234575))			Forward-S Sigmoid	null	null	14.0848	null	null
SG	2013-12-01T08:57:32	POINT(21.47694 -450.4488)	POLYGON((-20.0775 -492.4236,61.8696 -492.3894,65.007 -407.34,-21.0957 -407.3754,-20.0775 -492.4236))		POINT(1.40847 -26.6115)	POLYGON((-1.351705 -29.425125,4.168645 -29.425125,4.168645 -23.797875,-1.351705 -23.797875,-1.351705 -29.425125))			Forward-S Sigmoid	null	null	10.0381	null	null
SG	2013-12-01T09:27:32	POINT(388.9794 282.5646)	POLYGON((328.1382 224.379,461.1018 225.201,443.4666 339.7104,315.585 338.9526,328.1382 224.379))		POINT(24.6778 17.5641)	POLYGON((20.24766 14.05268,29.10794 14.05268,29.10794 21.07552,20.24766 21.07552,20.24766 14.05268))			Forward-S Sigmoid	null	null	8.34887	null	null
SG	2013-12-01T09:27:32	POINT(26.67936 -449.4096)	POLYGON((-13.74864 -490.2186,65.7132 -490.1772,68.937 -407.5338,-14.42322 -407.5758,-13.74864 -490.2186))		POINT(1.74873 -26.5455)	POLYGON((-0.924225 -29.27775,4.421685 -29.27775,4.421685 -23.81325,-0.924225 -23.81325,-0.924225 -29.27775))			Forward-S Sigmoid	null	null	36.2914	null	null
SG	2013-12-01T12:27:32	POINT(413.1684 287.3076)	POLYGON((358.1532 234.6408,479.5332 235.4304,462.6138 339.1038,345.513 338.3706,358.1532 234.6408))		POINT(26.3694 17.8308)	POLYGON((22.25674 14.646955,30.48206 14.646955,30.48206 21.014645,22.25674 21.014645,22.25674 14.646955))			Forward-S Sigmoid	null	null	13.9869	null	null
SG	2013-12-01T12:57:32	POINT(418.5144 287.6118)	POLYGON((361.3746 233.0298,487.4208 233.8608,469.5984 341.2566,348.1572 340.488,361.3746 233.0298))		POINT(26.7401 17.8449)	POLYGON((22.456975 14.54619,31.023225 14.54619,31.023225 21.14361,22.456975 21.14361,22.456975 14.54619))			Forward-S Sigmoid	null	null	14.0521	null	null
SG	2013-12-01T12:57:32	POINT(49.61982 -445.3878)	POLYGON((4.519542 -490.8786,91.8378 -490.797,96.813 -398.5872,4.764378 -398.6712,4.519542 -490.8786))		POINT(3.24658 -26.2989)	POLYGON((0.303985 -29.340235,6.189175 -29.340235,6.189175 -23.257565,0.303985 -23.257565,0.303985 -29.340235))			Forward-S Sigmoid	null	null	13.9935	null	null
SG	2013-12-01T13:27:32	POINT(421.9002 284.919)	POLYGON((368.3172 233.6058,486.6966 234.39,470.1222 335.4132,355.7712 334.6836,368.3172 233.6058))		POINT(26.9464 17.6761)	POLYGON((22.916275 14.576155,30.976525 14.576155,30.976525 20.776045,22.916275 20.776045,22.916275 14.576155))			Forward-S Sigmoid	null	null	8.31596	null	null
SG	2013-12-01T13:57:32	POINT(429.1332 282.8178)	POLYGON((371.8434 228.141,498.1674 228.9942,480.2736 336.5736,358.4826 335.784,371.8434 228.141))		POINT(27.4251 17.5421)	POLYGON((23.111705 14.242895,31.738495 14.242895,31.738495 20.841305,23.111705 20.841305,23.111705 14.242895))			Forward-S Sigmoid	null	null	7.96479	null	null
SG	2013-12-01T14:27:32	POINT(430.0854 280.9338)	POLYGON((377.5422 230.6028,493.6542 231.3858,477.4254 330.4896,365.127 329.7606,377.5422 230.6028))		POINT(27.4716 17.424)	POLYGON((23.503245 14.386945,31.439955 14.386945,31.439955 20.461055,23.503245 20.461055,23.503245 14.386945))			Forward-S Sigmoid	null	null	9.99192	null	null
SG	2013-12-01T14:57:32	POINT(435.7662 280.272)	POLYGON((382.6614 229.4538,500.052 230.2554,483.507 330.3024,369.9972 329.556,382.6614 229.4538))		POINT(27.8586 17.3788)	POLYGON((23.833385 14.313425,31.883815 14.313425,31.883815 20.444175,23.833385 20.444175,23.833385 14.313425))			Forward-S Sigmoid	null	null	10.7414	null	null
SG	2013-12-01T14:57:32	POINT(541.5348 282.9846)	POLYGON((494.0916 237.9606,601.26 238.9476,583.5096 327.3828,479.499 326.457,494.0916 237.9606))		POINT(35.5396 17.4941)	POLYGON((31.53412 14.78133,39.54508 14.78133,39.54508 20.20687,31.53412 20.20687,31.53412 14.78133))			Forward-S Sigmoid	null	null	7.14787	null	null
SG	2013-12-01T15:27:32	POINT(549.816 278.2656)	POLYGON((497.0406 228.4848,615.516 229.5984,595.8516 327.2994,481.1532 326.2608,497.0406 228.4848))		POINT(36.1013 17.1987)	POLYGON((31.65208 14.205835,40.55052 14.205835,40.55052 20.191565,31.65208 20.191565,31.65208 14.205835))			Forward-S Sigmoid	null	null	7.70519	null	null
SG	2013-12-01T15:27:32	POINT(440.2272 280.6488)	POLYGON((387.207 229.935,504.5244 230.7438,487.8456 330.576,374.4036 329.8236,387.207 229.935))		POINT(28.1725 17.3976)	POLYGON((24.137455 14.338385,32.207545 14.338385,32.207545 20.456815,24.137455 20.456815,24.137455 14.338385))			Forward-S Sigmoid	null	null	10.0363	null	null
SG	2013-12-01T15:57:32	POINT(445.7148 282.6006)	POLYGON((390.3468 229.7814,512.8962 230.6376,495.1236 334.5606,376.8168 333.7668,390.3468 229.7814))		POINT(28.5758 17.5124)	POLYGON((24.34443 14.325585,32.80717 14.325585,32.80717 20.699215,24.34443 20.699215,24.34443 14.325585))			Forward-S Sigmoid	null	null	7.46677	null	null
SG	2013-12-01T16:27:32	POINT(443.5248 285.0384)	POLYGON((393.0486 236.697,505.2066 237.4716,488.9994 332.6508,380.4354 331.9284,393.0486 236.697))		POINT(28.4478 17.6602)	POLYGON((24.57328 14.739535,32.32232 14.739535,32.32232 20.580865,24.57328 20.580865,24.57328 14.739535))			Forward-S Sigmoid	null	null	7.20583	null	null
SG	2013-12-01T16:27:32	POINT(78.9048 -444.8868)	POLYGON((32.45754 -491.6454,120.639 -491.5158,127.3548 -396.7494,34.26444 -396.8826,32.45754 -491.6454))		POINT(5.16624 -26.286)	POLYGON((2.18509 -29.410735,8.14739 -29.410735,8.14739 -23.161265,2.18509 -23.161265,2.18509 -29.410735))			Forward-S Sigmoid	null	null	7.93935	null	null
SG	2013-12-01T16:57:32	POINT(79.5324 -443.7228)	POLYGON((26.5362 -497.1222,127.0398 -496.974,135.1362 -388.524,28.22748 -388.6776,26.5362 -497.1222))		POINT(5.20409 -26.2119)	POLYGON((1.79299 -29.785855,8.61519 -29.785855,8.61519 -22.637945,1.79299 -22.637945,1.79299 -29.785855))			Forward-S Sigmoid	null	null	10.6103	null	null
SG	2013-12-01T18:27:32	POINT(464.4474 283.074)	POLYGON((409.092 230.3862,532.0014 231.2766,513.606 334.9032,394.9416 334.0782,409.092 230.3862))		POINT(29.8986 17.5215)	POLYGON((25.598445 14.343125,34.198755 14.343125,34.198755 20.699875,25.598445 20.699875,25.598445 14.343125))			Forward-S Sigmoid	null	null	7.37604	null	null
SG	2013-12-01T18:57:32	POINT(468.12 280.7004)	POLYGON((414.42 229.53,533.7186 230.3994,515.9568 331.0692,400.6236 330.2616,414.42 229.53))		POINT(30.1323 17.3723)	POLYGON((25.949775 14.287105,34.314825 14.287105,34.314825 20.457495,25.949775 20.457495,25.949775 14.287105))			Forward-S Sigmoid	null	null	9.73952	null	null
SG	2013-12-01T19:27:32	POINT(469.8948 282.2922)	POLYGON((421.365 235.8648,529.6776 236.6532,513.5532 328.0548,408.534 327.3174,421.365 235.8648))		POINT(30.2759 17.4666)	POLYGON((26.46704 14.664315,34.08476 14.664315,34.08476 20.268885,26.46704 20.268885,26.46704 14.664315))			Forward-S Sigmoid	null	null	11.7058	null	null
SG	2013-12-02T05:27:32	POINT(673.038 -279.7806)	POLYGON((620.388 -330.3396,700.062 -329.1636,722.358 -228.3684,640.152 -229.5402,620.388 -330.3396))		POINT(45.8581 -16.146)	POLYGON((42.28871 -19.235445,49.42749 -19.235445,49.42749 -13.056555,42.28871 -13.056555,42.28871 -19.235445))			Forward-S Sigmoid	null	null	12.765	null	null
SG	2013-12-02T07:29:08	POINT(732.846 -198.378)	POLYGON((676.242 -251.9604,766.794 -250.4778,784.062 -144.141,691.482 -145.6002,676.242 -251.9604))		POINT(49.9458 -11.2645)	POLYGON((45.659455 -14.454085,54.232145 -14.454085,54.232145 -8.074915,45.659455 -8.074915,45.659455 -14.454085))			Forward-S Sigmoid	null	null	7.1183	null	null
