event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	sg_shape	sg_chirality	sg_orientation	sg_aspectratio	sg_peakcontrast	sg_meancontrast
SG	2012-01-01T02:52:57	POINT(-147.4782 -263.1006)	POLYGON((-192.7776 -309.3306,-96.573 -308.556,-99.7956 -216.3498,-199.2102 -217.1574,-192.7776 -309.3306))		POINT(-9.12704 -18.4901)	POLYGON((-12.184975 -21.288995,-6.069105 -21.288995,-6.069105 -15.691205,-12.184975 -15.691205,-12.184975 -21.288995))			Forward-S Sigmoid	null	null	8.8999	null	null
SG	2012-01-01T02:52:57	POINT(-136.5714 -385.2714)	POLYGON((-176.217 -425.8566,-90.2538 -425.1876,-94.3446 -343.9854,-184.2042 -344.6904,-176.217 -425.8566))		POINT(-8.92381 -26.0704)	POLYGON((-11.82391 -28.65411,-6.02371 -28.65411,-6.02371 -23.48669,-11.82391 -23.48669,-11.82391 -28.65411))			Inverse-S Sigmoid	null	null	22.5072	null	null
SG	2012-01-01T03:52:57	POINT(-138.1362 -262.8426)	POLYGON((-184.6446 -310.302,-86.22 -309.5592,-89.1762 -214.8342,-190.9746 -215.6088,-184.6446 -310.302))		POINT(-8.54403 -18.4837)	POLYGON((-11.66907 -21.358885,-5.41899 -21.358885,-5.41899 -15.608515,-11.66907 -15.608515,-11.66907 -21.358885))			Forward-S Sigmoid	null	null	8.25462	null	null
SG	2012-01-01T06:22:57	POINT(441.2256 -304.7574)	POLYGON((391.2642 -353.9532,470.4966 -356.1408,490.41 -254.8068,407.8278 -252.504,391.2642 -353.9532))		POINT(28.7842 -20.7368)	POLYGON((25.889205 -23.86002,31.679195 -23.86002,31.679195 -17.61358,25.889205 -17.61358,25.889205 -23.86002))			Inverse-S Sigmoid	null	null	8.51116	null	null
SG	2012-01-01T06:22:57	POINT(-116.6238 -265.347)	POLYGON((-169.041 -318.8982,-58.91148 -318.1956,-61.2264 -211.0848,-175.683 -211.8222,-169.041 -318.8982))		POINT(-7.21299 -18.6569)	POLYGON((-10.71212 -21.91084,-3.71386 -21.91084,-3.71386 -15.40296,-10.71212 -15.40296,-10.71212 -21.91084))			Forward-S Sigmoid	null	null	6.7473	null	null
SG	2012-01-01T06:52:57	POINT(-110.7408 -264.1746)	POLYGON((-157.3812 -311.685,-59.73672 -311.0934,-61.8042 -216.1092,-162.8274 -216.7266,-157.3812 -311.685))		POINT(-6.84462 -18.5904)	POLYGON((-9.93473 -21.47462,-3.75451 -21.47462,-3.75451 -15.70618,-9.93473 -15.70618,-9.93473 -21.47462))			Forward-S Sigmoid	null	null	37.7132	null	null
SG	2012-01-01T07:52:57	POINT(455.4432 -303.2166)	POLYGON((405.9456 -351.9144,483.9246 -354.1638,504.075 -253.7844,422.853 -251.4192,405.9456 -351.9144))		POINT(29.7803 -20.6241)	POLYGON((26.90603 -23.71639,32.65457 -23.71639,32.65457 -17.53181,26.90603 -17.53181,26.90603 -23.71639))			Forward-S Sigmoid	null	null	31.5355	null	null
SG	2012-01-01T08:22:57	POINT(-96.828 -262.7562)	POLYGON((-146.4702 -313.3338,-43.10394 -312.786,-44.68836 -211.5528,-151.854 -212.1258,-146.4702 -313.3338))		POINT(-5.97867 -18.5164)	POLYGON((-9.247015 -21.589245,-2.710325 -21.589245,-2.710325 -15.443555,-9.247015 -15.443555,-9.247015 -21.589245))			Forward-S Sigmoid	null	null	13.0876	null	null
SG	2012-01-01T08:52:57	POINT(-92.2992 -262.3848)	POLYGON((-141.387 -312.3696,-39.37704 -311.8542,-40.80564 -211.7892,-146.5164 -212.328,-141.387 -312.3696))		POINT(-5.69744 -18.4977)	POLYGON((-8.91999 -21.53472,-2.47489 -21.53472,-2.47489 -15.46068,-8.91999 -15.46068,-8.91999 -21.53472))			Forward-S Sigmoid	null	null	16.5716	null	null
SG	2012-01-01T11:52:57	POINT(-65.4534 -265.0548)	POLYGON((-115.7502 -316.2036,-12.33678 -315.8322,-12.80124 -213.2562,-120.1074 -213.6456,-115.7502 -316.2036))		POINT(-4.04131 -18.6814)	POLYGON((-7.306045 -21.79725,-0.776575 -21.79725,-0.776575 -15.56555,-7.306045 -15.56555,-7.306045 -21.79725))			Forward-S Sigmoid	null	null	11.2102	null	null
