event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	sg_shape	sg_chirality	sg_orientation	sg_aspectratio	sg_peakcontrast	sg_meancontrast
SG	2012-10-01T03:47:44	POINT(-418.7502 -482.7852)	POLYGON((-462.6156 -529.2786,-347.2632 -536.7612,-367.4028 -434.0676,-489.4362 -426.1836,-462.6156 -529.2786))		POINT(-28.5266 -24.2843)	POLYGON((-32.95818 -27.840745,-24.09502 -27.840745,-24.09502 -20.727855,-32.95818 -20.727855,-32.95818 -27.840745))			Forward-S Sigmoid	null	null	6.63447	null	null
SG	2012-10-01T04:17:44	POINT(-33.18252 174.5364)	POLYGON((-75.7242 132.4362,8.58078 132.0834,8.3472 216.5082,-73.6638 216.8502,-75.7242 132.4362))		POINT(-2.06637 17.1355)	POLYGON((-4.660235 14.580535,0.527495 14.580535,0.527495 19.690465,-4.660235 19.690465,-4.660235 14.580535))			Forward-S Sigmoid	null	null	11.9477	null	null
SG	2012-10-01T06:17:44	POINT(68.319 185.949)	POLYGON((3.075612 122.2668,135.8328 123.417,130.1106 249.3024,2.946042 248.2062,3.075612 122.2668))		POINT(4.27322 17.8089)	POLYGON((0.188565 13.987375,8.357875 13.987375,8.357875 21.630425,0.188565 21.630425,0.188565 13.987375))			Forward-S Sigmoid	null	null	6.41238	null	null
SG	2012-10-01T07:47:44	POINT(80.6016 183.7698)	POLYGON((23.13084 127.56,140.4852 128.7594,135.3036 239.733,22.27764 238.5834,23.13084 127.56))		POINT(5.0392 17.6666)	POLYGON((1.42022 14.299885,8.65818 14.299885,8.65818 21.033315,1.42022 21.033315,1.42022 14.299885))			Forward-S Sigmoid	null	null	16.0964	null	null
SG	2012-10-01T10:47:44	POINT(165.6954 -244.2426)	POLYGON((123.5184 -286.0044,205.1154 -284.3076,207.7476 -201.7752,125.1036 -203.4876,123.5184 -286.0044))		POINT(10.0093 -8.11194)	POLYGON((7.49975 -10.652195,12.51885 -10.652195,12.51885 -5.571685,7.49975 -5.571685,7.49975 -10.652195))			Inverse-S Sigmoid	null	null	10.8653	null	null
SG	2012-10-01T11:17:44	POINT(169.5264 -243.915)	POLYGON((127.0632 -285.9498,209.151 -284.2026,211.8468 -201.1668,128.7012 -202.9302,127.0632 -285.9498))		POINT(10.2428 -8.09763)	POLYGON((7.716295 -10.653155,12.769305 -10.653155,12.769305 -5.542105,7.716295 -5.542105,7.716295 -10.653155))			Inverse-S Sigmoid	null	null	6.03455	null	null
SG	2012-10-01T14:47:44	POINT(144.7434 190.149)	POLYGON((100.845 147.1554,192.1854 148.8444,186.6804 232.9914,97.9566 231.3564,100.845 147.1554))		POINT(9.09146 17.9828)	POLYGON((6.23563 15.42679,11.94729 15.42679,11.94729 20.53881,6.23563 20.53881,6.23563 15.42679))			Forward-S Sigmoid	null	null	11.2825	null	null
SG	2012-10-01T19:17:44	POINT(187.6452 190.1118)	POLYGON((137.8272 141.585,242.439 144.111,234.6942 238.4526,133.4238 236.0166,137.8272 141.585))		POINT(11.8157 17.9156)	POLYGON((8.521355 15.04892,15.110045 15.04892,15.110045 20.78228,8.521355 20.78228,8.521355 15.04892))			Inverse-S Sigmoid	null	null	12.6514	null	null
SG	2012-10-01T20:47:56	POINT(255.0936 -240.9036)	POLYGON((219.0786 -276.492,287.6718 -274.2552,290.7552 -204.8154,221.427 -207.0696,219.0786 -276.492))		POINT(15.5185 -8.07069)	POLYGON((13.36532 -10.206265,17.67168 -10.206265,17.67168 -5.935115,13.36532 -5.935115,13.36532 -10.206265))			Forward-S Sigmoid	null	null	8.65422	null	null
SG	2012-10-01T21:52:44	POINT(266.3178 -238.665)	POLYGON((227.9226 -276.5574,300.888 -274.0662,304.269 -200.211,230.484 -202.722,227.9226 -276.5574))		POINT(16.2151 -7.95784)	POLYGON((13.916425 -10.227935,18.513775 -10.227935,18.513775 -5.687745,13.916425 -5.687745,13.916425 -10.227935))			Forward-S Sigmoid	null	null	14.0495	null	null
SG	2012-10-01T22:52:32	POINT(275.4912 -238.0854)	POLYGON((238.5234 -274.5732,308.6904 -272.0892,312.018 -201.078,241.0944 -203.5818,238.5234 -274.5732))		POINT(16.7893 -7.94353)	POLYGON((14.57289 -10.12589,19.00571 -10.12589,19.00571 -5.76117,14.57289 -5.76117,14.57289 -10.12589))			Forward-S Sigmoid	null	null	148.157	null	null
SG	2012-10-02T01:52:44	POINT(245.7132 196.2942)	POLYGON((191.4168 143.7624,306.9336 147.4728,296.2536 248.6004,184.755 245.0346,191.4168 143.7624))		POINT(15.5767 18.1777)	POLYGON((11.87834 15.09905,19.27506 15.09905,19.27506 21.25635,11.87834 21.25635,11.87834 15.09905))			Inverse-S Sigmoid	null	null	7.30225	null	null
SG	2012-10-02T14:22:44	POINT(356.3484 196.4868)	POLYGON((316.731 158.0808,403.383 162.2766,393.438 234.7884,308.9208 230.7084,316.731 158.0808))		POINT(22.8813 17.8949)	POLYGON((19.97202 15.686495,25.79058 15.686495,25.79058 20.103305,19.97202 20.103305,19.97202 15.686495))			Inverse-S Sigmoid	null	null	16.3619	null	null
SG	2012-10-02T20:22:44	POINT(462.1872 -270.813)	POLYGON((395.64 -334.9746,512.7558 -327.3096,525.7464 -204.867,405.6666 -212.6862,395.64 -334.9746))		POINT(29.2324 -10.584)	POLYGON((25.100675 -14.388765,33.364125 -14.388765,33.364125 -6.779235,25.100675 -6.779235,25.100675 -14.388765))			Inverse-S Sigmoid	null	null	272.197	null	null
SG	2012-10-02T21:52:44	POINT(505.9362 -435.327)	POLYGON((465.2934 -475.0134,527.025 -470.0412,545.7594 -394.5474,481.8366 -399.681,465.2934 -475.0134))		POINT(34.4053 -21.4945)	POLYGON((31.961735 -24.02174,36.848865 -24.02174,36.848865 -18.96726,31.961735 -18.96726,31.961735 -24.02174))			Forward-S Sigmoid	null	null	6.74228	null	null
