event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	sg_shape	sg_chirality	sg_orientation	sg_aspectratio	sg_peakcontrast	sg_meancontrast
SG	2012-02-01T03:06:21	POINT(444.6876 -363.5694)	POLYGON((354.0216 -452.1318,479.9136 -459.7698,534.0438 -272.1096,393.9684 -263.5338,354.0216 -452.1318))		POINT(30.6971 -27.0132)	POLYGON((25.56975 -32.9762,35.82445 -32.9762,35.82445 -21.0502,25.56975 -21.0502,25.56975 -32.9762))			Forward-S Sigmoid	null	null	6.2334	null	null
SG	2012-02-01T03:36:21	POINT(-668.4 256.1394)	POLYGON((-709.38 213.567,-634.944 221.2062,-624.924 298.0218,-698.19 290.4768,-709.38 213.567))		POINT(-44.161 10.9352)	POLYGON((-47.24864 8.59214,-41.07336 8.59214,-41.07336 13.27826,-47.24864 13.27826,-47.24864 8.59214))			Inverse-S Sigmoid	null	null	6.65287	null	null
SG	2012-02-01T07:06:21	POINT(474.9708 -364.1544)	POLYGON((383.2398 -453.3462,506.9298 -461.58,564.5796 -272.007,426.8418 -262.7544,383.2398 -453.3462))		POINT(33.0226 -26.9399)	POLYGON((27.85495 -32.9687,38.19025 -32.9687,38.19025 -20.9111,27.85495 -20.9111,27.85495 -32.9687))			Forward-S Sigmoid	null	null	7.12236	null	null
SG	2012-02-01T07:36:21	POINT(-84.4572 244.8456)	POLYGON((-120.2556 208.887,-49.37748 209.5422,-48.82326 280.3188,-118.9056 279.669,-120.2556 208.887))		POINT(-5.00711 8.51621)	POLYGON((-7.103705 6.37452,-2.910515 6.37452,-2.910515 10.6579,-7.103705 10.6579,-7.103705 6.37452))			Inverse-S Sigmoid	null	null	11.3567	null	null
SG	2012-02-01T08:06:21	POINT(639.63 -205.6578)	POLYGON((594.402 -249.6606,662.628 -256.2672,682.626 -161.436,612.348 -154.6002,594.402 -249.6606))		POINT(43.0641 -16.57)	POLYGON((40.152025 -19.42601,45.976175 -19.42601,45.976175 -13.71399,40.152025 -13.71399,40.152025 -19.42601))			Forward-S Sigmoid	null	null	14.9687	null	null
SG	2012-02-01T15:36:21	POINT(525.153 -362.0562)	POLYGON((460.2474 -425.3508,545.7408 -431.9736,588.297 -297.3006,496.149 -290.1162,460.2474 -425.3508))		POINT(36.9348 -26.6069)	POLYGON((33.2726 -30.88147,40.597 -30.88147,40.597 -22.33233,33.2726 -22.33233,33.2726 -30.88147))			Inverse-S Sigmoid	null	null	52.5757	null	null
SG	2012-02-01T16:36:21	POINT(-147.8208 383.352)	POLYGON((-187.5102 343.4508,-111.5598 344.748,-108.6108 422.3508,-182.5536 421.0836,-187.5102 343.4508))		POINT(-9.09879 17.127)	POLYGON((-11.42807 14.652965,-6.76951 14.652965,-6.76951 19.601035,-11.42807 19.601035,-11.42807 14.652965))			Inverse-S Sigmoid	null	null	12.3836	null	null
SG	2012-02-01T17:06:21	POINT(422.025 -263.1894)	POLYGON((381.8328 -303.0132,446.28 -306.4944,461.7996 -223.0458,395.1132 -219.4296,381.8328 -303.0132))		POINT(27.529 -20.9805)	POLYGON((25.203775 -23.52571,29.854225 -23.52571,29.854225 -18.43529,25.203775 -18.43529,25.203775 -23.52571))			Forward-S Sigmoid	null	null	26.0556	null	null
SG	2012-02-01T17:06:21	POINT(-143.382 382.4148)	POLYGON((-184.5468 341.0316,-105.63 342.3378,-102.7476 422.8308,-179.5116 421.5558,-184.5468 341.0316))		POINT(-8.82021 17.0611)	POLYGON((-11.236905 14.49604,-6.403515 14.49604,-6.403515 19.62616,-11.236905 19.62616,-11.236905 14.49604))			Inverse-S Sigmoid	null	null	14.2545	null	null
SG	2012-02-01T17:36:21	POINT(426.942 -264.1476)	POLYGON((385.2066 -305.4732,451.8336 -309.1278,468.2052 -222.4746,399.1662 -218.6724,385.2066 -305.4732))		POINT(27.8867 -21.0235)	POLYGON((25.47218 -23.66753,30.30122 -23.66753,30.30122 -18.37947,25.47218 -18.37947,25.47218 -23.66753))			Forward-S Sigmoid	null	null	48.3519	null	null
SG	2012-02-01T19:06:21	POINT(455.4366 -255.9804)	POLYGON((391.8972 -318.4098,491.1072 -324.3018,517.503 -192.8034,412.9662 -186.5562,391.8972 -318.4098))		POINT(29.8048 -20.437)	POLYGON((26.11794 -24.444665,33.49166 -24.444665,33.49166 -16.429335,26.11794 -16.429335,26.11794 -24.444665))			Inverse-S Sigmoid	null	null	6.24119	null	null
SG	2012-02-01T23:06:21	POINT(478.4412 -256.4844)	POLYGON((415.1088 -318.582,512.6262 -324.7836,540.0444 -193.6458,437.3178 -187.0728,415.1088 -318.582))		POINT(31.4697 -20.3925)	POLYGON((27.783535 -24.390975,35.155865 -24.390975,35.155865 -16.394025,27.783535 -16.394025,27.783535 -24.390975))			Inverse-S Sigmoid	null	null	26.2329	null	null
SG	2012-02-01T23:36:21	POINT(489.1818 -253.851)	POLYGON((413.1036 -328.0638,528.8634 -335.6412,562.5678 -178.599,439.44 -170.4798,413.1036 -328.0638))		POINT(32.2151 -20.1938)	POLYGON((27.78103 -24.98228,36.64917 -24.98228,36.64917 -15.40532,27.78103 -15.40532,27.78103 -24.98228))			Inverse-S Sigmoid	null	null	27.9815	null	null
SG	2012-02-02T00:06:21	POINT(496.4376 -252.3186)	POLYGON((414.2814 -332.2326,538.4466 -340.5216,575.2992 -171.2136,442.6476 -162.2868,414.2814 -332.2326))		POINT(32.7248 -20.0742)	POLYGON((27.930655 -25.23665,37.518945 -25.23665,37.518945 -14.91175,27.930655 -14.91175,27.930655 -25.23665))			Inverse-S Sigmoid	null	null	21.4072	null	null
