event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	sg_shape	sg_chirality	sg_orientation	sg_aspectratio	sg_peakcontrast	sg_meancontrast
SG	2012-04-01T04:13:45	POINT(-264.5388 -193.848)	POLYGON((-308.0532 -238.6986,-211.8216 -235.4436,-218.1912 -148.836,-317.3154 -152.2014,-308.0532 -238.6986))		POINT(-16.7459 -17.8443)	POLYGON((-19.934915 -20.471595,-13.556885 -20.471595,-13.556885 -15.217005,-19.934915 -15.217005,-19.934915 -20.471595))			Inverse-S Sigmoid	null	null	6.58117	null	null
SG	2012-04-01T05:48:45	POINT(-250.9794 -186.4614)	POLYGON((-290.838 -227.3808,-203.4438 -224.5962,-208.8768 -145.419,-298.6038 -148.2882,-290.838 -227.3808))		POINT(-15.826 -17.4214)	POLYGON((-18.69614 -19.819395,-12.95586 -19.819395,-12.95586 -15.023405,-18.69614 -15.023405,-18.69614 -19.819395))			Inverse-S Sigmoid	null	null	20.1742	null	null
SG	2012-04-01T07:13:45	POINT(-244.4706 -191.562)	POLYGON((-285.7704 -233.9964,-195.2286 -231.189,-200.7576 -148.983,-293.8626 -151.8804,-285.7704 -233.9964))		POINT(-15.4332 -17.7392)	POLYGON((-18.408915 -20.23166,-12.457485 -20.23166,-12.457485 -15.24674,-18.408915 -15.24674,-18.408915 -20.23166))			Inverse-S Sigmoid	null	null	16.296	null	null
SG	2012-04-01T07:18:45	POINT(-244.905 -191.385)	POLYGON((-286.3494 -233.9736,-195.4764 -231.1506,-201.0288 -148.6518,-294.4818 -151.5648,-286.3494 -233.9736))		POINT(-15.4603 -17.7275)	POLYGON((-18.447245 -20.228745,-12.473355 -20.228745,-12.473355 -15.226255,-18.447245 -15.226255,-18.447245 -20.228745))			Inverse-S Sigmoid	null	null	28.8191	null	null
SG	2012-04-01T08:13:45	POINT(-239.0988 -188.8572)	POLYGON((-285.0018 -236.145,-184.4736 -233.1054,-190.254 -141.396,-293.9304 -144.543,-285.0018 -236.145))		POINT(-15.0726 -17.5835)	POLYGON((-18.37395 -20.362555,-11.77125 -20.362555,-11.77125 -14.804445,-18.37395 -14.804445,-18.37395 -20.362555))			Inverse-S Sigmoid	null	null	9.67214	null	null
SG	2012-04-01T08:18:45	POINT(-237.774 -190.1724)	POLYGON((-287.2236 -241.2366,-178.797 -237.9768,-184.8906 -138.9024,-297.0102 -142.2876,-287.2236 -241.2366))		POINT(-14.9941 -17.6653)	POLYGON((-18.560975 -20.668465,-11.427225 -20.668465,-11.427225 -14.662135,-18.560975 -14.662135,-18.560975 -20.668465))			Inverse-S Sigmoid	null	null	6.08459	null	null
SG	2012-04-01T09:13:45	POINT(-226.629 -189.4602)	POLYGON((-267.816 -231.7206,-178.149 -229.1598,-183.1548 -147.0588,-275.3412 -149.7006,-267.816 -231.7206))		POINT(-14.2739 -17.6401)	POLYGON((-17.202965 -20.128205,-11.344835 -20.128205,-11.344835 -15.151995,-17.202965 -15.151995,-17.202965 -20.128205))			Inverse-S Sigmoid	null	null	7.75646	null	null
SG	2012-04-01T09:18:45	POINT(-225.225 -189.5106)	POLYGON((-266.4456 -231.8034,-176.7462 -229.2588,-181.7196 -147.0762,-273.942 -149.7018,-266.4456 -231.8034))		POINT(-14.184 -17.6454)	POLYGON((-17.11309 -20.135985,-11.25491 -20.135985,-11.25491 -15.154815,-17.11309 -15.154815,-17.11309 -20.135985))			Inverse-S Sigmoid	null	null	7.10011	null	null
SG	2012-04-01T09:43:45	POINT(-222.3012 -188.6856)	POLYGON((-264.1626 -231.642,-173.1666 -229.0974,-178.1046 -145.584,-271.6944 -148.2102,-264.1626 -231.642))		POINT(-13.9925 -17.5996)	POLYGON((-16.961335 -20.1301,-11.023665 -20.1301,-11.023665 -15.0691,-16.961335 -15.0691,-16.961335 -20.1301))			Inverse-S Sigmoid	null	null	10.8498	null	null
SG	2012-04-01T09:48:45	POINT(-220.5876 -188.2518)	POLYGON((-261.2466 -229.938,-172.9626 -227.4894,-177.7398 -146.4306,-268.4622 -148.9554,-261.2466 -229.938))		POINT(-13.8806 -17.5761)	POLYGON((-16.75767 -20.031965,-11.00353 -20.031965,-11.00353 -15.120235,-16.75767 -15.120235,-16.75767 -20.031965))			Inverse-S Sigmoid	null	null	11.9063	null	null
SG	2012-04-01T10:13:45	POINT(-216.3168 -187.9722)	POLYGON((-255.7416 -228.3492,-170.3064 -226.029,-174.8604 -147.4674,-262.5792 -149.8578,-255.7416 -228.3492))		POINT(-13.6058 -17.5654)	POLYGON((-16.38512 -19.94543,-10.82648 -19.94543,-10.82648 -15.18537,-16.38512 -15.18537,-16.38512 -19.94543))			Inverse-S Sigmoid	null	null	11.7744	null	null
SG	2012-04-01T10:18:45	POINT(-214.9794 -187.2276)	POLYGON((-254.4156 -227.6118,-169.0134 -225.3078,-173.5218 -146.7174,-261.201 -149.0904,-254.4156 -227.6118))		POINT(-13.5168 -17.5224)	POLYGON((-16.293235 -19.90293,-10.740365 -19.90293,-10.740365 -15.14187,-16.293235 -15.14187,-16.293235 -19.90293))			Inverse-S Sigmoid	null	null	12.5521	null	null
SG	2012-04-01T14:48:45	POINT(-168.585 -187.4004)	POLYGON((-209.8296 -229.5618,-121.926 -227.7252,-125.3628 -145.0944,-215.7432 -146.9892,-209.8296 -229.5618))		POINT(-10.5655 -17.5905)	POLYGON((-13.39524 -20.093475,-7.73576 -20.093475,-7.73576 -15.087525,-13.39524 -15.087525,-13.39524 -20.093475))			Inverse-S Sigmoid	null	null	9.33594	null	null
