event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	sg_shape	sg_chirality	sg_orientation	sg_aspectratio	sg_peakcontrast	sg_meancontrast
SG	2012-09-01T02:25:20	POINT(-349.6302 -383.3592)	POLYGON((-401.9952 -437.6916,-279.2202 -444.1836,-291.0972 -326.7936,-419.091 -320.0556,-401.9952 -437.6916))		POINT(-22.5244 -17.0516)	POLYGON((-26.801755 -20.91305,-18.247045 -20.91305,-18.247045 -13.19015,-26.801755 -13.19015,-26.801755 -20.91305))			Forward-S Sigmoid	null	null	107.762	null	null
SG	2012-09-01T10:25:20	POINT(-32.94234 -79.1988)	POLYGON((-85.0356 -130.9704,19.19766 -131.424,19.10856 -26.826,-84.6414 -26.37636,-85.0356 -130.9704))		POINT(-1.97771 2.44316)	POLYGON((-5.10688 -0.705715,1.15146 -0.705715,1.15146 5.592035,-5.10688 5.592035,-5.10688 -0.705715))			Inverse-S Sigmoid	null	null	24.8738	null	null
SG	2012-09-01T12:25:20	POINT(-29.54466 -73.0236)	POLYGON((-96.789 -139.6998,37.79364 -140.2254,37.53258 -5.377872,-96.1206 -4.85865,-96.789 -139.6998))		POINT(-1.77415 2.81678)	POLYGON((-5.815905 -1.241915,2.267605 -1.241915,2.267605 6.875475,-5.815905 6.875475,-5.815905 -1.241915))			Inverse-S Sigmoid	null	null	8.35051	null	null
SG	2012-09-01T14:25:20	POINT(1.371912 -76.6674)	POLYGON((-59.54694 -137.004,62.2872 -136.9818,61.9296 -15.52734,-59.20494 -15.54924,-59.54694 -137.004))		POINT(0.0823535 2.60227)	POLYGON((-3.573886 -1.05381,3.738594 -1.05381,3.738594 6.25835,-3.573886 6.25835,-3.573886 -1.05381))			Inverse-S Sigmoid	null	null	12.7602	null	null
SG	2012-09-02T07:25:20	POINT(167.85 -53.39424)	POLYGON((53.35326 -163.4958,280.2516 -158.3676,275.9196 59.06964,52.52838 54.06252,53.35326 -163.4958))		POINT(10.1405 3.89839)	POLYGON((3.20415 -2.64916,17.07685 -2.64916,17.07685 10.44594,3.20415 10.44594,3.20415 -2.64916))			Inverse-S Sigmoid	null	null	6.75313	null	null
SG	2012-09-02T22:25:20	POINT(-658.896 -347.6904)	POLYGON((-705.558 -400.0008,-574.0002 -417.483,-598.6068 -293.049,-735.786 -274.9038,-705.558 -400.0008))		POINT(-46.0556 -16.4386)	POLYGON((-52.1638 -20.485645,-39.9474 -20.485645,-39.9474 -12.391555,-52.1638 -12.391555,-52.1638 -20.485645))			Inverse-S Sigmoid	null	null	6.11222	null	null
SG	2012-09-02T23:25:20	POINT(-572.106 -313.0704)	POLYGON((-613.284 -356.6064,-511.1286 -366.8184,-524.904 -268.2282,-629.802 -257.7798,-613.284 -356.6064))		POINT(-38.0511 -13.5068)	POLYGON((-42.12715 -16.656095,-33.97505 -16.656095,-33.97505 -10.357505,-42.12715 -10.357505,-42.12715 -16.656095))			Forward-S Sigmoid	null	null	8.1479	null	null
SG	2012-09-02T23:55:20	POINT(13.5726 187.6986)	POLYGON((-31.19082 143.5902,58.70106 143.7582,56.87502 231.6558,-30.22056 231.4932,-31.19082 143.5902))		POINT(0.858301 18.5474)	POLYGON((-1.944209 15.85857,3.660811 15.85857,3.660811 21.23623,-1.944209 21.23623,-1.944209 15.85857))			Inverse-S Sigmoid	null	null	7.00193	null	null
SG	2012-09-03T05:55:20	POINT(588.2508 73.4046)	POLYGON((548.3088 35.16576,632.952 43.71012,624.93 111.786,541.3548 103.3722,548.3088 35.16576))		POINT(38.7317 10.0699)	POLYGON((35.434885 8.012595,42.028515 8.012595,42.028515 12.127205,35.434885 12.127205,35.434885 8.012595))			Inverse-S Sigmoid	null	null	17.2672	null	null
SG	2012-09-03T08:25:20	POINT(690.648 20.24382)	POLYGON((636.888 -29.92344,744.942 -15.43608,737.646 70.8354,630.648 56.53722,636.888 -29.92344))		POINT(46.7032 6.18944)	POLYGON((41.942475 3.58479,51.463925 3.58479,51.463925 8.79409,41.942475 8.79409,41.942475 3.58479))			Forward-S Sigmoid	null	null	10.2331	null	null
SG	2012-09-03T08:55:20	POINT(697.836 22.09914)	POLYGON((644.232 -27.85158,751.92 -13.08246,744.552 72.4722,637.914 57.89562,644.232 -27.85158))		POINT(47.3482 6.24222)	POLYGON((42.544605 3.658725,52.151795 3.658725,52.151795 8.825715,42.544605 8.825715,42.544605 3.658725))			Forward-S Sigmoid	null	null	32.9045	null	null
SG	2012-09-03T12:25:20	POINT(447.9114 -43.76436)	POLYGON((408.4482 -82.167,487.9296 -76.8228,485.532 -5.083008,406.4406 -10.38642,408.4482 -82.167))		POINT(28.0235 3.7572)	POLYGON((25.31845 1.59882,30.72855 1.59882,30.72855 5.91558,25.31845 5.91558,25.31845 1.59882))			Inverse-S Sigmoid	null	null	13.5231	null	null
SG	2012-09-03T21:00:20	POINT(90.7236 -448.017)	POLYGON((44.19294 -494.3916,132.9108 -493.23,138.6516 -399.933,46.10172 -401.1408,44.19294 -494.3916))		POINT(5.82864 -20.772)	POLYGON((2.901195 -23.943765,8.756085 -23.943765,8.756085 -17.600235,2.901195 -17.600235,2.901195 -23.943765))			Forward-S Sigmoid	null	null	7.1545	null	null
SG	2012-09-04T00:00:20	POINT(118.8438 -444.9612)	POLYGON((65.5968 -497.889,165.573 -496.1694,173.6556 -389.8296,68.799 -391.626,65.5968 -497.889))		POINT(7.63545 -20.5912)	POLYGON((4.31709 -24.19964,10.95381 -24.19964,10.95381 -16.98276,4.31709 -16.98276,4.31709 -24.19964))			Forward-S Sigmoid	null	null	12.0192	null	null
SG	2012-09-04T08:00:20	POINT(544.4382 -61.0176)	POLYGON((476.9958 -124.8828,608.556 -113.3052,605.604 3.725502,474.6822 -7.74444,476.9958 -124.8828))		POINT(34.7756 2.28101)	POLYGON((29.95673 -1.24893,39.59447 -1.24893,39.59447 5.81095,29.95673 5.81095,29.95673 -1.24893))			Inverse-S Sigmoid	null	null	17.4007	null	null
