event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2013-01-01T00:59:46	POINT(-883.2 -422.4)	POLYGON((-921.6 -460.8,-844.8 -460.8,-844.8 -384,-921.6 -384,-921.6 -460.8))		POINT(-88.863006 -25.537734)	POLYGON((-88.799749 -26.54119,-80.415423 -28.697593,-71.292061 -24.139644,-89.042793 -22.602246,-88.799749 -26.54119))			99.843	erg/cm/cm/s	null		null		null		null	
FL	2013-01-01T01:05:22	POINT(-115.2 499.2)	POLYGON((-153.6 460.8,0 460.8,0 537.6,-153.6 537.6,-153.6 460.8))		POINT(-7.6244215 27.61647)	POLYGON((-9.96363 25.057641,0 25.008589,0 30.238147,-10.46093 30.292939,-9.96363 25.057641))			48.7061	erg/cm/cm/s	null		null		null		null	
FL	2013-01-01T04:42:10	POINT(-883.2 -268.8)	POLYGON((-921.6 -307.2,-844.8 -307.2,-844.8 -230.4,-921.6 -230.4,-921.6 -307.2))		POINT(-70.868902 -16.984738)	POLYGON((-84.93043 -18.634956,-66.476362 -19.554686,-63.420025 -15.009743,-76.82403 -14.355576,-84.93043 -18.634956))			46.1425	erg/cm/cm/s	null		null		null		null	
FL	2013-01-01T06:54:22	POINT(-729.6 115.2)	POLYGON((-768 76.8,-691.2 76.8,-691.2 153.6,-768 153.6,-768 76.8))		POINT(-48.400446 4.7265548)	POLYGON((-51.762388 2.605506,-44.947642 2.330574,-45.319022 6.874973,-52.266202 7.159904,-51.762388 2.605506))			34.6193	erg/cm/cm/s	null		null		null		null	
FL	2013-01-01T08:47:46	POINT(-729.6 115.2)	POLYGON((-768 76.8,-691.2 76.8,-691.2 153.6,-768 153.6,-768 76.8))		POINT(-48.399853 4.7204547)	POLYGON((-51.762031 2.59982,-44.947356 2.324072,-45.318211 6.868512,-52.26526 7.15428,-51.762031 2.59982))			56.6343	erg/cm/cm/s	null		null		null		null	
FL	2013-01-01T08:52:58	POINT(-38.4 499.2)	POLYGON((-76.8 460.8,76.8 460.8,76.8 537.6,-76.8 537.6,-76.8 460.8))		POINT(-2.5332429 27.5528)	POLYGON((-4.959663 24.982964,4.959663 24.982964,5.204139 30.213934,-5.204139 30.213934,-4.959663 24.982964))			83.666	erg/cm/cm/s	null		null		null		null	
FL	2013-01-01T09:19:58	POINT(-38.4 499.2)	POLYGON((-76.8 460.8,0 460.8,0 537.6,-76.8 537.6,-76.8 460.8))		POINT(-2.5331922 27.550614)	POLYGON((-4.959574 24.980784,0 24.968445,0 30.19799,-5.204023 30.211754,-4.959574 24.980784))			53.8964	erg/cm/cm/s	null		null		null		null	
FL	2013-01-01T10:30:10	POINT(38.4 499.2)	POLYGON((0 460.8,76.8 460.8,76.8 537.6,0 537.6,0 460.8))		POINT(2.5330605 27.544932)	POLYGON((0 24.962758,4.959344 24.975118,5.203722 30.206089,0 30.192301,0 24.962758))			44.4987	erg/cm/cm/s	null		null		null		null	
FL	2013-01-01T11:54:46	POINT(-192 -192)	POLYGON((-230.4 -230.4,-153.6 -230.4,-153.6 -153.6,-230.4 -153.6,-230.4 -230.4))		POINT(-11.660803 -14.320922)	POLYGON((-14.195584 -16.590347,-9.411227 -16.641286,-9.218304 -12.06381,-13.902403 -12.014398,-14.195584 -16.590347))			27.9382	erg/cm/cm/s	null		null		null		null	
FL	2013-01-01T12:49:46	POINT(345.6 268.8)	POLYGON((307.2 230.4,384 230.4,384 307.2,307.2 307.2,307.2 230.4))		POINT(21.21965 13.035606)	POLYGON((18.596798 10.663147,23.504453 10.761358,23.987356 15.445802,18.966636 15.342231,18.596798 10.663147))			33.4036	erg/cm/cm/s	null		null		null		null	
