event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2013-06-01T07:14:10	POINT(-499.2 192)	POLYGON((-614.4 153.6,-460.8 153.6,-460.8 230.4,-614.4 230.4,-614.4 153.6))		POINT(-32.382146 11.129532)	POLYGON((-40.902037 8.833339,-29.387507 8.755655,-29.920674 13.490336,-41.733115 13.574014,-40.902037 8.833339))			34.1182	erg/cm/cm/s	null		null		null		null	
FL	2013-06-01T12:40:46	POINT(883.2 -345.6)	POLYGON((844.8 -384,921.6 -384,921.6 -307.2,844.8 -307.2,844.8 -384))		POINT(89.942999 -21.372104)	POLYGON((77.595309 -24.047013,89.95567 -22.621264,89.913499 -18.436591,70.635986 -19.114516,77.595309 -24.047013))			58.322	erg/cm/cm/s	null		null		null		null	
FL	2013-06-01T13:38:58	POINT(38.4 -499.2)	POLYGON((-76.8 -537.6,76.8 -537.6,76.8 -384,-76.8 -384,-76.8 -537.6))		POINT(2.7407266 -32.295072)	POLYGON((-5.66865 -35.062372,5.66865 -35.062372,5.092415 -24.428093,-5.092415 -24.428093,-5.66865 -35.062372))			36.8689	erg/cm/cm/s	null		null		null		null	
FL	2013-06-01T15:08:58	POINT(38.4 -422.4)	POLYGON((0 -460.8,76.8 -460.8,76.8 -384,0 -384,0 -460.8))		POINT(2.5991285 -26.981839)	POLYGON((-3e-06 -29.600809,5.334127 -29.598823,5.092171 -24.420836,-2e-06 -24.422732,-3e-06 -29.600809))			28.293	erg/cm/cm/s	null		null		null		null	
FL	2013-06-01T19:44:46	POINT(268.8 -499.2)	POLYGON((230.4 -537.6,307.2 -537.6,307.2 -460.8,230.4 -460.8,230.4 -537.6))		POINT(19.548586 -32.241845)	POLYGON((17.230553 -35.016872,23.262087 -35.001772,21.825218 -29.547397,16.190697 -29.561365,17.230553 -35.016872))			20.1712	erg/cm/cm/s	null		null		null		null	
FL	2013-06-01T20:41:46	POINT(115.2 -422.4)	POLYGON((76.8 -460.8,153.6 -460.8,153.6 -384,76.8 -384,76.8 -460.8))		POINT(7.8173792 -26.951375)	POLYGON((5.33291 -29.572225,10.712695 -29.56657,10.223384 -24.388591,5.09127 -24.393995,5.33291 -29.572225))			21.6621	erg/cm/cm/s	null		null		null		null	
FL	2013-06-01T23:26:22	POINT(115.2 -499.2)	POLYGON((0 -537.6,153.6 -537.6,153.6 -460.8,0 -460.8,0 -537.6))		POINT(8.2437001 -32.244456)	POLYGON((-3e-06 -35.017871,11.387751 -35.01007,10.711494 -29.55359,-3e-06 -29.560871,-3e-06 -35.017871))			39.9713	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T04:53:34	POINT(115.2 -499.2)	POLYGON((76.8 -537.6,230.4 -537.6,230.4 -460.8,76.8 -460.8,76.8 -537.6))		POINT(8.2416275 -32.218576)	POLYGON((5.66418 -34.990042,17.222575 -34.975291,16.184724 -29.519099,5.331111 -29.532895,5.66418 -34.990042))			147.07	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T06:30:46	POINT(115.2 -499.2)	POLYGON((76.8 -537.6,153.6 -537.6,153.6 -384,76.8 -384,76.8 -537.6))		POINT(8.2410118 -32.210886)	POLYGON((5.663705 -34.982348,11.383615 -34.977012,10.220202 -24.341644,5.089674 -24.34646,5.663705 -34.982348))			27.8408	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T07:14:10	POINT(115.2 -499.2)	POLYGON((76.8 -537.6,153.6 -537.6,153.6 -460.8,76.8 -460.8,76.8 -537.6))		POINT(8.2407368 -32.207452)	POLYGON((5.663493 -34.978913,11.383192 -34.973629,10.708082 -29.516682,5.330597 -29.521645,5.663493 -34.978913))			22.2252	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T07:34:10	POINT(-345.6 192)	POLYGON((-384 153.6,-307.2 153.6,-307.2 230.4,-384 230.4,-384 153.6))		POINT(-21.762808 11.187291)	POLYGON((-24.142637 8.840923,-19.095476 8.823074,-19.424324 13.554778,-24.569615 13.574014,-24.142637 8.840923))			29.562	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T08:05:58	POINT(115.2 -499.2)	POLYGON((76.8 -537.6,153.6 -537.6,153.6 -384,76.8 -384,76.8 -537.6))		POINT(8.2404087 -32.203352)	POLYGON((5.66324 -34.974811,11.382688 -34.969592,10.219688 -24.334052,5.089416 -24.338773,5.66324 -34.974811))			24.9531	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T10:11:58	POINT(268.8 -422.4)	POLYGON((230.4 -460.8,307.2 -460.8,307.2 -384,230.4 -384,230.4 -460.8))		POINT(18.495295 -26.870724)	POLYGON((16.181258 -29.49456,21.812734 -29.482912,20.783802 -24.305019,15.433699 -24.316208,16.181258 -29.49456))			26.6712	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T10:18:22	POINT(115.2 -499.2)	POLYGON((76.8 -537.6,230.4 -537.6,230.4 -460.8,76.8 -460.8,76.8 -537.6))		POINT(8.2395699 -32.192873)	POLYGON((5.662593 -34.964328,17.217852 -34.950661,16.181188 -29.494066,5.329923 -29.506903,5.662593 -34.964328))			42.4532	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T10:56:10	POINT(268.8 -422.4)	POLYGON((230.4 -460.8,307.2 -460.8,307.2 -384,230.4 -384,230.4 -460.8))		POINT(18.494813 -26.867345)	POLYGON((16.180777 -29.491152,21.812097 -29.479623,20.783331 -24.301675,15.433343 -24.312757,16.180777 -29.491152))			39.4096	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T11:47:22	POINT(192 -499.2)	POLYGON((153.6 -537.6,230.4 -537.6,230.4 -460.8,153.6 -460.8,153.6 -537.6))		POINT(13.817989 -32.179394)	POLYGON((11.38053 -34.952334,17.216557 -34.94391,16.180219 -29.487205,10.706088 -29.495115,11.38053 -34.952334))			32.38	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T14:47:22	POINT(-345.6 192)	POLYGON((-384 153.6,-307.2 153.6,-307.2 230.4,-384 230.4,-384 153.6))		POINT(-21.766567 11.221544)	POLYGON((-24.14616 8.874477,-19.098257 8.857804,-19.428222 13.589666,-24.57454 13.607683,-24.14616 8.874477))			18.1014	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T15:22:58	POINT(268.8 -422.4)	POLYGON((230.4 -460.8,307.2 -460.8,307.2 -384,230.4 -384,230.4 -460.8))		POINT(18.491899 -26.846947)	POLYGON((16.177871 -29.470579,21.808254 -29.459764,20.780487 -24.281488,15.431192 -24.291922,16.177871 -29.470579))			24.3502	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T15:45:58	POINT(268.8 -422.4)	POLYGON((230.4 -460.8,307.2 -460.8,307.2 -384,230.4 -384,230.4 -460.8))		POINT(18.491647 -26.845188)	POLYGON((16.177621 -29.468805,21.807922 -29.458051,20.780241 -24.279747,15.431007 -24.290125,16.177621 -29.468805))			56.8743	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T16:17:10	POINT(-268.8 192)	POLYGON((-307.2 153.6,-230.4 153.6,-230.4 230.4,-307.2 230.4,-307.2 153.6))		POINT(-16.76084 11.213742)	POLYGON((-19.098834 8.865004,-14.203303 8.852613,-14.444183 13.583521,-19.42903 13.596899,-19.098834 8.865004))			33.6869	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T17:58:22	POINT(268.8 -422.4)	POLYGON((230.4 -460.8,307.2 -460.8,307.2 -384,230.4 -384,230.4 -460.8))		POINT(18.490201 -26.835061)	POLYGON((16.176179 -29.458592,21.806015 -29.448193,20.77883 -24.269726,15.429939 -24.279783,16.176179 -29.458592))			29.6402	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T18:23:58	POINT(192 -499.2)	POLYGON((153.6 -537.6,230.4 -537.6,230.4 -460.8,153.6 -460.8,153.6 -537.6))		POINT(13.813817 -32.148604)	POLYGON((11.376664 -34.921401,17.210789 -34.913812,16.1759 -29.456617,10.703194 -29.463791,11.376664 -34.921401))			29.804	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T19:22:58	POINT(192 -268.8)	POLYGON((153.6 -307.2,230.4 -307.2,230.4 -230.4,153.6 -230.4,153.6 -307.2))		POINT(12.189215 -16.869276)	POLYGON((9.862058 -19.303124,14.887709 -19.296334,14.501311 -14.465136,9.609175 -14.471959,9.862058 -19.303124))			21.7331	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T19:33:58	POINT(192 -499.2)	POLYGON((153.6 -537.6,230.4 -537.6,230.4 -460.8,153.6 -460.8,153.6 -537.6))		POINT(13.813081 -32.143167)	POLYGON((11.375981 -34.915939,17.20977 -34.908497,16.175138 -29.451216,10.702684 -29.45826,11.375981 -34.915939))			26.9517	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T20:13:22	POINT(192 -499.2)	POLYGON((153.6 -537.6,230.4 -537.6,230.4 -460.8,153.6 -460.8,153.6 -537.6))		POINT(13.812666 -32.140107)	POLYGON((11.375597 -34.912865,17.209197 -34.905505,16.174708 -29.448176,10.702396 -29.455147,11.375597 -34.912865))			23.6782	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T20:47:46	POINT(-268.8 192)	POLYGON((-307.2 153.6,-230.4 153.6,-230.4 230.4,-307.2 230.4,-307.2 153.6))		POINT(-16.762649 11.235793)	POLYGON((-19.100571 8.886701,-14.204594 8.874864,-14.445996 13.605889,-19.431466 13.618693,-19.100571 8.886701))			17.0856	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T21:04:10	POINT(268.8 -422.4)	POLYGON((230.4 -537.6,307.2 -537.6,307.2 -384,230.4 -384,230.4 -537.6))		POINT(18.488171 -26.820848)	POLYGON((17.208458 -34.901648,23.232866 -34.891171,20.776848 -24.25566,15.428441 -24.265266,17.208458 -34.901648))			43.0271	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T21:35:34	POINT(268.8 -422.4)	POLYGON((230.4 -460.8,307.2 -460.8,307.2 -384,230.4 -384,230.4 -460.8))		POINT(18.487828 -26.818445)	POLYGON((16.173813 -29.441833,21.802884 -29.432015,20.776513 -24.253283,15.428188 -24.262812,16.173813 -29.441833))			34.5929	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T21:42:58	POINT(345.6 192)	POLYGON((307.2 153.6,384 153.6,384 230.4,307.2 230.4,307.2 153.6))		POINT(21.770174 11.254408)	POLYGON((19.100925 8.891127,24.14954 8.906671,24.579266 13.639986,19.431963 13.623139,19.100925 8.891127))			24.5893	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T22:35:10	POINT(268.8 -499.2)	POLYGON((230.4 -537.6,307.2 -537.6,307.2 -384,230.4 -384,230.4 -537.6))		POINT(19.525028 -32.120752)	POLYGON((17.207134 -34.894737,23.231114 -34.884536,20.775877 -24.24877,15.427707 -24.258154,17.207134 -34.894737))			45.8443	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T23:21:22	POINT(345.6 -422.4)	POLYGON((307.2 -460.8,384 -460.8,384 -384,307.2 -384,307.2 -460.8))		POINT(24.060397 -26.799441)	POLYGON((21.801359 -29.424133,27.662253 -29.41136,26.321691 -24.232903,20.775384 -24.245271,21.801359 -29.424133))			23.7797	erg/cm/cm/s	null		null		null		null	
FL	2013-06-02T23:46:10	POINT(-192 192)	POLYGON((-307.2 153.6,-153.6 153.6,-153.6 230.4,-307.2 230.4,-307.2 153.6))		POINT(-11.887624 11.240238)	POLYGON((-19.101716 8.901006,-9.414945 8.881518,-9.573095 13.61196,-19.433072 13.633062,-19.101716 8.901006))			29.0837	erg/cm/cm/s	null		null		null		null	
FL	2013-06-03T00:38:22	POINT(268.8 -499.2)	POLYGON((230.4 -537.6,307.2 -537.6,307.2 -460.8,230.4 -460.8,230.4 -537.6))		POINT(19.523225 -32.111474)	POLYGON((17.205341 -34.885378,23.228743 -34.875552,21.800249 -29.418395,16.171822 -29.427725,17.205341 -34.885378))			42.3891	erg/cm/cm/s	null		null		null		null	
FL	2013-06-03T01:02:22	POINT(268.8 -499.2)	POLYGON((230.4 -537.6,307.2 -537.6,307.2 -460.8,230.4 -460.8,230.4 -537.6))		POINT(19.522874 -32.109666)	POLYGON((17.204992 -34.883555,23.228281 -34.873802,21.799903 -29.416607,16.17156 -29.425872,17.204992 -34.883555))			52.4945	erg/cm/cm/s	null		null		null		null	
FL	2013-06-03T01:35:22	POINT(268.8 -499.2)	POLYGON((230.4 -537.6,307.2 -537.6,307.2 -460.8,230.4 -460.8,230.4 -537.6))		POINT(19.52239 -32.107181)	POLYGON((17.204512 -34.881048,23.227646 -34.871395,21.799428 -29.414148,16.171201 -29.423324,17.204512 -34.881048))			49.1209	erg/cm/cm/s	null		null		null		null	
FL	2013-06-03T02:50:46	POINT(268.8 -499.2)	POLYGON((230.4 -537.6,307.2 -537.6,307.2 -460.8,230.4 -460.8,230.4 -537.6))		POINT(19.521286 -32.101501)	POLYGON((17.203415 -34.875319,23.226194 -34.865896,21.79834 -29.408528,16.170379 -29.417503,17.203415 -34.875319))			55.4886	erg/cm/cm/s	null		null		null		null	
FL	2013-06-03T04:45:58	POINT(268.8 -499.2)	POLYGON((230.4 -537.6,307.2 -537.6,307.2 -460.8,230.4 -460.8,230.4 -537.6))		POINT(19.5196 -32.092822)	POLYGON((17.201738 -34.866564,23.223976 -34.857491,21.796679 -29.399941,16.169124 -29.408608,17.201738 -34.866564))			41.7396	erg/cm/cm/s	null		null		null		null	
FL	2013-06-03T04:51:58	POINT(345.6 192)	POLYGON((307.2 153.6,384 153.6,384 230.4,307.2 230.4,307.2 153.6))		POINT(21.773897 11.288333)	POLYGON((19.103679 8.925528,24.153028 8.939906,24.584143 13.67333,19.435824 13.657692,19.103679 8.925528))			22.2108	erg/cm/cm/s	null		null		null		null	
FL	2013-06-03T06:21:10	POINT(38.4 -268.8)	POLYGON((0 -307.2,76.8 -307.2,76.8 -230.4,0 -230.4,0 -307.2))		POINT(2.4195603 -16.823367)	POLYGON((-2e-06 -19.254632,4.911345 -19.253507,4.786692 -14.421997,-1e-06 -14.42314,-2e-06 -19.254632))			27.9494	erg/cm/cm/s	null		null		null		null	
FL	2013-06-03T07:04:58	POINT(345.6 -499.2)	POLYGON((230.4 -537.6,460.8 -537.6,460.8 -384,230.4 -384,230.4 -537.6))		POINT(25.440386 -32.072502)	POLYGON((17.199715 -34.855999,36.262383 -34.82047,32.142755 -24.185321,15.423594 -24.2183,17.199715 -34.855999))			881.265	erg/cm/cm/s	null		null		null		null	
FL	2013-06-03T09:49:10	POINT(-38.4 192)	POLYGON((-76.8 153.6,0 153.6,0 230.4,-76.8 230.4,-76.8 153.6))		POINT(-2.3614384 11.28161)	POLYGON((-4.692228 8.927744,0 8.926344,0 13.656577,-4.770823 13.658101,-4.692228 8.927744))			17.5978	erg/cm/cm/s	null		null		null		null	
FL	2013-06-03T13:19:58	POINT(422.4 -499.2)	POLYGON((384 -537.6,460.8 -537.6,460.8 -460.8,384 -460.8,384 -537.6))		POINT(31.664122 -32.034157)	POLYGON((29.520839 -34.809842,36.251853 -34.796631,33.840813 -29.339212,27.6473 -29.35184,29.520839 -34.809842))			26.7757	erg/cm/cm/s	null		null		null		null	
FL	2013-06-03T15:38:10	POINT(422.4 -499.2)	POLYGON((384 -537.6,460.8 -537.6,460.8 -460.8,384 -460.8,384 -537.6))		POINT(31.66101 -32.024793)	POLYGON((29.517548 -34.800313,36.247971 -34.787841,33.837899 -29.330035,27.644834 -29.342023,29.517548 -34.800313))			30.924	erg/cm/cm/s	null		null		null		null	
FL	2013-06-03T17:28:22	POINT(422.4 -499.2)	POLYGON((384 -537.6,460.8 -537.6,460.8 -460.8,384 -460.8,384 -537.6))		POINT(31.658528 -32.017325)	POLYGON((29.514924 -34.792714,36.244874 -34.78083,33.835576 -29.322716,27.642867 -29.334194,29.514924 -34.792714))			85.7182	erg/cm/cm/s	null		null		null		null	
FL	2013-06-03T18:17:46	POINT(422.4 -499.2)	POLYGON((384 -537.6,460.8 -537.6,460.8 -460.8,384 -460.8,384 -537.6))		POINT(31.657415 -32.013976)	POLYGON((29.513747 -34.789306,36.243485 -34.777686,33.834534 -29.319435,27.641985 -29.330684,29.513747 -34.789306))			56.0654	erg/cm/cm/s	null		null		null		null	
FL	2013-06-04T00:14:46	POINT(422.4 -499.2)	POLYGON((384 -537.6,460.8 -537.6,460.8 -460.8,384 -460.8,384 -537.6))		POINT(31.64937 -31.98977)	POLYGON((29.505241 -34.764674,36.233446 -34.754959,33.827001 -29.295712,27.63561 -29.305309,29.505241 -34.764674))			72.5548	erg/cm/cm/s	null		null		null		null	
FL	2013-06-04T03:13:10	POINT(422.4 -499.2)	POLYGON((384 -537.6,460.8 -537.6,460.8 -460.8,384 -460.8,384 -537.6))		POINT(31.645347 -31.977667)	POLYGON((29.500989 -34.752358,36.228426 -34.743596,33.823234 -29.283852,27.632423 -29.292624,29.500989 -34.752358))			42.0376	erg/cm/cm/s	null		null		null		null	
