event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2013-05-01T00:08:22	POINT(38.4 192)	POLYGON((0 153.6,76.8 153.6,76.8 230.4,0 230.4,0 153.6))		POINT(2.3194761 7.4118185)	POLYGON((0 5.069919,4.622004 5.083725,4.672198 9.780992,0 9.766723,0 5.069919))			32.0781	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T00:25:46	POINT(38.4 192)	POLYGON((-76.8 153.6,76.8 153.6,76.8 307.2,-76.8 307.2,-76.8 153.6))		POINT(2.3194899 7.4130677)	POLYGON((-4.622027 5.084964,4.622027 5.084964,4.758199 14.578969,-4.758199 14.578969,-4.622027 5.084964))			52.0634	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T00:48:10	POINT(499.2 -268.8)	POLYGON((460.8 -307.2,537.6 -307.2,537.6 -230.4,460.8 -230.4,460.8 -307.2))		POINT(33.710731 -19.809551)	POLYGON((31.397872 -22.312895,37.368769 -22.078146,36.092655 -17.326763,30.359758 -17.547724,31.397872 -22.312895))			43.5686	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T01:00:34	POINT(-499.2 -268.8)	POLYGON((-614.4 -384,-460.8 -384,-460.8 -230.4,-614.4 -230.4,-614.4 -384))		POINT(-33.710651 -19.808865)	POLYGON((-46.007128 -26.629042,-32.820866 -27.205645,-30.3597 -17.547006,-42.25656 -17.051834,-46.007128 -26.629042))			77.969	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T01:09:22	POINT(38.4 268.8)	POLYGON((0 230.4,230.4 230.4,230.4 307.2,0 307.2,0 230.4))		POINT(2.3531309 12.157898)	POLYGON((0 9.771134,14.151525 9.901298,14.42002 14.703899,0 14.567195,0 9.771134))			48.7713	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T01:14:22	POINT(-499.2 -268.8)	POLYGON((-537.6 -307.2,-460.8 -307.2,-460.8 -230.4,-537.6 -230.4,-537.6 -307.2))		POINT(-33.710563 -19.808102)	POLYGON((-37.368551 -22.076776,-31.397668 -22.31142,-30.359635 -17.546208,-36.092529 -17.325344,-37.368551 -22.076776))			48.9465	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T01:18:34	POINT(499.2 -268.8)	POLYGON((460.8 -307.2,614.4 -307.2,614.4 -153.6,460.8 -153.6,460.8 -307.2))		POINT(33.710536 -19.80787)	POLYGON((31.397635 -22.311183,43.823028 -21.783697,41.16032 -12.394908,29.622584 -12.869213,31.397635 -22.311183))			286.801	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T01:19:10	POINT(38.4 192)	POLYGON((0 153.6,76.8 153.6,76.8 230.4,0 230.4,0 153.6))		POINT(2.3195324 7.4169023)	POLYGON((0 5.074976,4.622099 5.088766,4.672329 9.786096,0 9.771842,0 5.074976))			37.4641	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T01:42:58	POINT(115.2 192)	POLYGON((76.8 153.6,153.6 153.6,153.6 230.4,76.8 230.4,76.8 153.6))		POINT(6.9746239 7.4466634)	POLYGON((4.622131 5.090461,9.275727 5.132102,9.377857 9.830858,4.672374 9.787812,4.622131 5.090461))			22.3647	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T01:47:10	POINT(576 -268.8)	POLYGON((537.6 -307.2,614.4 -307.2,614.4 -153.6,537.6 -153.6,537.6 -307.2))		POINT(39.757616 -19.553214)	POLYGON((37.368278 -22.075059,43.822792 -21.782342,41.160296 -12.393441,35.191849 -12.655626,37.368278 -22.075059))			240.203	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T01:57:58	POINT(38.4 192)	POLYGON((0 153.6,76.8 153.6,76.8 230.4,0 230.4,0 153.6))		POINT(2.3195633 7.4196895)	POLYGON((0 5.077748,4.622151 5.09153,4.672402 9.788893,0 9.774649,0 5.077748))			38.9314	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T02:31:58	POINT(-960 192)	POLYGON((-998.4 153.6,-921.6 153.6,-921.6 307.2,-998.4 307.2,-998.4 153.6))		POINT(-88.90025 11.260021)	POLYGON((-89.094029 8.703401,-77.74919 8.411693,-88.337682 18.364184,-88.446173 17.035977,-89.094029 8.703401))			33.5996	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T02:43:10	POINT(192 268.8)	POLYGON((153.6 230.4,230.4 230.4,230.4 307.2,153.6 307.2,153.6 230.4))		POINT(11.852232 12.252919)	POLYGON((9.378083 9.83516,14.152059 9.90789,14.420719 14.710572,9.552736 14.634154,9.378083 9.83516))			19.0339	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T02:58:34	POINT(38.4 268.8)	POLYGON((0 230.4,230.4 230.4,230.4 307.2,0 307.2,0 230.4))		POINT(2.3532475 12.165843)	POLYGON((0 9.779034,14.152147 9.908972,14.420834 14.711668,0 14.575198,0 9.779034))			51.3491	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T03:05:10	POINT(652.8 -192)	POLYGON((614.4 -230.4,691.2 -230.4,691.2 -153.6,614.4 -153.6,614.4 -230.4))		POINT(44.895098 -14.552916)	POLYGON((42.256008 -17.045658,49.061201 -16.702928,47.713679 -12.063341,41.160231 -12.389439,42.256008 -17.045658))			36.2942	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T04:08:58	POINT(192 268.8)	POLYGON((153.6 230.4,230.4 230.4,230.4 307.2,153.6 307.2,153.6 230.4))		POINT(11.852697 12.259045)	POLYGON((9.378404 9.841293,14.152548 9.913924,14.421359 14.71668,9.553157 14.640365,9.378404 9.841293))			22.1165	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T04:09:58	POINT(-422.4 -268.8)	POLYGON((-537.6 -307.2,-307.2 -307.2,-307.2 -230.4,-537.6 -230.4,-537.6 -307.2))		POINT(-28.040743 -20.001113)	POLYGON((-37.367088 -22.067582,-20.366011 -22.634438,-19.719657 -17.850829,-36.091687 -17.315829,-37.367088 -22.067582))			194.569	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T04:29:10	POINT(38.4 192)	POLYGON((0 153.6,153.6 153.6,153.6 307.2,0 307.2,0 153.6))		POINT(2.3196838 7.4305585)	POLYGON((0 5.08856,9.27618 5.143838,9.553257 14.641828,0 14.581843,0 5.08856))			62.3414	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T05:03:10	POINT(38.4 192)	POLYGON((0 153.6,76.8 153.6,76.8 307.2,0 307.2,0 153.6))		POINT(2.3197109 7.4330043)	POLYGON((0 5.090993,4.622401 5.104734,4.758876 14.59924,0 14.584338,0 5.090993))			71.6956	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T05:13:58	POINT(115.2 192)	POLYGON((76.8 153.6,153.6 153.6,153.6 230.4,76.8 230.4,76.8 153.6))		POINT(6.9751312 7.4617381)	POLYGON((4.622415 5.105504,9.276301 5.147003,9.378648 9.845942,4.672766 9.803039,4.622415 5.105504))			42.1758	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T05:22:22	POINT(38.4 268.8)	POLYGON((0 76.8,153.6 76.8,153.6 307.2,0 307.2,0 76.8))		POINT(2.3534012 12.176314)	POLYGON((0 0.458116,9.23853 0.512297,9.553518 14.645681,0 14.585747,0 0.458116))			141.707	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T06:35:10	POINT(38.4 192)	POLYGON((0 153.6,153.6 153.6,153.6 307.2,0 307.2,0 153.6))		POINT(2.3197843 7.4396255)	POLYGON((0 5.097579,9.276522 5.152744,9.553877 14.650957,0 14.591091,0 5.097579))			82.2047	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T06:50:10	POINT(115.2 268.8)	POLYGON((76.8 153.6,153.6 153.6,153.6 307.2,76.8 307.2,76.8 153.6))		POINT(7.0774809 12.211782)	POLYGON((4.622545 5.11237,9.276563 5.153805,9.553951 14.652044,4.759138 14.60707,4.622545 5.11237))			122.322	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T07:04:22	POINT(-729.6 -345.6)	POLYGON((-768 -384,-691.2 -384,-691.2 -307.2,-768 -307.2,-768 -384))		POINT(-56.470184 -23.550515)	POLYGON((-63.214196 -25.646682,-53.780992 -26.203025,-51.011745 -21.399295,-59.459064 -20.91556,-63.214196 -25.646682))			46.5583	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T07:24:58	POINT(652.8 -192)	POLYGON((537.6 -307.2,691.2 -307.2,691.2 -153.6,537.6 -153.6,537.6 -307.2))		POINT(44.894549 -14.540463)	POLYGON((37.365459 -22.057355,51.011596 -21.398445,47.713823 -12.0514,35.191326 -12.636799,37.365459 -22.057355))			339.363	erg/cm/cm/s	null		null		null		null	
FL	2013-05-01T07:34:22	POINT(268.8 268.8)	POLYGON((0 230.4,307.2 230.4,307.2 307.2,0 307.2,0 230.4))		POINT(16.72077 12.363534)	POLYGON((0 9.799017,19.036658 10.032059,19.408925 14.840408,0 14.595439,0 9.799017))			48.8317	erg/cm/cm/s	null		null		null		null	
