event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2014-03-01T00:43:58	POINT(-499.2 345.6)	POLYGON((-537.6 307.2,-460.8 307.2,-460.8 384,-537.6 384,-537.6 307.2))		POINT(-32.07385 14.750295)	POLYGON((-34.506561 12.515256,-28.996173 12.134868,-29.719907 17.039592,-35.437686 17.448751,-34.506561 12.515256))			36.4987	erg/cm/cm/s	null		null		null		null	
FL	2014-03-01T00:54:46	POINT(-499.2 345.6)	POLYGON((-537.6 307.2,-460.8 307.2,-460.8 460.8,-537.6 460.8,-537.6 307.2))		POINT(-32.073911 14.750261)	POLYGON((-34.506628 12.51522,-28.996227 12.134825,-30.790783 22.157961,-36.821768 22.610101,-34.506628 12.51522))			194.385	erg/cm/cm/s	null		null		null		null	
FL	2014-03-01T01:52:22	POINT(-345.6 -115.2)	POLYGON((-384 -153.6,-307.2 -153.6,-307.2 -76.8,-384 -76.8,-384 -153.6))		POINT(-21.432675 -13.529711)	POLYGON((-24.208093 -15.684953,-19.169365 -15.911731,-18.788924 -11.366355,-23.725314 -11.145675,-24.208093 -15.684953))			31.3888	erg/cm/cm/s	null		null		null		null	
FL	2014-03-01T02:16:58	POINT(115.2 -268.8)	POLYGON((76.8 -307.2,153.6 -307.2,153.6 -230.4,76.8 -230.4,76.8 -307.2))		POINT(7.4015667 -23.197195)	POLYGON((5.021666 -25.596776,10.076243 -25.518379,9.723693 -20.814827,4.846481 -20.888898,5.021666 -25.596776))			44.0728	erg/cm/cm/s	null		null		null		null	
FL	2014-03-01T02:19:58	POINT(-499.2 345.6)	POLYGON((-537.6 307.2,-460.8 307.2,-460.8 460.8,-537.6 460.8,-537.6 307.2))		POINT(-32.074389 14.749997)	POLYGON((-34.507158 12.514938,-28.996649 12.134492,-30.791245 22.157822,-36.822368 22.610026,-34.507158 12.514938))			96.0068	erg/cm/cm/s	null		null		null		null	
FL	2014-03-01T02:49:58	POINT(-422.4 345.6)	POLYGON((-460.8 307.2,-384 307.2,-384 384,-460.8 384,-460.8 307.2))		POINT(-26.648233 14.398415)	POLYGON((-28.996797 12.134376,-23.793111 11.83068,-24.35249 16.714512,-29.720547 17.039232,-28.996797 12.134376))			35.2015	erg/cm/cm/s	null		null		null		null	
FL	2014-03-01T02:56:46	POINT(960 -115.2)	POLYGON((921.6 -153.6,998.4 -153.6,998.4 -76.8,921.6 -76.8,921.6 -153.6))		POINT(87.240164 -7.2329396)	POLYGON((75.494535 -10.998619,89.162861 -8.710372,89.714078 -4.397608,73.07696 -6.685552,75.494535 -10.998619))			97.317	erg/cm/cm/s	null		null		null		null	
FL	2014-03-01T03:05:58	POINT(-345.6 -115.2)	POLYGON((-384 -153.6,-307.2 -153.6,-307.2 -76.8,-384 -76.8,-384 -153.6))		POINT(-21.43302 -13.53037)	POLYGON((-24.208502 -15.685627,-19.169685 -15.912431,-18.789212 -11.366998,-23.725684 -11.146293,-24.208502 -15.685627))			36.8729	erg/cm/cm/s	null		null		null		null	
FL	2014-03-01T03:07:22	POINT(960 -192)	POLYGON((921.6 -230.4,998.4 -230.4,998.4 -153.6,921.6 -153.6,921.6 -230.4))		POINT(88.835854 -11.253799)	POLYGON((79.976476 -15.119532,88.616257 -12.924714,89.165764 -8.710738,75.494935 -10.998612,79.976476 -15.119532))			121.428	erg/cm/cm/s	null		null		null		null	
FL	2014-03-01T03:32:34	POINT(-422.4 345.6)	POLYGON((-460.8 307.2,-384 307.2,-384 384,-460.8 384,-460.8 307.2))		POINT(-26.648422 14.398263)	POLYGON((-28.997009 12.134213,-23.793277 11.830497,-24.35266 16.714373,-29.720764 17.039114,-28.997009 12.134213))			42.6998	erg/cm/cm/s	null		null		null		null	
