event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2013-12-01T00:34:10	POINT(-806.4 345.6)	POLYGON((-844.8 307.2,-768 307.2,-768 384,-844.8 384,-844.8 307.2))		POINT(-62.470918 21.165711)	POLYGON((-66.199864 18.723847,-56.285111 18.843926,-59.266227 23.637585,-70.950498 23.495197,-66.199864 18.723847))			20.113	erg/cm/cm/s	null		null		null		null	
FL	2013-12-01T00:45:10	POINT(-960 -345.6)	POLYGON((-998.4 -384,-921.6 -384,-921.6 -307.2,-998.4 -307.2,-998.4 -384))		POINT(-89.382844 -19.79147)	POLYGON((-89.35879 -21.029876,-89.327261 -22.61195,-85.859485 -18.334842,-89.433483 -17.095788,-89.35879 -21.029876))			30.6154	erg/cm/cm/s	null		null		null		null	
FL	2013-12-01T03:44:58	POINT(-38.4 -422.4)	POLYGON((-76.8 -460.8,0 -460.8,0 -384,-76.8 -384,-76.8 -460.8))		POINT(-2.4796185 -24.745633)	POLYGON((-5.07285 -27.275408,-3e-06 -27.27149,-2e-06 -22.270991,-4.871033 -22.274518,-5.07285 -27.275408))			20.8376	erg/cm/cm/s	null		null		null		null	
FL	2013-12-01T04:01:46	POINT(-38.4 -422.4)	POLYGON((-76.8 -460.8,0 -460.8,0 -384,-76.8 -384,-76.8 -460.8))		POINT(-2.4796424 -24.747062)	POLYGON((-5.072905 -27.276826,-3e-06 -27.272914,-2e-06 -22.272427,-4.871074 -22.275949,-5.072905 -27.276826))			25.1609	erg/cm/cm/s	null		null		null		null	
FL	2013-12-01T05:52:10	POINT(-499.2 -268.8)	POLYGON((-537.6 -307.2,-460.8 -307.2,-460.8 -230.4,-537.6 -230.4,-537.6 -307.2))		POINT(-31.980966 -15.24905)	POLYGON((-35.27854 -17.637137,-29.655913 -17.587583,-28.934091 -12.894,-34.379465 -12.939799,-35.27854 -17.637137))			47.9569	erg/cm/cm/s	null		null		null		null	
FL	2013-12-01T06:50:22	POINT(652.8 38.4)	POLYGON((614.4 0,691.2 0,691.2 76.8,614.4 76.8,614.4 0))		POINT(42.012109 2.8824378)	POLYGON((38.980716 0.657956,45.06607 0.597809,45.293472 5.106939,39.167889 5.166145,38.980716 0.657956))			27.5881	erg/cm/cm/s	null		null		null		null	
FL	2013-12-01T09:55:34	POINT(729.6 -38.4)	POLYGON((691.2 -76.8,768 -76.8,768 0,691.2 0,691.2 -76.8))		POINT(48.389598 -1.7031643)	POLYGON((45.198218 -3.926498,52.073216 -4.003182,51.895347 0.512232,45.064761 0.586276,45.198218 -3.926498))			29.3021	erg/cm/cm/s	null		null		null		null	
FL	2013-12-01T11:19:22	POINT(-883.2 -422.4)	POLYGON((-921.6 -460.8,-844.8 -460.8,-844.8 -384,-921.6 -384,-921.6 -460.8))		POINT(-89.289762 -25.552144)	POLYGON((-89.269152 -26.557039,-79.501634 -28.091539,-70.247874 -22.927941,-89.34761 -22.612547,-89.269152 -26.557039))			58.2596	erg/cm/cm/s	null		null		null		null	
FL	2013-12-01T12:20:22	POINT(-422.4 -345.6)	POLYGON((-460.8 -384,-384 -384,-384 -307.2,-460.8 -307.2,-460.8 -384))		POINT(-27.389851 -19.989918)	POLYGON((-30.689326 -22.445284,-25.157339 -22.403278,-24.343564 -17.57835,-29.659727 -17.616528,-30.689326 -22.445284))			82.882	erg/cm/cm/s	null		null		null		null	
FL	2013-12-01T13:17:10	POINT(-422.4 -268.8)	POLYGON((-460.8 -307.2,-384 -307.2,-384 -230.4,-460.8 -230.4,-460.8 -307.2))		POINT(-26.616745 -15.240739)	POLYGON((-29.660287 -17.620765,-24.344038 -17.582798,-23.770365 -12.892503,-28.936785 -12.927678,-29.660287 -17.620765))			33.7909	erg/cm/cm/s	null		null		null		null	
FL	2013-12-01T15:37:58	POINT(-422.4 -268.8)	POLYGON((-460.8 -307.2,-384 -307.2,-384 -230.4,-460.8 -230.4,-460.8 -307.2))		POINT(-26.617779 -15.251597)	POLYGON((-29.661676 -17.63127,-24.345214 -17.593829,-23.771096 -12.903664,-28.937643 -12.93834,-29.661676 -17.63127))			33.8205	erg/cm/cm/s	null		null		null		null	
FL	2013-12-01T18:07:22	POINT(-345.6 -345.6)	POLYGON((-384 -384,-307.2 -384,-307.2 -307.2,-384 -307.2,-384 -384))		POINT(-22.104669 -19.982016)	POLYGON((-25.161491 -22.430068,-19.877245 -22.398335,-19.250588 -17.576615,-24.346464 -17.605536,-25.161491 -22.430068))			48.317	erg/cm/cm/s	null		null		null		null	
FL	2013-12-01T20:29:22	POINT(38.4 -499.2)	POLYGON((0 -537.6,76.8 -537.6,76.8 -460.8,0 -460.8,0 -537.6))		POINT(2.5991955 -29.946053)	POLYGON((-3e-06 -32.605958,5.354003 -32.610027,5.076175 -27.36032,-3e-06 -27.356751,-3e-06 -32.605958))			9.86478	erg/cm/cm/s	null		null		null		null	
