event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2012-03-01T11:41:35	POINT(-115.2 268.8)	POLYGON((-153.6 230.4,-76.8 230.4,-76.8 384,-153.6 384,-153.6 230.4))		POINT(-6.8840266 8.8685297)	POLYGON((-9.145514 6.568144,-4.557313 6.497109,-4.713335 16.054615,-9.463178 16.132901,-9.145514 6.568144))			60.8642	erg/cm/cm/s	null		null		null		null	
FL	2012-03-01T14:02:59	POINT(-115.2 345.6)	POLYGON((-153.6 307.2,-76.8 307.2,-76.8 384,-153.6 384,-153.6 307.2))		POINT(-7.000821 13.642636)	POLYGON((-9.26678 11.28162,-4.616809 11.207648,-4.713437 16.0542,-9.463385 16.1325,-9.26678 11.28162))			43.0246	erg/cm/cm/s	null		null		null		null	
FL	2012-03-01T15:10:35	POINT(268.8 422.4)	POLYGON((153.6 384,307.2 384,307.2 614.4,153.6 614.4,153.6 384))		POINT(16.986055 18.853259)	POLYGON((9.463484 16.132317,19.235176 16.455379,22.036656 32.572742,10.756058 32.124763,9.463484 16.132317))			276.587	erg/cm/cm/s	null		null		null		null	
FL	2012-03-01T16:31:59	POINT(-38.4 345.6)	POLYGON((-76.8 307.2,0 307.2,0 384,-76.8 384,-76.8 307.2))		POINT(-2.327929 13.591765)	POLYGON((-4.616916 11.207096,0 11.182615,0 16.027885,-4.713545 16.053786,-4.616916 11.207096))			56.7758	erg/cm/cm/s	null		null		null		null	
FL	2012-03-01T17:02:23	POINT(-38.4 345.6)	POLYGON((-76.8 307.2,0 307.2,0 384,-76.8 384,-76.8 307.2))		POINT(-2.3279399 13.591669)	POLYGON((-4.616938 11.206986,0 11.182504,0 16.027802,-4.713567 16.053705,-4.616938 11.206986))			74.7851	erg/cm/cm/s	null		null		null		null	
FL	2012-03-01T17:40:23	POINT(-38.4 422.4)	POLYGON((-76.8 384,0 384,0 460.8,-76.8 460.8,-76.8 384))		POINT(-2.3868023 18.523089)	POLYGON((-4.713595 16.053604,0 16.027701,0 21.059133,-4.856103 21.087076,-4.713595 16.053604))			14.9719	erg/cm/cm/s	null		null		null		null	
FL	2012-03-01T22:58:59	POINT(38.4 345.6)	POLYGON((0 307.2,76.8 307.2,76.8 384,0 384,0 307.2))		POINT(2.328069 13.590611)	POLYGON((0 11.181281,4.617196 11.205774,4.713829 16.052826,0 16.026913,0 11.181281))			33.9924	erg/cm/cm/s	null		null		null		null	
FL	2012-03-02T12:05:23	POINT(-960 268.8)	POLYGON((-998.4 230.4,-921.6 230.4,-921.6 307.2,-998.4 307.2,-998.4 230.4))		POINT(-87.698665 15.478476)	POLYGON((-88.056743 12.853744,-76.640128 12.180388,-87.31029 18.246307,-87.497067 16.926037,-88.056743 12.853744))			34.5123	erg/cm/cm/s	null		null		null		null	
FL	2012-03-02T12:26:47	POINT(-960 268.8)	POLYGON((-998.4 230.4,-921.6 230.4,-921.6 307.2,-998.4 307.2,-998.4 230.4))		POINT(-87.703586 15.479107)	POLYGON((-88.061613 12.854367,-76.641161 12.180544,-87.315276 18.246948,-87.50202 16.926673,-88.061613 12.854367))			33.6914	erg/cm/cm/s	null		null		null		null	
FL	2012-03-02T16:27:23	POINT(-960 268.8)	POLYGON((-998.4 230.4,-921.6 230.4,-921.6 384,-998.4 384,-998.4 230.4))		POINT(-87.693516 15.477809)	POLYGON((-88.051717 12.853094,-76.652807 12.182312,-86.697122 22.391493,-86.931028 20.824154,-88.051717 12.853094))			40.7476	erg/cm/cm/s	null		null		null		null	
FL	2012-03-02T17:30:59	POINT(-960 345.6)	POLYGON((-998.4 76.8,-844.8 76.8,-844.8 384,-998.4 384,-998.4 76.8))		POINT(-87.116928 19.597877)	POLYGON((-89.173971 4.329118,-60.549516 0.994529,-68.867016 20.886562,-86.93742 20.824974,-89.173971 4.329118))			728.257	erg/cm/cm/s	null		null		null		null	
FL	2012-03-02T19:47:35	POINT(192 345.6)	POLYGON((153.6 307.2,230.4 307.2,230.4 384,153.6 384,153.6 307.2))		POINT(11.729897 13.740653)	POLYGON((9.269437 11.276763,13.989342 11.402167,14.293132 16.262236,9.466109 16.129331,9.269437 11.276763))			40.6499	erg/cm/cm/s	null		null		null		null	
FL	2012-03-02T23:03:23	POINT(192 345.6)	POLYGON((153.6 307.2,230.4 307.2,230.4 384,153.6 384,153.6 307.2))		POINT(11.730283 13.740435)	POLYGON((9.269738 11.276442,13.989803 11.401871,14.293611 16.262129,9.466421 16.129197,9.269738 11.276442))			31.8384	erg/cm/cm/s	null		null		null		null	
FL	2012-03-02T23:21:11	POINT(-883.2 268.8)	POLYGON((-921.6 230.4,-844.8 230.4,-844.8 384,-921.6 384,-921.6 230.4))		POINT(-69.66531 13.686891)	POLYGON((-76.672959 12.185402,-62.328505 10.452643,-68.878213 20.888852,-86.697887 22.391582,-76.672959 12.185402))			27.2883	erg/cm/cm/s	null		null		null		null	
FL	2012-03-02T23:37:47	POINT(-883.2 345.6)	POLYGON((-921.6 307.2,-844.8 307.2,-844.8 384,-921.6 384,-921.6 307.2))		POINT(-74.766353 19.147532)	POLYGON((-87.309798 18.246229,-64.684816 15.484904,-68.878746 20.888962,-86.70189 22.392099,-87.309798 18.246229))			28.7936	erg/cm/cm/s	null		null		null		null	
FL	2012-03-02T23:52:11	POINT(-806.4 -268.8)	POLYGON((-844.8 -307.2,-768 -307.2,-768 -230.4,-844.8 -230.4,-844.8 -307.2))		POINT(-61.922108 -19.608519)	POLYGON((-69.124636 -21.194224,-58.822468 -22.329674,-56.229105 -17.848166,-65.504557 -16.848427,-69.124636 -21.194224))			13.0043	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T00:00:35	POINT(-883.2 345.6)	POLYGON((-921.6 230.4,-844.8 230.4,-844.8 384,-921.6 384,-921.6 230.4))		POINT(-74.767437 19.14773)	POLYGON((-76.674886 12.185699,-62.329278 10.452741,-68.879478 20.889114,-86.694901 22.391194,-76.674886 12.185699))			33.0325	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T00:48:47	POINT(422.4 345.6)	POLYGON((384 307.2,460.8 307.2,460.8 384,384 384,384 307.2))		POINT(26.662485 14.390214)	POLYGON((23.805599 11.820297,29.012629 12.125337,29.736957 17.033457,24.365315 16.707281,23.805599 11.820297))			14.0188	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T00:59:35	POINT(-883.2 345.6)	POLYGON((-921.6 307.2,-844.8 307.2,-844.8 384,-921.6 384,-921.6 307.2))		POINT(-74.770245 19.148242)	POLYGON((-87.314031 18.246771,-64.686714 15.48524,-68.881376 20.889506,-86.706207 22.392654,-87.314031 18.246771))			45.4807	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T01:52:47	POINT(-806.4 -268.8)	POLYGON((-844.8 -307.2,-768 -307.2,-768 -230.4,-844.8 -230.4,-844.8 -307.2))		POINT(-61.924571 -19.608883)	POLYGON((-69.127991 -21.194461,-58.824747 -22.33015,-56.231077 -17.848588,-65.507315 -16.848661,-69.127991 -21.194461))			20.8371	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T02:06:11	POINT(-883.2 345.6)	POLYGON((-921.6 307.2,-844.8 307.2,-844.8 384,-921.6 384,-921.6 307.2))		POINT(-74.77342 19.148821)	POLYGON((-87.313931 18.246757,-64.688263 15.485516,-68.88352 20.889952,-86.706081 22.392636,-87.313931 18.246757))			34.3442	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T03:01:35	POINT(268.8 345.6)	POLYGON((230.4 307.2,307.2 307.2,307.2 384,230.4 384,230.4 307.2))		POINT(16.550304 13.896563)	POLYGON((13.990367 11.401567,18.819477 11.581349,19.242204 16.452962,14.294199 16.262055,13.990367 11.401567))			86.4833	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T03:06:11	POINT(-883.2 345.6)	POLYGON((-921.6 307.2,-844.8 307.2,-844.8 384,-921.6 384,-921.6 307.2))		POINT(-74.776283 19.149344)	POLYGON((-87.302752 18.245317,-64.68966 15.485766,-68.885456 20.890355,-86.694584 22.39115,-87.302752 18.245317))			66.739	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T04:00:59	POINT(-806.4 -192)	POLYGON((-844.8 -230.4,-768 -230.4,-768 -153.6,-844.8 -153.6,-844.8 -230.4))		POINT(-59.436006 -15.177069)	POLYGON((-65.510245 -16.848903,-56.23317 -17.849028,-54.41673 -13.381187,-63.10332 -12.457981,-65.510245 -16.848903))			60.9597	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T04:14:23	POINT(-883.2 345.6)	POLYGON((-921.6 307.2,-844.8 307.2,-844.8 384,-921.6 384,-921.6 307.2))		POINT(-74.779543 19.149941)	POLYGON((-87.313742 18.246729,-64.691251 15.486054,-68.887659 20.890815,-86.705844 22.392602,-87.313742 18.246729))			61.105	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T04:32:35	POINT(-883.2 345.6)	POLYGON((-921.6 307.2,-844.8 307.2,-844.8 384,-921.6 384,-921.6 307.2))		POINT(-74.780414 19.150101)	POLYGON((-87.313716 18.246726,-64.691675 15.486131,-68.888247 20.890938,-86.705811 22.392598,-87.313716 18.246726))			68.1504	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T05:15:47	POINT(-883.2 345.6)	POLYGON((-921.6 230.4,-844.8 230.4,-844.8 384,-921.6 384,-921.6 230.4))		POINT(-74.782481 19.15048)	POLYGON((-76.690351 12.188099,-62.33548 10.453557,-68.889645 20.891231,-86.705733 22.392587,-76.690351 12.188099))			80.7977	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T06:08:59	POINT(-960 345.6)	POLYGON((-998.4 307.2,-921.6 307.2,-921.6 384,-998.4 384,-998.4 307.2))		POINT(-87.119132 19.598146)	POLYGON((-87.500456 16.926449,-87.313578 18.246706,-86.705638 22.392574,-86.939563 20.825236,-87.500456 16.926449))			178.557	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T09:01:59	POINT(-883.2 345.6)	POLYGON((-921.6 307.2,-844.8 307.2,-844.8 384,-921.6 384,-921.6 307.2))		POINT(-74.793341 19.152479)	POLYGON((-87.305332 18.245642,-64.697984 15.487291,-68.896989 20.89278,-86.697118 22.391471,-87.305332 18.245642))			60.8256	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T10:12:35	POINT(-883.2 345.6)	POLYGON((-921.6 307.2,-844.8 307.2,-844.8 384,-921.6 384,-921.6 307.2))		POINT(-74.796741 19.153108)	POLYGON((-87.313245 18.246657,-64.699643 15.487602,-68.899289 20.893269,-86.70522 22.392514,-87.313245 18.246657))			48.0594	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T10:47:23	POINT(-883.2 345.6)	POLYGON((-921.6 307.2,-844.8 307.2,-844.8 384,-921.6 384,-921.6 307.2))		POINT(-74.798419 19.153418)	POLYGON((-87.3132 18.246652,-64.700462 15.487756,-68.900424 20.893511,-86.705162 22.392508,-87.3132 18.246652))			45.0688	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T11:01:11	POINT(-883.2 345.6)	POLYGON((-921.6 307.2,-844.8 307.2,-844.8 384,-921.6 384,-921.6 307.2))		POINT(-74.799085 19.153541)	POLYGON((-87.313181 18.246649,-64.700787 15.487817,-68.900875 20.893607,-86.705139 22.392504,-87.313181 18.246649))			46.4259	erg/cm/cm/s	null		null		null		null	
FL	2012-03-03T11:31:11	POINT(-883.2 345.6)	POLYGON((-921.6 307.2,-844.8 307.2,-844.8 384,-921.6 384,-921.6 307.2))		POINT(-74.800533 19.153809)	POLYGON((-87.313142 18.246643,-64.701494 15.48795,-68.901854 20.893816,-86.70509 22.392496,-87.313142 18.246643))			37.8968	erg/cm/cm/s	null		null		null		null	
