event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2013-10-27T13:47:10	POINT(-652.8 -268.8)	POLYGON((-691.2 -307.2,-614.4 -307.2,-614.4 -153.6,-691.2 -153.6,-691.2 -307.2))		POINT(-43.67731 -12.652596)	POLYGON((-47.718445 -15.28851,-41.005412 -14.879891,-39.555126 -5.419384,-45.817122 -5.781961,-47.718445 -15.28851))			59.0107	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T13:54:34	POINT(-652.8 -192)	POLYGON((-691.2 -230.4,-614.4 -230.4,-614.4 -153.6,-691.2 -153.6,-691.2 -230.4))		POINT(-42.86115 -7.9178861)	POLYGON((-46.521522 -10.471237,-40.090582 -10.090956,-39.55509 -5.419742,-45.817075 -5.782282,-46.521522 -10.471237))			90.3273	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T14:17:58	POINT(-652.8 -192)	POLYGON((-691.2 -230.4,-614.4 -230.4,-614.4 -153.6,-691.2 -153.6,-691.2 -230.4))		POINT(-42.861058 -7.9189476)	POLYGON((-46.521453 -10.472216,-40.09054 -10.092057,-39.554975 -5.420875,-45.816928 -5.783296,-46.521453 -10.472216))			69.5496	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T14:26:10	POINT(806.4 -38.4)	POLYGON((768 -76.8,844.8 -76.8,844.8 0,768 0,768 -76.8))		POINT(56.398492 0.38705268)	POLYGON((52.4999 -1.626824,60.867067 -2.218061,60.872986 2.344899,52.565552 2.927413,52.4999 -1.626824))			27.0574	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T14:52:34	POINT(576 -192)	POLYGON((537.6 -230.4,614.4 -230.4,614.4 -153.6,537.6 -153.6,537.6 -230.4))		POINT(36.836406 -7.5894723)	POLYGON((34.250316 -9.789492,40.090478 -10.093687,39.554806 -5.42255,33.83442 -5.130815,34.250316 -9.789492))			29.9506	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T15:17:10	POINT(883.2 38.4)	POLYGON((844.8 0,921.6 0,921.6 76.8,844.8 76.8,844.8 0))		POINT(66.249552 4.2205147)	POLYGON((60.871905 2.34334,72.417673 1.454728,73.372064 5.947994,61.536366 6.857961,60.871905 2.34334))			58.6205	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T15:22:34	POINT(-652.8 -268.8)	POLYGON((-691.2 -307.2,-537.6 -307.2,-537.6 -153.6,-691.2 -153.6,-691.2 -307.2))		POINT(-43.677246 -12.656772)	POLYGON((-47.718481 -15.292307,-34.966061 -14.560594,-33.834303 -5.13239,-45.81652 -5.786098,-47.718481 -15.292307))			89.0576	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T15:30:58	POINT(652.8 -268.8)	POLYGON((537.6 -307.2,691.2 -307.2,691.2 -153.6,537.6 -153.6,537.6 -307.2))		POINT(43.67724 -12.65714)	POLYGON((34.966075 -14.561013,47.718485 -15.292641,45.816467 -5.786463,33.834271 -5.132831,34.966075 -14.561013))			72.9789	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T15:35:22	POINT(806.4 38.4)	POLYGON((768 0,844.8 0,844.8 76.8,768 76.8,768 0))		POINT(56.715575 4.9194881)	POLYGON((52.564419 2.924715,60.87152 2.342784,61.535888 6.857402,53.108001 7.447102,52.564419 2.924715))			41.1392	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T16:02:10	POINT(960 192)	POLYGON((921.6 153.6,998.4 153.6,998.4 230.4,921.6 230.4,921.6 153.6))		POINT(89.331105 11.293884)	POLYGON((75.690042 10.360939,89.55019 8.73925,89.185377 12.972502,80.250298 14.653811,75.690042 10.360939))			140.518	erg/cm/cm/s	null		null		null		null	
