event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2012-06-01T01:36:59	POINT(-960 192)	POLYGON((-998.4 153.6,-768 153.6,-768 307.2,-998.4 307.2,-998.4 153.6))		POINT(-89.598634 11.306029)	POLYGON((-89.629671 8.74248,-55.025859 8.958109,-58.669694 18.573249,-89.524129 17.098272,-89.629671 8.74248))			54.8479	erg/cm/cm/s	null		null		null		null	
FL	2012-06-01T02:10:35	POINT(-806.4 192)	POLYGON((-844.8 153.6,-768 153.6,-768 230.4,-844.8 230.4,-844.8 153.6))		POINT(-60.136583 11.36946)	POLYGON((-64.445708 9.05419,-55.026512 8.959755,-56.436989 13.711712,-66.586922 13.818614,-64.445708 9.05419))			27.106	erg/cm/cm/s	null		null		null		null	
FL	2012-06-01T03:16:11	POINT(-652.8 -345.6)	POLYGON((-691.2 -384,-460.8 -384,-460.8 -307.2,-691.2 -307.2,-691.2 -384))		POINT(-47.784951 -21.769545)	POLYGON((-53.034916 -24.246353,-32.184322 -24.371033,-30.950248 -19.398077,-50.500239 -19.280571,-53.034916 -24.246353))			37.4057	erg/cm/cm/s	null		null		null		null	
FL	2012-06-01T04:22:35	POINT(-268.8 -192)	POLYGON((-307.2 -230.4,-230.4 -230.4,-230.4 -153.6,-307.2 -153.6,-307.2 -230.4))		POINT(-16.821506 -12.239831)	POLYGON((-19.514509 -14.606828,-14.508376 -14.620784,-14.243762 -9.892082,-19.152675 -9.878102,-19.514509 -14.606828))			52.727	erg/cm/cm/s	null		null		null		null	
FL	2012-06-01T04:48:59	POINT(-806.4 268.8)	POLYGON((-844.8 230.4,-768 230.4,-768 307.2,-844.8 307.2,-844.8 230.4))		POINT(-62.309252 16.184313)	POLYGON((-66.592217 13.824136,-56.441177 13.719284,-58.676385 18.582006,-70.23988 18.708496,-66.592217 13.824136))			52.1201	erg/cm/cm/s	null		null		null		null	
FL	2012-06-01T05:21:59	POINT(-960 192)	POLYGON((-998.4 153.6,-768 153.6,-768 307.2,-998.4 307.2,-998.4 153.6))		POINT(-89.594649 11.30607)	POLYGON((-89.624878 8.742514,-55.030233 8.969132,-58.677535 18.583511,-89.52197 17.098332,-89.624878 8.742514))			149.589	erg/cm/cm/s	null		null		null		null	
FL	2012-06-01T07:37:35	POINT(-806.4 268.8)	POLYGON((-844.8 230.4,-768 230.4,-768 307.2,-844.8 307.2,-844.8 230.4))		POINT(-62.314937 16.19118)	POLYGON((-66.597849 13.830011,-56.445634 13.727343,-58.682259 18.589694,-70.247495 18.713636,-66.597849 13.830011))			64.0705	erg/cm/cm/s	null		null		null		null	
FL	2012-06-01T07:44:23	POINT(-652.8 -345.6)	POLYGON((-691.2 -384,-614.4 -384,-614.4 -307.2,-691.2 -307.2,-691.2 -384))		POINT(-47.780312 -21.755065)	POLYGON((-53.029336 -24.233534,-45.246757 -24.283489,-43.296523 -19.313416,-50.496311 -19.266817,-53.029336 -24.233534))			46.496	erg/cm/cm/s	null		null		null		null	
FL	2012-06-01T07:49:59	POINT(-806.4 192)	POLYGON((-921.6 153.6,-768 153.6,-768 230.4,-921.6 230.4,-921.6 153.6))		POINT(-60.145166 11.384043)	POLYGON((-80.370075 9.234979,-55.033109 8.976383,-56.445962 13.727936,-89.580527 14.032428,-80.370075 9.234979))			51.0933	erg/cm/cm/s	null		null		null		null	
FL	2012-06-01T08:03:11	POINT(-806.4 192)	POLYGON((-844.8 153.6,-768 153.6,-768 230.4,-844.8 230.4,-844.8 153.6))		POINT(-60.1455 11.38461)	POLYGON((-64.454417 9.067296,-55.033366 8.977029,-56.446311 13.728567,-66.598703 13.830903,-64.454417 9.067296))			25.4648	erg/cm/cm/s	null		null		null		null	
FL	2012-06-01T08:39:47	POINT(-806.4 268.8)	POLYGON((-921.6 153.6,-768 153.6,-768 307.2,-921.6 307.2,-921.6 153.6))		POINT(-62.317033 16.193713)	POLYGON((-80.37256 9.235743,-55.034077 8.978822,-58.684425 18.59253,-89.526284 18.430783,-80.37256 9.235743))			49.3506	erg/cm/cm/s	null		null		null		null	
FL	2012-06-01T09:11:35	POINT(883.2 192)	POLYGON((844.8 153.6,921.6 153.6,921.6 230.4,844.8 230.4,844.8 153.6))		POINT(72.012895 11.508727)	POLYGON((64.456105 9.069838,80.374146 9.236231,89.570672 14.032347,66.600987 13.833286,64.456105 9.069838))			40.3191	erg/cm/cm/s	null		null		null		null	
