event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2013-08-01T02:38:22	POINT(-883.2 115.2)	POLYGON((-921.6 76.8,-844.8 76.8,-844.8 230.4,-921.6 230.4,-921.6 76.8))		POINT(-70.752852 8.9338344)	POLYGON((-78.207358 5.864593,-63.998573 7.214091,-68.314536 16.287942,-88.83119 13.990923,-78.207358 5.864593))			48.2925	erg/cm/cm/s	null		null		null		null	
FL	2013-08-01T04:31:34	POINT(-883.2 192)	POLYGON((-921.6 153.6,-844.8 153.6,-844.8 230.4,-921.6 230.4,-921.6 153.6))		POINT(-73.525703 13.404736)	POLYGON((-81.774833 10.221722,-65.630524 11.769218,-68.31474 16.29005,-88.83109 13.990938,-81.774833 10.221722))			57.2749	erg/cm/cm/s	null		null		null		null	
FL	2013-08-01T06:11:58	POINT(-883.2 192)	POLYGON((-921.6 153.6,-844.8 153.6,-844.8 230.4,-921.6 230.4,-921.6 153.6))		POINT(-73.52529 13.406227)	POLYGON((-81.772673 10.222675,-65.630446 11.771328,-68.314915 16.291916,-88.821793 13.990028,-81.772673 10.222675))			39.074	erg/cm/cm/s	null		null		null		null	
FL	2013-08-01T12:01:22	POINT(-806.4 115.2)	POLYGON((-844.8 76.8,-768 76.8,-768 153.6,-844.8 153.6,-844.8 76.8))		POINT(-59.749 9.9472989)	POLYGON((-63.996399 7.22681,-54.891028 8.016572,-56.11446 12.60963,-65.630139 11.778646,-63.996399 7.22681))			28.3844	erg/cm/cm/s	null		null		null		null	
FL	2013-08-01T12:44:22	POINT(-806.4 192)	POLYGON((-844.8 153.6,-768 153.6,-768 230.4,-844.8 230.4,-844.8 153.6))		POINT(-61.523713 14.519282)	POLYGON((-65.630098 11.779544,-56.114552 12.610825,-58.019044 17.2117,-68.315549 16.299183,-65.630098 11.779544))			33.5868	erg/cm/cm/s	null		null		null		null	
FL	2013-08-01T12:49:22	POINT(38.4 -345.6)	POLYGON((0 -384,76.8 -384,76.8 -307.2,0 -307.2,0 -384))		POINT(2.40538 -15.526874)	POLYGON((-2e-06 -18.033229,4.880169 -18.055549,4.762348 -13.073613,-2e-06 -13.052649,-2e-06 -18.033229))			22.9885	erg/cm/cm/s	null		null		null		null	
FL	2013-08-01T14:08:34	POINT(-38.4 -345.6)	POLYGON((-76.8 -384,76.8 -384,76.8 -307.2,-76.8 -307.2,-76.8 -384))		POINT(-2.4053161 -15.522759)	POLYGON((-4.880022 -18.051425,4.880022 -18.051425,4.762238 -13.069527,-4.762238 -13.069527,-4.880022 -18.051425))			60.7154	erg/cm/cm/s	null		null		null		null	
FL	2013-08-01T14:38:34	POINT(38.4 -345.6)	POLYGON((0 -384,76.8 -384,76.8 -307.2,0 -307.2,0 -384))		POINT(2.4052919 -15.521202)	POLYGON((-2e-06 -18.027524,4.879967 -18.049864,4.762196 -13.06798,-2e-06 -13.046997,-2e-06 -18.027524))			34.556	erg/cm/cm/s	null		null		null		null	
FL	2013-08-01T15:01:10	POINT(38.4 -345.6)	POLYGON((0 -384,76.8 -384,76.8 -307.2,0 -307.2,0 -384))		POINT(2.4052737 -15.520029)	POLYGON((-2e-06 -18.026345,4.879925 -18.048688,4.762165 -13.066815,-2e-06 -13.045829,-2e-06 -18.026345))			35.3633	erg/cm/cm/s	null		null		null		null	
FL	2013-08-01T15:34:58	POINT(38.4 -345.6)	POLYGON((0 -384,76.8 -384,76.8 -307.2,0 -307.2,0 -384))		POINT(2.4052464 -15.518275)	POLYGON((-2e-06 -18.024581,4.879862 -18.046931,4.762117 -13.065074,-2e-06 -13.044081,-2e-06 -18.024581))			36.5056	erg/cm/cm/s	null		null		null		null	
FL	2013-08-01T17:06:22	POINT(38.4 -345.6)	POLYGON((0 -384,76.8 -384,76.8 -307.2,0 -307.2,0 -384))		POINT(2.4051728 -15.513537)	POLYGON((-2e-06 -18.019817,4.879692 -18.042183,4.76199 -13.060369,-2e-06 -13.039361,-2e-06 -18.019817))			53.4757	erg/cm/cm/s	null		null		null		null	
FL	2013-08-01T18:33:22	POINT(38.4 -345.6)	POLYGON((0 -384,76.8 -384,76.8 -307.2,0 -307.2,0 -384))		POINT(2.4051027 -15.509033)	POLYGON((-2e-06 -18.015288,4.879531 -18.037669,4.761869 -13.055896,-2e-06 -13.034874,-2e-06 -18.015288))			69.4982	erg/cm/cm/s	null		null		null		null	
FL	2013-08-01T19:40:22	POINT(38.4 -345.6)	POLYGON((0 -384,76.8 -384,76.8 -307.2,0 -307.2,0 -384))		POINT(2.4050488 -15.505568)	POLYGON((-2e-06 -18.011803,4.879407 -18.034196,4.761775 -13.052455,-2e-06 -13.031421,-2e-06 -18.011803))			50.8723	erg/cm/cm/s	null		null		null		null	
