event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2013-04-01T01:21:10	POINT(-806.4 -345.6)	POLYGON((-844.8 -384,-768 -384,-768 -307.2,-844.8 -307.2,-844.8 -384))		POINT(-66.345999 -23.803328)	POLYGON((-76.265276 -25.250994,-63.190491 -26.605087,-59.394744 -22.042434,-70.129882 -20.966046,-76.265276 -25.250994))			51.2801	erg/cm/cm/s	null		null		null		null	
FL	2013-04-01T01:29:58	POINT(-806.4 -192)	POLYGON((-844.8 -230.4,-768 -230.4,-768 -153.6,-844.8 -153.6,-844.8 -230.4))		POINT(-60.063031 -14.835626)	POLYGON((-66.344473 -16.564277,-56.757326 -17.504238,-54.93062 -12.986377,-63.874108 -12.121863,-66.344473 -16.564277))			27.028	erg/cm/cm/s	null		null		null		null	
FL	2013-04-01T01:37:34	POINT(-499.2 268.8)	POLYGON((-537.6 230.4,-460.8 230.4,-460.8 307.2,-537.6 307.2,-537.6 230.4))		POINT(-31.798215 10.657188)	POLYGON((-34.321224 8.450431,-28.865741 8.114944,-29.365285 12.907654,-34.964407 13.261721,-34.321224 8.450431))			29.2848	erg/cm/cm/s	null		null		null		null	
FL	2013-04-01T01:40:22	POINT(-806.4 -192)	POLYGON((-844.8 -230.4,-768 -230.4,-768 -153.6,-844.8 -153.6,-844.8 -230.4))		POINT(-60.063155 -14.835435)	POLYGON((-66.344647 -16.564121,-56.757415 -17.504036,-54.930721 -12.986156,-63.87428 -12.121686,-66.344647 -16.564121))			25.0109	erg/cm/cm/s	null		null		null		null	
FL	2013-04-01T03:11:22	POINT(-806.4 -345.6)	POLYGON((-844.8 -384,-768 -384,-768 -307.2,-844.8 -307.2,-844.8 -384))		POINT(-66.347474 -23.801847)	POLYGON((-76.268708 -25.249999,-63.19149 -26.603504,-59.395639 -22.04054,-70.132049 -20.964692,-76.268708 -25.249999))			46.4197	erg/cm/cm/s	null		null		null		null	
FL	2013-04-01T05:30:10	POINT(-806.4 -192)	POLYGON((-844.8 -230.4,-768 -230.4,-768 -153.6,-844.8 -153.6,-844.8 -230.4))		POINT(-60.065907 -14.831209)	POLYGON((-66.348497 -16.560681,-56.759386 -17.499565,-54.932963 -12.981267,-63.878082 -12.117761,-66.348497 -16.560681))			28.113	erg/cm/cm/s	null		null		null		null	
FL	2013-04-01T06:43:22	POINT(576 345.6)	POLYGON((537.6 307.2,614.4 307.2,614.4 384,537.6 384,537.6 307.2))		POINT(38.44409 15.953999)	POLYGON((34.968702 13.272554,41.027236 13.714377,42.338272 18.732722,35.978029 18.251399,34.968702 13.272554))			17.9854	erg/cm/cm/s	null		null		null		null	
FL	2013-04-01T14:03:34	POINT(-729.6 -192)	POLYGON((-768 -230.4,-691.2 -230.4,-691.2 -153.6,-768 -153.6,-768 -230.4))		POINT(-51.86108 -15.578094)	POLYGON((-56.763752 -17.489481,-49.051418 -18.169131,-47.585737 -13.609201,-54.937946 -12.970247,-56.763752 -17.489481))			16.1646	erg/cm/cm/s	null		null		null		null	
FL	2013-04-01T14:26:58	POINT(-729.6 -268.8)	POLYGON((-768 -307.2,-691.2 -307.2,-691.2 -230.4,-768 -230.4,-768 -307.2))		POINT(-53.809897 -20.134816)	POLYGON((-59.401057 -22.028809,-51.119135 -22.774692,-49.051528 -18.168585,-56.76395 -17.489019,-59.401057 -22.028809))			36.1737	erg/cm/cm/s	null		null		null		null	
FL	2013-04-01T16:38:34	POINT(-729.6 -268.8)	POLYGON((-768 -307.2,-691.2 -307.2,-691.2 -230.4,-768 -230.4,-768 -307.2))		POINT(-53.810647 -20.13209)	POLYGON((-59.402098 -22.0265,-51.119585 -22.771871,-49.052147 -18.165508,-56.76506 -17.486412,-59.402098 -22.0265))			48.2074	erg/cm/cm/s	null		null		null		null	
FL	2013-04-01T21:20:34	POINT(-652.8 -268.8)	POLYGON((-691.2 -307.2,-614.4 -307.2,-614.4 -230.4,-691.2 -230.4,-691.2 -307.2))		POINT(-46.446827 -20.74511)	POLYGON((-51.120534 -22.765792,-43.999131 -23.337248,-42.315962 -18.687935,-49.053461 -18.158878,-51.120534 -22.765792))			10.3179	erg/cm/cm/s	null		null		null		null	
FL	2013-04-01T21:28:22	POINT(-652.8 -268.8)	POLYGON((-691.2 -307.2,-614.4 -307.2,-614.4 -230.4,-691.2 -230.4,-691.2 -307.2))		POINT(-46.446848 -20.744921)	POLYGON((-51.12056 -22.765623,-43.999139 -23.337054,-42.315982 -18.687729,-49.053497 -18.158694,-51.12056 -22.765623))			12.5713	erg/cm/cm/s	null		null		null		null	
FL	2013-04-01T21:58:34	POINT(-960 192)	POLYGON((-998.4 153.6,-921.6 153.6,-921.6 230.4,-998.4 230.4,-998.4 153.6))		POINT(-88.429202 11.204909)	POLYGON((-88.730166 8.658373,-75.310713 7.598621,-79.607341 12.787065,-88.228304 12.878068,-88.730166 8.658373))			42.6998	erg/cm/cm/s	null		null		null		null	
FL	2013-04-01T23:26:34	POINT(499.2 -115.2)	POLYGON((384 -153.6,537.6 -153.6,537.6 -76.8,384 -76.8,384 -153.6))		POINT(32.020577 -12.384166)	POLYGON((24.361722 -15.091685,35.181128 -14.500892,34.490522 -9.934882,23.893918 -10.509681,24.361722 -15.091685))			18.4672	erg/cm/cm/s	null		null		null		null	
FL	2013-04-01T23:44:22	POINT(652.8 345.6)	POLYGON((614.4 307.2,691.2 307.2,691.2 384,614.4 384,614.4 307.2))		POINT(44.992981 16.504346)	POLYGON((41.044994 13.748785,47.80053 14.304725,49.565407 19.383337,42.360082 18.76786,41.044994 13.748785))			70.1619	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T00:46:10	POINT(-115.2 -345.6)	POLYGON((-153.6 -384,-76.8 -384,-76.8 -307.2,-153.6 -307.2,-153.6 -384))		POINT(-7.7357809 -27.431876)	POLYGON((-10.584264 -29.851625,-5.27333 -29.928598,-5.042764 -25.037125,-10.119666 -24.96572,-10.584264 -29.851625))			20.2972	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T01:00:58	POINT(-729.6 -192)	POLYGON((-768 -230.4,-691.2 -230.4,-691.2 -153.6,-768 -153.6,-768 -230.4))		POINT(-51.865623 -15.56315)	POLYGON((-56.769266 -17.476382,-49.054477 -18.153664,-47.589815 -13.592665,-54.944275 -12.955937,-56.769266 -17.476382))			25.3445	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T01:23:10	POINT(-576 192)	POLYGON((-614.4 153.6,-537.6 153.6,-537.6 230.4,-614.4 230.4,-614.4 153.6))		POINT(-36.973283 6.3324499)	POLYGON((-39.74806 4.203719,-33.990479 3.806135,-34.337724 8.500293,-40.207185 8.913893,-39.74806 4.203719))			36.5559	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T02:26:46	POINT(-576 192)	POLYGON((-614.4 153.6,-537.6 153.6,-537.6 230.4,-614.4 230.4,-614.4 153.6))		POINT(-36.974026 6.334617)	POLYGON((-39.748808 4.205786,-33.991081 3.808338,-34.338465 8.502553,-40.208098 8.916015,-39.748808 4.205786))			45.6868	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T03:10:34	POINT(-576 192)	POLYGON((-614.4 153.6,-537.6 153.6,-537.6 230.4,-614.4 230.4,-614.4 153.6))		POINT(-36.974538 6.3361112)	POLYGON((-39.749323 4.207212,-33.991496 3.809857,-34.338976 8.504112,-40.208727 8.917478,-39.749323 4.207212))			25.0509	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T10:16:10	POINT(729.6 345.6)	POLYGON((691.2 307.2,768 307.2,768 384,691.2 384,691.2 307.2))		POINT(52.51647 17.189407)	POLYGON((47.814321 14.324585,55.737115 15.051986,58.303527 20.23494,49.582475 19.403509,47.814321 14.324585))			48.724	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T10:20:10	POINT(-652.8 -192)	POLYGON((-691.2 -230.4,-614.4 -230.4,-614.4 -153.6,-691.2 -153.6,-691.2 -230.4))		POINT(-44.872072 -16.125271)	POLYGON((-49.057012 -18.140307,-42.317883 -18.667075,-41.110367 -14.078189,-47.593238 -13.578392,-49.057012 -18.140307))			25.3785	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T11:53:22	POINT(-499.2 192)	POLYGON((-537.6 153.6,-460.8 153.6,-460.8 230.4,-537.6 230.4,-537.6 153.6))		POINT(-31.389138 5.9918566)	POLYGON((-33.996458 3.828099,-28.618934 3.507751,-28.885049 8.190925,-34.345085 8.522822,-33.996458 3.828099))			27.2691	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T13:09:46	POINT(-499.2 268.8)	POLYGON((-537.6 153.6,-460.8 153.6,-460.8 307.2,-537.6 307.2,-537.6 153.6))		POINT(-31.822887 10.735257)	POLYGON((-33.997185 3.830782,-28.619518 3.510569,-29.389839 12.988509,-34.994659 13.338716,-33.997185 3.830782))			22.1047	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T13:17:58	POINT(-499.2 192)	POLYGON((-537.6 153.6,-460.8 153.6,-460.8 230.4,-537.6 230.4,-537.6 153.6))		POINT(-31.389942 5.9949452)	POLYGON((-33.997263 3.83107,-28.619581 3.510871,-28.885851 8.194124,-34.346077 8.52587,-33.997263 3.83107))			43.3358	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T13:56:10	POINT(-499.2 192)	POLYGON((-537.6 153.6,-460.8 153.6,-460.8 230.4,-537.6 230.4,-537.6 153.6))		POINT(-31.390305 5.9963417)	POLYGON((-33.997626 3.832414,-28.619873 3.512282,-28.886213 8.195571,-34.346524 8.527247,-33.997626 3.832414))			19.6774	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T13:58:34	POINT(-883.2 268.8)	POLYGON((-921.6 230.4,-844.8 230.4,-844.8 307.2,-921.6 307.2,-921.6 230.4))		POINT(-71.467147 14.275784)	POLYGON((-79.693516 12.805407,-63.499008 11.042368,-66.139447 16.114841,-87.575294 18.282068,-79.693516 12.805407))			22.5487	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T14:57:22	POINT(-422.4 268.8)	POLYGON((-460.8 153.6,-384 153.6,-384 307.2,-460.8 307.2,-460.8 153.6))		POINT(-26.464957 10.435125)	POLYGON((-28.620341 3.514545,-23.515041 3.257685,-24.10686 12.713731,-29.391094 12.992685,-28.620341 3.514545))			31.6984	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T15:10:46	POINT(-422.4 268.8)	POLYGON((-460.8 153.6,-384 153.6,-384 307.2,-460.8 307.2,-460.8 153.6))		POINT(-26.465084 10.43565)	POLYGON((-28.620443 3.515041,-23.515122 3.2582,-24.106985 12.714272,-29.39125 12.993206,-28.620443 3.515041))			48.2934	erg/cm/cm/s	null		null		null		null	
FL	2013-04-02T16:13:22	POINT(-422.4 192)	POLYGON((-460.8 153.6,-384 153.6,-384 230.4,-460.8 230.4,-460.8 153.6))		POINT(-26.131102 5.7099947)	POLYGON((-28.620922 3.517359,-23.515502 3.260608,-23.718041 7.935511,-28.887516 8.200775,-28.620922 3.517359))			19.1832	erg/cm/cm/s	null		null		null		null	
