event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2012-02-01T00:45:11	POINT(883.2 268.8)	POLYGON((844.8 230.4,921.6 230.4,921.6 307.2,844.8 307.2,844.8 230.4))		POINT(68.863012 13.910062)	POLYGON((61.806995 10.880208,75.251165 12.211848,83.370839 17.787509,64.13244 15.817533,61.806995 10.880208))			30.8573	erg/cm/cm/s	null		null		null		null	
FL	2012-02-01T02:46:59	POINT(883.2 268.8)	POLYGON((844.8 230.4,921.6 230.4,921.6 307.2,844.8 307.2,844.8 230.4))		POINT(68.863516 13.908223)	POLYGON((61.807263 10.877584,75.252736 12.210734,83.378024 17.787983,64.132424 15.815215,61.807263 10.877584))			33.4202	erg/cm/cm/s	null		null		null		null	
FL	2012-02-01T04:36:47	POINT(883.2 268.8)	POLYGON((844.8 153.6,921.6 153.6,921.6 307.2,844.8 307.2,844.8 153.6))		POINT(68.863978 13.90657)	POLYGON((60.502719 6.133262,72.286326 7.277925,83.384545 17.788418,64.132416 15.813133,60.502719 6.133262))			67.3865	erg/cm/cm/s	null		null		null		null	
FL	2012-02-01T08:51:35	POINT(883.2 192)	POLYGON((844.8 153.6,921.6 153.6,921.6 230.4,844.8 230.4,844.8 153.6))		POINT(66.411474 8.9923226)	POLYGON((60.504021 6.127413,72.289342 7.274714,75.257513 12.207434,61.808104 10.869775,60.504021 6.127413))			37.9005	erg/cm/cm/s	null		null		null		null	
FL	2012-02-01T09:39:11	POINT(499.2 -345.6)	POLYGON((460.8 -384,537.6 -384,537.6 -307.2,460.8 -307.2,460.8 -384))		POINT(34.518371 -25.694335)	POLYGON((32.347418 -28.244841,38.487437 -27.893179,36.741032 -23.171302,30.921995 -23.495059,32.347418 -28.244841))			23.1038	erg/cm/cm/s	null		null		null		null	
FL	2012-02-01T13:32:47	POINT(-38.4 268.8)	POLYGON((-76.8 230.4,0 230.4,0 307.2,-76.8 307.2,-76.8 230.4))		POINT(-2.2835627 9.9344861)	POLYGON((-4.542134 7.622435,0 7.60299,0 12.283807,-4.608472 12.30408,-4.542134 7.622435))			31.7144	erg/cm/cm/s	null		null		null		null	
FL	2012-02-01T17:41:35	POINT(38.4 268.8)	POLYGON((0 230.4,76.8 230.4,76.8 307.2,0 307.2,0 230.4))		POINT(2.2835327 9.9225152)	POLYGON((0 7.59095,4.542113 7.610436,4.608372 12.2922,0 12.271886,0 7.59095))			30.2804	erg/cm/cm/s	null		null		null		null	
FL	2012-02-01T18:31:47	POINT(38.4 422.4)	POLYGON((0 384,76.8 384,76.8 460.8,0 460.8,0 384))		POINT(2.3878738 19.559672)	POLYGON((0 17.082765,4.71201 17.104303,4.862008 22.101609,0 22.078341,0 17.082765))			15.6216	erg/cm/cm/s	null		null		null		null	
FL	2012-02-01T19:16:23	POINT(38.4 422.4)	POLYGON((0 384,76.8 384,76.8 460.8,0 460.8,0 384))		POINT(2.387853 19.557582)	POLYGON((0 17.08066,4.711976 17.102205,4.861957 22.099538,0 22.076262,0 17.08066))			19.5576	erg/cm/cm/s	null		null		null		null	
FL	2012-02-01T23:04:11	POINT(192 422.4)	POLYGON((153.6 384,230.4 384,230.4 460.8,153.6 460.8,153.6 384))		POINT(12.034846 19.68269)	POLYGON((9.459674 17.156777,14.282179 17.26727,14.751755 22.27919,9.76428 22.159538,9.459674 17.156777))			18.0848	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T03:15:11	POINT(115.2 268.8)	POLYGON((76.8 230.4,153.6 230.4,153.6 307.2,76.8 307.2,76.8 230.4))		POINT(6.8660548 9.9351491)	POLYGON((4.542071 7.582997,9.114691 7.642126,9.249071 12.326711,4.608148 12.265041,4.542071 7.582997))			41.1759	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T03:33:11	POINT(883.2 268.8)	POLYGON((844.8 230.4,921.6 230.4,921.6 307.2,844.8 307.2,844.8 230.4))		POINT(68.870435 13.886295)	POLYGON((61.81107 10.846174,75.272918 12.197586,83.470014 17.794519,64.132926 15.787526,61.81107 10.846174))			34.4668	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T07:49:23	POINT(576 -422.4)	POLYGON((537.6 -460.8,614.4 -460.8,614.4 -384,537.6 -384,537.6 -460.8))		POINT(42.97694 -30.137053)	POLYGON((40.894885 -32.810057,48.09736 -32.308682,45.155513 -27.503049,38.516016 -27.947289,40.894885 -32.810057))			19.9592	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T08:59:11	POINT(960 268.8)	POLYGON((921.6 230.4,998.4 230.4,998.4 307.2,921.6 307.2,921.6 230.4))		POINT(88.023899 15.522217)	POLYGON((75.277601 12.194812,88.325337 12.890798,87.854133 16.973543,83.49131 17.796144,75.277601 12.194812))			66.0768	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T11:20:35	POINT(115.2 422.4)	POLYGON((76.8 384,153.6 384,153.6 460.8,76.8 460.8,76.8 384))		POINT(7.1811887 19.558015)	POLYGON((4.711277 17.05734,9.458614 17.122973,9.762646 22.126205,4.86088 22.055254,4.711277 17.05734))			28.1209	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T11:52:47	POINT(192 268.8)	POLYGON((153.6 230.4,230.4 230.4,230.4 307.2,153.6 307.2,153.6 230.4))		POINT(11.496313 9.9920838)	POLYGON((9.11463 7.617882,13.75022 7.718229,13.957109 12.407466,9.248685 12.302731,9.11463 7.617882))			59.9723	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T12:58:11	POINT(115.2 422.4)	POLYGON((76.8 384,153.6 384,153.6 460.8,76.8 460.8,76.8 384))		POINT(7.1810585 19.553575)	POLYGON((4.711209 17.05285,9.458477 17.118533,9.762433 22.121828,4.860774 22.050824,4.711209 17.05285))			30.8266	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T14:33:35	POINT(268.8 268.8)	POLYGON((230.4 230.4,307.2 230.4,307.2 307.2,230.4 307.2,230.4 230.4))		POINT(16.20998 10.108883)	POLYGON((13.750196 7.710878,18.485375 7.854614,18.772605 12.550421,13.956935 12.400202,13.750196 7.710878))			22.6747	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T15:04:23	POINT(192 268.8)	POLYGON((153.6 230.4,307.2 230.4,307.2 307.2,153.6 307.2,153.6 230.4))		POINT(11.496216 9.9832919)	POLYGON((9.11461 7.608973,18.48537 7.853244,18.772562 12.549068,9.248546 12.29392,9.11461 7.608973))			33.7759	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T17:19:35	POINT(268.8 345.6)	POLYGON((230.4 307.2,307.2 307.2,307.2 384,230.4 384,230.4 307.2))		POINT(16.52127 14.856834)	POLYGON((13.956758 12.392728,18.772371 12.543143,19.220348 17.378071,14.279842 17.218133,13.956758 12.392728))			15.568	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T17:22:47	POINT(268.8 345.6)	POLYGON((230.4 307.2,307.2 307.2,307.2 384,230.4 384,230.4 307.2))		POINT(16.521264 14.856693)	POLYGON((13.956755 12.392584,18.772367 12.543003,19.220339 17.377933,14.279836 17.217991,13.956755 12.392584))			16.2271	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T18:07:35	POINT(268.8 268.8)	POLYGON((230.4 153.6,307.2 153.6,307.2 307.2,230.4 307.2,230.4 153.6))		POINT(16.209833 10.099308)	POLYGON((13.643119 3.106981,18.335141 3.246854,18.772304 12.541043,13.956707 12.390572,13.643119 3.106981))			82.6862	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T18:21:47	POINT(652.8 -422.4)	POLYGON((614.4 -460.8,691.2 -460.8,691.2 -307.2,614.4 -307.2,614.4 -460.8))		POINT(50.264318 -29.629206)	POLYGON((48.116824 -32.330685,56.306087 -31.680111,49.912597 -22.332748,43.025758 -22.843238,48.116824 -32.330685))			34.4589	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T20:12:35	POINT(268.8 268.8)	POLYGON((230.4 230.4,307.2 230.4,307.2 307.2,230.4 307.2,230.4 230.4))		POINT(16.209749 10.093735)	POLYGON((13.750152 7.69546,18.485319 7.839582,18.772131 12.535585,13.956577 12.384967,13.750152 7.69546))			38.5221	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T21:31:47	POINT(268.8 268.8)	POLYGON((230.4 230.4,307.2 230.4,307.2 307.2,230.4 307.2,230.4 230.4))		POINT(16.209697 10.090211)	POLYGON((13.750143 7.691873,18.485308 7.836085,18.772023 12.532135,13.956494 12.381424,13.750143 7.691873))			36.8295	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T21:59:47	POINT(192 422.4)	POLYGON((153.6 384,230.4 384,230.4 460.8,153.6 460.8,153.6 384))		POINT(12.031778 19.620954)	POLYGON((9.45773 17.094062,14.279268 17.205749,14.747249 22.218639,9.761271 22.097709,9.45773 17.094062))			27.3674	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T23:09:23	POINT(268.8 422.4)	POLYGON((230.4 384,307.2 384,307.2 460.8,230.4 460.8,230.4 384))		POINT(16.984832 19.75867)	POLYGON((14.279127 17.202685,19.219399 17.363055,19.868797 22.389716,14.747028 22.215625,14.279127 17.202685))			26.494	erg/cm/cm/s	null		null		null		null	
FL	2012-02-02T23:50:59	POINT(268.8 422.4)	POLYGON((230.4 384,307.2 384,307.2 460.8,230.4 460.8,230.4 384))		POINT(16.984707 19.756879)	POLYGON((14.279043 17.200856,19.219287 17.361277,19.868622 22.387971,14.746897 22.213825,14.279043 17.200856))			38.8605	erg/cm/cm/s	null		null		null		null	
FL	2012-02-03T00:35:47	POINT(268.8 422.4)	POLYGON((230.4 384,307.2 384,307.2 460.8,230.4 460.8,230.4 384))		POINT(16.984574 19.754953)	POLYGON((14.278953 17.198888,19.219167 17.359364,19.868435 22.386094,14.746756 22.211889,14.278953 17.198888))			24.9676	erg/cm/cm/s	null		null		null		null	
