event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ar_mcintoshcls	ar_mtwilsoncls	ar_zurichcls	ar_penumbracls	ar_compactnesscls	ar_noaaclass	ar_noaanum	ar_numspots	ar_polarity	ar_spotarearaw	ar_spotarearawuncert	ar_spotarearawunit	ar_spotarearepr	ar_spotarearepruncert
AR	2014-03-01T02:50:48	POINT(-138.637 351.569)	POLYGON((-164.1 295.5,-114.3 295.5,-114.3 392.7,-164.1 392.7,-164.1 295.5))	POLYGON((-164.1 333.3,-163.5 333.9,-157.5 383.1,-122.1 392.7,-130.5 349.5,-115.5 295.5,-164.1 333.3))	POINT(-8.4482892 14.0523)	POLYGON((-9.880812 10.577187,-6.863052 10.519561,-7.045247 16.652088,-10.145956 16.714011,-9.880812 10.577187))	POLYGON((-9.967265 12.933812,-9.931942 12.970661,-9.701945 16.08646,-7.529083 16.660291,-7.944172 13.912022,-6.935488 10.520704,-9.967265 12.933812))	SPoCA_v1.0_AR_0000011916							null	null	null	null	null		null	null
AR	2014-03-01T02:50:48	POINT(-4.35857 280.698)	POLYGON((-30.9 236.7,42.3 236.7,42.3 326.7,-30.9 326.7,-30.9 236.7))	POLYGON((-30.9 258.9,-30.3 259.5,-17.1 277.5,-21.3 324.3,-3.9 326.7,42.3 269.7,19.5 236.7,-15.3 239.1,-30.9 258.9))	POINT(-0.26028906 9.552737)	POLYGON((-1.833079 6.867482,2.509758 6.870809,2.551748 12.413623,-1.863726 12.410125,-1.833079 6.867482))	POLYGON((-1.838872 8.219885,-1.803322 8.256407,-1.02066 9.357174,-1.283832 12.257948,-0.235183 12.40619,2.52211 8.884384,1.156671 6.865191,-0.907801 7.010407,-1.838872 8.219885))	SPoCA_v1.0_AR_0000011912							null	null	null	null	null		null	null
AR	2014-03-01T02:50:48	POINT(-310.883 245.109)	POLYGON((-342.3 221.7,-276.3 221.7,-276.3 275.1,-342.3 275.1,-342.3 221.7))	POLYGON((-342.3 230.7,-341.7 231.3,-302.1 275.1,-276.3 248.7,-281.1 233.1,-342.3 230.7))	POINT(-18.818228 7.7729949)	POLYGON((-20.740861 6.435201,-16.602594 6.263737,-16.739317 9.525778,-20.918706 9.701973,-20.740861 6.435201))	POLYGON((-20.765484 6.982137,-20.729015 7.016893,-18.359839 9.58962,-16.664183 7.90658,-16.924772 6.967024,-20.765484 6.982137))	SPoCA_v1.0_AR_0000011905							null	null	null	null	null		null	null
AR	2014-03-01T02:50:48	POINT(688.467 323.287)	POLYGON((573.9 217.5,832.5 217.5,832.5 418.5,573.9 418.5,573.9 217.5))	POLYGON((573.9 410.1,574.5 410.7,661.5 409.5,718.5 304.5,744.9 306.9,761.1 353.7,773.1 303.3,805.5 285.3,804.9 246.9,831.9 223.5,801.3 219.9,786.9 260.7,691.5 281.1,673.5 303.3,653.1 289.5,629.7 299.7,573.9 410.1))	POINT(47.087733 14.598362)	POLYGON((36.513798 7.155436,60.397127 9.448826,69.012327 23.158706,38.935163 19.973208,36.513798 7.155436))	POLYGON((38.771432 19.409352,38.832337 19.453651,46.47476 20.064149,49.580099 13.664799,52.266314 14.087415,55.22133 17.355484,55.211796 14.172446,58.54897 13.414498,57.612597 10.939039,60.43603 9.819267,56.725498 9.190769,55.828169 11.594642,46.679061 11.927472,45.40034 13.186912,43.437663 12.148698,41.611286 12.621221,38.771432 19.409352))	SPoCA_v1.0_AR_0000011774							null	null	null	null	null		null	null
AR	2014-03-01T02:50:48	POINT(299.868 94.5681)	POLYGON((266.7 71.1,340.5 71.1,340.5 127.5,266.7 127.5,266.7 71.1))	POLYGON((266.7 89.7,267.3 90.3,318.9 127.5,345.9 101.7,292.5 71.1,266.7 89.7))	POINT(17.957342 -1.2856358)	POLYGON((15.928501 -2.74856,20.509878 -2.567754,20.490959 0.774637,15.911038 0.592394,15.928501 -2.74856))	POLYGON((15.916584 -1.649139,15.953064 -1.612361,19.137497 0.716168,20.830611 -0.742047,17.516656 -2.690874,15.916584 -1.649139))	SPoCA_v1.0_AR_0000011918							null	null	null	null	null		null	null
AR	2014-03-01T02:50:48	POINT(401.863 103.741)	POLYGON((365.7 69.3,432.9 69.3,432.9 141.3,365.7 141.3,365.7 69.3))	POLYGON((365.7 98.7,366.9 99.3,407.7 141.3,426.3 137.7,432.9 106.5,389.7 69.3,365.7 98.7))	POINT(24.403832 -0.4465558)	POLYGON((22.106342 -2.600904,26.453356 -2.375161,26.445732 1.899067,22.09321 1.670532,22.106342 -2.600904))	POLYGON((22.085308 -0.861645,22.161444 -0.822441,24.795368 1.807879,26.007898 1.659695,26.429518 -0.172361,23.641983 -2.525515,22.085308 -0.861645))	SPoCA_v1.0_AR_0000011907							null	null	null	null	null		null	null
AR	2014-03-01T02:50:48	POINT(810.544 -99.5246)	POLYGON((778.5 -111.9,833.1 -111.9,833.1 -83.1,778.5 -83.1,778.5 -111.9))	POLYGON((778.5 -90.9,779.1 -90.3,801.9 -98.7,828.3 -83.7,827.1 -110.1,785.1 -110.1,778.5 -90.9))	POINT(57.889362 -9.7670274)	POLYGON((54.698751 -10.836072,60.684665 -10.206447,60.196945 -8.54067,54.283024 -9.161455,54.698751 -10.836072))	POLYGON((54.38804 -9.615256,54.44031 -9.57422,56.936302 -9.817947,59.646337 -8.635984,59.944361 -10.179048,55.34655 -10.662595,54.38804 -9.615256))	SPoCA_v1.0_AR_0000011914							null	null	null	null	null		null	null
AR	2014-03-01T02:50:48	POINT(930.452 -162.668)	POLYGON((898.5 -231.9,964.5 -231.9,964.5 -69.3,898.5 -69.3,898.5 -231.9))	POLYGON((898.5 -191.1,899.1 -190.5,953.1 -69.3,964.5 -95.7,943.5 -221.7,915.3 -231.9,898.5 -191.1))	POINT(78.069581 -11.232212)	POLYGON((74.410335 -15.887033,88.551098 -13.445579,87.011451 -4.512811,68.831324 -6.742263,74.410335 -15.887033))	POLYGON((72.395002 -13.638635,72.481327 -13.591966,80.920832 -5.276401,89.560671 -5.656132,88.59002 -13.151947,78.309088 -15.415636,72.395002 -13.638635))	SPoCA_v1.0_AR_0000011805							null	null	null	null	null		null	null
AR	2014-03-01T02:50:48	POINT(-306.813 -225.185)	POLYGON((-329.7 -275.7,-285.3 -275.7,-285.3 -182.1,-329.7 -182.1,-329.7 -275.7))	POLYGON((-329.7 -196.5,-329.1 -195.9,-285.3 -188.1,-299.7 -273.9,-329.7 -260.1,-315.9 -225.9,-329.7 -196.5))	POINT(-19.637918 -20.197713)	POLYGON((-21.640925 -23.197086,-18.626447 -23.32079,-17.925725 -17.666126,-20.822846 -17.549693,-21.640925 -23.197086))	POLYGON((-20.929758 -18.410832,-20.885509 -18.376613,-17.963253 -18.025017,-19.58182 -23.172846,-21.483126 -22.246661,-20.247432 -20.216055,-20.929758 -18.410832))	SPoCA_v1.0_AR_0000011833							null	null	null	null	null		null	null
AR	2014-03-01T02:50:48	POINT(-572.468 -348.003)	POLYGON((-609.9 -372.3,-509.1 -372.3,-509.1 -301.5,-609.9 -301.5,-609.9 -372.3))	POLYGON((-609.9 -343.5,-609.3 -342.9,-554.7 -341.7,-515.1 -302.1,-509.7 -316.5,-552.3 -366.9,-597.3 -371.1,-609.9 -343.5))	POINT(-41.164493 -26.50301)	POLYGON((-45.164106 -27.726511,-36.540746 -28.3961,-34.988057 -24.038177,-43.153065 -23.421061,-45.164106 -27.726511))	POLYGON((-44.277011 -25.9653,-44.206639 -25.933181,-39.512292 -26.231466,-35.4643 -24.042627,-35.329517 -24.950156,-39.972557 -27.79855,-43.993127 -27.747525,-44.277011 -25.9653))	SPoCA_v1.0_AR_0000011915							null	null	null	null	null		null	null
