event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ar_mcintoshcls	ar_mtwilsoncls	ar_zurichcls	ar_penumbracls	ar_compactnesscls	ar_noaaclass	ar_noaanum	ar_numspots	ar_polarity	ar_spotarearaw	ar_spotarearawuncert	ar_spotarearawunit	ar_spotarearepr	ar_spotarearepruncert
AR	2014-01-01T00:20:48	POINT(-793.911 -475.289)	POLYGON((-814.5 -510.3,-765.9 -510.3,-765.9 -426.9,-814.5 -426.9,-814.5 -510.3))	POLYGON((-814.5 -490.5,-813.9 -489.9,-801.3 -430.5,-765.9 -470.7,-797.1 -510.3,-814.5 -490.5))	POINT(-69.971799 -30.165454)	POLYGON((-79.795708 -32.07752,-68.478981 -32.616239,-61.836013 -27.331386,-69.25733 -26.994734,-79.795708 -32.07752))	POLYGON((-76.301197 -30.892498,-76.055368 -30.863609,-67.307833 -27.320335,-64.875383 -30.090962,-74.875355 -32.315817,-76.301197 -30.892498))	SPoCA_v1.0_AR_0000011097							null	null	null	null	null		null	null
AR	2014-01-01T00:20:48	POINT(-629.036 -341.346)	POLYGON((-692.7 -426.3,-601.5 -426.3,-601.5 -293.7,-692.7 -293.7,-692.7 -426.3))	POLYGON((-692.7 -317.7,-692.1 -317.1,-653.1 -293.7,-602.1 -317.7,-605.1 -404.7,-633.9 -426.3,-630.9 -383.1,-663.3 -329.7,-692.7 -317.7))	POINT(-44.09311 -22.577405)	POLYGON((-53.062624 -27.659471,-44.095161 -27.992224,-40.7368 -19.740194,-48.637798 -19.460386,-53.062624 -27.659471))	POLYGON((-49.25681 -20.917438,-49.183707 -20.88306,-45.078234 -19.591328,-41.263644 -21.202456,-43.732851 -26.606411,-47.115253 -27.885462,-45.403389 -25.165319,-46.847635 -21.752615,-49.25681 -20.917438))	SPoCA_v1.0_AR_0000011079							null	null	null	null	null		null	null
AR	2014-01-01T00:20:48	POINT(-880.656 203.782)	POLYGON((-921.3 155.1,-841.5 155.1,-841.5 269.1,-921.3 269.1,-921.3 155.1))	POLYGON((-921.3 174.9,-920.7 175.5,-884.1 269.1,-846.9 225.9,-841.5 186.3,-855.3 164.7,-890.7 169.5,-905.7 155.1,-921.3 174.9))	POINT(-66.517602 10.84725)	POLYGON((-72.282239 8.228698,-60.230243 7.640812,-62.789233 14.616604,-78.050119 15.391347,-72.282239 8.228698))	POLYGON((-72.89261 9.439257,-72.78664 9.46965,-69.426538 14.944695,-62.284268 11.972316,-60.737588 9.522855,-62.105206 8.299313,-67.225084 8.83249,-69.371201 8.081989,-72.89261 9.439257))	SPoCA_v1.0_AR_0000011093							null	null	null	null	null		null	null
AR	2014-01-01T00:20:48	POINT(904.991 -309.166)	POLYGON((878.7 -361.5,932.1 -361.5,932.1 -242.7,878.7 -242.7,878.7 -361.5))	POLYGON((878.7 -347.1,879.3 -346.5,928.5 -243.9,910.5 -333.3,890.7 -361.5,878.7 -347.1))	POINT(78.598665 -19.070995)	POLYGON((76.681847 -22.439449,89.125953 -21.182326,80.936672 -14.882228,68.859792 -15.477072,76.681847 -22.439449))	POLYGON((75.296625 -21.599731,75.384078 -21.557767,79.804212 -15.012159,83.872226 -20.308066,80.204621 -22.265154,75.296625 -21.599731))	SPoCA_v1.0_AR_0000011080							null	null	null	null	null		null	null
AR	2014-01-01T00:20:48	POINT(-906.619 -225.154)	POLYGON((-947.1 -340.5,-876.9 -340.5,-876.9 -146.1,-947.1 -146.1,-947.1 -340.5))	POLYGON((-947.1 -197.1,-946.5 -196.5,-939.9 -173.7,-922.5 -182.7,-909.3 -149.1,-879.9 -218.1,-881.1 -340.5,-905.1 -251.7,-932.7 -212.7,-938.7 -225.3,-947.1 -197.1))	POINT(-73.139852 -14.209495)	POLYGON((-89.20827 -19.760905,-74.319129 -21.23332,-65.53487 -9.847867,-79.171892 -9.178492,-89.20827 -19.760905))	POLYGON((-82.622514 -12.046611,-82.305107 -12.026803,-78.444761 -10.858616,-74.524309 -11.592373,-70.736872 -9.776978,-68.08191 -14.02848,-75.274884 -21.186689,-74.249612 -15.762282,-78.718383 -13.181829,-81.779994 -13.786567,-82.622514 -12.046611))	SPoCA_v1.0_AR_0000011098							null	null	null	null	null		null	null
AR	2014-01-01T00:20:48	POINT(575.965 -229.627)	POLYGON((473.7 -306.3,695.7 -306.3,695.7 -154.5,473.7 -154.5,473.7 -306.3))	POLYGON((473.7 -225.9,474.3 -225.3,491.1 -168.3,566.1 -196.5,604.5 -188.1,633.9 -207.3,683.7 -154.5,695.7 -174.9,671.7 -218.1,678.9 -261.3,615.3 -306.3,579.3 -255.3,480.9 -249.3,473.7 -225.9))	POINT(37.702379 -15.943147)	POLYGON((31.146647 -20.797699,49.236805 -20.213331,46.408234 -11.158275,29.581649 -11.687815,31.146647 -20.797699))	POLYGON((30.183963 -15.931786,30.220068 -15.894788,30.885969 -12.472693,36.554584 -13.991645,39.38133 -13.401443,41.95155 -14.463749,45.383882 -11.196053,46.67383 -12.360507,45.253646 -14.995699,46.664379 -17.554423,42.12345 -20.469275,38.322768 -17.475098,30.941593 -17.32368,30.183963 -15.931786))	SPoCA_v1.0_AR_0000011071							null	null	null	null	null		null	null
AR	2014-01-01T00:20:48	POINT(-113.67 -183.077)	POLYGON((-151.5 -227.1,-78.9 -227.1,-78.9 -143.1,-151.5 -143.1,-151.5 -227.1))	POLYGON((-151.5 -174.9,-150.9 -174.3,-129.3 -146.1,-104.1 -147.9,-78.9 -188.7,-86.7 -218.1,-134.7 -225.9,-151.5 -174.9))	POINT(-6.855116 -13.744958)	POLYGON((-9.268359 -16.359697,-4.811992 -16.387337,-4.70859 -11.386247,-9.068382 -11.359454,-9.268359 -16.359697))	POLYGON((-9.134409 -13.242663,-9.096586 -13.207327,-7.735759 -11.546713,-6.223916 -11.662529,-4.759407 -14.090497,-5.274475 -15.845048,-8.230161 -16.295587,-9.134409 -13.242663))	SPoCA_v1.0_AR_0000011063							null	null	null	null	null		null	null
AR	2014-01-01T04:20:48	POINT(600.605 -243.522)	POLYGON((499.5 -306.3,702.9 -306.3,702.9 -191.1,499.5 -191.1,499.5 -306.3))	POLYGON((499.5 -218.7,500.1 -218.1,552.9 -230.1,583.5 -198.9,639.9 -193.5,648.9 -270.9,670.5 -279.3,692.7 -257.1,702.9 -266.1,684.3 -301.5,642.3 -281.7,596.7 -283.5,565.5 -261.3,530.1 -265.5,510.3 -289.5,517.5 -249.3,499.5 -218.7))	POINT(39.819089 -16.729324)	POLYGON((33.046436 -20.763491,49.926133 -20.199635,47.544489 -13.307084,31.669849 -13.825579,33.046436 -20.763491))	POLYGON((31.93757 -15.469896,31.974136 -15.432891,35.966034 -16.040337,37.897394 -14.109126,42.253794 -13.642427,44.251298 -18.239901,46.300003 -18.678597,47.818369 -17.269573,48.944934 -17.773857,48.057489 -19.975233,43.90223 -18.911664,40.16538 -19.148792,37.349474 -17.88506,34.730122 -18.218678,33.598335 -19.715823,33.586141 -17.268603,31.93757 -15.469896))	SPoCA_v1.0_AR_0000011071							null	null	null	null	null		null	null
AR	2014-01-01T04:20:48	POINT(906.343 -320.749)	POLYGON((886.5 -362.7,926.7 -362.7,926.7 -276.3,886.5 -276.3,886.5 -362.7))	POLYGON((886.5 -349.5,887.1 -348.9,917.1 -282.9,926.7 -288.9,898.5 -361.5,886.5 -349.5))	POINT(80.301934 -19.70843)	POLYGON((79.011208 -22.404445,89.1215 -21.35929,82.547883 -16.851401,71.893312 -17.383626,79.011208 -22.404445))	POLYGON((77.504882 -21.646688,77.605673 -21.603945,79.724205 -17.399317,84.459039 -17.527431,83.314352 -22.112164,77.504882 -21.646688))	SPoCA_v1.0_AR_0000011080							null	null	null	null	null		null	null
AR	2014-01-01T04:20:48	POINT(-865.056 200.664)	POLYGON((-912.9 131.1,-821.7 131.1,-821.7 271.5,-912.9 271.5,-912.9 131.1))	POLYGON((-912.9 182.7,-912.3 183.3,-895.5 240.3,-865.5 271.5,-822.3 221.1,-821.7 183.9,-840.9 155.7,-892.5 131.1,-912.9 182.7))	POINT(-64.138164 10.535797)	POLYGON((-70.118094 6.688732,-57.637272 6.089332,-60.263507 14.63339,-75.775944 15.413972,-70.118094 6.688732))	POLYGON((-71.445149 9.825285,-71.347913 9.856185,-70.260013 13.229112,-66.385424 14.931306,-59.087295 11.523102,-58.327565 9.258005,-60.163637 7.663739,-66.756035 6.521231,-71.445149 9.825285))	SPoCA_v1.0_AR_0000011093							null	null	null	null	null		null	null
