event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ar_mcintoshcls	ar_mtwilsoncls	ar_zurichcls	ar_penumbracls	ar_compactnesscls	ar_noaaclass	ar_noaanum	ar_numspots	ar_polarity	ar_spotarearaw	ar_spotarearawuncert	ar_spotarearawunit	ar_spotarearepr	ar_spotarearepruncert
AR	2013-05-01T02:20:36	POINT(824.113 -253.196)	POLYGON((766.5 -314.7,896.1 -314.7,896.1 -180.9,766.5 -180.9,766.5 -314.7))	POLYGON((766.5 -245.7,767.1 -245.1,782.7 -198.3,795.9 -231.9,835.5 -233.7,893.7 -180.9,863.7 -306.3,829.5 -283.5,814.5 -314.1,783.3 -307.5,766.5 -245.7))	POINT(64.683571 -17.199863)	POLYGON((59.580104 -21.394934,86.598991 -19.585881,73.942895 -12.113041,55.563843 -13.293788,59.580104 -21.394934))	POLYGON((57.174453 -17.196574,57.224941 -17.15624,57.746562 -14.231537,60.225526 -16.154947,65.571368 -15.929308,73.435833 -12.147849,74.402335 -19.901554,66.810012 -18.963526,66.062713 -20.951565,61.397794 -20.825624,57.174453 -17.196574))	SPoCA_v1.0_AR_0000008489							null	null	null	null	null		null	null
AR	2013-05-01T02:20:36	POINT(-746.383 -250.552)	POLYGON((-795.3 -325.5,-699.9 -325.5,-699.9 -183.9,-795.3 -183.9,-795.3 -325.5))	POLYGON((-795.3 -308.1,-794.7 -307.5,-779.7 -225.9,-759.3 -222.3,-753.3 -183.9,-728.1 -209.7,-701.7 -202.5,-701.1 -239.7,-743.7 -258.9,-756.3 -308.7,-787.5 -325.5,-795.3 -308.1))	POINT(-55.091389 -17.620811)	POLYGON((-63.84878 -21.820928,-52.484911 -22.496156,-48.985761 -13.846978,-58.857645 -13.280522,-63.84878 -21.820928))	POLYGON((-63.01697 -20.763052,-62.908143 -20.731724,-58.120507 -15.911301,-55.738962 -15.829958,-54.229805 -13.555107,-52.197996 -15.255223,-49.490884 -14.960844,-50.209506 -17.219666,-55.038078 -18.144657,-58.112359 -21.101223,-62.771313 -21.888529,-63.01697 -20.763052))	SPoCA_v1.0_AR_0000008551							null	null	null	null	null		null	null
AR	2013-05-01T02:20:36	POINT(572.244 -247.215)	POLYGON((464.7 -318.9,677.7 -318.9,677.7 -185.1,464.7 -185.1,464.7 -318.9))	POLYGON((464.7 -275.1,465.3 -274.5,503.7 -237.9,555.9 -232.5,623.1 -185.1,653.1 -212.7,677.1 -206.7,668.7 -259.5,593.1 -261.3,575.1 -278.7,536.1 -262.5,504.3 -318.9,479.1 -310.5,464.7 -275.1))	POINT(39.076827 -18.236087)	POLYGON((31.882573 -23.033025,50.026181 -22.208656,46.978372 -14.02626,30.170136 -14.765536,31.882573 -23.033025))	POLYGON((31.2113 -20.292371,31.247438 -20.253488,33.614984 -17.885343,37.546762 -17.390347,42.276862 -14.260331,45.264505 -15.808482,47.295038 -15.335365,47.600994 -18.590555,41.029438 -19.025086,39.868696 -20.166857,36.457273 -19.300433,34.943207 -22.916071,32.840142 -22.463627,31.2113 -20.292371))	SPoCA_v1.0_AR_0000008521							null	null	null	null	null		null	null
AR	2013-05-01T02:20:36	POINT(22.5176 242.46)	POLYGON((-84.9 186.3,173.1 186.3,173.1 288.3,-84.9 288.3,-84.9 186.3))	POLYGON((-84.9 249.3,-84.3 249.9,-39.9 275.7,7.5 284.7,49.5 270.3,82.5 288.3,125.1 246.3,171.3 270.3,165.9 230.1,119.1 233.1,77.1 257.7,16.5 223.5,8.1 186.3,-14.7 186.3,-44.1 218.1,-72.9 216.9,-84.9 249.3))	POINT(1.3717031 10.523087)	POLYGON((-5.130137 7.086604,10.506347 7.140913,10.723007 13.456185,-5.23435 13.39874,-5.130137 7.086604))	POLYGON((-5.186116 10.963445,-5.150015 11.000434,-2.449257 12.594616,0.461285 13.15478,3.035112 12.259154,5.08596 13.397733,7.649916 10.798008,10.561559 12.326128,10.136428 9.82464,7.261629 9.977367,4.717047 11.48231,1.001466 9.351475,0.488773 7.069708,-0.887058 7.070063,-2.674996 9.023046,-4.423952 8.957313,-5.186116 10.963445))	SPoCA_v1.0_AR_0000008510							null	null	null	null	null		null	null
AR	2013-05-01T02:20:36	POINT(404.69 477.217)	POLYGON((375.3 434.7,421.5 434.7,421.5 539.1,375.3 539.1,375.3 434.7))	POLYGON((375.3 527.7,375.9 528.3,384.9 538.5,419.1 496.5,406.5 437.1,395.1 440.7,393.9 506.7,375.3 527.7))	POINT(28.184709 26.305423)	POLYGON((25.30487 23.299849,28.720841 23.41936,30.901005 30.802979,27.163538 30.660801,25.30487 23.299849))	POLYGON((26.91396 29.826232,26.973825 29.871615,27.913694 30.644342,29.691385 27.708284,27.636222 23.541827,26.845208 23.757221,27.928247 28.36211,26.91396 29.826232))	SPoCA_v1.0_AR_0000008564							null	null	null	null	null		null	null
AR	2013-05-01T02:20:36	POINT(-662.598 377.292)	POLYGON((-705.3 319.5,-615.3 319.5,-615.3 430.5,-705.3 430.5,-705.3 319.5))	POLYGON((-705.3 356.1,-704.7 356.7,-703.5 395.7,-680.7 398.7,-657.3 429.3,-615.3 351.9,-641.7 319.5,-656.7 358.5,-705.3 356.1))	POINT(-47.788371 20.506318)	POLYGON((-50.53007 16.930341,-42.185195 16.475299,-44.783514 23.872122,-54.231197 24.42087,-50.53007 16.930341))	POLYGON((-51.513943 19.341326,-51.468507 19.377533,-52.622293 21.999299,-50.274148 22.058072,-48.8991 24.021031,-42.800347 18.586027,-44.496388 16.595011,-46.726713 19.222883,-51.513943 19.341326))	SPoCA_v1.0_AR_0000008533							null	null	null	null	null		null	null
AR	2013-05-01T02:20:36	POINT(-500.5 -276.072)	POLYGON((-521.1 -306.3,-472.5 -306.3,-472.5 -256.5,-521.1 -256.5,-521.1 -306.3))	POLYGON((-521.1 -278.1,-520.5 -277.5,-507.3 -257.7,-485.1 -256.5,-474.3 -281.1,-514.5 -306.3,-521.1 -278.1))	POINT(-33.919749 -20.251514)	POLYGON((-36.033814 -22.071766,-32.267508 -22.218775,-31.536285 -19.118925,-35.200126 -18.977861,-36.033814 -22.071766))	POLYGON((-35.540305 -20.31419,-35.483743 -20.278853,-34.162153 -19.09398,-32.472419 -19.084206,-32.0134 -20.639271,-35.51288 -22.092954,-35.540305 -20.31419))	SPoCA_v1.0_AR_0000008522							null	null	null	null	null		null	null
AR	2013-05-01T06:23:48	POINT(92.9552 246.394)	POLYGON((-14.1 181.5,234.9 181.5,234.9 310.5,-14.1 310.5,-14.1 181.5))	POLYGON((-14.1 263.1,-13.5 263.7,3.9 294.9,144.9 278.1,177.3 310.5,186.3 282.9,233.7 241.5,164.7 207.9,119.1 231.3,98.7 207.3,22.5 181.5,4.5 206.7,28.5 222.3,33.3 252.3,15.9 266.7,-14.1 263.1))	POINT(5.6769202 10.804252)	POLYGON((-0.850385 6.794548,14.321138 6.925717,14.725457 14.94105,-0.873535 14.799704,-0.850385 6.794548))	POLYGON((-0.862795 11.822136,-0.826191 11.859491,0.240543 13.813776,8.936601 12.810821,11.057299 14.879383,11.537156 13.146371,14.392703 10.614192,10.023991 8.474155,7.259843 9.883669,5.985885 8.395607,1.357077 6.795269,0.272369 8.335659,1.729783 9.296439,2.033155 11.152462,0.97376 12.046735,-0.862795 11.822136))	SPoCA_v1.0_AR_0000008510							null	null	null	null	null		null	null
AR	2013-05-01T06:23:48	POINT(-723.522 -240.445)	POLYGON((-765.9 -289.5,-683.7 -289.5,-683.7 -183.3,-765.9 -183.3,-765.9 -289.5))	POLYGON((-765.9 -261.9,-765.3 -261.3,-744.9 -247.5,-728.7 -183.3,-713.7 -221.1,-683.7 -229.5,-724.5 -255.9,-727.5 -289.5,-765.9 -261.9))	POINT(-52.441739 -17.133027)	POLYGON((-58.532815 -19.851576,-49.765663 -20.348054,-47.489129 -13.87833,-55.550031 -13.432245,-58.532815 -19.851576))	POLYGON((-57.598102 -18.173268,-57.510267 -18.140959,-54.847538 -17.435486,-51.729763 -13.649992,-51.0198 -16.013452,-48.340252 -16.67654,-52.93517 -18.06747,-54.218205 -20.102986,-57.598102 -18.173268))	SPoCA_v1.0_AR_0000008551							null	null	null	null	null		null	null
AR	2013-05-01T06:23:48	POINT(-633.25 375.631)	POLYGON((-690.3 318.9,-579.9 318.9,-579.9 428.1,-690.3 428.1,-690.3 318.9))	POLYGON((-690.3 386.1,-689.7 386.7,-636.3 428.1,-581.1 351.9,-621.3 318.9,-632.7 357.3,-672.3 351.9,-690.3 386.1))	POINT(-44.961086 20.255019)	POLYGON((-49.030067 16.817569,-39.217845 16.304871,-41.466273 23.550593,-52.413617 24.159144,-49.030067 16.817569))	POLYGON((-50.875155 21.273567,-50.831504 21.310469,-46.747961 23.83091,-39.874908 18.45336,-42.697582 16.476363,-44.477732 19.036181,-48.068333 18.88237,-50.875155 21.273567))	SPoCA_v1.0_AR_0000008533							null	null	null	null	null		null	null
