event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ar_mcintoshcls	ar_mtwilsoncls	ar_zurichcls	ar_penumbracls	ar_compactnesscls	ar_noaaclass	ar_noaanum	ar_numspots	ar_polarity	ar_spotarearaw	ar_spotarearawuncert	ar_spotarearawunit	ar_spotarearepr	ar_spotarearepruncert
AR	2013-11-01T01:14:00	POINT(789.545 -403.764)	POLYGON((768.9 -435.3,810.3 -435.3,810.3 -380.7,768.9 -380.7,768.9 -435.3))	POLYGON((768.9 -417.9,769.5 -417.3,795.3 -381.3,810.3 -387.3,780.9 -434.7,768.9 -417.9))	POINT(62.026024 -22.639902)	POLYGON((60.836557 -24.633172,67.560114 -25.116404,63.86917 -21.273388,58.136545 -20.874911,60.836557 -24.633172))	POLYGON((59.874334 -23.416142,59.924821 -23.380182,61.684457 -21.157768,64.240054 -21.726566,62.566561 -24.71513,59.874334 -23.416142))	SPoCA_v1.0_AR_0000010363							null	null	null	null	null		null	null
AR	2013-11-01T01:14:00	POINT(-116.711 -266.514)	POLYGON((-223.5 -358.5,-45.9 -358.5,-45.9 -205.5,-223.5 -205.5,-223.5 -358.5))	POLYGON((-223.5 -342.9,-222.9 -342.3,-209.7 -297.3,-179.1 -275.7,-181.5 -245.7,-144.9 -252.9,-120.3 -224.1,-64.5 -205.5,-48.9 -263.1,-114.3 -273.9,-122.1 -321.3,-160.5 -322.5,-176.1 -358.5,-223.5 -342.9))	POINT(-7.0466276 -11.587645)	POLYGON((-13.961508 -17.427372,-2.837744 -17.297313,-2.734312 -7.846094,-13.437385 -7.963831,-13.961508 -17.427372))	POLYGON((-13.886389 -16.437853,-13.845533 -16.399199,-12.835485 -13.566012,-10.87639 -12.199488,-10.952355 -10.362234,-8.735846 -10.772063,-7.204464 -9.0019,-3.843826 -7.851079,-2.943701 -11.349993,-6.911875 -12.040214,-7.479054 -14.985752,-9.856915 -15.08941,-10.954963 -17.375391,-13.886389 -16.437853))	SPoCA_v1.0_AR_0000010300							null	null	null	null	null		null	null
AR	2013-11-01T01:14:00	POINT(-696.056 301.943)	POLYGON((-746.7 259.5,-616.5 259.5,-616.5 354.3,-746.7 354.3,-746.7 259.5))	POLYGON((-746.7 323.7,-746.1 324.3,-715.5 354.3,-668.1 303.9,-630.9 324.3,-618.3 284.7,-676.5 263.7,-704.7 286.5,-739.5 259.5,-746.7 323.7))	POINT(-50.245689 20.975971)	POLYGON((-54.138601 18.122266,-42.162471 18.781129,-44.347926 24.588363,-57.390913 23.849198,-54.138601 18.122266))	POLYGON((-56.180244 21.987736,-56.135738 22.028184,-53.931322 24.0588,-47.657413 21.241619,-44.823323 22.668301,-42.812858 20.302048,-47.451083 18.763999,-50.658097 19.992785,-53.397208 18.166606,-56.180244 21.987736))	SPoCA_v1.0_AR_0000010341							null	null	null	null	null		null	null
AR	2013-11-01T01:14:00	POINT(593.474 209.495)	POLYGON((557.7 179.7,630.3 179.7,630.3 245.1,557.7 245.1,557.7 179.7))	POLYGON((557.7 199.5,558.3 200.1,567.3 237.9,601.5 244.5,628.5 208.5,626.7 180.3,564.3 185.1,557.7 199.5))	POINT(39.484339 15.862402)	POLYGON((36.357238 14.207151,42.02058 13.940593,43.04869 17.854541,37.212317 18.132458,36.357238 14.207151))	POLYGON((36.589317 15.39033,36.642166 15.424233,37.848365 17.664283,40.665807 17.935444,42.286621 15.665919,41.736777 13.990833,36.916901 14.507286,36.589317 15.39033))	SPoCA_v1.0_AR_0000010351							null	null	null	null	null		null	null
AR	2013-11-01T01:14:00	POINT(557.104 -305.144)	POLYGON((486.3 -339.3,621.9 -339.3,621.9 -273.3,486.3 -273.3,486.3 -339.3))	POLYGON((486.3 -320.1,486.9 -319.5,555.9 -273.3,619.5 -314.7,593.7 -330.3,530.7 -321.3,507.9 -339.3,486.3 -320.1))	POINT(36.438951 -14.82886)	POLYGON((31.556432 -16.753425,42.176964 -17.260271,41.162303 -13.089287,30.894095 -12.613104,31.556432 -16.753425))	POLYGON((31.339742 -15.537388,31.376712 -15.501347,35.985908 -12.834635,41.556344 -15.680803,39.681267 -16.562705,34.630808 -15.755009,33.148867 -16.821365,31.339742 -15.537388))	SPoCA_v1.0_AR_0000010364							null	null	null	null	null		null	null
AR	2013-11-01T01:14:00	POINT(-913.783 60.0475)	POLYGON((-939.9 26.7,-880.5 26.7,-880.5 89.7,-939.9 89.7,-939.9 26.7))	POLYGON((-939.9 61.5,-939.3 62.1,-933.9 89.1,-881.1 76.5,-896.1 37.5,-938.1 26.7,-939.9 61.5))	POINT(-71.310829 4.9687382)	POLYGON((-76.432571 2.613068,-65.580946 3.394365,-66.345606 7.084123,-77.688376 6.267222,-76.432571 2.613068))	POLYGON((-76.984628 4.640147,-76.840643 4.686504,-76.118731 6.347495,-66.225795 6.306852,-68.022153 3.8642,-75.983024 2.646378,-76.984628 4.640147))	SPoCA_v1.0_AR_0000010358							null	null	null	null	null		null	null
AR	2013-11-01T01:14:00	POINT(332.415 -224.009)	POLYGON((237.3 -279.3,405.9 -279.3,405.9 -157.5,237.3 -157.5,237.3 -279.3))	POLYGON((237.3 -179.1,237.9 -178.5,243.3 -157.5,259.5 -158.1,281.7 -191.7,350.1 -227.1,386.7 -204.9,402.9 -224.7,399.9 -269.1,371.1 -279.3,341.1 -268.5,317.1 -237.9,274.5 -263.1,287.1 -211.5,237.3 -179.1))	POINT(20.295187 -9.2401703)	POLYGON((14.495089 -12.484154,25.388484 -12.777754,24.829226 -5.36981,14.200352 -5.094068,14.495089 -12.484154))	POLYGON((14.233619 -6.389071,14.26937 -6.353732,14.567512 -5.101165,15.562978 -5.157175,17.001581 -7.20489,21.441712 -9.459897,23.728088 -8.184025,24.877692 -9.420249,24.920209 -12.133839,23.069489 -12.702461,21.047803 -11.977514,19.370729 -10.059974,16.769694 -11.536488,17.389846 -8.40874,14.233619 -6.389071))	SPoCA_v1.0_AR_0000010284							null	null	null	null	null		null	null
AR	2013-11-01T05:14:00	POINT(-670.552 292.515)	POLYGON((-716.1 252.9,-602.1 252.9,-602.1 325.5,-716.1 325.5,-716.1 252.9))	POLYGON((-716.1 274.5,-715.5 275.1,-713.1 309.9,-666.3 321.9,-633.3 302.1,-605.1 325.5,-610.5 297.3,-648.9 263.1,-679.5 278.7,-695.7 252.9,-716.1 274.5))	POINT(-47.584198 20.524901)	POLYGON((-50.899166 17.896025,-40.852837 18.426854,-42.341846 22.855388,-52.961043 22.282624,-50.899166 17.896025))	POLYGON((-51.443425 19.193829,-51.400331 19.233358,-52.155594 21.351483,-47.969943 22.338099,-44.481833 21.284523,-42.598323 22.842763,-42.414801 21.089931,-44.980146 18.84609,-48.067602 19.64286,-48.965055 18.005266,-51.443425 19.193829))	SPoCA_v1.0_AR_0000010341							null	null	null	null	null		null	null
AR	2013-11-01T05:14:00	POINT(618.81 213.767)	POLYGON((588.9 181.5,653.7 181.5,653.7 248.7,588.9 248.7,588.9 181.5))	POLYGON((588.9 201.9,589.5 202.5,597.9 247.5,623.7 247.5,653.7 204.9,648.3 186.3,597.3 189.3,588.9 201.9))	POINT(41.570096 16.007346)	POLYGON((38.754813 14.192895,43.97004 13.937069,45.10631 17.95615,39.716475 18.223777,38.754813 14.192895))	POLYGON((39.015622 15.411141,39.070628 15.444849,40.419577 18.117061,42.534516 18.01392,44.325202 15.331261,43.587875 14.245875,39.507809 14.627463,39.015622 15.411141))	SPoCA_v1.0_AR_0000010351							null	null	null	null	null		null	null
AR	2013-11-01T05:14:00	POINT(415.849 -23.423)	POLYGON((381.9 -44.7,447.9 -44.7,447.9 -3.9,381.9 -3.9,381.9 -44.7))	POLYGON((381.9 -10.5,382.5 -9.9,416.1 -3.9,446.7 -41.7,419.7 -44.1,381.9 -10.5))	POINT(25.385598 2.5547442)	POLYGON((23.166361 1.367338,27.479722 1.226618,27.532795 3.634927,23.21256 3.775354,23.166361 1.367338))	POLYGON((23.202121 3.386051,23.24162 3.420289,25.431905 3.706009,27.401943 1.406682,25.618017 1.325567,23.202121 3.386051))	SPoCA_v1.0_AR_0000010368							null	null	null	null	null		null	null
