event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ar_mcintoshcls	ar_mtwilsoncls	ar_zurichcls	ar_penumbracls	ar_compactnesscls	ar_noaaclass	ar_noaanum	ar_numspots	ar_polarity	ar_spotarearaw	ar_spotarearawuncert	ar_spotarearawunit	ar_spotarearepr	ar_spotarearepruncert
AR	2012-10-01T01:00:48	POINT(48.0507 184.946)	POLYGON((-25.5 135.3,79.5 135.3,79.5 241.5,-25.5 241.5,-25.5 135.3))	POLYGON((-25.5 172.5,-24.3 173.1,15.3 176.7,50.1 241.5,71.7 227.7,72.3 135.3,21.3 165.9,-15.3 153.9,-25.5 172.5))	POINT(3.005817 17.776267)	POLYGON((-1.570412 14.784233,4.900944 14.762918,5.08467 21.214669,-1.629236 21.237194,-1.570412 14.784233))	POLYGON((-1.588092 17.028359,-1.513638 17.064906,0.954095 17.284275,3.202059 21.229814,4.558991 20.37201,4.456214 14.767033,1.323677 16.629872,-0.94726 15.906065,-1.588092 17.028359))	SPoCA_v1.0_AR_0000006611							null	null	null	null	null		null	null
AR	2012-10-01T01:00:48	POINT(845.806 332.803)	POLYGON((806.7 299.1,879.3 299.1,879.3 374.1,806.7 374.1,806.7 299.1))	POLYGON((806.7 352.5,807.3 353.1,835.5 374.1,847.5 330.3,872.1 331.5,877.5 315.3,834.9 301.5,827.1 341.7,806.7 352.5))	POINT(72.547327 22.450353)	POLYGON((64.326295 21.176029,77.040104 19.805759,88.227043 23.35522,68.699915 25.535523,64.326295 21.176029))	POLYGON((67.249604 24.284904,67.379894 24.310044,73.914077 24.974025,72.684762 22.27492,78.251633 21.734666,78.057068 20.720758,68.622472 20.878736,69.826727 23.315701,67.249604 24.284904))	SPoCA_v1.0_AR_0000006610							null	null	null	null	null		null	null
AR	2012-10-01T01:00:48	POINT(868.593 96.386)	POLYGON((744.9 11.7,948.3 11.7,948.3 200.7,744.9 200.7,744.9 11.7))	POLYGON((744.9 105.3,745.5 105.9,779.7 136.5,827.7 107.7,836.1 134.7,855.9 130.5,869.1 157.5,901.5 166.5,909.3 200.7,948.3 129.3,924.9 15.3,879.3 27.9,843.3 96.9,801.3 16.5,786.9 81.9,749.7 90.3,744.9 105.3))	POINT(66.220177 8.5108393)	POLYGON((51.098353 4.922576,81.780226 1.66691,88.857927 11.898863,53.811609 16.085239,51.098353 4.922576))	POLYGON((52.043662 10.455055,52.110323 10.485141,56.082792 11.962388,61.008087 9.73556,62.605716 11.205725,65.156703 10.686088,67.823826 12.042994,73.860201 11.931644,77.345911 13.635991,88.242062 8.016165,74.887445 2.675328,66.760499 4.33121,62.768561 8.903716,56.840445 4.668036,55.976314 8.677992,52.308543 9.527681,52.043662 10.455055))	SPoCA_v1.0_AR_0000006562							null	null	null	null	null		null	null
AR	2012-10-01T01:00:48	POINT(-439.747 -495.396)	POLYGON((-484.5 -531.3,-393.9 -531.3,-393.9 -464.7,-484.5 -464.7,-484.5 -531.3))	POLYGON((-484.5 -473.1,-483.9 -472.5,-426.9 -474.9,-395.1 -501.9,-457.5 -530.1,-460.5 -495.9,-484.5 -473.1))	POINT(-30.401312 -25.296913)	POLYGON((-34.879577 -28.145728,-27.562716 -27.664159,-26.417985 -22.939338,-33.309308 -23.369375,-34.879577 -28.145728))	POLYGON((-33.480146 -23.957069,-33.419763 -23.911639,-29.035891 -23.79135,-27.102777 -25.551619,-32.594685 -27.898479,-32.045866 -25.439633,-33.480146 -23.957069))	SPoCA_v1.0_AR_0000006613							null	null	null	null	null		null	null
AR	2012-10-01T05:00:48	POINT(721.522 39.3207)	POLYGON((694.5 24.3,751.5 24.3,751.5 58.5,694.5 58.5,694.5 24.3))	POLYGON((694.5 36.3,695.1 36.9,740.7 58.5,750.9 34.5,729.9 24.3,694.5 36.3))	POINT(49.123855 6.7481637)	POLYGON((46.612732 6.065141,51.811459 5.607216,52.112335 7.629962,46.880744 8.090862,46.612732 6.065141))	POLYGON((46.697695 6.776332,46.75438 6.807469,51.077424 7.724023,51.833391 6.216371,49.776924 5.790761,46.697695 6.776332))	SPoCA_v1.0_AR_0000006619							null	null	null	null	null		null	null
AR	2012-10-01T05:00:48	POINT(89.4605 193.547)	POLYGON((62.1 141.3,116.1 141.3,116.1 246.3,62.1 246.3,62.1 141.3))	POLYGON((62.1 184.5,62.7 185.1,77.1 243.3,93.3 244.5,110.7 225.3,111.3 141.9,72.3 158.1,62.1 184.5))	POINT(5.6181518 18.268179)	POLYGON((3.832736 15.124847,7.177918 15.088533,7.449668 21.472922,3.977631 21.511333,3.832736 15.124847))	POLYGON((3.884796 17.734812,3.923184 17.770928,4.934034 21.318303,5.976825 21.381171,7.04051 20.188386,6.880986 15.128768,4.485579 16.132209,3.884796 17.734812))	SPoCA_v1.0_AR_0000006611							null	null	null	null	null		null	null
AR	2012-10-01T05:00:48	POINT(-405.991 -498.404)	POLYGON((-461.1 -532.5,-340.5 -532.5,-340.5 -467.1,-461.1 -467.1,-461.1 -532.5))	POLYGON((-461.1 -477.3,-460.5 -476.7,-392.7 -477.3,-344.1 -507.3,-375.3 -504.9,-429.3 -532.5,-432.3 -500.7,-461.1 -477.3))	POINT(-27.863953 -25.356424)	POLYGON((-32.951884 -28.100193,-23.543624 -27.534913,-22.609867 -22.910564,-31.51808 -23.418343,-32.951884 -28.100193))	POLYGON((-31.712723 -24.131747,-31.654048 -24.086534,-26.518949 -23.814463,-23.411697 -25.737058,-25.671383 -25.687063,-30.368579 -27.92811,-29.926648 -25.642942,-31.712723 -24.131747))	SPoCA_v1.0_AR_0000006613							null	null	null	null	null		null	null
AR	2012-10-01T05:00:48	POINT(141.604 -235.125)	POLYGON((98.1 -267.9,168.9 -267.9,168.9 -213.9,98.1 -213.9,98.1 -267.9))	POLYGON((98.1 -245.1,99.3 -244.5,134.1 -215.7,161.7 -214.5,162.3 -267.9,98.1 -245.1))	POINT(8.5364655 -7.5228394)	POLYGON((5.933324 -9.506158,10.254604 -9.579834,10.170558 -6.254442,5.88551 -6.18265,5.933324 -9.506158))	POLYGON((5.9105 -8.096657,5.982527 -8.060602,8.060117 -6.324318,9.733147 -6.282032,9.849504 -9.57127,5.9105 -8.096657))	SPoCA_v1.0_AR_0000006618							null	null	null	null	null		null	null
AR	2012-10-01T05:00:48	POINT(871.559 92.1779)	POLYGON((768.3 2.7,947.1 2.7,947.1 203.1,768.3 203.1,768.3 2.7))	POLYGON((768.3 104.7,768.9 105.3,795.3 132.3,842.7 110.7,875.1 176.1,890.7 171.3,897.3 186.3,913.5 173.7,916.5 203.1,947.1 139.5,927.9 28.5,887.1 39.3,812.7 3.3,809.1 71.1,768.3 104.7))	POINT(66.565357 8.2166204)	POLYGON((53.313511 4.174173,81.182126 1.193561,88.846255 12.052134,56.318959 15.992157,53.313511 4.174173))	POLYGON((54.357614 10.199761,54.427867 10.229337,57.695916 11.547471,62.944038 9.714593,69.385255 13.00605,71.933074 12.435014,73.853905 13.140478,76.882101 12.029982,79.468348 13.540469,88.614311 8.5923,75.738187 3.370622,68.088243 4.869726,58.005492 3.757527,58.254718 7.801863,54.357614 10.199761))	SPoCA_v1.0_AR_0000006562							null	null	null	null	null		null	null
AR	2012-10-01T05:00:48	POINT(836.238 268.161)	POLYGON((819.9 249.9,855.9 249.9,855.9 285.9,819.9 285.9,819.9 249.9))	POLYGON((819.9 280.5,820.5 281.1,838.5 280.5,854.7 249.9,819.9 280.5))	POINT(67.098155 18.937891)	POLYGON((63.985392 18.122667,69.316416 17.562528,71.256998 19.606809,65.541184 20.213667,63.985392 18.122667))	POLYGON((65.288892 19.90036,65.401709 19.926355,68.052771 19.610691,69.120031 17.583581,65.288892 19.90036))	SPoCA_v1.0_AR_0000006621							null	null	null	null	null		null	null
