event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ar_mcintoshcls	ar_mtwilsoncls	ar_zurichcls	ar_penumbracls	ar_compactnesscls	ar_noaaclass	ar_noaanum	ar_numspots	ar_polarity	ar_spotarearaw	ar_spotarearawuncert	ar_spotarearawunit	ar_spotarearepr	ar_spotarearepruncert
AR	2013-07-01T02:10:24	POINT(496.995 306.44)	POLYGON((452.1 267.9,552.3 267.9,552.3 342.9,452.1 342.9,452.1 267.9))	POLYGON((452.1 330.3,452.7 330.9,485.1 342.9,528.3 323.1,552.3 290.7,545.1 269.1,518.1 279.3,491.7 267.9,457.5 296.1,452.1 330.3))	POINT(34.258538 21.262106)	POLYGON((30.28903 18.916473,37.994085 18.707543,39.47253 23.462147,31.405138 23.685693,30.28903 18.916473))	POLYGON((31.192145 22.875079,31.24787 22.912445,33.979345 23.619241,37.057534 22.253089,38.393492 20.140156,37.43584 18.79981,35.463294 19.50147,33.254385 18.841021,31.072556 20.684724,31.192145 22.875079))	SPoCA_v1.0_AR_0000009167							null	null	null	null	null		null	null
AR	2013-07-01T02:10:24	POINT(-897.19 117.647)	POLYGON((-930.3 45.3,-871.5 45.3,-871.5 198.9,-930.3 198.9,-930.3 45.3))	POLYGON((-930.3 80.1,-929.7 80.7,-917.1 132.9,-900.9 134.7,-891.9 196.5,-871.5 184.5,-879.9 101.7,-906.9 45.3,-930.3 80.1))	POINT(-73.435013 7.9803254)	POLYGON((-80.525462 3.22654,-67.475572 3.853115,-71.169013 13.090125,-89.652166 12.066043,-80.525462 3.22654))	POLYGON((-81.527867 5.295183,-81.305578 5.342726,-79.066574 8.643144,-74.799164 8.959594,-75.372633 12.743152,-70.600747 12.224222,-69.721758 7.181092,-74.023943 3.543886,-81.527867 5.295183))	SPoCA_v1.0_AR_0000009188							null	null	null	null	null		null	null
AR	2013-07-01T02:10:24	POINT(-803.526 75.6916)	POLYGON((-830.1 33.3,-774.9 33.3,-774.9 125.7,-830.1 125.7,-830.1 33.3))	POLYGON((-830.1 107.7,-829.5 108.3,-807.3 121.5,-800.1 68.1,-777.9 37.5,-793.5 34.5,-816.3 62.1,-830.1 107.7))	POINT(-58.653137 6.0920147)	POLYGON((-61.52351 3.393617,-55.129235 3.665985,-56.058169 9.248853,-62.672957 8.967229,-61.52351 3.393617))	POLYGON((-62.36117 7.881164,-62.292133 7.920818,-59.713994 8.838822,-58.178135 5.650731,-55.473823 3.906468,-57.165413 3.654091,-60.039218 5.206533,-62.36117 7.881164))	SPoCA_v1.0_AR_0000009178							null	null	null	null	null		null	null
AR	2013-07-01T02:10:24	POINT(706.63 -223.873)	POLYGON((677.7 -262.5,746.7 -262.5,746.7 -186.3,677.7 -186.3,677.7 -262.5))	POLYGON((677.7 -227.1,678.3 -226.5,690.9 -192.3,737.1 -186.3,740.7 -233.1,687.9 -262.5,677.7 -227.1))	POINT(49.698268 -11.825636)	POLYGON((47.585664 -14.164959,54.570163 -14.447482,53.150968 -9.632849,46.504212 -9.371382,47.585664 -14.164959))	POLYGON((47.018459 -11.923212,47.064966 -11.887541,47.776285 -9.790332,52.165597 -9.592508,53.300797 -12.547771,48.552679 -14.2024,47.018459 -11.923212))	SPoCA_v1.0_AR_0000009184							null	null	null	null	null		null	null
AR	2013-07-01T02:10:24	POINT(846.638 -246.668)	POLYGON((822.9 -273.9,877.5 -273.9,877.5 -215.7,822.9 -215.7,822.9 -273.9))	POLYGON((822.9 -270.9,823.5 -270.3,827.7 -249.9,849.9 -244.5,867.9 -215.7,877.5 -227.1,822.9 -270.9))	POINT(67.36393 -14.029694)	POLYGON((64.627676 -15.618793,75.170377 -16.132026,71.84264 -12.30817,62.754784 -11.876131,64.627676 -15.618793))	POLYGON((64.512219 -15.423308,64.580345 -15.388516,64.475561 -14.096334,67.834326 -13.915979,69.94203 -12.21558,72.364357 -13.045553,64.512219 -15.423308))	SPoCA_v1.0_AR_0000009190							null	null	null	null	null		null	null
AR	2013-07-01T02:10:24	POINT(547.54 -278.966)	POLYGON((464.1 -355.5,618.9 -355.5,618.9 -215.1,464.1 -215.1,464.1 -355.5))	POLYGON((464.1 -309.3,464.7 -308.7,480.9 -289.5,477.3 -263.7,524.1 -236.7,537.3 -199.5,597.9 -236.7,615.9 -317.7,596.7 -304.5,524.7 -309.9,506.7 -355.5,464.1 -309.3))	POINT(36.722597 -14.825961)	POLYGON((31.330721 -19.586737,44.076849 -19.997677,41.734685 -10.984566,29.888314 -10.626319,31.330721 -19.586737))	POLYGON((30.737137 -16.583681,30.774591 -16.546269,31.759265 -15.348367,31.23208 -13.701433,34.455719 -12.098271,35.137378 -9.804871,40.245233 -12.280589,43.002973 -17.508375,41.107638 -16.595275,35.342687 -16.753921,34.619162 -19.681348,30.737137 -16.583681))	SPoCA_v1.0_AR_0000009106							null	null	null	null	null		null	null
AR	2013-07-01T02:10:24	POINT(364.662 -350.175)	POLYGON((318.9 -404.7,440.7 -404.7,440.7 -289.5,318.9 -289.5,318.9 -404.7))	POLYGON((318.9 -381.9,319.5 -381.3,326.7 -344.1,358.5 -325.5,369.9 -291.9,399.9 -289.5,443.7 -309.3,390.9 -382.5,327.9 -404.7,318.9 -381.9))	POINT(24.025413 -19.060092)	POLYGON((21.379483 -22.604491,30.31069 -22.81194,28.823773 -15.270835,20.393808 -15.087079,21.379483 -22.604491))	POLYGON((21.140958 -21.083018,21.176823 -21.04404,21.330577 -18.610098,23.36198 -17.447834,23.87027 -15.308252,25.931241 -15.201169,29.242442 -16.544437,26.270471 -21.232302,22.016433 -22.61706,21.140958 -21.083018))	SPoCA_v1.0_AR_0000009191							null	null	null	null	null		null	null
AR	2013-07-01T02:10:24	POINT(311.264 -565.865)	POLYGON((268.5 -601.5,362.1 -601.5,362.1 -532.5,268.5 -532.5,268.5 -601.5))	POLYGON((268.5 -581.1,269.1 -580.5,311.7 -532.5,362.1 -571.5,357.3 -587.1,308.7 -582.9,282.3 -601.5,268.5 -581.1))	POINT(23.369465 -34.052032)	POLYGON((20.719544 -36.74195,28.578483 -36.922869,26.685333 -31.645659,19.413506 -31.490489,20.719544 -36.74195))	POLYGON((20.285978 -35.149739,20.321466 -35.104358,22.715903 -31.555238,27.673131 -34.581061,27.716422 -35.778302,23.557134 -35.355328,21.845033 -36.76454,20.285978 -35.149739))	SPoCA_v1.0_AR_0000009115							null	null	null	null	null		null	null
AR	2013-07-01T06:10:24	POINT(539.065 306.612)	POLYGON((479.7 260.7,608.1 260.7,608.1 351.9,479.7 351.9,479.7 260.7))	POLYGON((479.7 334.5,480.3 335.1,500.7 351.9,588.3 343.5,606.3 275.7,570.3 260.7,545.1 278.1,525.3 263.7,485.7 294.3,479.7 334.5))	POINT(37.617357 21.193108)	POLYGON((32.252785 18.429231,42.503411 18.126297,44.624068 23.896411,33.730264 24.22707,32.252785 18.429231))	POLYGON((33.402629 23.105604,33.460546 23.142892,35.410056 24.181263,42.610775 23.416282,42.639857 19.068898,39.33875 18.227396,37.590649 19.379095,35.788109 18.521854,33.191035 20.531432,33.402629 23.105604))	SPoCA_v1.0_AR_0000009167							null	null	null	null	null		null	null
AR	2013-07-01T06:10:24	POINT(-889.702 115.585)	POLYGON((-925.5 40.5,-857.7 40.5,-857.7 197.1,-925.5 197.1,-925.5 40.5))	POLYGON((-925.5 75.9,-924.9 76.5,-914.1 145.5,-898.5 138.9,-880.5 196.5,-858.9 182.1,-862.5 111.3,-898.5 44.7,-912.3 41.1,-925.5 75.9))	POINT(-71.856979 7.934888)	POLYGON((-78.798875 3.023477,-65.334239 3.667632,-68.648356 13.101744,-89.650607 12.020181,-78.798875 3.023477))	POLYGON((-79.60673 5.137252,-79.42375 5.182846,-78.745945 9.436012,-74.40255 9.241303,-72.84663 12.868376,-68.327571 12.187628,-67.045831 7.898074,-72.251371 3.598019,-75.214165 3.236001,-79.60673 5.137252))	SPoCA_v1.0_AR_0000009188							null	null	null	null	null		null	null
