event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ar_mcintoshcls	ar_mtwilsoncls	ar_zurichcls	ar_penumbracls	ar_compactnesscls	ar_noaaclass	ar_noaanum	ar_numspots	ar_polarity	ar_spotarearaw	ar_spotarearawuncert	ar_spotarearawunit	ar_spotarearepr	ar_spotarearepruncert
AR	2013-06-24T09:14:12	POINT(-740.323 -493.259)	POLYGON((-819.3 -541.5,-683.1 -541.5,-683.1 -399.9,-819.3 -399.9,-819.3 -541.5))	POLYGON((-819.3 -405.3,-818.7 -404.7,-799.5 -410.7,-762.9 -479.7,-687.9 -474.9,-697.5 -539.7,-756.9 -532.5,-819.3 -405.3))	POINT(-65.408573 -30.575781)	POLYGON((-88.272157 -33.423351,-60.467368 -33.897681,-52.008294 -23.694813,-72.101337 -24.389453,-88.272157 -33.423351))	POLYGON((-72.66097 -24.772536,-72.454184 -24.724488,-68.897701 -24.996114,-68.29635 -29.72195,-56.190139 -28.959052,-62.61447 -33.840466,-74.412111 -33.748945,-72.66097 -24.772536))	SPoCA_v1.0_AR_0000009115							null	null	null	null	null		null	null
AR	2013-06-24T13:25:00	POINT(889.326 166.234)	POLYGON((865.5 117.3,917.7 117.3,917.7 223.5,865.5 223.5,865.5 117.3))	POLYGON((865.5 207.9,866.1 208.5,875.7 223.5,889.5 204.3,916.5 117.3,880.5 138.3,865.5 207.9))	POINT(73.228528 10.752151)	POLYGON((67.508508 7.948533,78.400493 7.56584,89.75013 13.687739,70.89418 14.382354,67.508508 7.948533))	POLYGON((70.220292 13.433898,70.354533 13.466605,72.920122 14.312567,74.992447 13.044787,78.041552 7.578776,70.574463 9.128232,70.220292 13.433898))	SPoCA_v1.0_AR_0000009095							null	null	null	null	null		null	null
AR	2013-06-24T13:25:00	POINT(-758.171 -290.411)	POLYGON((-856.5 -389.7,-678.9 -389.7,-678.9 -215.1,-856.5 -215.1,-856.5 -389.7))	POLYGON((-856.5 -297.3,-855.9 -296.7,-811.5 -248.1,-771.3 -273.3,-761.1 -215.7,-705.9 -228.9,-679.5 -250.5,-679.5 -311.7,-726.3 -345.3,-729.9 -384.3,-744.9 -387.3,-755.7 -336.3,-776.7 -342.3,-801.9 -319.5,-819.9 -338.7,-856.5 -297.3))	POINT(-56.761685 -16.703594)	POLYGON((-83.570164 -24.144415,-51.167969 -22.976686,-47.054674 -11.672352,-67.988563 -12.350923,-83.570164 -24.144415))	POLYGON((-71.962727 -17.676655,-71.79448 -17.632082,-62.229218 -14.212153,-57.823262 -15.652385,-55.275778 -11.957079,-49.812718 -12.61168,-47.663147 -13.900814,-48.92178 -17.819278,-54.838563 -20.172856,-56.79176 -22.798561,-58.835328 -23.066301,-58.017027 -19.692531,-61.00556 -20.18347,-63.570106 -18.797212,-67.471588 -20.178405,-71.962727 -17.676655))	SPoCA_v1.0_AR_0000009106							null	null	null	null	null		null	null
AR	2013-06-24T13:25:00	POINT(510.319 -495.781)	POLYGON((484.5 -526.5,570.3 -526.5,570.3 -451.5,484.5 -451.5,484.5 -526.5))	POLYGON((484.5 -502.5,485.1 -501.9,551.1 -452.1,570.3 -458.1,537.9 -477.9,515.1 -523.5,492.3 -521.7,484.5 -502.5))	POINT(38.431359 -29.897699)	POLYGON((37.141172 -32.077206,45.456838 -32.300672,42.480867 -26.904703,34.930564 -26.714817,37.141172 -32.077206))	POLYGON((36.344941 -30.325331,36.37905 -30.283271,40.732037 -26.899358,42.699734 -27.366567,40.350306 -28.683801,39.861925 -31.927776,37.681545 -31.741305,36.344941 -30.325331))	SPoCA_v1.0_AR_0000009129							null	null	null	null	null		null	null
AR	2013-06-24T13:25:00	POINT(-716.79 -514.096)	POLYGON((-770.7 -569.7,-665.1 -569.7,-665.1 -473.1,-770.7 -473.1,-770.7 -569.7))	POLYGON((-770.7 -482.7,-770.1 -482.1,-714.9 -473.1,-692.7 -494.7,-671.1 -474.9,-670.5 -552.9,-693.9 -552.9,-705.9 -569.7,-747.9 -537.9,-770.7 -482.7))	POINT(-63.327057 -31.986494)	POLYGON((-88.087916 -36.429307,-60.366566 -36.000064,-53.266237 -28.726351,-69.165625 -29.283994,-88.087916 -36.429307))	POLYGON((-70.28358 -30.00125,-70.077281 -29.951128,-59.717808 -28.942542,-58.103042 -30.411648,-54.084107 -28.878968,-59.57112 -34.705169,-63.383347 -34.841313,-67.843729 -36.273739,-72.822845 -34.080711,-70.28358 -30.00125))	SPoCA_v1.0_AR_0000009115							null	null	null	null	null		null	null
AR	2013-06-24T13:25:00	POINT(799.516 32.9782)	POLYGON((719.7 -36.3,875.7 -36.3,875.7 128.7,719.7 128.7,719.7 -36.3))	POLYGON((719.7 41.7,720.3 42.3,746.1 81.9,744.9 117.9,761.7 128.7,774.3 101.7,812.7 97.5,821.1 50.1,858.9 51.3,874.5 22.5,870.9 -21.9,817.5 -32.7,806.7 15.9,784.5 32.7,734.7 -14.7,719.7 41.7))	POINT(57.777631 3.1410334)	POLYGON((49.469473 -0.804337,67.842551 -1.392109,69.4645 8.578618,50.344763 9.182892,49.469473 -0.804337))	POLYGON((49.61985 3.913862,49.679095 3.94854,52.443161 6.271403,52.693255 8.455984,54.563947 9.060246,55.567535 7.382727,59.906038 6.991762,60.44664 4.093984,65.528185 3.998719,67.707351 2.177371,67.040209 -0.491011,59.762661 -0.901384,58.529837 2.08249,56.101953 3.176455,50.888027 0.462711,49.61985 3.913862))	SPoCA_v1.0_AR_0000009043							null	null	null	null	null		null	null
AR	2013-06-24T13:25:00	POINT(764.736 -370.198)	POLYGON((574.5 -508.5,891.3 -508.5,891.3 -228.3,574.5 -228.3,574.5 -508.5))	POLYGON((574.5 -456.9,576.3 -456.3,649.5 -405.9,686.7 -423.9,695.1 -365.7,719.1 -372.3,740.1 -354.9,764.7 -283.5,853.5 -228.3,887.1 -236.1,887.7 -290.7,881.1 -263.1,867.3 -278.7,863.1 -362.7,798.9 -435.9,780.9 -481.5,762.9 -483.3,762.3 -453.9,743.7 -466.5,723.3 -453.9,694.5 -477.9,644.1 -474.9,623.7 -508.5,610.5 -471.9,574.5 -456.9))	POINT(60.666433 -21.997508)	POLYGON((45.059921 -30.985943,88.473442 -29.670686,75.848141 -13.462708,38.353932 -12.26567,45.059921 -30.985943))	POLYGON((43.055727 -27.293278,43.20592 -27.255907,48.665657 -23.982236,53.400073 -25.342691,52.072619 -21.418842,55.00186 -21.946384,56.819165 -20.863692,57.330006 -16.282795,67.952594 -13.172906,75.228599 -13.927686,80.230703 -17.567791,75.47178 -15.635205,73.14368 -16.535946,80.768854 -22.248059,71.202227 -26.785641,72.551873 -30.002704,68.68291 -29.983505,65.70359 -27.819474,63.606777 -28.618601,59.627445 -27.60359,57.228867 -29.194002,50.932654 -28.77828,50.350205 -31.144577,47.179131 -28.45405,43.055727 -27.293278))	SPoCA_v1.0_AR_0000009102							null	null	null	null	null		null	null
AR	2013-06-24T17:26:48	POINT(897.522 169.85)	POLYGON((876.9 123.9,918.9 123.9,918.9 225.3,876.9 225.3,876.9 123.9))	POLYGON((876.9 208.5,877.5 209.1,887.7 224.1,918.3 130.5,908.7 123.9,892.5 144.3,876.9 208.5))	POINT(75.228538 10.909809)	POLYGON((69.561698 8.288542,79.055385 7.949744,89.746779 13.776483,73.274132 14.418504,69.561698 8.288542))	POLYGON((72.444935 13.400742,72.595702 13.432776,75.689399 14.258443,79.161167 8.349998,76.154746 8.054902,73.116004 9.413404,72.444935 13.400742))	SPoCA_v1.0_AR_0000009095							null	null	null	null	null		null	null
AR	2013-06-24T17:26:48	POINT(819.063 47.6651)	POLYGON((739.5 -17.7,902.1 -17.7,902.1 132.3,739.5 132.3,739.5 -17.7))	POLYGON((739.5 42.3,740.1 42.9,766.5 78.3,776.1 131.7,798.3 105.3,821.7 119.7,902.1 35.1,887.7 -14.7,848.7 3.9,830.1 -15.3,820.5 14.7,797.1 21.3,760.5 -17.1,739.5 42.3))	POINT(60.179974 3.9645513)	POLYGON((51.351968 0.279582,72.585018 -0.425796,74.836026 8.6165,52.333268 9.357956,51.351968 0.279582))	POLYGON((51.518826 3.907772,51.580621 3.942319,54.5012 6.002845,56.160468 9.206382,58.299086 7.528038,61.352784 8.308598,72.796189 2.768939,69.836322 -0.145393,63.800221 1.191574,61.313003 0.111615,60.174756 1.966596,57.450147 2.454184,53.444551 0.253171,51.518826 3.907772))	SPoCA_v1.0_AR_0000009043							null	null	null	null	null		null	null
AR	2013-06-24T17:26:48	POINT(-742.397 -291.919)	POLYGON((-832.5 -354.9,-657.9 -354.9,-657.9 -213.9,-832.5 -213.9,-832.5 -354.9))	POLYGON((-832.5 -278.1,-831.9 -277.5,-798.9 -249.3,-765.3 -271.5,-742.5 -246.9,-739.5 -213.9,-715.5 -251.7,-674.7 -246.3,-657.9 -300.9,-667.5 -324.9,-712.5 -311.7,-754.5 -341.7,-774.9 -316.5,-812.7 -354.9,-832.5 -278.1))	POINT(-54.987935 -16.731443)	POLYGON((-70.995721 -21.358364,-47.916948 -20.572851,-45.14801 -11.531207,-64.177775 -12.133626,-70.995721 -21.358364))	POLYGON((-66.467768 -16.246696,-66.343639 -16.20417,-60.57833 -14.222051,-57.053476 -15.503011,-53.888306 -13.851112,-52.928863 -11.760231,-51.178057 -14.06813,-47.142236 -13.6095,-46.608148 -17.047919,-48.068383 -18.630407,-52.278017 -17.909585,-58.07112 -20.035066,-59.700523 -18.461237,-67.202318 -21.217672,-66.467768 -16.246696))	SPoCA_v1.0_AR_0000009106							null	null	null	null	null		null	null
