event_type	event_stARrttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ARr_mcintoshcls	ARr_mtwilsoncls	ARr_zurichcls	ARr_penumbrARcls	ARr_compARctnesscls	ARr_noARARclARss	ARr_noARARnum	ARr_numspots	ARr_polARrity	ARr_spotARreARrARw	ARr_spotARreARrARwuncert	ARr_spotARreARrARwunit	ARr_spotARreARrepr	ARr_spotARreARrepruncert
AR	2012-01-01T03:00:13	POINT(-141.281 -359.882)	POLYGON((-291.9 -492.9,-39.3 -492.9,-39.3 -219.3,-291.9 -219.3,-291.9 -492.9))	POLYGON((-291.9 -297.3,-291.3 -296.7,-262.5 -296.1,-200.7 -260.1,-243.3 -300.3,-228.3 -356.1,-147.3 -405.9,-122.1 -378.9,-134.7 -273.3,-105.9 -230.7,-48.9 -221.7,-40.5 -243.3,-119.1 -282.9,-112.5 -332.1,-89.1 -353.1,-98.7 -381.3,-83.7 -420.9,-125.1 -439.5,-145.5 -491.1,-194.7 -480.9,-165.3 -437.1,-167.7 -416.1,-207.9 -387.9,-272.7 -375.3,-251.1 -328.5,-291.9 -297.3))	POINT(-9.1190179 -24.47972)	POLYGON((-20.826065 -33.002866,-2.748449 -33.178742,-2.390291 -15.891605,-18.036883 -15.753481,-20.826065 -33.002866))	POLYGON((-18.550395 -20.479446,-18.506328 -20.443283,-16.618575 -20.434564,-12.461266 -18.288895,-15.399783 -20.709225,-14.804745 -24.184277,-9.753368 -27.40228,-7.951443 -25.690291,-8.368268 -19.128251,-6.475096 -16.561045,-2.976788 -16.03432,-2.482006 -17.336228,-7.420515 -19.720507,-7.154241 -22.75506,-5.717744 -24.074968,-6.42913 -25.852021,-5.575163 -28.398184,-8.447561 -29.593822,-10.20733 -33.016568,-13.605222 -32.294538,-11.172993 -29.414234,-11.187622 -28.047705,-13.686396 -26.210547,-17.947048 -25.352854,-16.103964 -22.442746,-18.550395 -20.479446))	SPoCAR_v1.0_AR_0000003963							null	null	null	null	null		null	null
AR	2012-01-01T03:00:13	POINT(943.677 234.771)	POLYGON((934.5 194.1,952.5 194.1,952.5 266.1,934.5 266.1,934.5 194.1))	POLYGON((934.5 265.5,935.1 266.1,945.3 249.3,951.9 194.1,934.5 265.5))	POINT(84.524655 13.660513)	POLYGON((77.061804 10.820099,84.421844 11.202915,88.89271 15.57262,83.77866 15.527806,77.061804 10.820099))	POLYGON((83.666502 15.485212,84.206252 15.550378,88.940086 14.739105,84.003799 11.180992,83.666502 15.485212))	SPoCAR_v1.0_AR_0000003989							null	null	null	null	null		null	null
AR	2012-01-01T03:00:13	POINT(436.441 -309.358)	POLYGON((371.1 -344.7,507.3 -344.7,507.3 -261.3,371.1 -261.3,371.1 -344.7))	POLYGON((371.1 -328.5,371.7 -327.9,420.3 -293.1,459.3 -293.1,478.5 -261.3,507.3 -270.3,469.5 -332.1,403.5 -328.5,376.5 -344.7,371.1 -328.5))	POINT(28.52529 -21.025515)	POLYGON((24.372958 -23.312474,34.286679 -23.074265,33.008021 -17.969295,23.50743 -18.192661,24.372958 -23.312474))	POLYGON((24.181251 -22.306125,24.215855 -22.26814,27.190232 -20.055757,29.946443 -19.99054,30.926998 -18.024094,33.125408 -18.513789,31.238622 -22.368725,26.440562 -22.258608,24.75003 -23.304782,24.181251 -22.306125))	SPoCAR_v1.0_AR_0000003927							null	null	null	null	null		null	null
AR	2012-01-01T03:00:13	POINT(-459.324 -317.119)	POLYGON((-551.7 -425.1,-399.9 -425.1,-399.9 -213.9,-551.7 -213.9,-551.7 -425.1))	POLYGON((-551.7 -353.1,-551.1 -352.5,-482.1 -285.9,-479.7 -252.9,-434.7 -213.9,-414.3 -219.9,-399.9 -263.7,-437.7 -312.9,-403.5 -360.9,-408.9 -375.3,-440.7 -400.5,-490.5 -384.3,-525.3 -425.1,-539.7 -420.9,-551.7 -353.1))	POINT(-30.272753 -21.462937)	POLYGON((-39.705011 -28.043166,-27.661295 -28.366983,-25.045805 -15.30084,-35.700379 -15.031464,-39.705011 -28.043166))	POLYGON((-37.929146 -23.495617,-37.868323 -23.459755,-31.494855 -19.50995,-30.914833 -17.51463,-27.393991 -15.248928,-26.060616 -15.639091,-25.47467 -18.297981,-28.660972 -21.24108,-26.878131 -24.276491,-27.482608 -25.173284,-30.26492 -26.715871,-33.753563 -25.589432,-37.487348 -28.110443,-38.574144 -27.804795,-37.929146 -23.495617))	SPoCAR_v1.0_AR_0000003988							null	null	null	null	null		null	null
AR	2012-01-01T03:00:13	POINT(-857.939 225.256)	POLYGON((-902.7 173.7,-813.9 173.7,-813.9 278.7,-902.7 278.7,-902.7 173.7))	POLYGON((-902.7 210.3,-902.1 210.9,-873.9 221.7,-863.1 266.1,-830.7 278.7,-813.9 234.9,-824.1 207.9,-858.9 223.5,-884.7 173.7,-902.7 210.3))	POINT(-63.860415 12.037237)	POLYGON((-69.427649 9.214402,-57.359447 8.646344,-59.588841 15.084613,-73.893842 15.784152,-69.427649 9.214402))	POLYGON((-70.572358 11.463959,-70.48167 11.495523,-66.093794 11.930097,-65.918327 14.614481,-61.734759 15.184569,-58.472344 12.369059,-59.112542 10.771343,-63.947861 11.935478,-66.489322 9.07084,-70.572358 11.463959))	SPoCAR_v1.0_AR_0000003996							null	null	null	null	null		null	null
AR	2012-01-01T03:00:13	POINT(71.5594 212.185)	POLYGON((-4.5 178.5,159.3 178.5,159.3 239.7,-4.5 239.7,-4.5 178.5))	POLYGON((-4.5 208.5,-3.9 209.1,18.9 237.9,45.3 239.7,105.3 212.7,157.5 230.7,150.3 198.3,113.7 178.5,88.5 206.1,5.1 194.1,-4.5 208.5))	POINT(4.2475886 9.5560919)	POLYGON((-0.265443 7.537038,9.44082 7.578089,9.543086 11.244239,-0.268278 11.201911,-0.265443 7.537038))	POLYGON((-0.266683 9.32706,-0.231149 9.362972,1.126416 11.093899,2.701702 11.205281,6.257905 9.596743,9.416651 10.700734,8.929553 8.753998,6.7228 7.557861,5.250236 9.196173,0.301527 8.466432,-0.266683 9.32706))	SPoCAR_v1.0_AR_0000004006							null	null	null	null	null		null	null
AR	2012-01-01T07:00:13	POINT(-44.0415 -239.99)	POLYGON((-94.5 -282.3,0.9 -282.3,0.9 -178.5,-94.5 -178.5,-94.5 -282.3))	POLYGON((-94.5 -271.5,-93.9 -270.9,-52.5 -221.7,-54.3 -178.5,-2.1 -239.7,-87.9 -285.3,-94.5 -271.5))	POINT(-2.6965358 -17.155441)	POLYGON((-5.881275 -19.712067,0.055917 -19.727079,0.05412 -13.476259,-5.691716 -13.461978,-5.881275 -19.712067))	POLYGON((-5.85736 -19.053425,-5.818756 -19.017084,-3.196454 -16.053225,-3.266953 -13.471553,-0.128521 -17.141111,-5.47562 -19.897463,-5.85736 -19.053425))	SPoCAR_v1.0_AR_0000004016							null	null	null	null	null		null	null
AR	2012-01-01T07:00:13	POINT(-429.002 -315.482)	POLYGON((-524.1 -434.1,-372.3 -434.1,-372.3 -191.7,-524.1 -191.7,-524.1 -434.1))	POLYGON((-524.1 -351.9,-523.5 -351.3,-453.3 -283.5,-452.7 -250.5,-424.5 -228.3,-417.3 -191.7,-378.9 -222.9,-375.3 -267.3,-409.5 -322.5,-374.7 -357.9,-375.3 -380.1,-407.7 -403.5,-452.7 -380.1,-476.7 -383.7,-486.9 -429.3,-512.7 -434.1,-507.9 -377.7,-524.1 -351.9))	POINT(-28.079475 -21.431646)	POLYGON((-37.636356 -28.708927,-25.776162 -29.012579,-23.067242 -14.031162,-33.448782 -13.783019,-37.636356 -28.708927))	POLYGON((-35.725224 -23.501091,-35.666704 -23.465106,-29.402095 -19.432687,-28.985785 -17.434305,-26.826102 -16.144646,-26.046043 -13.968614,-23.718425 -15.886533,-23.84528 -18.568576,-26.790583 -21.895808,-24.795235 -24.149812,-25.140406 -25.546456,-27.860555 -26.982826,-30.797059 -25.416084,-32.683312 -25.596378,-34.473444 -28.486334,-36.691085 -28.736839,-34.978769 -25.151811,-35.725224 -23.501091))	SPoCAR_v1.0_AR_0000003988							null	null	null	null	null		null	null
AR	2012-01-01T07:00:13	POINT(946.044 239.987)	POLYGON((939.9 199.5,954.9 199.5,954.9 263.7,939.9 263.7,939.9 199.5))	POLYGON((939.9 263.7,940.5 263.7,949.5 231.9,954.9 199.5,939.9 263.7))	POINT(88.965542 14.199785)	POLYGON((79.055738 11.243554,89.101505 11.769859,88.89706 15.401469,88.88362 15.635466,79.055738 11.243554))	POLYGON((88.88362 15.635466,88.884166 15.625973,88.994264 13.691227,89.101505 11.769859,88.88362 15.635466))	SPoCAR_v1.0_AR_0000003989							null	null	null	null	null		null	null
AR	2012-01-01T07:00:13	POINT(-871.579 195.313)	POLYGON((-896.7 161.1,-852.9 161.1,-852.9 225.9,-896.7 225.9,-896.7 161.1))	POLYGON((-896.7 192.3,-896.1 192.9,-879.3 222.3,-854.1 216.3,-855.9 161.1,-896.7 192.3))	POINT(-65.035074 10.284962)	POLYGON((-68.099814 8.390901,-61.815206 8.089272,-63.175862 12.034871,-70.033933 12.370717,-68.099814 8.390901))	POLYGON((-68.906214 10.293904,-68.821029 10.325623,-66.94864 12.000323,-63.094398 11.452405,-62.201562 8.107359,-68.906214 10.293904))	SPoCAR_v1.0_AR_0000004015							null	null	null	null	null		null	null
AR	2012-01-01T07:00:13	POINT(-119.329 -422.566)	POLYGON((-216.9 -501.3,-47.1 -501.3,-47.1 -306.9,-216.9 -306.9,-216.9 -501.3))	POLYGON((-216.9 -366.9,-216.3 -366.3,-203.1 -331.5,-188.1 -362.7,-104.1 -400.5,-85.5 -379.5,-86.7 -308.1,-57.3 -350.7,-65.7 -380.7,-47.1 -420.3,-91.5 -436.5,-117.3 -500.1,-171.9 -485.1,-132.3 -423.3,-171.3 -388.5,-206.1 -388.5,-216.9 -366.9))	POINT(-7.9702175 -28.511914)	POLYGON((-15.438218 -33.673286,-3.317073 -33.768014,-2.956666 -21.232609,-13.735355 -21.155123,-15.438218 -33.673286))	POLYGON((-14.130992 -24.891757,-14.086723 -24.85441,-12.987686 -22.686709,-12.19853 -24.648447,-6.856789 -27.094972,-5.562036 -25.761474,-5.450815 -21.297506,-3.669892 -23.952093,-4.274155 -25.843109,-3.133522 -28.387693,-6.158059 -29.430781,-8.275194 -33.662145,-12.0296 -32.613243,-8.846775 -28.553327,-11.249689 -26.293527,-13.572527 -26.269083,-14.130992 -24.891757))	SPoCAR_v1.0_AR_0000003963							null	null	null	null	null		null	null
AR	2012-01-01T07:00:13	POINT(-820.152 247.402)	POLYGON((-847.5 206.7,-792.9 206.7,-792.9 282.3,-847.5 282.3,-847.5 206.7))	POLYGON((-847.5 230.1,-846.9 230.7,-842.1 269.1,-810.3 282.3,-792.9 230.1,-803.1 206.7,-818.7 239.7,-847.5 230.1))	POINT(-59.50878 13.163634)	POLYGON((-61.991034 10.822967,-55.571165 10.530334,-57.184889 15.185248,-64.177819 15.51311,-61.991034 10.822967))	POLYGON((-62.555182 12.258917,-62.490576 12.292103,-62.96 14.646611,-59.246283 15.279574,-55.992322 11.95739,-56.6822 10.579543,-59.147563 12.680242,-62.555182 12.258917))	SPoCAR_v1.0_AR_0000003996							null	null	null	null	null		null	null
AR	2012-01-01T07:00:13	POINT(-827.091 421.084)	POLYGON((-840.9 403.5,-813.3 403.5,-813.3 437.1,-840.9 437.1,-840.9 403.5))	POLYGON((-840.9 417.9,-840.3 418.5,-819.9 436.5,-822.3 403.5,-840.9 417.9))	POINT(-68.511248 24.479724)	POLYGON((-69.756543 23.40305,-64.884801 23.158153,-67.258886 25.464215,-72.999806 25.759175,-69.756543 23.40305))	POLYGON((-71.013773 24.400551,-70.940787 24.435819,-68.430931 25.484168,-66.358401 23.231346,-71.013773 24.400551))	SPoCAR_v1.0_AR_0000004010							null	null	null	null	null		null	null
AR	2012-01-01T11:00:13	POINT(-817.485 230.722)	POLYGON((-860.7 168.9,-772.5 168.9,-772.5 287.1,-860.7 287.1,-860.7 168.9))	POLYGON((-860.7 214.5,-860.1 215.1,-830.1 230.7,-814.5 274.5,-791.1 287.1,-772.5 230.7,-782.7 207.3,-797.7 240.9,-828.3 230.1,-839.7 168.9,-860.7 214.5))	POINT(-58.794851 12.111213)	POLYGON((-62.964722 8.59899,-52.935762 8.145374,-55.026127 15.372083,-66.360269 15.906728,-62.964722 8.59899))	POLYGON((-63.956019 11.376755,-63.887343 11.409551,-60.323777 12.180833,-59.532487 14.805441,-57.101811 15.465477,-53.833791 11.887652,-54.498359 10.508169,-56.738294 12.632933,-60.087035 12.133537,-60.28937 8.473266,-63.956019 11.376755))	SPoCAR_v1.0_AR_0000003996							null	null	null	null	null		null	null
AR	2012-01-01T11:00:13	POINT(515.739 -294.673)	POLYGON((473.1 -320.1,546.3 -320.1,546.3 -254.1,473.1 -254.1,473.1 -320.1))	POLYGON((473.1 -308.1,473.7 -307.5,513.9 -291.9,543.9 -254.1,542.7 -308.1,503.7 -320.1,473.1 -308.1))	POINT(34.103798 -20.010484)	POLYGON((31.328364 -21.654416,36.861948 -21.499376,35.811279 -17.48512,30.465067 -17.632575,31.328364 -21.654416))	POLYGON((31.153256 -20.916857,31.188448 -20.878917,33.924822 -19.845251,35.630728 -17.490445,36.369833 -20.771699,33.599879 -21.593476,31.153256 -20.916857))	SPoCAR_v1.0_AR_0000003927							null	null	null	null	null		null	null
AR	2012-01-01T11:00:13	POINT(138.418 216.406)	POLYGON((71.7 180.3,207.3 180.3,207.3 245.7,71.7 245.7,71.7 180.3))	POLYGON((71.7 213.9,72.3 214.5,137.1 245.7,207.3 203.7,193.5 180.3,162.3 209.1,126.3 194.7,71.7 213.9))	POINT(8.2431078 9.7934556)	POLYGON((4.234013 7.613284,12.328179 7.675771,12.47561 11.598225,4.283573 11.53361,4.234013 7.613284))	POLYGON((4.256728 9.6198,4.29288 9.655911,8.212191 11.556767,12.373485 9.072276,11.495457 7.66655,9.665833 9.367557,7.489203 8.489266,4.256728 9.6198))	SPoCAR_v1.0_AR_0000004006							null	null	null	null	null		null	null
AR	2012-01-01T11:00:13	POINT(-77.4727 -399.206)	POLYGON((-220.5 -497.1,29.1 -497.1,29.1 -221.7,-220.5 -221.7,-220.5 -497.1))	POLYGON((-220.5 -297.3,-219.9 -296.7,-168.3 -330.9,-157.5 -364.5,-126.3 -368.7,-96.3 -408.9,-68.7 -413.1,-46.5 -379.5,-58.5 -274.5,-20.7 -232.5,20.1 -223.5,27.9 -239.7,-21.3 -242.7,-49.5 -289.5,-18.3 -347.7,-33.3 -383.1,-14.1 -434.1,-56.1 -442.5,-87.9 -497.1,-125.1 -490.5,-137.1 -476.1,-107.7 -421.5,-132.9 -392.7,-169.5 -392.7,-170.7 -356.7,-220.5 -297.3))	POINT(-5.0948819 -27.040322)	POLYGON((-15.650574 -33.403156,2.042389 -33.504224,1.7713 -16.075819,-13.541601 -15.996644,-15.650574 -33.403156))	POLYGON((-13.913397 -20.581306,-13.871386 -20.544961,-10.733001 -22.691438,-10.203004 -24.800159,-8.184935 -25.081242,-6.373327 -27.657135,-4.553793 -27.936578,-3.022297 -25.790228,-3.626689 -19.264826,-1.264128 -16.725941,1.224045 -16.184659,1.707883 -17.159331,-1.305076 -17.340937,-3.085906 -20.18285,-1.169842 -23.788827,-2.168114 -26.020932,-0.945998 -29.308997,-3.786922 -29.853377,-6.179029 -33.489881,-8.764688 -33.025755,-9.507877 -32.049904,-7.186003 -28.467077,-8.728668 -26.602334,-11.158225 -26.581671,-11.02398 -24.30157,-13.913397 -20.581306))	SPoCAR_v1.0_AR_0000003963							null	null	null	null	null		null	null
AR	2012-01-01T11:00:13	POINT(-397.193 -320.693)	POLYGON((-510.3 -422.7,-333.9 -422.7,-333.9 -224.7,-510.3 -224.7,-510.3 -422.7))	POLYGON((-510.3 -373.5,-509.7 -372.9,-482.1 -331.5,-420.9 -329.7,-405.3 -290.1,-425.1 -249.3,-369.9 -224.7,-333.9 -263.7,-377.7 -311.1,-341.7 -350.7,-343.5 -383.1,-377.7 -407.7,-453.9 -377.7,-471.3 -419.7,-486.9 -422.7,-510.3 -373.5))	POINT(-25.908766 -21.820774)	POLYGON((-36.205962 -28.023418,-22.798461 -28.347445,-20.778825 -16.068969,-32.797723 -15.795166,-36.205962 -28.023418))	POLYGON((-35.084933 -24.898322,-35.025674 -24.861976,-32.169689 -22.34047,-27.694551 -22.339814,-26.120929 -19.930623,-27.064224 -17.424315,-23.13818 -16.024327,-21.059084 -18.421054,-24.447784 -21.258373,-22.411896 -23.762629,-22.932197 -25.79942,-25.734757 -27.317722,-30.848638 -25.279101,-33.020411 -27.917718,-34.321791 -28.076991,-35.084933 -24.898322))	SPoCAR_v1.0_AR_0000003988							null	null	null	null	null		null	null
AR	2012-01-01T15:00:13	POINT(-362.53 -305.019)	POLYGON((-533.1 -416.1,-280.5 -416.1,-280.5 -189.9,-533.1 -189.9,-533.1 -416.1))	POLYGON((-533.1 -342.9,-532.5 -342.3,-426.9 -326.1,-410.7 -297.3,-379.5 -284.7,-381.9 -248.7,-351.3 -225.9,-345.9 -201.9,-318.9 -189.9,-280.5 -260.7,-335.1 -304.5,-312.3 -362.1,-330.9 -392.1,-347.7 -402.3,-404.7 -381.9,-454.5 -415.5,-479.7 -348.9,-533.1 -342.9))	POINT(-23.348853 -20.92347)	POLYGON((-37.915019 -27.559875,-18.93189 -28.005637,-17.169025 -14.063507,-34.086613 -13.690051,-37.915019 -27.559875))	POLYGON((-36.263131 -22.95297,-36.204602 -22.91717,-28.077233 -22.124369,-26.578812 -20.379824,-24.299315 -19.65661,-24.130176 -17.469758,-21.924849 -16.138125,-21.414612 -14.708433,-19.606945 -14.024152,-17.556723 -18.315664,-21.489467 -20.927192,-20.520951 -24.531933,-22.166422 -26.406012,-23.495089 -27.034096,-27.293036 -25.648939,-31.62928 -27.698848,-32.283347 -23.441135,-36.263131 -22.95297))	SPoCAR_v1.0_AR_0000003988							null	null	null	null	null		null	null
AR	2012-01-01T15:00:13	POINT(-547.509 401.568)	POLYGON((-576.9 382.5,-523.5 382.5,-523.5 426.9,-576.9 426.9,-576.9 382.5))	POLYGON((-576.9 407.7,-576.3 408.3,-549.9 426.9,-530.1 417.9,-533.7 383.1,-558.3 383.1,-576.9 407.7))	POINT(-37.06493 21.830961)	POLYGON((-39.062498 20.679209,-34.833469 20.538156,-35.661703 23.424013,-40.040848 23.574068,-39.062498 20.679209))	POLYGON((-39.593063 22.313129,-39.556453 22.350539,-37.791473 23.495165,-36.002883 22.850171,-35.632757 20.601969,-37.571716 20.666141,-39.593063 22.313129))	SPoCAR_v1.0_AR_0000004018							null	null	null	null	null		null	null
AR	2012-01-01T15:00:13	POINT(-808.324 223.28)	POLYGON((-851.7 165.9,-752.1 165.9,-752.1 287.1,-851.7 287.1,-851.7 165.9))	POLYGON((-851.7 201.3,-851.1 201.9,-774.3 287.1,-756.9 218.1,-774.3 247.5,-808.5 225.9,-821.1 165.9,-851.7 201.3))	POINT(-57.57119 11.595916)	POLYGON((-61.734849 8.352928,-50.919076 7.869714,-52.868724 15.265795,-64.967168 15.829953,-61.734849 8.352928))	POLYGON((-62.415564 10.500994,-62.349565 10.533832,-55.217234 15.369587,-52.048552 11.039722,-54.333193 12.914596,-57.64403 11.757206,-58.052142 8.181727,-62.415564 10.500994))	SPoCAR_v1.0_AR_0000003996							null	null	null	null	null		null	null
AR	2012-01-01T15:00:13	POINT(428.379 182.3)	POLYGON((400.5 157.5,458.1 157.5,458.1 209.1,400.5 209.1,400.5 157.5))	POLYGON((400.5 174.3,401.1 174.9,431.7 209.1,456.9 183.3,422.1 157.5,400.5 174.3))	POINT(26.21552 8.0226001)	POLYGON((24.303583 6.504784,28.093645 6.594777,28.331689 9.676197,24.502421 9.583892,24.303583 6.504784))	POLYGON((24.359474 7.50364,24.400584 7.540242,26.560125 9.631951,28.119936 8.129123,25.710074 6.536769,24.359474 7.50364))	SPoCAR_v1.0_AR_0000004021							null	null	null	null	null		null	null
AR	2012-01-01T15:00:13	POINT(199.297 219.261)	POLYGON((116.7 194.1,281.1 194.1,281.1 263.1,116.7 263.1,116.7 194.1))	POLYGON((116.7 215.7,117.3 216.3,139.5 230.1,150.3 263.1,210.9 227.1,257.7 230.7,279.9 199.5,171.9 194.1,116.7 215.7))	POINT(11.920863 9.9803505)	POLYGON((6.915919 8.430178,16.868485 8.54099,17.108186 12.698038,7.010587 12.582882,6.915919 8.430178))	POLYGON((6.941163 9.722421,6.977795 9.758643,8.329251 10.597512,9.044824 12.598411,12.645668 10.459735,15.529833 10.714531,16.809263 8.862583,10.21767 8.456783,6.941163 9.722421))	SPoCAR_v1.0_AR_0000004006							null	null	null	null	null		null	null
AR	2012-01-01T15:00:13	POINT(-32.7935 -342.49)	POLYGON((-183.3 -485.1,80.1 -485.1,80.1 -222.9,-183.3 -222.9,-183.3 -485.1))	POLYGON((-183.3 -296.1,-182.7 -295.5,-146.7 -270.3,-84.3 -257.7,-92.1 -281.7,-128.7 -297.3,-131.7 -352.5,-93.9 -370.5,-62.7 -417.9,-33.9 -422.1,-15.9 -402.3,-27.3 -275.1,18.9 -223.5,77.1 -225.3,72.9 -251.7,14.7 -263.7,-9.9 -290.1,-3.9 -315.3,24.9 -327.3,11.1 -384.9,20.1 -431.1,-15.3 -428.1,-48.9 -480.9,-93.9 -484.5,-67.5 -419.1,-105.9 -387.3,-170.1 -400.5,-141.3 -356.1,-149.7 -317.1,-183.3 -296.1))	POINT(-2.0917309 -23.481144)	POLYGON((-12.84492 -32.642709,5.578088 -32.69946,4.882852 -16.158171,-11.230351 -16.112916,-12.84492 -32.642709))	POLYGON((-11.527738 -20.552967,-11.486701 -20.516548,-9.11257 -18.997699,-5.198586 -18.256842,-5.731454 -19.714927,-8.071219 -20.656258,-8.468602 -24.07851,-6.08313 -25.227266,-4.168239 -28.267779,-2.258148 -28.545296,-1.046445 -27.268943,-1.692178 -19.325359,1.151066 -16.204208,4.703033 -16.303148,4.484724 -17.896374,0.907284 -18.632554,-0.617127 -20.243054,-0.245659 -21.793675,1.576963 -22.535975,0.72339 -26.15671,1.346281 -29.132207,-1.022796 -28.937045,-3.391489 -32.424941,-6.539684 -32.654048,-4.491232 -28.344295,-6.926296 -26.289072,-11.250381 -27.099376,-9.106998 -24.299671,-9.477976 -21.865753,-11.527738 -20.552967))	SPoCAR_v1.0_AR_0000003963							null	null	null	null	null		null	null
AR	2012-01-01T15:00:13	POINT(542.164 -295.683)	POLYGON((507.3 -317.7,576.9 -317.7,576.9 -246.3,507.3 -246.3,507.3 -317.7))	POLYGON((507.3 -301.5,507.9 -300.9,518.1 -279.3,556.5 -288.3,573.9 -246.3,566.7 -310.5,519.3 -317.7,507.3 -301.5))	POINT(36.12486 -20.030023)	POLYGON((33.835733 -21.454486,39.246701 -21.292245,38.03899 -16.960316,32.831709 -17.113874,33.835733 -21.454486))	POLYGON((33.580734 -20.461256,33.616359 -20.423326,34.057893 -19.086114,37.108471 -19.54718,37.807465 -16.967562,38.2947 -20.876821,34.743703 -21.428737,33.580734 -20.461256))	SPoCAR_v1.0_AR_0000003927							null	null	null	null	null		null	null
AR	2012-01-01T19:00:13	POINT(581.468 -290.908)	POLYGON((539.1 -324.3,607.5 -324.3,607.5 -235.5,539.1 -235.5,539.1 -324.3))	POLYGON((539.1 -303.9,539.7 -303.3,582.9 -284.7,605.1 -235.5,598.5 -324.3,539.1 -303.9))	POINT(39.116243 -19.659663)	POLYGON((36.38633 -21.805745,41.901476 -21.629328,40.282167 -16.250269,35.036133 -16.414669,36.38633 -21.805745))	POLYGON((36.029619 -20.554398,36.065668 -20.516348,39.121098 -19.278914,40.091674 -16.256583,41.151151 -21.654554,36.029619 -20.554398))	SPoCAR_v1.0_AR_0000003927							null	null	null	null	null		null	null
AR	2012-01-01T19:00:13	POINT(-521.319 396.417)	POLYGON((-546.3 374.7,-497.7 374.7,-497.7 416.1,-546.3 416.1,-546.3 374.7))	POLYGON((-546.3 413.1,-545.7 413.7,-506.7 414.3,-500.7 384.9,-530.1 375.3,-546.3 413.1))	POINT(-34.901665 21.413598)	POLYGON((-36.465742 20.079519,-32.749837 19.961748,-33.433281 22.635634,-37.259102 22.759889,-36.465742 20.079519))	POLYGON((-37.196441 22.563565,-37.160525 22.601165,-34.094008 22.539733,-33.132402 20.621973,-35.216978 20.076792,-37.196441 22.563565))	SPoCAR_v1.0_AR_0000004018							null	null	null	null	null		null	null
AR	2012-01-01T19:00:13	POINT(244.76 219.115)	POLYGON((181.5 183.3,306.9 183.3,306.9 251.1,181.5 251.1,181.5 183.3))	POLYGON((181.5 237.3,182.1 237.9,207.9 251.1,251.7 225.9,297.9 233.1,303.9 184.5,237.3 204.3,198.3 197.1,181.5 237.3))	POINT(14.696475 9.9873898)	POLYGON((10.777008 7.799303,18.439844 7.904272,18.681213 11.978129,10.913062 11.869291,10.777008 7.799303))	POLYGON((10.880339 11.035235,10.918141 11.07181,12.525658 11.887275,15.143386 10.401321,18.040857 10.879955,18.256273 7.972614,14.200455 9.092881,11.813752 8.633272,10.880339 11.035235))	SPoCAR_v1.0_AR_0000004006							null	null	null	null	null		null	null
AR	2012-01-01T19:00:13	POINT(-775.617 427.417)	POLYGON((-795.3 399.3,-758.7 399.3,-758.7 452.7,-795.3 452.7,-795.3 399.3))	POLYGON((-795.3 427.5,-794.7 428.1,-771.3 449.7,-760.5 399.9,-795.3 427.5))	POINT(-60.704824 24.479642)	POLYGON((-61.926012 22.716435,-57.14713 22.487225,-59.831645 26.100837,-65.329601 26.373913,-61.926012 22.716435))	POLYGON((-63.567776 24.626301,-63.514251 24.66284,-61.412499 25.979286,-57.392159 22.537311,-63.567776 24.626301))	SPoCAR_v1.0_AR_0000004023							null	null	null	null	null		null	null
AR	2012-01-01T19:00:13	POINT(4.50322 -405.539)	POLYGON((-60.9 -483.9,56.7 -483.9,56.7 -311.1,-60.9 -311.1,-60.9 -483.9))	POLYGON((-60.9 -392.7,-58.5 -392.1,-44.1 -386.1,-17.7 -410.1,8.1 -400.5,25.5 -308.1,56.7 -348.3,38.7 -378.9,43.5 -414.3,13.5 -428.7,-14.1 -483.9,-36.9 -461.7,-31.5 -416.7,-60.9 -392.7))	POINT(0.29697282 -27.496956)	POLYGON((-4.235464 -32.643499,3.942927 -32.644524,3.567706 -21.548141,-3.832342 -21.547277,-4.235464 -32.643499))	POLYGON((-3.989666 -26.666935,-3.830921 -26.629137,-2.87743 -26.249163,-1.170483 -27.790119,0.53261 -27.173174,1.601693 -21.367591,3.628773 -23.860087,2.514989 -25.792167,2.884811 -28.058202,0.902962 -28.995617,-0.979848 -32.650776,-2.523721 -31.163333,-2.091648 -28.2151,-3.989666 -26.666935))	SPoCAR_v1.0_AR_0000003963							null	null	null	null	null		null	null
AR	2012-01-01T19:00:13	POINT(69.4308 -248.761)	POLYGON((14.7 -284.7,123.9 -284.7,123.9 -229.5,14.7 -229.5,14.7 -284.7))	POLYGON((14.7 -273.9,15.3 -273.3,40.5 -236.1,74.7 -243.3,108.9 -229.5,120.3 -249.3,54.3 -249.3,23.7 -288.9,14.7 -273.9))	POINT(4.2670773 -17.738775)	POLYGON((0.914535 -19.931795,7.730359 -19.905743,7.581571 -16.559362,0.897007 -16.584633,0.914535 -19.931795))	POLYGON((0.910782 -19.272558,0.947747 -19.235967,2.477186 -16.979713,4.583143 -17.407482,6.6594 -16.565211,7.408049 -17.755083,3.336625 -17.774526,1.476975 -20.1882,0.910782 -19.272558))	SPoCAR_v1.0_AR_0000004025							null	null	null	null	null		null	null
