event_type	event_stARrttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ARr_mcintoshcls	ARr_mtwilsoncls	ARr_zurichcls	ARr_penumbrARcls	ARr_compARctnesscls	ARr_noARARclARss	ARr_noARARnum	ARr_numspots	ARr_polARrity	ARr_spotARreARrARw	ARr_spotARreARrARwuncert	ARr_spotARreARrARwunit	ARr_spotARreARrepr	ARr_spotARreARrepruncert
AR	2012-01-23T11:54:01	POINT(563.408 384.608)	POLYGON((332.1 267.3,765.3 267.3,765.3 633.9,332.1 633.9,332.1 267.3))	POLYGON((332.1 632.1,332.7 632.7,395.1 613.5,371.7 584.1,375.3 561.9,409.5 510.9,437.1 503.7,455.7 459.3,506.1 424.5,527.1 381.3,563.7 395.1,584.7 365.1,617.7 379.5,642.9 366.3,684.9 395.1,734.7 390.9,764.7 362.7,754.5 338.7,719.7 321.9,686.7 330.3,673.5 294.9,622.5 267.3,548.1 329.7,524.1 326.1,486.3 354.9,426.9 352.5,428.7 396.3,404.1 422.1,434.1 435.3,432.9 466.5,336.9 575.7,332.1 632.1))	POINT(37.557435 19.008005)	POLYGON((20.221209 10.896232,53.445594 12.76861,85.271625 39.399027,24.719525 35.659558,20.221209 10.896232))	POLYGON((24.67291 35.518582,24.736711 35.5676,29.302466 34.311954,26.637988 31.997071,26.421579 30.376221,28.0012 26.861869,29.960556 26.461116,30.543295 23.491947,33.769722 21.368079,34.674858 18.632003,37.767274 19.692768,38.92956 17.849022,41.929668 18.9526,43.838338 18.238518,48.41027 20.396716,53.426942 20.502952,55.855181 18.893388,53.975581 17.231408,49.983343 15.879325,47.034471 16.191663,45.220025 13.86925,40.592661 11.875067,35.556549 15.427276,33.719869 15.102438,31.291403 16.780269,27.067509 16.430095,27.663298 19.239422,26.239744 20.8439,28.5644 21.810884,28.962267 23.894894,23.773568 31.26069,24.67291 35.518582))	SPoCAR_v1.0_AR_0000004241							null	null	null	null	null		null	null
AR	2012-01-23T11:54:01	POINT(-731.54 199.562)	POLYGON((-781.5 145.5,-690.9 145.5,-690.9 295.5,-781.5 295.5,-781.5 145.5))	POLYGON((-781.5 159.3,-780.9 159.9,-761.1 236.7,-731.7 201.9,-712.5 215.7,-714.9 295.5,-692.7 190.5,-748.5 151.5,-774.9 145.5,-781.5 159.3))	POINT(-49.167634 8.3481271)	POLYGON((-53.468804 5.433696,-45.182114 4.844559,-46.775599 14.013211,-55.810725 14.685664,-53.468804 5.433696))	POLYGON((-53.585309 6.264263,-53.530181 6.295869,-52.484216 10.832169,-49.207003 8.491398,-47.611001 9.20903,-48.991301 14.170256,-45.636352 7.559234,-50.318693 5.558093,-52.811093 5.384334,-53.585309 6.264263))	SPoCAR_v1.0_AR_0000004228							null	null	null	null	null		null	null
AR	2012-01-23T15:54:01	POINT(746.484 -364.334)	POLYGON((713.1 -387.9,793.5 -387.9,793.5 -345.3,713.1 -345.3,713.1 -387.9))	POLYGON((713.1 -369.3,713.7 -368.7,731.7 -346.5,768.3 -345.3,792.9 -353.1,788.1 -367.5,746.1 -387.9,721.5 -386.7,713.1 -369.3))	POINT(57.373284 -24.838576)	POLYGON((54.686009 -26.540133,64.516476 -25.786808,62.200803 -23.262764,53.006647 -23.955029,54.686009 -26.540133))	POLYGON((53.913452 -25.407963,53.95305 -25.366984,55.005097 -23.886575,59.080878 -23.505945,62.508893 -23.730459,62.62235 -24.634395,58.419844 -26.263676,55.552643 -26.40013,53.913452 -25.407963))	SPoCAR_v1.0_AR_0000004239							null	null	null	null	null		null	null
AR	2012-01-23T15:54:01	POINT(654.276 -291.587)	POLYGON((636.3 -327.3,674.1 -327.3,674.1 -257.1,636.3 -257.1,636.3 -327.3))	POLYGON((636.3 -304.5,636.9 -303.9,640.5 -268.5,656.1 -258.9,674.1 -279.3,668.7 -320.1,651.3 -327.3,636.3 -304.5))	POINT(45.847477 -21.097316)	POLYGON((45.161336 -23.354056,48.599474 -23.131038,46.810983 -18.922939,43.547257 -19.130346,45.161336 -23.354056))	POLYGON((44.584658 -21.9741,44.62231 -21.934643,44.135053 -19.78931,45.272723 -19.131858,47.319905 -20.246604,47.890013 -22.729427,46.501885 -23.268642,44.584658 -21.9741))	SPoCAR_v1.0_AR_0000004273							null	null	null	null	null		null	null
AR	2012-01-23T15:54:01	POINT(-705.252 189.894)	POLYGON((-766.5 147.3,-662.7 147.3,-662.7 234.9,-766.5 234.9,-766.5 147.3))	POLYGON((-766.5 153.9,-765.9 154.5,-740.1 234.9,-708.9 210.3,-683.1 227.7,-663.3 212.1,-701.1 153.3,-766.5 153.9))	POINT(-46.717013 7.586722)	POLYGON((-52.002054 5.422459,-42.864241 4.789804,-43.5194 10.081599,-53.000748 10.753602,-52.002054 5.422459))	POLYGON((-52.052671 5.819045,-51.999128 5.850806,-50.400182 10.559642,-47.231931 8.847758,-45.166113 9.755594,-43.34953 8.694424,-46.092159 5.359432,-52.052671 5.819045))	SPoCAR_v1.0_AR_0000004228							null	null	null	null	null		null	null
AR	2012-01-23T15:54:01	POINT(-870.723 -202.719)	POLYGON((-916.5 -338.1,-821.7 -338.1,-821.7 -113.7,-916.5 -113.7,-916.5 -338.1))	POLYGON((-916.5 -144.9,-915.9 -144.3,-888.3 -113.7,-873.9 -140.7,-822.9 -140.7,-822.3 -199.5,-842.1 -210.9,-857.1 -255.9,-878.7 -239.1,-893.1 -251.7,-879.3 -307.5,-840.9 -308.7,-848.1 -332.7,-870.9 -337.5,-892.5 -312.3,-916.5 -144.9))	POINT(-66.897216 -14.117141)	POLYGON((-88.333445 -20.185,-65.685124 -22.529208,-58.53378 -9.480992,-71.700064 -8.38764,-88.333445 -20.185))	POLYGON((-72.612625 -10.163656,-72.477756 -10.139686,-67.051389 -8.787143,-65.572251 -10.515574,-59.141488 -11.036121,-60.405311 -14.452097,-63.194588 -14.915464,-66.908594 -17.340572,-69.569305 -16.092794,-72.762647 -16.585732,-73.502857 -19.957106,-66.963713 -20.587192,-69.46456 -21.876061,-74.018994 -21.787539,-76.788944 -19.968117,-72.612625 -10.163656))	SPoCAR_v1.0_AR_0000004256							null	null	null	null	null		null	null
AR	2012-01-23T15:54:01	POINT(606.043 376.663)	POLYGON((359.7 265.5,789.9 265.5,789.9 635.7,359.7 635.7,359.7 265.5))	POLYGON((359.7 631.5,360.3 632.1,395.1 617.7,398.1 568.5,441.9 506.7,477.3 503.1,507.3 531.3,473.1 477.3,536.7 423.3,557.1 382.5,606.9 407.1,642.3 399.3,668.1 370.5,687.9 402.9,726.3 384.9,757.5 401.1,785.1 379.5,789.9 346.5,776.7 327.9,696.9 287.7,683.1 265.5,647.1 273.3,571.5 335.1,470.7 350.7,464.7 387.3,430.5 401.1,437.1 431.1,419.7 459.9,431.7 500.1,370.5 570.9,359.7 631.5))	POINT(40.887281 18.694536)	POLYGON((21.982179 10.833852,56.052372 12.853176,85.400658 38.596781,27.018857 35.889208,21.982179 10.833852))	POLYGON((26.897465 35.558927,26.964049 35.608288,29.424347 34.624515,28.343662 30.928554,30.388378 26.676495,33.088298 26.570473,36.28558 28.70623,32.205797 24.770345,36.136445 21.41103,37.019319 18.830612,41.590025 20.693119,44.523414 20.384464,46.190204 18.65629,48.92692 20.928324,52.318581 20.024461,56.421466 21.389532,58.966911 20.208741,58.308083 18.059798,56.140622 16.717375,47.187195 13.551947,45.625438 12.082928,42.665854 12.362837,37.42245 15.860179,30.121485 16.445986,30.124531 18.766351,27.84703 19.543891,28.719561 21.530829,27.881756 23.391786,29.473892 26.178673,26.242423 31.005103,26.897465 35.558927))	SPoCAR_v1.0_AR_0000004241							null	null	null	null	null		null	null
AR	2012-01-23T19:54:01	POINT(-862.939 -314.598)	POLYGON((-882.3 -329.1,-840.3 -329.1,-840.3 -289.5,-882.3 -289.5,-882.3 -329.1))	POLYGON((-882.3 -291.3,-881.7 -290.7,-840.9 -328.5,-870.9 -326.1,-882.3 -291.3))	POINT(-70.894311 -20.628832)	POLYGON((-75.824047 -21.107078,-67.993088 -21.780191,-65.943127 -19.489467,-72.907023 -18.898613,-75.824047 -21.107078))	POLYGON((-73.022041 -18.999826,-72.866418 -18.976268,-68.052916 -21.737605,-73.160736 -21.151796,-73.022041 -18.999826))	SPoCAR_v1.0_AR_0000004277							null	null	null	null	null		null	null
AR	2012-01-23T19:54:01	POINT(683.85 -294.561)	POLYGON((661.5 -321.3,710.1 -321.3,710.1 -258.3,661.5 -258.3,661.5 -321.3))	POLYGON((661.5 -275.7,662.1 -275.1,676.5 -258.3,708.9 -305.1,674.1 -320.1,661.5 -275.7))	POINT(48.600302 -21.110437)	POLYGON((47.268163 -22.855507,51.896918 -22.5408,50.134916 -18.782683,45.733583 -19.076531,47.268163 -22.855507))	POLYGON((46.117381 -20.114871,46.156572 -20.075578,47.05557 -18.990487,51.279148 -21.578013,48.396367 -22.706184,46.117381 -20.114871))	SPoCAR_v1.0_AR_0000004273							null	null	null	null	null		null	null
AR	2012-01-23T19:54:01	POINT(627.876 376.043)	POLYGON((385.5 252.3,805.5 252.3,805.5 638.7,385.5 638.7,385.5 252.3))	POLYGON((385.5 629.1,386.1 629.7,398.1 638.7,423.9 612.9,428.1 566.7,467.7 506.1,505.5 502.5,532.5 530.1,504.3 470.7,567.3 420.3,586.5 383.1,632.7 412.5,648.3 395.1,670.5 400.5,689.7 374.1,718.5 393.9,744.3 387.3,758.7 406.5,799.5 381.3,803.7 338.1,735.3 297.3,730.5 252.9,696.9 258.3,599.1 333.3,510.9 356.7,489.9 402.3,492.9 466.5,462.3 483.3,393.9 572.7,399.3 604.5,385.5 629.1))	POINT(42.727384 18.763934)	POLYGON((23.591416 10.077941,57.537958 12.158191,85.453634 38.183834,29.272551 36.219187,23.591416 10.077941))	POLYGON((28.966138 35.461319,29.03528 35.510914,30.3527 36.274237,31.702201 34.367182,30.693937 30.903409,32.390285 26.727361,35.354026 26.644679,38.424601 28.740879,34.518611 24.441119,38.545994 21.347759,39.389591 19.000739,43.981896 21.191491,44.961852 20.134408,47.165374 20.636882,48.307838 19.026841,51.775492 20.552529,54.365164 20.329421,56.786322 21.761346,60.959699 20.483976,59.747893 17.643224,50.995681 14.410649,49.74852 11.596318,46.742479 11.710941,39.578391 15.866438,33.110733 16.963945,32.180521 19.821091,33.529861 24.105088,31.486798 25.125923,28.109017 31.20956,29.379334 33.615109,28.966138 35.461319))	SPoCAR_v1.0_AR_0000004241							null	null	null	null	null		null	null
