event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ar_mcintoshcls	ar_mtwilsoncls	ar_zurichcls	ar_penumbracls	ar_compactnesscls	ar_noaaclass	ar_noaanum	ar_numspots	ar_polarity	ar_spotarearaw	ar_spotarearawuncert	ar_spotarearawunit	ar_spotarearepr	ar_spotarearepruncert
AR	2014-02-01T01:04:48	POINT(940.714 -111.085)	POLYGON((909.9 -162.9,969.3 -162.9,969.3 -46.5,909.9 -46.5,909.9 -162.9))	POLYGON((909.9 -140.1,910.5 -139.5,947.7 -119.1,950.1 -75.9,933.3 -52.5,960.3 -59.7,968.1 -111.9,958.5 -100.5,936.9 -162.3,909.9 -140.1))	POINT(76.952145 -7.9391714)	POLYGON((72.179585 -11.509515,89.271836 -9.516337,85.182731 -3.257474,69.40397 -4.867786,72.179585 -11.509515))	POLYGON((71.418583 -10.222004,71.508478 -10.177345,79.171867 -8.189191,78.364054 -5.706413,73.815259 -4.783784,81.217696 -4.452316,89.584762 -6.586182,82.067624 -6.784106,78.121048 -10.876527,71.418583 -10.222004))	SPoCA_v1.0_AR_0000011432							null	null	null	null	null		null	null
AR	2014-02-01T01:04:48	POINT(888.317 -232.119)	POLYGON((858.9 -261.3,912.3 -261.3,912.3 -201.9,858.9 -201.9,858.9 -261.3))	POLYGON((858.9 -230.1,859.5 -229.5,905.7 -204.3,899.7 -267.3,858.9 -230.1))	POINT(71.14822 -15.785312)	POLYGON((67.678471 -17.900454,77.938856 -16.891396,74.291061 -13.644376,65.385201 -14.508216,67.678471 -17.900454))	POLYGON((66.380896 -16.120696,66.445063 -16.078213,73.074414 -13.910272,75.353816 -17.519504,66.380896 -16.120696))	SPoCA_v1.0_AR_0000011521							null	null	null	null	null		null	null
AR	2014-02-01T01:04:48	POINT(-413.232 255.73)	POLYGON((-572.1 202.5,-294.9 202.5,-294.9 319.5,-572.1 319.5,-572.1 202.5))	POLYGON((-572.1 226.5,-571.5 227.1,-542.7 239.7,-496.5 314.7,-454.5 284.1,-394.5 319.5,-374.7 272.7,-309.3 290.1,-296.1 222.9,-327.3 233.7,-348.9 213.9,-383.1 217.5,-407.7 202.5,-462.9 216.9,-491.1 258.3,-526.5 230.7,-572.1 226.5))	POINT(-25.387826 9.7380765)	POLYGON((-36.142685 7.115996,-17.653278 6.220506,-18.05345 13.357297,-37.167618 14.322274,-36.142685 7.115996))	POLYGON((-36.290809 8.570587,-36.250361 8.604245,-34.225331 9.240297,-31.513442 13.675578,-28.330202 11.614796,-24.525567 13.614551,-22.946586 10.663647,-18.83201 11.569588,-17.775116 7.449641,-19.758339 8.16968,-21.064027 7.026184,-23.261962 7.331962,-24.80748 6.498908,-28.523721 7.543391,-30.684292 10.164182,-33.004124 8.622718,-36.290809 8.570587))	SPoCA_v1.0_AR_0000011485							null	null	null	null	null		null	null
AR	2014-02-01T01:04:48	POINT(-448.484 -119.19)	POLYGON((-599.7 -214.5,-333.9 -214.5,-333.9 5.7,-599.7 5.7,-599.7 -214.5))	POLYGON((-599.7 -125.7,-599.1 -125.1,-552.3 -96.9,-530.7 -155.7,-503.1 -164.7,-461.1 -123.3,-455.1 -81.9,-366.9 -64.5,-363.3 -15.9,-337.5 5.7,-339.3 -89.7,-367.5 -90.3,-406.5 -117.9,-388.5 -178.5,-437.7 -206.7,-450.9 -165.3,-481.5 -156.3,-544.5 -214.5,-564.9 -182.1,-595.5 -191.1,-587.1 -159.3,-599.7 -125.7))	POINT(-27.995541 -12.323567)	POLYGON((-39.994174 -17.321061,-21.071539 -18.291566,-20.047579 -5.318152,-37.973514 -4.412771,-39.994174 -17.321061))	POLYGON((-38.860773 -12.094263,-38.808931 -12.062068,-35.082915 -10.625891,-34.043902 -14.168404,-32.154829 -14.809459,-28.881193 -12.523251,-28.209398 -10.113955,-22.34208 -9.349435,-21.95088 -6.513119,-20.273023 -5.310038,-20.684459 -10.893971,-22.492103 -10.860801,-25.182556 -12.376596,-24.4082 -16.005739,-27.994594 -17.532287,-28.516734 -15.032743,-30.554908 -14.39475,-35.752225 -17.585779,-36.861976 -15.575355,-39.320708 -15.959177,-38.267607 -14.1275,-38.860773 -12.094263))	SPoCA_v1.0_AR_0000011516							null	null	null	null	null		null	null
AR	2014-02-01T01:04:48	POINT(-672.413 -64.4722)	POLYGON((-726.9 -191.7,-618.9 -191.7,-618.9 38.1,-726.9 38.1,-726.9 -191.7))	POLYGON((-726.9 35.7,-726.3 36.3,-656.7 -31.5,-626.7 -26.7,-618.9 -39.3,-655.5 -81.3,-636.3 -135.9,-645.9 -162.3,-685.5 -189.9,-671.1 -125.7,-698.1 -88.5,-705.9 -6.9,-726.9 35.7))	POINT(-44.031309 -8.1244922)	POLYGON((-50.450774 -15.192798,-41.17335 -15.872932,-39.325831 -2.420386,-48.10657 -1.782349,-50.450774 -15.192798))	POLYGON((-48.111606 -1.923236,-48.057552 -1.892154,-42.532782 -6.290916,-40.15826 -6.172346,-39.631605 -6.948224,-42.802304 -9.204105,-41.825129 -12.501561,-42.93233 -13.99507,-46.687877 -15.373887,-44.534673 -11.705513,-46.395262 -9.367523,-46.447329 -4.557691,-48.111606 -1.923236))	SPoCA_v1.0_AR_0000011547							null	null	null	null	null		null	null
AR	2014-02-01T01:04:48	POINT(903.702 -306.388)	POLYGON((893.1 -321.9,914.7 -321.9,914.7 -294.9,893.1 -294.9,893.1 -321.9))	POLYGON((893.1 -308.7,893.7 -308.1,898.5 -290.7,914.7 -295.5,905.7 -321.3,893.1 -308.7))	POINT(79.578083 -19.511521)	POLYGON((78.171641 -20.622462,86.187936 -19.803223,81.881335 -18.562709,75.854081 -19.172741,78.171641 -20.622462))	POLYGON((76.969407 -19.918781,77.064455 -19.871865,76.789486 -18.818879,81.954045 -18.592487,81.950537 -20.201222,76.969407 -19.918781))	SPoCA_v1.0_AR_0000011546							null	null	null	null	null		null	null
AR	2014-02-01T01:04:48	POINT(-871.488 -188.226)	POLYGON((-904.5 -236.1,-836.1 -236.1,-836.1 -144.3,-904.5 -144.3,-904.5 -236.1))	POLYGON((-904.5 -221.7,-903.9 -221.1,-883.5 -204.9,-887.7 -146.1,-841.5 -164.7,-836.7 -181.5,-860.7 -197.1,-861.3 -235.5,-896.1 -236.1,-904.5 -221.7))	POINT(-66.740213 -13.556928)	POLYGON((-74.45888 -15.700808,-63.463419 -16.757018,-60.920825 -11.467984,-70.593742 -10.553734,-74.45888 -15.700808))	POLYGON((-73.682583 -14.903007,-73.531757 -14.881586,-69.17525 -14.328196,-67.91198 -10.921739,-62.045462 -12.583718,-61.875168 -13.605723,-65.481418 -14.209909,-66.942744 -16.395695,-72.776098 -15.867639,-73.682583 -14.903007))	SPoCA_v1.0_AR_0000011532							null	null	null	null	null		null	null
AR	2014-02-01T05:05:12	POINT(-358.33 -103.398)	POLYGON((-525.3 -215.1,-290.1 -215.1,-290.1 -18.3,-525.3 -18.3,-525.3 -215.1))	POLYGON((-525.3 -179.7,-524.7 -179.1,-515.7 -131.7,-474.3 -158.7,-413.7 -114.9,-402.9 -87.3,-363.9 -70.5,-356.1 -23.1,-291.3 -21.9,-291.9 -108.9,-353.1 -126.3,-357.3 -171.3,-407.1 -215.1,-408.9 -173.1,-425.7 -156.3,-470.1 -156.3,-514.5 -207.3,-525.3 -179.7))	POINT(-21.966106 -11.664193)	POLYGON((-34.337054 -17.71472,-18.217034 -18.43625,-17.376734 -6.825388,-32.707499 -6.150245,-34.337054 -17.71472))	POLYGON((-33.90975 -15.616661,-33.85949 -15.583688,-32.747184 -12.8275,-30.07724 -14.572748,-25.642214 -12.190148,-24.776912 -10.600825,-22.175466 -9.719733,-21.515153 -6.963216,-17.45892 -7.033816,-17.770593 -12.135296,-21.747712 -13.024545,-22.296828 -15.673114,-25.979505 -18.140729,-25.732506 -15.637768,-26.73074 -14.592965,-29.764621 -14.446017,-33.447134 -17.296121,-33.90975 -15.616661))	SPoCA_v1.0_AR_0000011516							null	null	null	null	null		null	null
AR	2014-02-01T05:05:12	POINT(-634.876 -19.6956)	POLYGON((-679.5 -68.7,-581.7 -68.7,-581.7 23.1,-679.5 23.1,-679.5 -68.7))	POLYGON((-679.5 17.7,-678.9 18.3,-666.9 23.1,-630.9 -26.1,-589.5 -31.5,-582.9 -48.9,-636.3 -67.5,-636.9 -29.1,-679.5 17.7))	POINT(-40.754935 -5.7294224)	POLYGON((-44.65172 -8.337263,-37.029129 -8.855201,-36.593898 -3.487973,-44.13061 -2.974866,-44.65172 -8.337263))	POLYGON((-44.147368 -3.291177,-44.096379 -3.259628,-43.109241 -3.049027,-40.480646 -6.124511,-37.380878 -6.645323,-36.990573 -7.69268,-41.169331 -8.51321,-40.962122 -6.268026,-44.147368 -3.291177))	SPoCA_v1.0_AR_0000011547							null	null	null	null	null		null	null
AR	2014-02-01T05:05:12	POINT(900.902 -232.622)	POLYGON((884.7 -256.5,915.9 -256.5,915.9 -201.3,884.7 -201.3,884.7 -256.5))	POLYGON((884.7 -230.7,885.3 -230.1,897.3 -201.9,909.9 -208.5,906.3 -256.5,887.7 -252.3,884.7 -230.7))	POINT(73.5397 -15.584546)	POLYGON((71.729139 -17.2201,78.53488 -16.539895,75.036347 -13.537284,69.238455 -14.109635,71.729139 -17.2201))	POLYGON((70.460324 -15.770762,70.536018 -15.726931,71.407552 -13.934121,74.124796 -14.063556,76.126409 -16.783317,72.055152 -16.931158,70.460324 -15.770762))	SPoCA_v1.0_AR_0000011521							null	null	null	null	null		null	null
