event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ef_pospeakfluxonsetrate	ef_negpeakfluxonsetrate	ef_onsetrateunit	ef_sumpossignedflux	ef_sumnegsignedflux	ef_fluxunit	ef_axisorientation	ef_axisorientationunit	ef_axislength	ef_posequivradius	ef_negequivradius	ef_lengthunit	ef_aspectratio	ef_proximityratio
EF	2013-02-01T14:35:15	POINT(590.6286 -321.8304)	POLYGON((583.707 -338.7546,584.4432 -338.8218,591.2628 -315.15,590.5182 -315.0822,583.707 -338.7546))		POINT(41.363 -23.8433)	POLYGON((41.195773 -24.91216,41.259227 -24.91216,41.259227 -23.43464,41.195773 -23.43464,41.195773 -24.91216))		228	44.8815	-82.7682	emx/hr	34.7483	-30.4332	emx	-0.522916	degrees CCW from + pole west in local solar frame	1.22903	0.853657	0.492859	cm	1.8255	0.492655
EF	2013-02-01T14:59:15	POINT(-689.184 276.423)	POLYGON((-704.52 258.978,-668.412 262.9662,-665.388 282.981,-701.328 279.0072,-704.52 258.978))		POINT(-46.2245 12.2778)	POLYGON((-47.35214 11.299885,-44.24386 11.299885,-44.24386 12.526515,-47.35214 12.526515,-47.35214 11.299885))		230	25.5104	-391.362	emx/hr	27.9158	-69.6981	emx	2.88197	degrees CCW from + pole west in local solar frame	3.34551	0.702582	2.10775	cm	2.38087	0.510949
EF	2013-02-01T15:11:15	POINT(667.986 -434.991)	POLYGON((657.498 -445.6404,668.982 -447.1944,676.974 -429.6762,665.352 -428.1018,657.498 -445.6404))		POINT(52.3793 -30.2705)	POLYGON((51.784565 -31.02113,53.079835 -31.02113,53.079835 -29.86487,51.784565 -29.86487,51.784565 -31.02113))		231	49.8684	-16.9426	emx/hr	10.3181	-11.9796	emx	-0.524018	degrees CCW from + pole west in local solar frame	1.77072	0.796523	0.563227	cm	2.60448	0.676742
EF	2013-02-01T16:11:15	POINT(286.002 481.7034)	POLYGON((278.568 470.754,290.1942 470.3352,287.1834 490.4196,275.6778 490.8342,278.568 470.754))		POINT(18.6446 23.7793)	POLYGON((18.034858 23.02121,18.815542 23.02121,18.815542 24.37559,18.034858 24.37559,18.034858 23.02121))		237	14.653	-56.6854	emx/hr	15.7861	-4.09551	emx	0.905846	degrees CCW from + pole west in local solar frame	0.927563	0.438128	0.75886	cm	1.54983	0.304868
EF	2013-02-01T16:11:15	POINT(213.5646 -213.5406)	POLYGON((199.05 -223.461,218.448 -223.932,219.6936 -207.921,200.1858 -207.4464,199.05 -223.461))		POINT(13.3122 -18.5278)	POLYGON((12.43875 -19.14404,13.67365 -19.14404,13.67365 -18.18196,12.43875 -18.18196,12.43875 -19.14404))		238	15.7744	-36.0378	emx/hr	5.80544	-13.8794	emx	-0.947762	degrees CCW from + pole west in local solar frame	1.24084	0.600348	0.519917	cm	2.21526	0.606789
EF	2013-02-01T16:35:15	POINT(301.812 -220.3512)	POLYGON((282.3522 -233.0418,320.1306 -234.4116,322.98 -209.7648,284.8656 -208.3806,282.3522 -233.0418))		POINT(19.0214 -18.7764)	POLYGON((17.84191 -19.579215,20.32889 -19.579215,20.32889 -18.095185,17.84191 -18.095185,17.84191 -19.579215))		242	47.9313	-5.7074	emx/hr	7.57578	-6.60291	emx	-0.778916	degrees CCW from + pole west in local solar frame	2.82984	0.746645	0.431076	cm	4.80562	0.819507
EF	2013-02-01T16:35:15	POINT(-434.3196 241.5594)	POLYGON((-475.4514 219.3828,-402.4722 223.3572,-398.6976 277.1646,-470.9928 273.2172,-475.4514 219.3828))		POINT(-26.7169 8.886)	POLYGON((-29.3864 7.683605,-24.5384 7.683605,-24.5384 10.949915,-29.3864 10.949915,-29.3864 7.683605))		243	158.759	-427.187	emx/hr	155.939	-13.2149	emx	2.8205	degrees CCW from + pole west in local solar frame	2.60529	0.752078	3.95586	cm	1.10677	0.0498635
EF	2013-02-01T16:47:15	POINT(-516.8178 -182.9556)	POLYGON((-532.5768 -189.0984,-508.9488 -187.4418,-509.9112 -181.14,-533.5836 -182.8002,-532.5768 -189.0984))		POINT(-33.3424 -15.8885)	POLYGON((-34.560705 -16.18587,-32.824695 -16.18587,-32.824695 -15.80913,-34.560705 -15.80913,-34.560705 -16.18587))		244	22.2885	-44.6386	emx/hr	19.825	-5.03642	emx	-2.6969	degrees CCW from + pole west in local solar frame	1.20371	0.64379	0.788479	cm	1.68085	0.0841457
EF	2013-02-01T19:23:15	POINT(522.5514 -85.2522)	POLYGON((491.487 -122.7828,573.0366 -128.5782,581.721 -45.93948,498.9378 -40.03392,491.487 -122.7828))		POINT(32.8843 -10.1276)	POLYGON((30.98258 -12.44812,36.89502 -12.44812,36.89502 -7.57328,30.98258 -7.57328,30.98258 -12.44812))		255	315.911	-35.9844	emx/hr	129.3	-30.072	emx	-0.298758	degrees CCW from + pole west in local solar frame	4.46749	4.13723	0.70953	cm	1.84349	0.0527855
EF	2013-02-01T20:35:15	POINT(-172.2294 -124.167)	POLYGON((-177.6582 -139.5402,-168.5598 -139.362,-169.557 -115.5738,-178.7088 -115.7532,-177.6582 -139.5402))		POINT(-10.4216 -13.2832)	POLYGON((-10.796049 -14.184995,-10.236951 -14.184995,-10.236951 -12.779405,-10.796049 -12.779405,-10.796049 -14.184995))		261	16.7476	-5.84163	emx/hr	20.428	-7.18188	emx	-2.23606	degrees CCW from + pole west in local solar frame	1.53279	0.416747	0.416747	cm	3.678	0.651971
EF	2013-02-01T21:23:15	POINT(-170.547 -117.2052)	POLYGON((-173.5374 -125.103,-168.5316 -125.0064,-168.9468 -114.7176,-173.9646 -114.8142,-173.5374 -125.103))		POINT(-10.3015 -12.8768)	POLYGON((-10.504161 -13.33926,-10.19784 -13.33926,-10.19784 -12.73194,-10.504161 -12.73194,-10.504161 -13.33926))		264	16.7481	-20.1101	emx/hr	6.96615	-15.3429	emx	-2.24554	degrees CCW from + pole west in local solar frame	0.596454	0.416327	0.588776	cm	1.18685	0.204948
EF	2013-02-01T21:47:15	POINT(409.983 -232.257)	POLYGON((394.6392 -252.831,417.2766 -254.007,422.2296 -222.6348,399.324 -221.4432,394.6392 -252.831))		POINT(26.3613 -19.2198)	POLYGON((25.52356 -20.503385,27.10504 -20.503385,27.10504 -18.605015,25.52356 -18.605015,25.52356 -20.503385))		267	35.4938	-15.952	emx/hr	11.002	-12.1762	emx	-0.629985	degrees CCW from + pole west in local solar frame	2.38455	1.04021	0.627273	cm	2.86006	0.613897
EF	2013-02-01T23:11:15	POINT(436.137 138.7062)	POLYGON((426.336 126.6528,445.3062 125.6418,444.7836 149.6382,425.835 150.6486,426.336 126.6528))		POINT(26.5202 2.70415)	POLYGON((25.863825 1.95916,27.107775 1.95916,27.107775 3.38124,25.863825 3.38124,25.863825 1.95916))		271	12.5068	-43.4521	emx/hr	8.62669	-4.77382	emx	0.101614	degrees CCW from + pole west in local solar frame	1.45886	0.528477	0.74738	cm	2.28687	0.602842
EF	2013-02-02T03:11:15	POINT(667.236 497.289)	POLYGON((616.5 480.8514,743.424 463.8654,689.286 574.6614,571.5774 590.487,616.5 480.8514))		POINT(49.9789 26.8024)	POLYGON((44.2483 25.20545,57.3581 25.20545,57.3581 32.95555,44.2483 32.95555,44.2483 25.20545))		285	31.8126	-5340.28	emx/hr	24.0525	-211.086	emx	0.492245	degrees CCW from + pole west in local solar frame	2.10357	0.539857	3.47778	cm	1.04717	0.177628
EF	2013-02-02T04:11:15	POINT(-291.2124 -754.416)	POLYGON((-309.5634 -762.042,-275.259 -759.762,-281.1966 -750.96,-316.2402 -753.288,-309.5634 -762.042))		POINT(-32.1347 -55.8916)	POLYGON((-35.025565 -56.461228,-30.682835 -56.461228,-30.682835 -55.639772,-35.025565 -55.639772,-35.025565 -56.461228))		288	42.5378	-12.7759	emx/hr	22.8647	-18.8997	emx	-2.09259	degrees CCW from + pole west in local solar frame	1.54966	0.84005	0.727504	cm	1.97717	0.606176
EF	2013-02-02T04:23:15	POINT(-686.196 -328.3368)	POLYGON((-701.058 -362.5866,-646.638 -355.77,-667.098 -290.298,-723.228 -297.3522,-701.058 -362.5866))		POINT(-50.0861 -23.6444)	POLYGON((-52.75383 -25.58888,-47.22457 -25.58888,-47.22457 -21.50312,-52.75383 -21.50312,-52.75383 -25.58888))		290	136.499	-377.753	emx/hr	61.4814	-146.4	emx	-2.70053	degrees CCW from + pole west in local solar frame	4.88208	1.30639	2.92117	cm	2.30965	0.632418
EF	2013-02-02T05:23:15	POINT(-270.8178 -242.3484)	POLYGON((-278.6184 -252.2832,-265.6776 -251.8584,-267.2688 -236.6472,-280.287 -237.075,-278.6184 -252.2832))		POINT(-17.1606 -20.1993)	POLYGON((-17.741074 -20.783622,-16.891325 -20.783622,-16.891325 -19.862578,-17.741074 -19.862578,-17.741074 -20.783622))		297	16.1652	-30.5765	emx/hr	17.5248	-13.6456	emx	-2.27504	degrees CCW from + pole west in local solar frame	1.02251	0.609388	0.681316	cm	1.58442	0.342057
EF	2013-02-02T06:47:15	POINT(-577.0002 -105.3462)	POLYGON((-581.721 -116.9076,-571.1568 -116.0604,-573.6186 -94.8744,-584.2284 -95.7258,-581.721 -116.9076))		POINT(-36.983 -11.0951)	POLYGON((-37.439061 -11.749805,-36.64494 -11.749805,-36.64494 -10.497995,-37.439061 -10.497995,-37.439061 -11.749805))		300	57.0917	-49.373	emx/hr	29.8026	-9.99499	emx	-2.85013	degrees CCW from + pole west in local solar frame	1.04554	0.564841	0.798806	cm	1.53345	0.435046
EF	2013-02-02T07:47:15	POINT(-453.0714 308.6604)	POLYGON((-463.0782 279.4038,-442.9512 280.5702,-438.8022 319.8144,-458.7408 318.6564,-463.0782 279.4038))		POINT(-28.4084 13.0413)	POLYGON((-28.88241 11.26498,-27.51599 11.26498,-27.51599 13.68642,-28.88241 13.68642,-28.88241 11.26498))		306	132.344	-35.4003	emx/hr	17.5533	-22.1164	emx	2.71122	degrees CCW from + pole west in local solar frame	2.0404	1.39447	0.440969	cm	2.22334	0.481719
