event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ef_pospeakfluxonsetrate	ef_negpeakfluxonsetrate	ef_onsetrateunit	ef_sumpossignedflux	ef_sumnegsignedflux	ef_fluxunit	ef_axisorientation	ef_axisorientationunit	ef_axislength	ef_posequivradius	ef_negequivradius	ef_lengthunit	ef_aspectratio	ef_proximityratio
EF	2013-03-01T03:01:30	POINT(321.6816 -298.6542)	POLYGON((310.4322 -319.0458,322.9008 -319.6476,328.3008 -286.785,315.624 -286.173,310.4322 -319.0458))		POINT(21.3371 -24.6313)	POLYGON((20.787052 -25.92368,21.663748 -25.92368,21.663748 -23.88272,20.787052 -23.88272,20.787052 -25.92368))		396	14.7006	-23.742	emx/hr	12.0899	1.55591	emx	-0.856939	degrees CCW from + pole west in local solar frame	2.01191	0.705098	0.546166	cm	3.2158	0.482762
EF	2013-03-01T03:39:00	POINT(-312.8208 268.4742)	POLYGON((-330.4788 258.8844,-303.7272 260.0712,-303.216 269.9694,-329.922 268.7844,-330.4788 258.8844))		POINT(-19.015 9.20735)	POLYGON((-20.102645 8.667167,-18.413155 8.667167,-18.413155 9.273913,-20.102645 9.273913,-20.102645 8.667167))		399	105.029	-50.0058	emx/hr	53.6769	-102.765	emx	2.69065	degrees CCW from + pole west in local solar frame	1.45133	1.20105	1.20105	cm	1.20838	0.247342
EF	2013-03-01T04:15:00	POINT(448.536 -220.3758)	POLYGON((394.0188 -254.5224,489.51 -261.207,511.2642 -133.5138,411.534 -126.4974,394.0188 -254.5224))		POINT(29.2821 -19.4291)	POLYGON((25.85272 -21.699305,32.81168 -21.699305,32.81168 -13.988295,25.85272 -13.988295,25.85272 -21.699305))		404	78.8836	-676.24	emx/hr	83.0568	-178.066	emx	-0.585817	degrees CCW from + pole west in local solar frame	2.0209	0.715501	5.20893	cm	0.682225	0.159978
EF	2013-03-01T18:03:00	POINT(200.4018 -156.2034)	POLYGON((181.8408 -171.0504,209.9028 -171.807,211.9332 -140.2458,183.6 -139.4814,181.8408 -171.0504))		POINT(12.3945 -16.3032)	POLYGON((11.285595 -17.218405,13.056205 -17.218405,13.056205 -15.333995,11.285595 -15.333995,11.285595 -17.218405))		16	47.3468	-43.7228	emx/hr	63.3879	-54.1237	emx	-0.920768	degrees CCW from + pole west in local solar frame	1.791	0.993306	0.898479	cm	1.89345	0.3281
EF	2013-03-01T20:39:00	POINT(-542.7858 415.6914)	POLYGON((-549.7884 404.1144,-538.1178 405.2106,-533.6172 425.8194,-545.19 424.7316,-549.7884 404.1144))		POINT(-36.3658 19.5764)	POLYGON((-36.721864 18.84853,-35.818136 18.84853,-35.818136 20.19867,-36.721864 20.19867,-36.721864 18.84853))		27	78.2582	-17.6368	emx/hr	12.4003	-15.8379	emx	2.64776	degrees CCW from + pole west in local solar frame	1.19498	1.05396	0.666582	cm	1.38907	0.412183
EF	2013-03-01T22:03:00	POINT(-533.5644 -354.4362)	POLYGON((-535.9212 -360.6078,-527.9586 -359.8314,-531.3936 -348.465,-539.4078 -349.2474,-535.9212 -360.6078))		POINT(-38.1055 -27.1584)	POLYGON((-38.455639 -27.52552,-37.781361 -27.52552,-37.781361 -26.80308,-38.455639 -26.80308,-38.455639 -27.52552))		30	10.8974	-35.7056	emx/hr	12.5078	0.450432	emx	-2.52238	degrees CCW from + pole west in local solar frame	1.16802	0.347027	0.775977	cm	2.08018	0.0372339
EF	2013-03-01T23:27:00	POINT(252.321 -664.08)	POLYGON((240.4464 -669.51,256.4166 -670.368,259.5576 -663.21,243.3918 -662.34,240.4464 -669.51))		POINT(23.7391 -49.8185)	POLYGON((22.799865 -50.301851,24.410135 -50.301851,24.410135 -49.718149,22.799865 -49.718149,22.799865 -50.301851))		38	24.9594	-12.6162	emx/hr	5.93209	-13.577	emx	-1.12611	degrees CCW from + pole west in local solar frame	1.11928	0.655037	0.655037	cm	1.70873	0.544018
EF	2013-03-01T23:27:00	POINT(110.2578 -103.9674)	POLYGON((89.0004 -128.5164,124.1334 -129.018,125.4888 -85.3764,89.9724 -84.8682,89.0004 -128.5164))		POINT(6.68837 -13.3155)	POLYGON((5.42953 -14.78833,7.58379 -14.78833,7.58379 -12.20147,5.42953 -12.20147,5.42953 -14.78833))		41	92.338	-55.0264	emx/hr	184.483	-73.554	emx	-1.10531	degrees CCW from + pole west in local solar frame	2.14555	1.66901	1.31946	cm	1.43588	0.521979
EF	2013-03-02T01:51:00	POINT(-128.787 -200.589)	POLYGON((-139.329 -209.403,-122.0382 -209.0922,-122.7888 -192.2724,-140.1858 -192.5856,-139.329 -209.403))		POINT(-8.05249 -19.0615)	POLYGON((-8.744695 -19.580635,-7.652405 -19.580635,-7.652405 -18.567765,-8.744695 -18.567765,-8.744695 -19.580635))		54	14.9496	-11.7594	emx/hr	6.39928	-5.63455	emx	-1.9705	degrees CCW from + pole west in local solar frame	1.12731	0.670452	0.51933	cm	1.89498	0.404352
EF	2013-03-02T02:27:00	POINT(730.026 216.6828)	POLYGON((715.908 210.8892,745.662 206.4624,743.388 225.9276,713.73 230.3442,715.908 210.8892))		POINT(49.4274 8.23653)	POLYGON((48.068455 7.75212,50.803945 7.75212,50.803945 8.9365,48.068455 8.9365,48.068455 7.75212))		56	61.5908	-28.7269	emx/hr	10.3656	-17.7321	emx	0.165122	degrees CCW from + pole west in local solar frame	2.53533	0.810046	0.627459	cm	3.52741	0.510927
