event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ef_pospeakfluxonsetrate	ef_negpeakfluxonsetrate	ef_onsetrateunit	ef_sumpossignedflux	ef_sumnegsignedflux	ef_fluxunit	ef_axisorientation	ef_axisorientationunit	ef_axislength	ef_posequivradius	ef_negequivradius	ef_lengthunit	ef_aspectratio	ef_proximityratio
EF	2013-09-01T00:18:00	POINT(326.7 -22.39416)	POLYGON((318.477 -35.10168,330.2364 -34.56696,329.472 -11.06214,317.7402 -11.59512,318.477 -35.10168))		POINT(20.0983 5.41362)	POLYGON((19.548023 4.673505,20.301378 4.673505,20.301378 6.085495,19.548023 6.085495,19.548023 4.673505))		168	113.032	-9.24365	emx/hr	3.20392	-9.45992	emx	0.263112	degrees CCW from + pole west in local solar frame	1.24833	0.916529	0.432056	cm	1.85132	0.287225
EF	2013-09-01T00:42:00	POINT(730.77 -202.7094)	POLYGON((716.772 -210.6984,740.574 -207.0318,741.51 -198.6366,717.672 -202.3068,716.772 -210.6984))		POINT(50.6674 -7.75991)	POLYGON((49.40149 -8.129264,51.68531 -8.129264,51.68531 -7.610216,49.40149 -7.610216,49.40149 -8.129264))		170	112.572	-42.5824	emx/hr	33.2065	-33.8465	emx	-0.151973	degrees CCW from + pole west in local solar frame	1.3872	1.23878	0.835186	cm	1.33772	0.0675174
EF	2013-09-01T00:42:00	POINT(473.0292 102.5142)	POLYGON((413.2482 48.77862,584.4756 62.2698,566.8062 185.742,400.749 172.7214,413.2482 48.77862))		POINT(30.4845 12.3838)	POLYGON((26.02085 9.402825,38.37415 9.402825,38.37415 16.908375,26.02085 16.908375,26.02085 9.402825))		171	177.778	-4195.48	emx/hr	720.139	-2645	emx	0.385867	degrees CCW from + pole west in local solar frame	4.30628	1.70422	7.16553	cm	0.971005	0.0501322
EF	2013-09-01T01:18:00	POINT(219.8238 41.26368)	POLYGON((210.978 29.38944,223.8054 29.76924,223.1148 47.71902,210.327 47.34072,210.978 29.38944))		POINT(13.4932 9.47355)	POLYGON((12.914748 8.7768,13.715052 8.7768,13.715052 9.85494,12.914748 9.85494,12.914748 8.7768))		174	13.1502	-16.8649	emx/hr	17.3969	-16.8436	emx	0.612134	degrees CCW from + pole west in local solar frame	1.15055	0.42659	0.60329	cm	2.23433	0.701117
EF	2013-09-01T01:54:00	POINT(-593.0292 -549.6186)	POLYGON((-599.8974 -559.6416,-580.0092 -562.3206,-587.7198 -545.2002,-607.872 -542.487,-599.8974 -559.6416))		POINT(-46.1527 -30.3817)	POLYGON((-47.41409 -31.253485,-45.38011 -31.253485,-45.38011 -29.979515,-47.41409 -29.979515,-47.41409 -31.253485))		179	34.2392	-40.828	emx/hr	-1.16704	-17.3708	emx	-2.55941	degrees CCW from + pole west in local solar frame	2.00392	0.541726	0.663476	cm	3.32545	0.654476
EF	2013-09-01T03:06:00	POINT(-129.1074 89.6952)	POLYGON((-146.217 78.1968,-117.3438 77.6832,-116.8392 96.3342,-145.5888 96.8448,-146.217 78.1968))		POINT(-7.95812 12.5144)	POLYGON((-8.99679 11.80311,-7.20943 11.80311,-7.20943 12.92669,-8.99679 12.92669,-8.99679 11.80311))		188	28.5802	-60.2372	emx/hr	14.482	-43.6544	emx	2.13721	degrees CCW from + pole west in local solar frame	1.65631	0.901261	0.735877	cm	2.02342	0.287984
EF	2013-09-01T03:30:00	POINT(388.296 53.26944)	POLYGON((383.481 48.82164,395.3442 49.49568,394.3626 63.0174,382.5288 62.3454,383.481 48.82164))		POINT(24.369 9.76151)	POLYGON((24.028307 9.511146,24.821693 9.511146,24.821693 10.325034,24.028307 10.325034,24.028307 9.511146))		192	13.2498	-30.1749	emx/hr	10.7006	-26.9892	emx	0.380998	degrees CCW from + pole west in local solar frame	1.017	0.311886	0.882146	cm	1.70347	0.287866
EF	2013-09-01T04:18:00	POINT(594.7776 143.6046)	POLYGON((586.845 134.7138,601.734 136.2666,599.6118 149.4336,584.7786 147.8868,586.845 134.7138))		POINT(40.012 14.2062)	POLYGON((39.273145 13.722626,40.474855 13.722626,40.474855 14.524974,39.273145 14.524974,39.273145 13.722626))		198	66.404	-64.9204	emx/hr	52.9315	-39.271	emx	0.341166	degrees CCW from + pole west in local solar frame	1.01367	0.594522	0.97085	cm	1.29512	0.191836
EF	2013-09-01T04:54:00	POINT(397.683 -701.274)	POLYGON((383.0322 -707.988,400.254 -706.518,405.4716 -697.23,388.026 -698.724,383.0322 -707.988))		POINT(33.8703 -41.5329)	POLYGON((32.76021 -42.049825,34.43599 -42.049825,34.43599 -41.217775,32.76021 -41.217775,32.76021 -42.049825))		201	61.8299	-90.4153	emx/hr	4.3067	-29.0405	emx	-0.886672	degrees CCW from + pole west in local solar frame	1.55586	0.531154	0.531154	cm	2.9292	0.763493
EF	2013-09-01T06:42:00	POINT(-96.1296 92.8068)	POLYGON((-108.4542 81.0798,-81.8154 80.739,-81.4698 98.7744,-107.9958 99.1128,-108.4542 81.0798))		POINT(-5.92165 12.7341)	POLYGON((-6.665725 12.017675,-5.023495 12.017675,-5.023495 13.104325,-6.665725 13.104325,-6.665725 12.017675))		212	16.9912	-60.2358	emx/hr	20.1876	-18.7819	emx	2.00607	degrees CCW from + pole west in local solar frame	1.4942	0.519425	0.948337	cm	2.03603	0.500729
EF	2013-09-01T08:42:00	POINT(441.6456 114.5058)	POLYGON((387.0156 46.38084,556.1682 58.71876,540.6204 175.3368,376.1922 163.398,387.0156 46.38084))		POINT(28.3716 13.2408)	POLYGON((24.25125 9.35588,36.19535 9.35588,36.19535 16.43412,24.25125 16.43412,24.25125 9.35588))		220	72.3157	-4197.91	emx/hr	271.587	-166.907	emx	0.43665	degrees CCW from + pole west in local solar frame	3.69092	1.19486	7.10488	cm	0.889406	0.0586741
EF	2013-09-01T08:54:00	POINT(-724.35 -257.583)	POLYGON((-739.068 -281.1558,-706.65 -286.2624,-713.64 -242.3622,-746.376 -237.2142,-739.068 -281.1558))		POINT(-50.7457 -11.1797)	POLYGON((-52.670115 -12.86085,-49.475485 -12.86085,-49.475485 -10.10075,-52.670115 -10.10075,-52.670115 -12.86085))		221	54.2582	-37.6205	emx/hr	9.05296	-22.3112	emx	-2.92475	degrees CCW from + pole west in local solar frame	3.5881	0.840195	0.840195	cm	4.27056	0.749919
EF	2013-09-01T10:54:00	POINT(452.6928 14.97318)	POLYGON((443.7444 -7.1208,461.703 -5.898516,459.9336 24.54654,442.0434 23.3304,443.7444 -7.1208))		POINT(28.5492 7.23138)	POLYGON((27.855385 5.944115,29.089415 5.944115,29.089415 7.774625,27.855385 7.774625,27.855385 5.944115))		228	81.267	-44.6412	emx/hr	29.6669	-38.1544	emx	0.248078	degrees CCW from + pole west in local solar frame	1.44468	1.34292	0.548243	cm	1.52782	0.398757
EF	2013-09-01T11:18:00	POINT(459.1722 28.07256)	POLYGON((449.052 20.52318,465.6336 21.67062,464.7126 35.1126,448.1646 33.96804,449.052 20.52318))		POINT(29.053 7.9891)	POLYGON((28.32274 7.578688,29.47066 7.578688,29.47066 8.387232,28.32274 8.387232,28.32274 7.578688))		232	17.1901	-44.6412	emx/hr	26.2516	-30.9276	emx	0.268351	degrees CCW from + pole west in local solar frame	1.07665	0.710138	0.55007	cm	1.70868	0.09166
EF	2013-09-01T12:06:00	POINT(486.573 69.7914)	POLYGON((420.231 10.8342,567.7452 22.20738,549.6138 171.0594,406.8054 160.113,420.231 10.8342))		POINT(31.2051 10.3677)	POLYGON((26.3264 7.110725,36.8286 7.110725,36.8286 16.127675,26.3264 16.127675,26.3264 7.110725))		239	77.8654	-536.325	emx/hr	105.354	-169.838	emx	0.320769	degrees CCW from + pole west in local solar frame	8.36349	1.82233	8.04718	cm	1.69481	0.331248
EF	2013-09-01T13:18:00	POINT(400.6152 157.3656)	POLYGON((358.0674 143.2908,425.5134 147.249,422.4276 171.0474,355.4706 167.1216,358.0674 143.2908))		POINT(25.8751 15.9849)	POLYGON((22.872375 15.27932,27.513825 15.27932,27.513825 16.73028,22.872375 16.73028,22.872375 15.27932))		244	50.7121	-18.7389	emx/hr	20.3811	-36.5382	emx	0.553385	degrees CCW from + pole west in local solar frame	3.15521	1.34761	0.71025	cm	3.0665	0.381224
EF	2013-09-01T13:42:00	POINT(-5.904768 -375.6132)	POLYGON((-20.94318 -396.7254,7.54044 -396.7524,7.61424 -368.0022,-21.14826 -367.9758,-20.94318 -396.7254))		POINT(-0.368456 -15.9597)	POLYGON((-1.316523 -17.34769,0.473967 -17.34769,0.473967 -15.46371,-1.316523 -15.46371,-1.316523 -17.34769))		245	143.729	-11.1941	emx/hr	58.7161	-14.566	emx	-1.59388	degrees CCW from + pole west in local solar frame	2.43774	1.2778	0.425934	cm	2.86164	0.446766
EF	2013-09-01T14:18:00	POINT(497.6916 69.024)	POLYGON((432.9366 -3.559296,580.9164 8.2485,562.3134 166.416,419.0664 155.0556,432.9366 -3.559296))		POINT(31.991 10.2716)	POLYGON((27.13265 6.20167,37.74955 6.20167,37.74955 15.77633,27.13265 15.77633,27.13265 6.20167))		249	162.753	-536.134	emx/hr	134.865	-87.5207	emx	0.310681	degrees CCW from + pole west in local solar frame	9.2159	2.89269	8.28341	cm	1.64921	0.220246
EF	2013-09-01T16:30:00	POINT(389.6748 21.76878)	POLYGON((367.131 11.0652,412.5672 13.63962,411.945 24.38568,366.5766 21.81612,367.131 11.0652))		POINT(24.3252 7.87664)	POLYGON((22.80239 7.309306,25.82101 7.309306,25.82101 7.955134,22.80239 7.955134,22.80239 7.309306))		264	13.1143	-70.288	emx/hr	9.63873	-16.4191	emx	0.313152	degrees CCW from + pole west in local solar frame	3.59395	0.621675	1.24335	cm	3.85405	0.651526
EF	2013-09-01T17:30:00	POINT(464.3202 198.8184)	POLYGON((455.325 188.3556,471.2298 189.5286,468.7182 204.723,452.898 203.5572,455.325 188.3556))		POINT(30.8011 18.2401)	POLYGON((30.028735 17.64483,31.194065 17.64483,31.194065 18.57897,30.028735 18.57897,30.028735 17.64483))		271	36.4009	-19.4408	emx/hr	20.8544	-4.79308	emx	0.534657	degrees CCW from + pole west in local solar frame	1.29199	0.7314	0.56654	cm	1.99083	0.288511
EF	2013-09-01T19:30:00	POINT(96.5418 -381.2934)	POLYGON((79.173 -400.0944,103.1466 -399.7872,104.1348 -372.219,79.9314 -372.5286,79.173 -400.0944))		POINT(6.04774 -16.3687)	POLYGON((4.989355 -17.59242,6.505965 -17.59242,6.505965 -15.78238,4.989355 -15.78238,4.989355 -17.59242))		285	160.732	-76.2063	emx/hr	196.496	34.15	emx	-1.21688	degrees CCW from + pole west in local solar frame	1.10573	1.57078	0.740475	cm	0.956821	0.266585
EF	2013-09-01T19:42:00	POINT(93.852 -139.2912)	POLYGON((83.0172 -148.1346,102.9606 -147.8886,102.9924 -136.1406,83.043 -136.3866,83.0172 -148.1346))		POINT(5.6389 -1.21451)	POLYGON((4.98738 -1.743372,6.18978 -1.743372,6.18978 -1.030748,4.98738 -1.030748,4.98738 -1.743372))		286	8.90072	-20.1901	emx/hr	11.9319	-8.67568	emx	-0.212139	degrees CCW from + pole west in local solar frame	1.54238	0.418553	0.51262	cm	3.31277	0.669062
EF	2013-09-01T20:06:00	POINT(-661.704 -227.9862)	POLYGON((-669.06 -233.8596,-657.594 -235.3038,-658.662 -225.7908,-670.146 -224.3448,-669.06 -233.8596))		POINT(-44.5664 -8.73488)	POLYGON((-45.268256 -9.164172,-44.282344 -9.164172,-44.282344 -8.572827,-45.268256 -8.572827,-45.268256 -9.164172))		292	46.3638	-75.3477	emx/hr	17.1422	-18.7518	emx	-2.94805	degrees CCW from + pole west in local solar frame	0.6781	0.61031	0.704726	cm	1.0313	0.467712
EF	2013-09-01T21:06:00	POINT(-354.21 161.5296)	POLYGON((-361.3122 158.5644,-351.8436 158.0658,-351.135 164.4936,-360.5844 164.991,-361.3122 158.5644))		POINT(-22.7433 16.3988)	POLYGON((-23.200652 16.196426,-22.558148 16.196426,-22.558148 16.588174,-23.200652 16.588174,-23.200652 16.196426))		296	30.2003	-28.1607	emx/hr	15.1476	4.06423	emx	2.51689	degrees CCW from + pole west in local solar frame	0.674886	0.313992	0.627984	cm	1.43292	0.356564
EF	2013-09-02T02:31:30	POINT(241.8192 -419.0748)	POLYGON((225.6 -430.7892,250.9872 -429.8976,252.3372 -416.97,226.8138 -417.8658,225.6 -430.7892))		POINT(15.5452 -19.1009)	POLYGON((14.5478 -19.852298,16.2282 -19.852298,16.2282 -18.985302,14.5478 -18.985302,14.5478 -19.852298))		5	13.5507	-17.2914	emx/hr	11.2388	-6.12672	emx	-0.887669	degrees CCW from + pole west in local solar frame	1.79868	0.437894	0.692371	cm	3.18276	0.691913
EF	2013-09-02T04:07:30	POINT(150.2844 -385.2258)	POLYGON((127.9002 -400.5372,167.331 -399.711,168.7068 -376.3548,128.952 -377.187,127.9002 -400.5372))		POINT(9.45458 -16.6809)	POLYGON((8.079255 -17.66174,10.595665 -17.66174,10.595665 -16.12646,8.079255 -16.12646,8.079255 -17.66174))		8	214.891	-46.6467	emx/hr	128.253	-56.2626	emx	-1.05515	degrees CCW from + pole west in local solar frame	1.70784	2.10543	0.859539	cm	1.15201	0.156123
