event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ef_pospeakfluxonsetrate	ef_negpeakfluxonsetrate	ef_onsetrateunit	ef_sumpossignedflux	ef_sumnegsignedflux	ef_fluxunit	ef_axisorientation	ef_axisorientationunit	ef_axislength	ef_posequivradius	ef_negequivradius	ef_lengthunit	ef_aspectratio	ef_proximityratio
EF	2012-01-01T00:57:45	POINT(467.0388 -482.9454)	POLYGON((456.9936 -491.724,469.3356 -492.1356,472.7322 -482.4852,460.3014 -482.0706,456.9936 -491.724))		POINT(34.2203 -32.0017)	POLYGON((33.64102 -32.61031,34.67858 -32.61031,34.67858 -31.95829,33.64102 -31.95829,33.64102 -32.61031))		215	44.9676	-21.0379	emx/hr	9.40758	-19.6107	emx	-0.751909	degrees CCW from + pole west in local solar frame	1.014	0.688279	0.596068	cm	1.57902	0.37058
EF	2012-01-01T01:21:45	POINT(24.9411 59.6577)	POLYGON((20.00634 49.10964,29.58882 49.0971,29.58504 65.8746,20.00376 65.8872,20.00634 49.10964))		POINT(1.45758 0.537211)	POLYGON((1.169088 -0.080433,1.729192 -0.080433,1.729192 0.901612,1.169088 0.901612,1.169088 -0.080433))		217	15.6347	-12.9573	emx/hr	16.5137	-5.32869	emx	0.353116	degrees CCW from + pole west in local solar frame	0.933779	0.575545	0.498436	cm	1.73891	0.39869
EF	2012-01-01T02:21:45	POINT(-273.2766 -371.4372)	POLYGON((-334.3788 -419.3244,-221.7336 -417.4224,-229.413 -355.1214,-345.957 -357.1008,-334.3788 -419.3244))		POINT(-17.9326 -25.0887)	POLYGON((-22.753515 -28.070985,-14.858085 -28.070985,-14.858085 -24.103215,-22.753515 -24.103215,-22.753515 -28.070985))		225	35.6954	-249.582	emx/hr	15.3787	-37.1007	emx	-2.19136	degrees CCW from + pole west in local solar frame	1.45366	0.620309	4.34216	cm	0.585861	0.460942
EF	2012-01-01T03:45:45	POINT(754.374 284.4792)	POLYGON((737.238 274.6884,771.228 272.3046,764.976 300.0096,731.262 302.3802,737.238 274.6884))		POINT(52.9963 15.1309)	POLYGON((51.06977 14.450635,54.48403 14.450635,54.48403 16.149365,51.06977 16.149365,51.06977 14.450635))		233	22.836	-52.3012	emx/hr	17.0989	-3.50045	emx	0.27811	degrees CCW from + pole west in local solar frame	2.72709	0.5353	0.927167	cm	3.72943	0.672595
EF	2012-01-01T04:45:45	POINT(-261.486 -1.340292)	POLYGON((-267.915 -10.3857,-256.551 -10.22208,-256.7244 1.995822,-268.0962 1.831938,-267.915 -10.3857))		POINT(-15.4897 -2.93916)	POLYGON((-15.888918 -3.462272,-15.198082 -3.462272,-15.198082 -2.748168,-15.888918 -2.748168,-15.888918 -3.462272))		239	18.5313	-21.345	emx/hr	17.159	-7.69829	emx	-2.95407	degrees CCW from + pole west in local solar frame	0.738841	0.508089	0.414853	cm	1.60106	0.515336
EF	2012-01-01T05:47:15	POINT(464.4708 353.4786)	POLYGON((424.0194 318.7728,488.2986 316.8636,472.47 403.1778,410.2722 405.0396,424.0194 318.7728))		POINT(30.013 18.5827)	POLYGON((26.805115 16.33687,31.292685 16.33687,31.292685 21.77393,26.805115 21.77393,26.805115 16.33687))		244	256.92	-108.796	emx/hr	32.9895	-66.0589	emx	0.554385	degrees CCW from + pole west in local solar frame	3.94267	2.69757	1.10128	cm	2.07572	0.510555
EF	2012-01-01T07:59:15	POINT(-313.4232 -508.5522)	POLYGON((-328.083 -518.0202,-300.2928 -517.4364,-304.4142 -500.6616,-332.5854 -501.2544,-328.083 -518.0202))		POINT(-22.7112 -34.0349)	POLYGON((-24.02901 -34.66103,-21.88139 -34.66103,-21.88139 -33.51077,-24.02901 -33.51077,-24.02901 -34.66103))		251	31.549	-47.2743	emx/hr	37.455	-37.4671	emx	-2.15923	degrees CCW from + pole west in local solar frame	1.06328	0.807052	0.807052	cm	1.31749	0.377566
EF	2012-01-01T10:59:15	POINT(59.9589 212.175)	POLYGON((4.915494 180.5496,98.898 180.282,97.7658 245.2614,4.859232 245.5278,4.915494 180.5496))		POINT(3.55493 9.50488)	POLYGON((0.289795 7.61222,5.840785 7.61222,5.840785 11.5041,0.289795 11.5041,0.289795 7.61222))		268	193.705	-15.6222	emx/hr	21.5187	-6.34992	emx	1.21289	degrees CCW from + pole west in local solar frame	0.78952	3.62203	0.410114	cm	0.391613	0.376841
EF	2012-01-01T11:11:15	POINT(-809.004 217.236)	POLYGON((-824.376 208.5654,-804.63 210.2598,-802.932 220.494,-822.636 218.802,-824.376 208.5654))		POINT(-57.4655 11.2277)	POLYGON((-59.07849 10.780524,-56.84531 10.780524,-56.84531 11.395676,-59.07849 11.395676,-59.07849 10.780524))		269	44.1385	-68.9119	emx/hr	11.2867	-43.674	emx	2.94864	degrees CCW from + pole west in local solar frame	1.96168	0.56202	1.19222	cm	2.23649	0.393464
EF	2012-01-01T12:23:15	POINT(-128.0856 -372.7884)	POLYGON((-173.3604 -478.4904,-8.63796 -477.5748,-9.48762 -313.545,-190.4112 -314.5668,-173.3604 -478.4904))		POINT(-8.31257 -25.3288)	POLYGON((-12.06414 -32.1708,-0.59664 -32.1708,-0.59664 -21.6586,-12.06414 -21.6586,-12.06414 -32.1708))		278	9244.77	-87.764	emx/hr	256.098	-100.402	emx	-1.88791	degrees CCW from + pole west in local solar frame	4.17918	6.47731	1.21732	cm	1.08626	0.0458896
