event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ef_pospeakfluxonsetrate	ef_negpeakfluxonsetrate	ef_onsetrateunit	ef_sumpossignedflux	ef_sumnegsignedflux	ef_fluxunit	ef_axisorientation	ef_axisorientationunit	ef_axislength	ef_posequivradius	ef_negequivradius	ef_lengthunit	ef_aspectratio	ef_proximityratio
EF	2013-05-01T00:55:30	POINT(474.3414 -281.514)	POLYGON((465.342 -295.5258,474.0618 -295.9128,477.8736 -276.9336,469.0836 -276.543,465.342 -295.5258))		POINT(32.0232 -20.6697)	POLYGON((31.558127 -21.56859,32.220873 -21.56859,32.220873 -20.37501,31.558127 -20.37501,31.558127 -21.56859))		444	30.2811	-33.0749	emx/hr	15.7006	-4.29179	emx	-0.573176	degrees CCW from + pole west in local solar frame	1.1882	0.468621	0.662731	cm	2.10049	0.545573
EF	2013-05-01T04:55:30	POINT(448.3098 127.071)	POLYGON((438.7836 114.723,455.5914 114.0732,454.5378 144.2322,437.7684 144.882,438.7836 114.723))		POINT(28.0299 3.97799)	POLYGON((27.357635 3.20876,28.500565 3.20876,28.500565 5.03382,27.357635 5.03382,27.357635 3.20876))		465	16.8165	-40.9763	emx/hr	14.4828	-3.90972	emx	0.140978	degrees CCW from + pole west in local solar frame	1.50518	0.544615	1.04286	cm	1.89632	0.324368
EF	2013-05-01T07:07:30	POINT(656.556 -209.0016)	POLYGON((638.982 -216.1014,663.318 -217.848,666.63 -201.1974,642.18 -199.44,638.982 -216.1014))		POINT(45.5026 -15.5552)	POLYGON((44.09765 -16.06212,46.25855 -16.06212,46.25855 -15.03708,44.09765 -15.03708,44.09765 -16.06212))		476	20.8229	-57.0241	emx/hr	49.0693	-59.3894	emx	-0.329398	degrees CCW from + pole west in local solar frame	1.63517	0.951193	0.951193	cm	1.71907	0.186624
EF	2013-05-01T07:31:30	POINT(-420.1362 -259.4898)	POLYGON((-465.321 -374.865,-309.4932 -369.2514,-331.8648 -209.5428,-498.9432 -215.628,-465.321 -374.865))		POINT(-27.7674 -19.4171)	POLYGON((-32.98 -26.58075,-21.2178 -26.58075,-21.2178 -16.51685,-32.98 -16.51685,-32.98 -26.58075))		479	5787.86	-240.575	emx/hr	-4.39569	-169.067	emx	-2.53135	degrees CCW from + pole west in local solar frame	3.13753	6.37145	1.20872	cm	0.827826	0.044119
EF	2013-05-01T07:55:30	POINT(-12.65394 -64.1184)	POLYGON((-17.9781 -74.4666,-1.805016 -74.4546,-1.808946 -60.0132,-18.01728 -60.0252,-17.9781 -74.4666))		POINT(-0.765166 -7.97697)	POLYGON((-1.088867 -8.597918,-0.109316 -8.597918,-0.109316 -7.730962,-1.088867 -7.730962,-1.088867 -8.597918))		485	10.8159	-11.7701	emx/hr	3.0259	-13.8431	emx	-1.66643	degrees CCW from + pole west in local solar frame	0.955536	0.419064	0.725839	cm	1.6692	0.229255
EF	2013-05-01T07:55:30	POINT(-593.3268 139.9464)	POLYGON((-599.595 127.7292,-580.2966 128.8386,-579.384 145.7682,-598.6518 144.66,-599.595 127.7292))		POINT(-38.559 5.19237)	POLYGON((-38.9944 4.471875,-37.5134 4.471875,-37.5134 5.498445,-38.9944 5.498445,-38.9944 4.471875))		483	26.7041	-133.471	emx/hr	9.98885	-14.4863	emx	3.00774	degrees CCW from + pole west in local solar frame	1.22843	0.334535	1.20618	cm	1.59462	0.184959
EF	2013-05-01T09:31:30	POINT(387.828 81.789)	POLYGON((378.6534 68.04,392.5416 67.5972,392.4168 86.9472,378.5334 87.3906,378.6534 68.04))		POINT(23.9277 1.13334)	POLYGON((23.322544 0.289173,24.232456 0.289173,24.232456 1.452743,23.322544 1.452743,23.322544 0.289173))		497	28.7071	-40.1307	emx/hr	21.9074	-14.8925	emx	0.0473296	degrees CCW from + pole west in local solar frame	1.08504	0.534436	0.689954	cm	1.77237	0.36176
EF	2013-05-01T09:31:30	POINT(-149.3784 186.1146)	POLYGON((-161.1336 174.2712,-143.184 174.483,-142.7562 196.845,-160.6518 196.6332,-161.1336 174.2712))		POINT(-9.05399 7.1419)	POLYGON((-9.758585 6.42795,-8.662515 6.42795,-8.662515 7.79355,-9.758585 7.79355,-9.758585 6.42795))		498	23.461	-15.0229	emx/hr	11.7638	-12.9735	emx	2.47371	degrees CCW from + pole west in local solar frame	1.20765	0.729675	0.515958	cm	1.93901	0.728771
EF	2013-05-01T11:31:30	POINT(251.9574 229.1442)	POLYGON((85.4256 97.9638,384.3588 92.406,364.2948 364.1154,80.9652 369.4782,85.4256 97.9638))		POINT(15.5092 9.89327)	POLYGON((5.1251 1.7737,23.7081 1.7737,23.7081 18.6223,5.1251 18.6223,5.1251 1.7737))		521	31.4955	-5515.62	emx/hr	39.4456	-1478.42	emx	0.56782	degrees CCW from + pole west in local solar frame	6.99356	0.605327	9.36301	cm	1.40315	0.0453269
EF	2013-05-01T13:31:30	POINT(433.0008 -357.6042)	POLYGON((420.0852 -361.5912,438.4536 -362.3322,440.145 -355.242,421.7064 -354.498,420.0852 -361.5912))		POINT(30.1341 -25.5406)	POLYGON((29.22375 -25.829567,30.63685 -25.829567,30.63685 -25.370434,29.22375 -25.370434,29.22375 -25.829567))		532	13.6053	-19.1971	emx/hr	9.78918	-1.46111	emx	-0.703079	degrees CCW from + pole west in local solar frame	1.57168	0.472481	0.578669	cm	2.9904	0.466791
EF	2013-05-01T15:43:30	POINT(94.1838 539.1204)	POLYGON((86.31 525.0018,99.2232 524.895,97.7802 544.9062,85.0548 545.0118,86.31 525.0018))		POINT(6.54951 30.2564)	POLYGON((5.938278 29.230885,6.830742 29.230885,6.830742 30.680715,5.938278 30.680715,5.938278 29.230885))		542	33.4293	-27.0912	emx/hr	14.1535	-9.8517	emx	1.35762	degrees CCW from + pole west in local solar frame	1.13627	0.636958	0.71214	cm	1.68449	0.127269
