event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ef_pospeakfluxonsetrate	ef_negpeakfluxonsetrate	ef_onsetrateunit	ef_sumpossignedflux	ef_sumnegsignedflux	ef_fluxunit	ef_axisorientation	ef_axisorientationunit	ef_axislength	ef_posequivradius	ef_negequivradius	ef_lengthunit	ef_aspectratio	ef_proximityratio
EF	2013-12-01T00:10:30	POINT(125.658 432.4884)	POLYGON((114.855 427.0626,135.498 427.1022,134.7762 436.2162,114.243 436.1766,114.855 427.0626))		POINT(8.30809 27.1402)	POLYGON((7.56538 26.786992,8.9355 26.786992,8.9355 27.383208,7.56538 27.383208,7.56538 26.786992))		184	20.3017	-16.9227	emx/hr	17.0592	-10.0241	emx	1.27374	degrees CCW from + pole west in local solar frame	1.03652	0.435126	0.532919	cm	2.14148	0.633587
EF	2013-12-01T00:22:30	POINT(-640.176 -167.9802)	POLYGON((-651.252 -186.1764,-635.436 -186.4092,-638.478 -159.1962,-654.372 -158.964,-651.252 -186.1764))		POINT(-41.621 -9.24735)	POLYGON((-42.68586 -10.34486,-41.41194 -10.34486,-41.41194 -8.72226,-42.68586 -8.72226,-42.68586 -10.34486))		188	129.753	-21.2053	emx/hr	15.8587	-15.2654	emx	-2.92296	degrees CCW from + pole west in local solar frame	1.67645	1.00927	0.475775	cm	2.25778	0.151967
EF	2013-12-01T00:34:30	POINT(-523.5966 87.7254)	POLYGON((-533.1426 70.347,-519.9318 70.2192,-518.5422 96.5094,-531.7182 96.636,-533.1426 70.347))		POINT(-32.5996 5.89268)	POLYGON((-33.207601 4.86516,-32.281598 4.86516,-32.281598 6.4127,-33.207601 6.4127,-33.207601 4.86516))		192	29.8016	-21.2206	emx/hr	-0.864321	-11.3345	emx	2.96276	degrees CCW from + pole west in local solar frame	1.61602	0.705433	0.546426	cm	2.58179	0.550111
EF	2013-12-01T00:34:30	POINT(-4.729152 -158.8818)	POLYGON((-37.68834 -171.2508,12.33468 -171.2616,12.3828 -146.1522,-37.8354 -146.142,-37.68834 -171.2508))		POINT(-0.280202 -8.4729)	POLYGON((-2.238093 -9.209145,0.732317 -9.209145,0.732317 -7.717655,-2.238093 -7.717655,-2.238093 -9.209145))		191	31.0615	-52.8557	emx/hr	36.387	-44.4869	emx	-1.60385	degrees CCW from + pole west in local solar frame	2.12388	0.767767	1.1239	cm	2.24552	0.467403
EF	2013-12-01T01:47:15	POINT(-185.1174 -541.0032)	POLYGON((-198.5784 -555.2538,-173.4492 -555.3594,-176.7684 -531.7716,-202.3782 -531.6642,-198.5784 -555.2538))		POINT(-13.0255 -32.778)	POLYGON((-14.159465 -33.79443,-12.336935 -33.79443,-12.336935 -32.12637,-14.159465 -32.12637,-14.159465 -33.79443))		199	23.3646	-46.1617	emx/hr	15.1329	-21.9597	emx	-1.94905	degrees CCW from + pole west in local solar frame	2.00276	0.552778	0.781746	cm	3.00146	0.51771
EF	2013-12-01T01:59:15	POINT(662.922 31.32744)	POLYGON((602.91 -30.55848,693.48 -29.31534,692.34 48.5385,601.92 47.32788,602.91 -30.55848))		POINT(42.8041 2.47833)	POLYGON((38.123725 -1.10682,45.266075 -1.10682,45.266075 3.46344,38.123725 3.46344,38.123725 -1.10682))		200	538.286	-146.444	emx/hr	38.3495	-116.872	emx	0.0578347	degrees CCW from + pole west in local solar frame	7.82181	3.57237	1.90951	cm	2.8537	0.581674
EF	2013-12-01T03:24:45	POINT(365.1816 303.3756)	POLYGON((331.0038 290.9562,387.0612 291.2778,379.5204 341.8398,324.5544 341.5296,331.0038 290.9562))		POINT(23.2634 18.8814)	POLYGON((20.878825 18.12885,24.632575 18.12885,24.632575 21.26475,20.878825 21.26475,20.878825 18.12885))		210	5.97865	-315.871	emx/hr	5.01992	-21.0011	emx	0.681796	degrees CCW from + pole west in local solar frame	2.43422	0.309722	2.59132	cm	1.67817	0.144477
EF	2013-12-01T03:48:45	POINT(54.84738 -423.8148)	POLYGON((-40.8858 -468.7326,77.4072 -468.6894,81.2856 -376.0548,-42.93444 -376.0992,-40.8858 -468.7326))		POINT(3.54553 -24.839)	POLYGON((-2.71109 -27.8023,5.13781 -27.8023,5.13781 -21.7693,-2.71109 -21.7693,-2.71109 -27.8023))		218	2042.16	-33.1189	emx/hr	21.1055	-10.5057	emx	-1.42901	degrees CCW from + pole west in local solar frame	3.80624	4.9941	0.30337	cm	1.437	0.102206
EF	2013-12-01T05:00:45	POINT(31.2567 321.8226)	POLYGON((22.9254 309.9852,39.71142 309.9924,39.27852 337.3458,22.6755 337.3386,22.9254 309.9852))		POINT(1.95097 20.0772)	POLYGON((1.424245 19.34382,2.467595 19.34382,2.467595 21.04398,1.424245 21.04398,1.424245 19.34382))		231	14.095	-52.3809	emx/hr	10.6292	-11.9385	emx	1.47393	degrees CCW from + pole west in local solar frame	1.63157	0.421357	0.988169	cm	2.31506	0.530224
EF	2013-12-01T06:36:45	POINT(-298.5138 -289.7424)	POLYGON((-326.4384 -312.7278,-256.0296 -313.1064,-258.7734 -280.5414,-329.9358 -280.1622,-326.4384 -312.7278))		POINT(-18.5694 -16.4416)	POLYGON((-20.546255 -17.869625,-15.975945 -17.869625,-15.975945 -15.864975,-20.546255 -15.864975,-20.546255 -17.869625))		247	6.05067	-171.934	emx/hr	9.90616	-15.4043	emx	-2.41689	degrees CCW from + pole west in local solar frame	3.38205	0.428208	1.98552	cm	2.80235	0.440154
EF	2013-12-01T07:00:45	POINT(-180.2538 96.1764)	POLYGON((-185.9064 86.4984,-180.5952 86.4834,-180.3138 100.1454,-185.6172 100.1598,-185.9064 86.4984))		POINT(-10.6932 6.47615)	POLYGON((-11.020652 5.90559,-10.701948 5.90559,-10.701948 6.70993,-11.020652 6.70993,-11.020652 5.90559))		249	8.7443	-17.8745	emx/hr	6.28867	-17.9395	emx	2.59704	degrees CCW from + pole west in local solar frame	0.785828	0.41305	0.505881	cm	1.71031	0.555258
EF	2013-12-10T19:59:34	POINT(-187.131 89.1906)	POLYGON((-194.0742 82.0818,-182.031 82.0482,-181.866 90.585,-193.8978 90.6186,-194.0742 82.0818))		POINT(-11.0973 6.06062)	POLYGON((-11.505874 5.641253,-10.782926 5.641253,-10.782926 6.143526,-11.505874 6.143526,-11.505874 5.641253))		252	10.0862	-17.8745	emx/hr	10.9036	-9.67816	emx	2.64172	degrees CCW from + pole west in local solar frame	0.836294	0.413167	0.506024	cm	1.81963	0.401473
EF	2013-12-01T10:38:15	POINT(556.8936 -264.939)	POLYGON((533.5314 -298.9902,597.6288 -298.2126,606.258 -250.5882,541.2372 -251.3658,533.5314 -298.9902))		POINT(36.1885 -15.0716)	POLYGON((34.862575 -17.14648,39.824225 -17.14648,39.824225 -14.23372,34.862575 -14.23372,34.862575 -17.14648))		266	638.208	-48.1449	emx/hr	115.99	-39.2234	emx	-0.394629	degrees CCW from + pole west in local solar frame	3.14137	3.10421	0.566749	cm	1.71147	0.0475568
EF	2013-12-01T12:39:00	POINT(8.8611 -143.3616)	POLYGON((-8.19642 -148.7082,19.66008 -148.7058,19.67268 -144.2202,-8.2017 -144.2232,-8.19642 -148.7082))		POINT(0.523869 -7.61548)	POLYGON((-0.48494 -7.932352,1.16325 -7.932352,1.16325 -7.666508,-0.48494 -7.666508,-0.48494 -7.932352))		280	20.3765	-24.39	emx/hr	13.0818	-27.2439	emx	-1.50211	degrees CCW from + pole west in local solar frame	1.73547	0.409777	0.709754	cm	3.10036	0.654461
EF	2013-12-01T13:03:00	POINT(668.118 168.906)	POLYGON((659.718 158.0448,683.52 158.358,680.904 178.2312,657.186 177.9216,659.718 158.0448))		POINT(44.104 10.5454)	POLYGON((43.29818 9.906355,45.28562 9.906355,45.28562 11.090445,43.29818 11.090445,43.29818 9.906355))		283	22.7046	-79.8338	emx/hr	15.746	-22.1577	emx	0.234696	degrees CCW from + pole west in local solar frame	0.845662	0.486402	1.49919	cm	0.851798	0.232413
EF	2013-12-01T13:28:30	POINT(577.2894 -265.6962)	POLYGON((555.3438 -296.6778,618.192 -295.8828,626.358 -252.3108,562.6806 -253.1052,555.3438 -296.6778))		POINT(37.7569 -15.1442)	POLYGON((36.487105 -17.03079,41.460495 -17.03079,41.460495 -14.36601,36.487105 -14.36601,36.487105 -17.03079))		290	638.011	-60.4779	emx/hr	195.295	-67.4123	emx	-0.381453	degrees CCW from + pole west in local solar frame	3.15646	3.28984	0.661283	cm	1.59775	0.0914584
EF	2013-12-01T14:16:30	POINT(-762.258 -259.3488)	POLYGON((-825.15 -292.7136,-710.37 -295.3608,-729.84 -193.356,-847.746 -190.7232,-825.15 -292.7136))		POINT(-53.946 -14.9389)	POLYGON((-62.2739 -17.091965,-49.5895 -17.091965,-49.5895 -10.902235,-62.2739 -10.902235,-62.2739 -17.091965))		296	4.71775	-2722.83	emx/hr	124.004	-364.679	emx	-2.87144	degrees CCW from + pole west in local solar frame	7.64166	1.53454	5.74171	cm	2.10044	0.772556
