event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ef_pospeakfluxonsetrate	ef_negpeakfluxonsetrate	ef_onsetrateunit	ef_sumpossignedflux	ef_sumnegsignedflux	ef_fluxunit	ef_axisorientation	ef_axisorientationunit	ef_axislength	ef_posequivradius	ef_negequivradius	ef_lengthunit	ef_aspectratio	ef_proximityratio
EF	2012-06-01T00:39:00	POINT(151.9902 -168.7212)	POLYGON((93.378 -241.3734,233.9124 -241.6248,239.6796 -136.4028,95.6808 -136.1316,93.378 -241.3734))		POINT(9.36906 -10.8451)	POLYGON((5.846295 -15.336595,14.784905 -15.336595,14.784905 -8.859605,5.846295 -8.859605,5.846295 -15.336595))		3	145.239	-19.5657	emx/hr	23.0545	-51.3685	emx	-0.85829	degrees CCW from + pole west in local solar frame	7.53137	6.02931	0.852673	cm	2.18872	0.123973
EF	2012-06-01T02:39:45	POINT(-285.483 -691.728)	POLYGON((-298.2378 -703.302,-268.2996 -703.188,-277.0086 -684.378,-307.9182 -684.498,-298.2378 -703.302))		POINT(-26.3574 -47.3479)	POLYGON((-28.237995 -48.375125,-25.189205 -48.375125,-25.189205 -46.705275,-28.237995 -46.705275,-28.237995 -48.375125))		7	21.5567	-35.9472	emx/hr	9.20313	-9.72682	emx	-2.07875	degrees CCW from + pole west in local solar frame	1.81024	0.661226	0.763518	cm	2.54114	0.572796
EF	2012-06-01T03:15:45	POINT(-335.25 -184.212)	POLYGON((-368.6688 -246.042,-257.595 -245.6538,-263.6796 -149.0502,-377.3754 -149.4672,-368.6688 -246.042))		POINT(-21.1195 -11.7523)	POLYGON((-23.75107 -15.571525,-16.34153 -15.571525,-16.34153 -9.614075,-23.75107 -9.614075,-23.75107 -15.571525))		9	15.8543	-496.058	emx/hr	11.4304	-68.4569	emx	-2.6338	degrees CCW from + pole west in local solar frame	4.63101	0.53808	4.46963	cm	1.84955	0.135017
EF	2012-06-01T03:15:45	POINT(47.98788 159.33)	POLYGON((41.5629 148.2342,50.23218 148.2294,50.08182 166.089,41.43846 166.0938,41.5629 148.2342))		POINT(2.92978 9.032)	POLYGON((2.532626 8.354045,3.061354 8.354045,3.061354 9.445595,2.532626 9.445595,2.532626 8.354045))		10	18.2415	-23.2395	emx/hr	12.7156	-19.4489	emx	1.25713	degrees CCW from + pole west in local solar frame	1.08866	0.517601	0.597674	cm	1.95227	0.481361
EF	2012-06-01T05:27:45	POINT(63.6594 -351.7722)	POLYGON((27.82134 -433.5876,152.1252 -433.7016,160.1472 -336.6366,29.28846 -336.5106,27.82134 -433.5876))		POINT(4.1525 -22.3282)	POLYGON((1.895955 -27.754045,10.423145 -27.754045,10.423145 -21.341555,1.895955 -21.341555,1.895955 -27.754045))		19	179.499	-87.6449	emx/hr	31.057	-100.498	emx	-1.38692	degrees CCW from + pole west in local solar frame	5.72866	5.79885	1.23632	cm	1.62858	0.432028
EF	2012-06-01T05:51:45	POINT(-118.3902 -706.392)	POLYGON((-133.6146 -719.7,-106.6956 -719.664,-111.2118 -696.954,-139.2696 -696.99,-133.6146 -719.7))		POINT(-10.8893 -48.683)	POLYGON((-12.62481 -49.902465,-10.05119 -49.902465,-10.05119 -47.834735,-12.62481 -47.834735,-12.62481 -49.902465))		23	24.3783	-33.4883	emx/hr	-4.08126	-19.7618	emx	-1.79085	degrees CCW from + pole west in local solar frame	2.19966	0.738647	0.738647	cm	2.97796	0.446817
EF	2012-06-01T06:51:45	POINT(-491.127 207.3402)	POLYGON((-502.0212 195.1812,-485.9928 195.2952,-484.2186 211.4004,-500.1888 211.2852,-502.0212 195.1812))		POINT(-31.9207 12.0988)	POLYGON((-32.61725 11.35251,-31.45235 11.35251,-31.45235 12.34709,-32.61725 12.34709,-32.61725 11.35251))		29	30.9834	-23.6326	emx/hr	11.0831	-6.57313	emx	2.7793	degrees CCW from + pole west in local solar frame	1.41215	0.652086	0.652086	cm	2.16558	0.374544
EF	2012-06-01T06:51:45	POINT(-234.2874 -485.1096)	POLYGON((-240.9912 -497.3118,-225.429 -497.274,-228.8778 -477.1218,-244.6776 -477.1608,-240.9912 -497.3118))		POINT(-16.7736 -31.2825)	POLYGON((-17.435175 -32.142045,-16.276425 -32.142045,-16.276425 -30.724155,-17.435175 -30.724155,-17.435175 -32.142045))		30	60.3381	-40.5633	emx/hr	8.67259	-53.6689	emx	-2.06298	degrees CCW from + pole west in local solar frame	1.42019	0.734225	0.985066	cm	1.65206	0.2743
EF	2012-06-01T08:03:45	POINT(-625.476 -339.7608)	POLYGON((-644.304 -371.9568,-596.775 -371.5416,-607.962 -331.5018,-656.382 -331.9344,-644.304 -371.9568))		POINT(-45.0478 -21.393)	POLYGON((-47.744565 -23.47393,-43.266435 -23.47393,-43.266435 -20.87067,-47.744565 -20.87067,-47.744565 -23.47393))		36	43.3623	-439.947	emx/hr	34.615	-117.035	emx	-2.69823	degrees CCW from + pole west in local solar frame	1.52355	0.518472	3.15374	cm	0.82977	0.161462
EF	2012-06-01T09:27:45	POINT(-594.5814 -339.0852)	POLYGON((-613.5 -371.8098,-565.9098 -371.4396,-577.1676 -328.7838,-625.704 -329.1714,-613.5 -371.8098))		POINT(-42.2605 -21.361)	POLYGON((-44.80406 -23.477615,-40.53254 -23.477615,-40.53254 -20.706385,-44.80406 -20.706385,-44.80406 -23.477615))		42	69.4308	-439.79	emx/hr	124.548	-507.476	emx	-2.67359	degrees CCW from + pole west in local solar frame	1.73673	0.876956	3.10051	cm	0.873286	0.115629
