event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ef_pospeakfluxonsetrate	ef_negpeakfluxonsetrate	ef_onsetrateunit	ef_sumpossignedflux	ef_sumnegsignedflux	ef_fluxunit	ef_axisorientation	ef_axisorientationunit	ef_axislength	ef_posequivradius	ef_negequivradius	ef_lengthunit	ef_aspectratio	ef_proximityratio
EF	2012-05-01T01:52:30	POINT(510.7356 -286.6392)	POLYGON((466.4994 -326.1966,524.8248 -329.0226,542.5188 -250.7538,482.2302 -247.8168,466.4994 -326.1966))		POINT(34.8729 -20.8577)	POLYGON((32.13995 -23.468405,36.77105 -23.468405,36.77105 -18.536195,32.13995 -18.536195,32.13995 -23.468405))		1529	424.176	-348.874	emx/hr	1790.43	-1484.46	emx	-0.539024	degrees CCW from + pole west in local solar frame	4.12517	3.08941	3.23318	cm	1.3049	0.133991
EF	2012-05-01T02:28:30	POINT(547.824 216.783)	POLYGON((533.7534 211.9032,561.1878 210.471,560.1984 220.017,532.8126 221.448,533.7534 211.9032))		POINT(35.5568 9.75665)	POLYGON((34.46929 9.41002,36.52051 9.41002,36.52051 9.99802,34.46929 9.99802,34.46929 9.41002))		1533	22.7241	-25.2379	emx/hr	14.5293	-5.55161	emx	0.267805	degrees CCW from + pole west in local solar frame	1.71854	0.466208	0.737139	cm	2.85627	0.596569
EF	2012-05-01T03:16:30	POINT(253.5726 54.22506)	POLYGON((242.9958 47.82522,259.5504 47.49966,259.5846 55.90446,243.0276 56.23026,242.9958 47.82522))		POINT(15.3717 -0.730753)	POLYGON((14.71714 -1.126953,15.74526 -1.126953,15.74526 -0.622731,14.71714 -0.622731,14.71714 -1.126953))		1538	35.4176	-12.5882	emx/hr	24.0568	-10.9121	emx	-0.047503	degrees CCW from + pole west in local solar frame	0.986091	0.520255	0.671646	cm	1.65465	0.194891
EF	2012-05-01T05:28:30	POINT(324.0006 -268.0008)	POLYGON((310.6926 -296.3832,325.2186 -296.7762,330.8832 -254.9034,316.104 -254.5026,310.6926 -296.3832))		POINT(21.1498 -20.1216)	POLYGON((20.49896 -21.91862,21.50444 -21.91862,21.50444 -19.29638,20.49896 -19.29638,20.49896 -21.91862))		1548	45.5478	-7.15671	emx/hr	9.88193	-2.9234	emx	-0.760491	degrees CCW from + pole west in local solar frame	2.21654	1.69796	0.445906	cm	2.0678	0.195282
EF	2012-05-01T08:40:30	POINT(101.1498 -249.9078)	POLYGON((94.0686 -258.0636,103.146 -258.1344,103.6116 -246.3594,94.4928 -246.2886,94.0686 -258.0636))		POINT(6.42966 -19.2239)	POLYGON((5.996778 -19.734008,6.577942 -19.734008,6.577942 -19.002592,5.996778 -19.002592,5.996778 -19.734008))		1570	9.84659	-7.55032	emx/hr	16.9063	-10.8378	emx	-1.24803	degrees CCW from + pole west in local solar frame	0.713902	0.527384	0.527384	cm	1.35367	0.332855
EF	2012-05-01T10:04:30	POINT(663.42 162.543)	POLYGON((652.806 154.713,673.878 153.222,672.522 168.9576,651.492 170.4474,652.806 154.713))		POINT(44.3785 6.87515)	POLYGON((43.42755 6.350286,45.21045 6.350286,45.21045 7.309074,43.42755 7.309074,43.42755 6.350286))		1576	20.2905	-32.8346	emx/hr	14.3301	-9.3579	emx	0.153699	degrees CCW from + pole west in local solar frame	1.8764	0.495776	0.701133	cm	3.13541	0.659281
EF	2012-05-01T11:16:30	POINT(-465.6216 -264.3834)	POLYGON((-473.9124 -273.5862,-458.4252 -272.9262,-461.5596 -255.387,-477.1524 -256.053,-473.9124 -273.5862))		POINT(-31.1261 -19.5722)	POLYGON((-31.86839 -20.120925,-30.71001 -20.120925,-30.71001 -19.026075,-31.86839 -19.026075,-31.86839 -20.120925))		1582	18.7078	-134.508	emx/hr	2.89137	-57.1716	emx	-2.58026	degrees CCW from + pole west in local solar frame	1.15671	0.734794	0.657219	cm	1.66192	0.50661
EF	2012-05-01T11:28:30	POINT(-537.8022 27.04908)	POLYGON((-542.8458 19.2033,-537.9078 19.44588,-538.1544 33.51078,-543.0948 33.2679,-542.8458 19.2033))		POINT(-34.2519 -1.76257)	POLYGON((-34.630107 -2.21803,-34.270293 -2.21803,-34.270293 -1.37405,-34.630107 -1.37405,-34.630107 -2.21803))		1585	23.534	-36.558	emx/hr	17.0706	-11.9852	emx	-3.09018	degrees CCW from + pole west in local solar frame	0.961326	0.649315	0.459135	cm	1.73454	0.219296
EF	2012-05-01T12:52:30	POINT(460.2534 -297.7194)	POLYGON((439.7196 -328.5306,477.2994 -330.1428,488.1624 -280.0812,449.7276 -278.4258,439.7196 -328.5306))		POINT(31.2006 -21.6568)	POLYGON((30.143435 -23.650545,33.034565 -23.650545,33.034565 -20.479655,30.143435 -20.479655,30.143435 -23.650545))		1594	21.2943	-394.766	emx/hr	18.9172	-124.815	emx	-0.606766	degrees CCW from + pole west in local solar frame	0.886926	0.661998	2.54245	cm	0.553559	0.342347
EF	2012-05-01T14:04:30	POINT(-513.4488 -346.3572)	POLYGON((-553.4232 -416.1534,-439.0872 -410.2788,-472.6902 -265.1598,-595.7574 -271.548,-553.4232 -416.1534))		POINT(-36.209 -24.5647)	POLYGON((-41.43767 -28.91729,-31.65893 -28.91729,-31.65893 -19.59191,-41.43767 -19.59191,-41.43767 -28.91729))		1601	789.39	-125.111	emx/hr	82.1236	-116.462	emx	-2.5455	degrees CCW from + pole west in local solar frame	8.34795	5.84847	1.94949	cm	2.14106	0.400836
