event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ef_pospeakfluxonsetrate	ef_negpeakfluxonsetrate	ef_onsetrateunit	ef_sumpossignedflux	ef_sumnegsignedflux	ef_fluxunit	ef_axisorientation	ef_axisorientationunit	ef_axislength	ef_posequivradius	ef_negequivradius	ef_lengthunit	ef_aspectratio	ef_proximityratio
EF	2012-12-01T00:05:15	POINT(564.4722 -407.187)	POLYGON((552.9996 -426.2406,560.679 -426.135,569.1846 -396.69,561.3894 -396.7962,552.9996 -426.2406))		POINT(39.2509 -23.9884)	POLYGON((38.755501 -25.220365,39.398499 -25.220365,39.398499 -23.313635,38.755501 -23.313635,38.755501 -25.220365))		4	62.0645	-73.0502	emx/hr	27.0328	-48.7178	emx	-0.548581	degrees CCW from + pole west in local solar frame	2.02052	1.37429	1.19017	cm	1.57579	0.261473
EF	2012-12-01T00:17:15	POINT(631.194 -90.3924)	POLYGON((625.728 -103.7196,632.724 -103.629,633.828 -83.8632,626.814 -83.9544,625.728 -103.7196))		POINT(40.4191 -4.66447)	POLYGON((40.05515 -5.44661,40.59745 -5.44661,40.59745 -4.28167,40.05515 -4.28167,40.05515 -5.44661))		5	16.874	-23.1076	emx/hr	9.84259	-3.74603	emx	-0.114894	degrees CCW from + pole west in local solar frame	1.31455	0.468996	0.468996	cm	2.8029	0.6105
EF	2012-12-01T01:05:15	POINT(811.77 -144.5928)	POLYGON((805.77 -150.678,810.786 -150.5586,812.034 -140.1804,807.012 -140.2998,805.77 -150.678))		POINT(57.1703 -8.06516)	POLYGON((56.59413 -8.419254,57.14247 -8.419254,57.14247 -7.802866,56.59413 -7.802866,56.59413 -8.419254))		16	40.854	-49.5192	emx/hr	16.0747	-16.6175	emx	-0.140148	degrees CCW from + pole west in local solar frame	0.677661	0.684192	0.558641	cm	1.09051	0.419874
EF	2012-12-01T01:29:15	POINT(-591.0018 -516.7512)	POLYGON((-598.098 -530.13,-572.052 -530.5842,-581.3802 -508.9362,-607.848 -508.4772,-598.098 -530.13))		POINT(-45.1751 -31.3775)	POLYGON((-46.491165 -32.325645,-43.915435 -32.325645,-43.915435 -30.822355,-46.491165 -30.822355,-46.491165 -32.325645))		24	38.4395	-27.2352	emx/hr	17.3201	-9.83849	emx	-2.53452	degrees CCW from + pole west in local solar frame	2.34872	0.645758	0.527259	cm	4.00457	0.604851
EF	2012-12-01T02:29:15	POINT(821.964 -145.3668)	POLYGON((812.994 -159.5664,820.278 -159.387,822.81 -139.2378,815.508 -139.4166,812.994 -159.5664))		POINT(58.3243 -8.13002)	POLYGON((57.517223 -8.963885,58.337577 -8.963885,58.337577 -7.766315,57.517223 -7.766315,57.517223 -8.963885))		31	61.2051	-36.8958	emx/hr	16.553	-28.524	emx	-0.138501	degrees CCW from + pole west in local solar frame	0.883567	0.803008	0.803008	cm	1.10032	0.39112
EF	2012-12-01T03:17:15	POINT(499.0128 311.3874)	POLYGON((493.0644 301.1136,506.1126 301.2234,503.3142 315.9942,490.338 315.8862,493.0644 301.1136))		POINT(32.7625 19.2869)	POLYGON((32.185846 18.656156,33.146754 18.656156,33.146754 19.569644,32.185846 19.569644,32.185846 18.656156))		38	14.9913	-32.1703	emx/hr	4.89764	-6.68199	emx	0.532061	degrees CCW from + pole west in local solar frame	1.07343	0.458489	0.724935	cm	1.81411	0.233334
EF	2012-12-01T03:17:15	POINT(601.428 -320.2308)	POLYGON((595.7508 -330.6564,597.165 -330.6372,601.362 -311.4654,599.9412 -311.4846,595.7508 -330.6564))		POINT(40.5005 -18.5101)	POLYGON((40.22601 -19.1563,40.34139 -19.1563,40.34139 -17.9647,40.22601 -17.9647,40.22601 -19.1563))		39	27.1073	-22.7721	emx/hr	10.7811	-1.49841	emx	-0.428689	degrees CCW from + pole west in local solar frame	0.887037	0.481277	0.589441	cm	1.6569	0.359948
EF	2012-12-01T05:29:15	POINT(-704.058 225.0786)	POLYGON((-709.95 214.1718,-705.768 214.1094,-701.85 235.464,-706.014 235.5258,-709.95 214.1718))		POINT(-47.9741 13.8793)	POLYGON((-48.330758 13.218715,-47.951241 13.218715,-47.951241 14.506885,-48.330758 14.506885,-48.330758 13.218715))		47	29.1832	-24.2757	emx/hr	13.2885	-15.3519	emx	2.85997	degrees CCW from + pole west in local solar frame	1.13461	0.801934	0.621176	cm	1.59455	0.470628
EF	2012-12-01T06:17:15	POINT(80.883 221.5176)	POLYGON((41.79252 193.5738,122.337 193.6662,118.635 298.4922,40.52778 298.4058,41.79252 193.5738))		POINT(4.88871 13.9078)	POLYGON((2.50658 12.23379,7.35548 12.23379,7.35548 18.58701,2.50658 18.58701,2.50658 12.23379))		53	9.94339	-220.363	emx/hr	15.7863	-53.9497	emx	1.23278	degrees CCW from + pole west in local solar frame	3.30674	0.414959	4.57397	cm	1.32563	0.036828
EF	2012-12-01T06:17:15	POINT(70.8408 -376.2912)	POLYGON((45.18798 -388.3962,104.0244 -388.3176,105.7992 -349.3818,45.95898 -349.461,45.18798 -388.3962))		POINT(4.47732 -21.826)	POLYGON((2.870045 -22.59588,6.619055 -22.59588,6.619055 -20.12952,2.870045 -20.12952,2.870045 -22.59588))		54	131.51	-11.7732	emx/hr	25.8004	-9.18558	emx	-1.36847	degrees CCW from + pole west in local solar frame	1.68187	2.10015	0.424294	cm	1.33247	0.257257
EF	2012-12-01T21:29:15	POINT(724.446 157.4304)	POLYGON((708.12 156.9354,740.358 157.383,740.298 157.8246,708.066 157.377,708.12 156.9354))		POINT(48.8398 9.76357)	POLYGON((47.375505 9.747307,50.303895 9.747307,50.303895 9.773573,47.375505 9.773573,47.375505 9.747307))		137	184.716	-31.3966	emx/hr	11.7759	-97.6645	emx	0.197309	degrees CCW from + pole west in local solar frame	3.50338	1.43552	1.43552	cm	2.44051	0.563332
EF	2012-12-01T23:41:15	POINT(652.848 169.8228)	POLYGON((638.73 150.9516,667.776 151.272,663.426 185.28,634.566 184.9662,638.73 150.9516))		POINT(42.8344 10.5443)	POLYGON((41.517725 9.43243,43.875275 9.43243,43.875275 11.45817,41.517725 11.45817,41.517725 9.43243))		143	64.8063	-51.8577	emx/hr	-9.6212	-33.6822	emx	0.241364	degrees CCW from + pole west in local solar frame	2.25197	0.900198	0.900198	cm	2.50164	0.51713
EF	2012-12-02T01:17:15	POINT(295.0098 -378.6576)	POLYGON((264.5748 -396.2946,305.6142 -396.0966,309.5706 -368.0862,268.0002 -368.2854,264.5748 -396.2946))		POINT(19.0137 -22.1164)	POLYGON((17.13195 -23.235,19.89445 -23.235,19.89445 -21.4496,17.13195 -21.4496,17.13195 -23.235))		150	45.099	-16.6278	emx/hr	2.24307	-17.5312	emx	-0.860691	degrees CCW from + pole west in local solar frame	2.42525	1.34437	0.43617	cm	2.72417	0.435517
EF	2012-12-02T01:41:15	POINT(-328.035 -392.4204)	POLYGON((-335.7276 -413.3088,-321.3006 -413.3916,-325.7874 -385.0134,-340.416 -384.93,-335.7276 -413.3088))		POINT(-21.386 -23.0088)	POLYGON((-22.154202 -24.35823,-21.154598 -24.35823,-21.154598 -22.53397,-22.154202 -22.53397,-22.154202 -24.35823))		152	24.1068	-45.584	emx/hr	25.7346	-24.3289	emx	-2.31966	degrees CCW from + pole west in local solar frame	1.20997	0.623653	0.986083	cm	1.50331	0.301375
EF	2012-12-02T02:29:15	POINT(280.863 228.3756)	POLYGON((249.8118 190.5228,339.3054 190.8552,330.6756 283.3536,243.4572 283.0422,249.8118 190.5228))		POINT(17.2357 14.1858)	POLYGON((15.136405 11.920865,20.775795 11.920865,20.775795 17.513135,15.136405 17.513135,15.136405 11.920865))		155	58.0725	-313.947	emx/hr	87.641	-106.963	emx	0.688638	degrees CCW from + pole west in local solar frame	2.53965	0.734585	4.50838	cm	0.968784	0.0479438
EF	2012-12-02T02:53:15	POINT(-442.71 139.2372)	POLYGON((-455.5212 126.0828,-436.9656 125.9694,-435.5382 146.709,-454.0332 146.8206,-455.5212 126.0828))		POINT(-27.2792 8.81814)	POLYGON((-28.07635 8.035465,-26.83705 8.035465,-26.83705 9.263235,-28.07635 9.263235,-28.07635 8.035465))		156	77.4559	-34.2654	emx/hr	59.6189	-57.2084	emx	2.82894	degrees CCW from + pole west in local solar frame	1.41757	0.97393	0.688672	cm	1.70524	0.246318
EF	2012-12-02T03:53:15	POINT(625.074 362.7396)	POLYGON((614.214 356.6688,633.456 356.862,630.444 367.3806,611.292 367.1898,614.214 356.6688))		POINT(43.7817 22.3133)	POLYGON((42.690285 21.937827,44.373915 21.937827,44.373915 22.602773,42.690285 22.602773,42.690285 21.937827))		165	8.86085	-48.9294	emx/hr	12.4837	-39.9005	emx	0.471337	degrees CCW from + pole west in local solar frame	1.48125	0.500164	0.707339	cm	2.45341	0.610353
EF	2012-12-02T03:53:15	POINT(624.768 358.5768)	POLYGON((617.694 354.9414,628.026 355.0446,626.412 360.8202,616.104 360.7176,617.694 354.9414))		POINT(43.6521 22.0513)	POLYGON((42.94972 21.8271,43.85108 21.8271,43.85108 22.1915,42.94972 22.1915,42.94972 21.8271))		164	36.886	-48.9291	emx/hr	13.6466	-36.9932	emx	0.467768	degrees CCW from + pole west in local solar frame	0.586259	0.499146	0.705899	cm	0.973006	0.263887
EF	2012-12-02T04:53:15	POINT(-147.3822 -688.026)	POLYGON((-152.8758 -698.418,-137.6838 -698.472,-140.7438 -683.04,-156.2736 -682.992,-152.8758 -698.418))		POINT(-12.1323 -44.1077)	POLYGON((-12.785545 -44.978595,-11.496455 -44.978595,-11.496455 -43.693805,-12.785545 -43.693805,-12.785545 -44.978595))		170	52.8145	-139.021	emx/hr	27.5242	-18.1748	emx	-1.83922	degrees CCW from + pole west in local solar frame	1.01435	0.689801	1.09067	cm	1.13942	0.119544
