event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid
CH	2013-11-12T17:21:31	POINT(123.51 -666.204)	POLYGON((86.7 -729.3,157.5 -729.3,157.5 -603.3,86.7 -603.3,86.7 -729.3))	POLYGON((86.7 -695.7,87.3 -695.1,109.5 -608.1,152.1 -615.3,157.5 -675.9,127.5 -728.1,86.7 -695.7))	POINT(9.5601446 -40.150049)	POLYGON((7.305168 -45.49043,13.372397 -45.557318,11.432916 -35.265424,6.260314 -35.21798,7.305168 -45.49043))	POLYGON((6.95058 -42.568288,6.993228 -42.517893,7.953418 -35.59239,11.164096 -36.170638,12.381987 -40.973745,10.763282 -45.416637,6.95058 -42.568288))	SPoCA_v1.0_CH_0000012637
CH	2013-11-12T17:21:31	POINT(-16.3131 950.098)	POLYGON((-296.7 918.3,266.1 918.3,266.1 968.7,-296.7 968.7,-296.7 918.3))	POLYGON((-296.7 921.9,-294.9 922.5,-31.5 968.7,147.3 957.9,266.1 925.5,30.9 963.9,-107.7 959.1,-296.7 921.9))	POINT(-6.3858282 81.308355)	POLYGON((-80.62141 71.941677,66.418567 72.590777,79.833815 74.388916,-80.871391 72.745921,-80.62141 71.941677))	POLYGON((-89.552527 72.186477,-89.641364 72.298291,-58.962391 87.827488,83.549919 81.207715,75.751557 73.561949,30.289803 86.379344,-66.918647 83.0687,-89.552527 72.186477))	SPoCA_v1.0_CH_0000012655
CH	2013-11-12T21:25:07	POINT(136.756 -952.429)	POLYGON((26.7 -966.9,233.1 -966.9,233.1 -935.1,26.7 -935.1,26.7 -966.9))	POLYGON((26.7 -964.5,28.5 -963.9,215.1 -935.1,225.3 -941.1,26.7 -964.5))	POINT(37.841687 -76.717744)	POLYGON((12.052645 -82.425321,76.281067 -76.040043,55.15376 -72.977287,4.924286 -71.314914,12.052645 -82.425321))	POLYGON((9.900792 -80.789544,10.20837 -80.45911,47.830196 -72.597331,62.47786 -74.816678,9.900792 -80.789544))	SPoCA_v1.0_CH_0000012619
CH	2013-11-12T21:25:07	POINT(-515.543 809.201)	POLYGON((-543.9 786.3,-488.1 786.3,-488.1 835.5,-543.9 835.5,-543.9 786.3))	POLYGON((-543.9 800.7,-543.3 801.3,-488.7 835.5,-510.3 795.9,-542.1 786.3,-543.9 800.7))	POINT(-78.904699 57.22044)	POLYGON((-77.177307 54.915238,-62.767556 55.576594,-87.345382 59.752516,-85.764288 56.834677,-77.177307 54.915238))	POLYGON((-87.979216 55.869159,-88.267745 55.91787,-87.911855 59.724351,-70.88931 56.195823,-76.54286 54.945753,-87.979216 55.869159))	SPoCA_v1.0_CH_0000012646
CH	2013-11-12T21:25:07	POINT(422.753 500.917)	POLYGON((287.1 461.1,591.3 461.1,591.3 553.5,287.1 553.5,287.1 461.1))	POLYGON((287.1 518.1,287.7 518.7,381.3 533.1,470.1 500.7,560.1 547.5,590.1 545.7,525.9 513.3,512.1 477.3,426.3 461.1,287.1 518.1))	POINT(31.45393 33.634383)	POLYGON((20.16445 31.179703,44.885896 30.513944,49.381525 36.749834,21.842138 37.540536,20.16445 31.179703))	POLYGON((21.120073 35.052185,21.177492 35.092962,28.945885 35.938687,35.415608 33.510024,45.73577 36.454502,48.786904 36.213777,40.830033 34.213582,38.282223 31.826582,30.716138 30.951798,21.120073 35.052185))	SPoCA_v1.0_CH_0000012552
CH	2013-11-12T21:25:07	POINT(149.244 -659.574)	POLYGON((111.3 -723.9,185.1 -723.9,185.1 -588.9,111.3 -588.9,111.3 -723.9))	POLYGON((111.3 -689.7,111.9 -689.1,130.5 -614.7,162.3 -588.9,185.1 -637.5,170.1 -707.7,132.9 -722.7,111.3 -689.7))	POINT(11.491805 -39.653203)	POLYGON((9.319902 -45.044467,15.649095 -45.127825,13.299578 -34.231241,7.94477 -34.172917,9.319902 -45.044467))	POLYGON((8.869191 -42.096178,8.910308 -42.046304,9.556269 -36.124913,11.633502 -34.209988,13.957293 -37.936769,13.994401 -43.687015,11.132949 -44.957963,8.869191 -42.096178))	SPoCA_v1.0_CH_0000012637
CH	2013-11-12T21:25:07	POINT(-118.535 467.621)	POLYGON((-441.3 77.7,165.9 77.7,165.9 851.7,-441.3 851.7,-441.3 77.7))	POLYGON((-441.3 614.1,-440.7 614.7,-433.5 635.7,-339.9 683.7,-336.9 713.7,-312.9 728.7,-288.3 702.3,-249.3 708.3,-221.1 694.5,-203.7 668.7,-132.3 668.1,-118.5 701.1,-74.1 723.9,-81.9 783.3,-39.9 787.5,-31.5 812.1,-0.9 816.9,5.7 839.7,38.7 850.5,36.3 802.5,93.3 790.5,89.1 704.1,40.5 650.1,39.9 618.9,84.9 599.1,96.9 555.3,165.9 538.5,47.7 541.5,8.1 512.7,-38.1 427.5,-14.7 396.3,51.9 378.3,53.1 339.3,127.5 281.1,141.9 246.9,129.9 152.1,104.7 146.1,74.1 108.3,44.7 124.5,-6.3 116.1,-49.5 129.3,-66.3 112.5,-65.7 77.7,-89.1 111.9,-76.5 157.5,-222.9 290.7,-264.3 382.5,-312.9 422.7,-384.9 449.1,-387.3 488.7,-441.3 614.1))	POINT(-8.2323199 31.763614)	POLYGON((-27.189206 7.328432,9.893311 7.620336,22.997895 64.089013,-77.182171 62.199345,-27.189206 7.328432))	POLYGON((-37.383016 41.637847,-37.355157 41.684407,-37.765509 43.292168,-31.049353 47.34117,-32.508038 49.856032,-30.916544 51.21963,-26.866291 49.006666,-23.293958 49.5947,-20.051385 48.474362,-17.666421 46.37403,-11.372307 46.401381,-10.733749 49.152791,-6.976936 51.160753,-8.830083 56.722299,-4.340566 57.168296,-3.68606 59.735952,-0.106936 60.262739,0.736319 62.849139,5.237442 64.137191,4.12273 58.713172,10.269907 57.437316,8.095635 49.429807,3.374714 45.005653,3.191639 42.576362,6.643742 41.063835,7.242524 37.850414,12.258381 36.610807,3.512116 36.88275,0.58101 34.868306,-2.567137 29.128721,-0.971585 27.103334,3.397528 25.94348,3.407557 23.473525,7.999012 19.835671,8.797942 17.73871,7.836503 12.045271,6.301139 11.698084,4.422488 9.464677,2.674029 10.430115,-0.376155 9.935484,-2.964172 10.714108,-3.959103 9.7151,-3.901661 7.658634,-5.323417 9.673726,-4.611439 12.385409,-14.130319 20.365979,-17.590399 26.080932,-21.477132 28.616247,-27.240245 30.236361,-28.285178 32.8767,-37.383016 41.637847))	SPoCA_v1.0_CH_0000012568
CH	2013-11-12T21:25:07	POINT(-173.459 -945.539)	POLYGON((-243.9 -963.9,-47.1 -963.9,-47.1 -930.9,-243.9 -930.9,-243.9 -963.9))	POLYGON((-243.9 -930.9,-243.3 -930.9,-55.5 -963.9,-159.9 -954.3,-243.9 -930.9))	POINT(-43.545837 -74.96053)	POLYGON((-76.903425 -75.413003,-17.310643 -80.609554,-8.32776 -70.432233,-54.513093 -72.017925,-76.903425 -75.413003))	POLYGON((-54.513093 -72.017925,-54.257155 -72.004325,-20.753219 -80.708912,-53.233852 -78.125047,-54.513093 -72.017925))	SPoCA_v1.0_CH_0000012647
CH	2013-11-12T21:25:07	POINT(3.40371 944.998)	POLYGON((-308.1 887.7,376.5 887.7,376.5 968.7,-308.1 968.7,-308.1 887.7))	POLYGON((-308.1 915.9,-307.5 916.5,-156.3 956.1,27.3 968.7,210.3 945.9,377.1 890.1,205.5 942.9,48.9 963.3,-108.9 954.9,-308.1 915.9))	POINT(1.1424667 79.871377)	POLYGON((-57.558802 67.911321,81.068515 66.869125,82.844972 68.586128,-81.258944 72.142507,-57.558802 67.911321))	POLYGON((-83.398537 71.353932,-84.249324 71.422104,-88.030097 80.720771,63.613839 88.199307,87.312863 77.462985,85.044 67.033281,76.730664 77.429971,43.107791 85.770272,-53.115415 81.933799,-83.398537 71.353932))	SPoCA_v1.0_CH_0000012655
CH	2013-11-13T01:25:07	POINT(-86.1683 468.457)	POLYGON((-416.7 77.1,197.1 77.1,197.1 842.1,-416.7 842.1,-416.7 77.1))	POLYGON((-416.7 630.3,-416.1 630.9,-315.9 704.7,-282.9 691.5,-198.3 708.3,-192.9 679.5,-164.7 669.3,-56.7 710.7,-44.1 729.3,-57.3 783.9,-43.5 803.1,2.7 802.5,39.9 822.3,43.5 842.1,65.7 841.5,96.3 810.3,129.9 809.7,104.7 767.1,113.7 700.5,78.3 635.7,101.1 617.7,150.9 626.7,126.9 562.5,197.1 534.9,153.3 521.1,122.1 556.5,87.9 554.1,46.5 519.9,-18.9 407.7,1.5 386.7,78.3 383.7,83.7 342.3,161.7 281.1,180.9 206.1,178.5 166.5,158.7 144.9,106.5 107.1,44.1 117.9,-24.9 81.3,-23.1 131.7,-59.1 141.3,-93.9 214.5,-189.9 291.3,-234.3 390.9,-269.7 420.9,-321.3 422.1,-361.5 450.9,-416.7 630.3))	POINT(-5.9775832 31.813451)	POLYGON((-25.55661 7.314161,11.776199 7.54713,26.378925 62.839544,-64.463256 61.596941,-25.55661 7.314161))	POLYGON((-35.8014 42.911779,-35.773687 42.959133,-29.761661 49.126884,-25.815121 48.093835,-18.355955 49.658051,-16.983353 47.248288,-14.222148 46.447727,-5.201515 49.992656,-4.18856 51.632282,-6.173884 56.776329,-4.947519 58.750757,0.306235 58.697502,4.829884 60.82625,5.676333 63.097679,8.565474 63.010235,11.245742 59.474703,15.203436 59.368765,10.844761 55.095011,10.279288 49.084369,6.40466 43.839467,8.092075 42.440315,12.260287 43.095547,9.566499 38.331775,14.552655 36.309905,11.135714 35.378899,9.146843 37.902697,6.557246 37.747732,3.356762 35.34359,-1.257349 27.81988,0.098576 26.466245,5.14354 26.262281,5.382432 23.634348,10.162405 19.798464,11.096763 15.230201,10.833132 12.859134,9.572275 11.583633,6.360958 9.364699,2.634585 10.019556,-1.478363 7.857767,-1.383318 10.840245,-3.547984 11.405618,-5.748579 15.776966,-12.006746 20.408288,-15.614473 26.629222,-18.378501 28.532687,-22.067697 28.546986,-25.497506 30.376473,-35.8014 42.911779))	SPoCA_v1.0_CH_0000012568
