event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid
CH	2013-06-01T01:35:55	POINT(-773.395 -193.825)	POLYGON((-830.1 -301.5,-721.5 -301.5,-721.5 -108.3,-830.1 -108.3,-830.1 -301.5))	POLYGON((-830.1 -203.7,-829.5 -203.1,-791.7 -185.1,-786.3 -109.5,-724.5 -120.9,-776.1 -291.3,-801.9 -298.5,-830.1 -203.7))	POINT(-56.496166 -12.151449)	POLYGON((-67.665069 -18.795524,-53.494865 -18.918555,-49.977578 -6.974507,-61.829743 -6.867341,-67.665069 -18.795524))	POLYGON((-63.806562 -12.695078,-63.705176 -12.658912,-58.424762 -11.596469,-56.61081 -6.989325,-50.382854 -7.737366,-59.47604 -18.219946,-63.186884 -18.645098,-63.806562 -12.695078))	SPoCA_v1.0_CH_0000009961
CH	2013-06-01T01:35:55	POINT(-628.603 697.111)	POLYGON((-665.7 663.9,-589.5 663.9,-589.5 735.9,-665.7 735.9,-665.7 663.9))	POLYGON((-665.7 670.5,-665.1 671.1,-592.5 735.9,-611.7 703.5,-665.7 670.5))	POINT(-78.044943 47.271981)	POLYGON((-79.744612 44.403305,-60.048314 44.131601,-80.920294 50.910868,-88.874412 47.857883,-79.744612 44.403305))	POLYGON((-84.2983 45.033032,-84.297637 45.084509,-83.422455 50.948244,-73.991447 47.788057,-84.2983 45.033032))	SPoCA_v1.0_CH_0000009955
CH	2013-06-01T01:35:55	POINT(164.974 357.188)	POLYGON((90.3 284.7,248.1 284.7,248.1 432.3,90.3 432.3,90.3 284.7))	POLYGON((90.3 374.7,90.9 375.3,93.9 399.3,139.5 430.5,186.9 414.3,190.5 386.7,248.1 331.5,237.3 287.1,213.3 284.7,150.9 326.7,113.7 317.1,90.3 374.7))	POINT(10.74756 21.430611)	POLYGON((5.694274 16.774372,15.824014 16.798738,16.955074 26.436337,6.090344 26.406739,5.694274 16.774372))	POLYGON((5.905697 22.566103,5.946796 22.605557,6.21848 24.191821,9.424272 26.290943,12.555829 25.207479,12.614037 23.370799,16.107755 19.784279,15.130408 16.948125,13.557181 16.791322,9.693924 19.456847,7.261209 18.836747,5.905697 22.566103))	SPoCA_v1.0_CH_0000009943
CH	2013-06-01T01:35:55	POINT(-495.403 569.415)	POLYGON((-605.1 459.9,-343.5 459.9,-343.5 691.5,-605.1 691.5,-605.1 459.9))	POLYGON((-605.1 505.5,-604.5 506.1,-602.1 606.9,-535.5 629.1,-510.9 667.5,-459.9 690.9,-426.9 610.5,-403.5 611.1,-377.1 640.5,-366.3 594.3,-344.1 577.5,-350.1 560.1,-453.3 522.9,-506.7 468.9,-555.9 459.9,-605.1 505.5))	POINT(-40.412611 36.369973)	POLYGON((-46.534086 28.535949,-24.264272 28.359253,-31.545864 46.219792,-68.45407 46.635672,-46.534086 28.535949))	POLYGON((-48.59419 31.759142,-48.559572 31.801649,-55.276103 39.419478,-48.532429 41.113421,-48.825989 44.302596,-44.558697 46.286832,-35.65676 39.501058,-33.44696 39.530209,-32.25592 41.887239,-29.398134 38.184181,-26.93953 36.876282,-26.952224 35.562538,-34.648969 32.880589,-37.638498 29.077276,-41.784156 28.490377,-48.59419 31.759142))	SPoCA_v1.0_CH_0000009936
CH	2013-06-01T01:35:55	POINT(129.628 89.7195)	POLYGON((20.1 23.7,248.1 23.7,248.1 171.3,20.1 171.3,20.1 23.7))	POLYGON((20.1 151.5,20.7 152.1,26.7 171.3,43.5 171.3,44.7 136.5,94.5 97.5,129.3 101.7,154.5 141.9,181.5 143.7,244.5 29.1,213.3 33.3,186.3 71.7,146.1 83.7,98.1 63.3,93.9 23.7,69.9 24.9,20.1 151.5))	POINT(7.8640012 4.7640904)	POLYGON((1.211486 0.771276,15.130303 0.794145,15.357095 9.748468,1.229125 9.723411,1.211486 0.771276))	POLYGON((1.224942 8.512358,1.261635 8.549003,1.632816 9.723536,2.660815 9.72401,2.718775 7.598332,5.728477 5.232288,7.852998 5.489827,9.44442 7.936022,11.11771 8.049404,14.90701 1.119073,12.969754 1.366926,11.32493 3.680952,8.866433 4.401517,5.931605 3.163864,5.668576 0.774375,4.216695 0.845266,1.224942 8.512358))	SPoCA_v1.0_CH_0000009931
CH	2013-06-01T01:35:55	POINT(503.924 43.027)	POLYGON((305.7 -277.5,665.1 -277.5,665.1 306.3,305.7 306.3,305.7 -277.5))	POLYGON((305.7 254.7,306.3 255.3,390.9 306.3,470.1 285.9,509.7 246.3,545.7 263.1,560.7 242.1,633.9 214.5,665.1 108.9,644.1 89.1,651.3 29.7,624.3 -8.7,631.5 -145.5,603.3 -178.5,589.5 -237.3,520.5 -277.5,500.1 -256.5,525.9 -234.3,516.9 -201.3,477.3 -184.5,450.9 -201.3,402.3 -147.3,366.3 -138.3,365.7 -96.9,400.5 -54.9,422.7 47.1,402.3 85.5,368.7 92.7,375.3 124.5,356.1 188.1,305.7 254.7))	POINT(32.054896 2.0386453)	POLYGON((19.722749 -17.596807,47.260812 -17.444796,47.595455 18.383878,19.791973 18.185297,19.722749 -17.596807))	POLYGON((19.444828 14.925827,19.488138 14.963575,25.666111 18.21481,31.154558 16.953223,33.654891 14.481147,36.613454 15.555121,37.525106 14.24748,43.159883 12.577373,44.790191 6.119819,42.905779 4.902786,43.319979 1.314223,41.108084 -1.020133,42.367636 -9.299714,40.384567 -11.334752,39.98485 -14.974665,35.076945 -17.525665,33.249141 -16.215677,34.939188 -14.819407,33.915025 -12.779885,30.87435 -11.762031,29.12225 -12.80612,25.419541 -9.510801,22.967064 -8.972714,22.782982 -6.457896,24.986629 -3.907502,26.432982 2.25242,25.130028 4.566809,22.918409 4.992099,23.440837 6.924559,22.424823 10.808302,19.444828 14.925827))	SPoCA_v1.0_CH_0000009849
CH	2013-06-01T05:35:55	POINT(-754.293 -191.583)	POLYGON((-820.5 -302.7,-685.5 -302.7,-685.5 -101.1,-820.5 -101.1,-820.5 -302.7))	POLYGON((-820.5 -210.9,-819.9 -210.3,-788.1 -199.5,-788.1 -142.5,-768.9 -101.1,-686.7 -119.7,-747.3 -288.3,-785.7 -300.9,-794.1 -246.9,-820.5 -210.9))	POINT(-54.366836 -12.020194)	POLYGON((-66.157526 -18.87825,-49.815973 -19.011328,-46.620252 -6.551049,-60.519707 -6.432537,-66.157526 -18.87825))	POLYGON((-62.68268 -13.142524,-62.584564 -13.106222,-58.307538 -12.475556,-57.248791 -8.983837,-54.640872 -6.485236,-46.877818 -7.6794,-55.942003 -18.048803,-61.067863 -18.807442,-60.279001 -15.405323,-62.68268 -13.142524))	SPoCA_v1.0_CH_0000009961
CH	2013-06-01T05:35:55	POINT(-622.231 703.288)	POLYGON((-662.7 668.1,-552.9 668.1,-552.9 765.9,-662.7 765.9,-662.7 668.1))	POLYGON((-662.7 670.5,-662.1 671.1,-553.5 765.9,-641.1 673.5,-662.7 670.5))	POINT(-78.210217 47.835513)	POLYGON((-80.379119 44.774866,-54.754765 44.435764,-82.717173 53.927866,-88.838377 49.122213,-80.379119 44.774866))	POLYGON((-81.853097 45.001299,-81.850383 45.052745,-83.343114 53.93711,-73.658025 45.143718,-81.853097 45.001299))	SPoCA_v1.0_CH_0000009955
CH	2013-06-01T05:35:55	POINT(205.169 350.604)	POLYGON((133.5 284.7,285.9 284.7,285.9 420.3,133.5 420.3,133.5 284.7))	POLYGON((133.5 401.1,134.1 401.7,168.9 420.3,209.1 401.7,282.9 326.1,284.1 285.3,248.1 290.1,205.5 323.1,145.5 328.5,133.5 401.1))	POINT(13.373695 21.030018)	POLYGON((8.436581 16.799058,18.318748 16.827712,19.502185 25.656279,8.963924 25.622024,8.436581 16.799058))	POLYGON((8.869573 24.336814,8.91262 24.376851,11.370029 25.627649,13.982171 24.390072,18.406444 19.465611,18.203054 16.865193,15.85591 17.160326,13.240845 19.255105,9.35199 19.59213,8.869573 24.336814))	SPoCA_v1.0_CH_0000009943
CH	2013-06-01T05:35:55	POINT(-460.732 576.229)	POLYGON((-575.7 464.1,-316.5 464.1,-316.5 703.5,-575.7 703.5,-575.7 464.1))	POLYGON((-575.7 545.1,-575.1 545.7,-563.7 609.3,-524.1 629.1,-504.9 663.9,-427.5 703.5,-426.9 680.7,-396.3 668.1,-414.3 640.5,-396.3 617.7,-371.1 629.7,-372.9 662.7,-348.3 689.1,-316.5 683.1,-340.5 659.1,-340.5 600.3,-320.7 578.1,-343.5 536.1,-452.1 506.1,-485.1 464.1,-506.1 476.1,-532.5 464.7,-567.9 473.7,-575.7 545.1))	POINT(-37.361519 36.876292)	POLYGON((-43.811776 28.815142,-22.315874 28.658297,-29.457952 47.295044,-64.434601 47.664532,-43.811776 28.815142))	POLYGON((-47.519286 34.638142,-47.487288 34.682158,-50.439955 39.566659,-47.168176 41.113461,-47.734535 43.999333,-41.747221 47.400153,-39.82457 45.361988,-35.659641 44.240157,-35.935873 41.935186,-33.066193 40.069035,-31.2113 41.018165,-32.96052 43.759512,-31.916027 46.029422,-28.399724 45.477586,-29.605386 43.430599,-27.340868 38.655866,-24.993884 36.929045,-25.803679 33.797779,-34.027657 31.68514,-35.643153 28.744996,-37.814141 29.596969,-39.81102 28.820855,-43.419686 29.47873,-47.519286 34.638142))	SPoCA_v1.0_CH_0000009936
