event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid
CH	2012-10-01T02:00:43	POINT(377.738 739.485)	POLYGON((315.3 690.9,449.7 690.9,449.7 777.9,315.3 777.9,315.3 690.9))	POLYGON((315.3 729.9,315.9 730.5,317.1 776.7,331.5 777.9,393.9 774.3,449.1 730.5,398.1 690.9,315.3 729.9))	POINT(43.905557 55.437238)	POLYGON((32.048401 51.791015,47.75835 50.756443,61.573156 57.794941,40.27744 59.470089,32.048401 51.791015))	POLYGON((35.025627 55.110409,35.151124 55.15875,40.368414 59.340745,42.586701 59.318251,51.356584 58.302268,52.611731 53.92578,41.434539 51.216775,35.025627 55.110409))	SPoCA_v1.0_CH_0000006302
CH	2012-10-01T02:00:43	POINT(-592.579 -745.067)	POLYGON((-611.7 -768.9,-567.9 -768.9,-567.9 -729.9,-611.7 -729.9,-611.7 -768.9))	POLYGON((-611.7 -734.1,-610.5 -733.5,-599.7 -729.9,-567.9 -768.9,-611.7 -734.1))	POINT(-71.595093 -49.336919)	POLYGON((-81.238814 -50.956301,-74.61849 -52.07183,-59.268116 -46.460352,-72.547739 -48.007231,-81.238814 -50.956301))	POLYGON((-75.601049 -48.772309,-74.224372 -48.548593,-67.585026 -47.415578,-74.61849 -52.07183,-75.601049 -48.772309))	SPoCA_v1.0_CH_0000006438
CH	2012-10-01T02:00:43	POINT(482.084 -817.668)	POLYGON((392.1 -872.1,598.5 -872.1,598.5 -746.1,392.1 -746.1,392.1 -872.1))	POLYGON((392.1 -872.1,392.7 -871.5,455.7 -819.3,596.7 -747.9,392.1 -872.1))	POINT(64.692954 -56.197784)	POLYGON((67.373031 -63.68379,79.894954 -54.917811,76.504557 -50.032196,35.80289 -45.721509,67.373031 -63.68379))	POLYGON((67.373031 -63.68379,66.823243 -63.525698,57.043701 -55.500656,76.933863 -50.259602,67.373031 -63.68379))	SPoCA_v1.0_CH_0000006307
CH	2012-10-01T02:00:43	POINT(-390.371 -867.13)	POLYGON((-410.7 -885.9,-358.5 -885.9,-358.5 -853.5,-410.7 -853.5,-410.7 -885.9))	POLYGON((-410.7 -863.1,-409.5 -862.5,-396.9 -855.3,-358.5 -885.9,-410.7 -863.1))	POINT(-60.569445 -62.119442)	POLYGON((-75.279848 -64.223395,-64.26743 -65.461286,-45.802268 -58.5754,-59.060739 -60.032456,-75.279848 -64.223395))	POLYGON((-67.751607 -62.414157,-66.017234 -62.115117,-55.570002 -59.873266,-64.26743 -65.461286,-67.751607 -62.414157))	SPoCA_v1.0_CH_0000006435
CH	2012-10-01T02:00:43	POINT(79.5888 925.955)	POLYGON((-250.5 859.5,422.1 859.5,422.1 957.3,-250.5 957.3,-250.5 859.5))	POLYGON((-250.5 922.5,-249.9 923.1,-79.5 954.3,93.9 953.1,261.9 921.3,422.1 859.5,123.3 942.3,-92.1 950.1,-191.1 914.1,-242.7 911.1,-250.5 922.5))	POINT(32.093013 81.013455)	POLYGON((-45.922711 68.690852,80.665822 63.481404,75.787813 65.406268,-66.838576 74.017854,-45.922711 68.690852))	POLYGON((-80.587976 74.6338,-79.034226 74.594259,-43.953943 83.133605,47.20514 82.324009,71.442541 73.239418,80.665822 63.481404,83.532998 82.561494,-73.812433 84.256609,-60.157201 76.717613,-74.769072 74.789618,-80.587976 74.6338))	SPoCA_v1.0_CH_0000006432
CH	2012-10-01T06:00:43	POINT(60.6479 928.117)	POLYGON((-251.1 848.7,440.1 848.7,440.1 957.9,-251.1 957.9,-251.1 848.7))	POLYGON((-251.1 922.5,-249.9 923.1,-73.5 954.9,101.1 952.5,278.7 916.5,439.5 848.7,253.5 915.3,104.7 945.9,-102.3 947.1,-214.5 908.7,-251.1 922.5))	POINT(26.050661 81.720951)	POLYGON((-42.970777 67.427117,85.599851 62.572642,76.359052 64.557887,-66.900765 73.998331,-42.970777 67.427117))	POLYGON((-80.254666 74.581216,-79.235023 74.605687,-40.717097 83.246192,47.812445 81.812069,71.236316 72.10697,86.132154 62.633697,85.029385 74.605973,88.345653 83.7262,-86.935158 83.864113,-62.552164 75.401297,-80.254666 74.581216))	SPoCA_v1.0_CH_0000006432
CH	2012-10-01T06:00:43	POINT(396.433 743.801)	POLYGON((327.9 705.9,455.1 705.9,455.1 779.7,327.9 779.7,327.9 705.9))	POLYGON((327.9 732.9,328.5 733.5,348.9 773.1,404.7 777.9,454.5 734.1,438.3 707.1,327.9 732.9))	POINT(46.980841 55.614588)	POLYGON((34.516278 52.956443,50.156952 51.877301,63.012964 57.840105,42.312564 59.512424,34.516278 52.956443))	POLYGON((36.821643 55.273034,36.952553 55.321063,44.377168 58.692639,53.739108 58.470556,53.932416 54.14352,48.065147 52.148606,36.821643 55.273034))	SPoCA_v1.0_CH_0000006302
CH	2012-10-01T06:00:43	POINT(-582.942 -751.606)	POLYGON((-605.7 -775.5,-556.5 -775.5,-556.5 -734.1,-605.7 -734.1,-605.7 -775.5))	POLYGON((-605.7 -739.5,-605.1 -738.9,-589.5 -734.1,-556.5 -775.5,-605.7 -739.5))	POINT(-70.609036 -49.85332)	POLYGON((-81.091473 -51.460641,-72.485284 -52.489447,-57.751374 -46.686638,-71.854666 -48.317548,-81.091473 -51.460641))	POLYGON((-75.799582 -49.307806,-74.762751 -49.124618,-65.737481 -47.59279,-72.485284 -52.489447,-75.799582 -49.307806))	SPoCA_v1.0_CH_0000006438
CH	2012-10-01T06:00:43	POINT(-813.397 -247.042)	POLYGON((-840.3 -284.1,-789.3 -284.1,-789.3 -193.5,-840.3 -193.5,-840.3 -284.1))	POLYGON((-840.3 -198.9,-839.7 -198.3,-801.3 -238.5,-795.9 -281.7,-819.3 -272.7,-840.3 -198.9))	POINT(-59.880902 -11.618866)	POLYGON((-64.719159 -14.449878,-57.802936 -13.719624,-56.0822 -7.932444,-62.284248 -8.567952,-64.719159 -14.449878))	POLYGON((-62.385847 -8.909871,-62.293057 -8.863242,-58.204495 -10.916464,-58.546892 -13.645116,-61.317777 -13.36958,-62.385847 -8.909871))	SPoCA_v1.0_CH_0000006451
CH	2012-10-01T06:00:43	POINT(-380.905 -870.645)	POLYGON((-404.7 -892.5,-343.5 -892.5,-343.5 -855.3,-404.7 -855.3,-404.7 -892.5))	POLYGON((-404.7 -866.1,-402.9 -865.5,-384.9 -858.9,-343.5 -892.5,-404.7 -866.1))	POINT(-59.328325 -62.483042)	POLYGON((-74.983581 -64.686744,-64.43961 -66.586994,-43.382885 -58.576002,-58.015202 -60.152085,-74.983581 -64.686744))	POLYGON((-67.626456 -62.825451,-65.444533 -62.470107,-53.790668 -60.163729,-64.43961 -66.586994,-67.626456 -62.825451))	SPoCA_v1.0_CH_0000006435
