event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid
CH	2014-02-01T00:04:55	POINT(-800.983 535.288)	POLYGON((-858.3 453.9,-738.9 453.9,-738.9 631.5,-858.3 631.5,-858.3 453.9))	POLYGON((-858.3 453.9,-857.7 454.5,-738.9 631.5,-767.1 566.7,-858.3 453.9))	POINT(-75.797715 32.030414)	POLYGON((-81.522455 27.040842,-56.289492 24.483639,-79.898685 39.610584,-85.252914 36.075967,-81.522455 27.040842))	POLYGON((-81.522455 27.040842,-81.310199 27.058264,-79.898685 39.610584,-71.267266 33.809061,-81.522455 27.040842))	SPoCA_v1.0_CH_0000014086
CH	2014-02-01T00:04:55	POINT(148.599 -378.041)	POLYGON((2.7 -516.3,250.5 -516.3,250.5 -181.5,2.7 -181.5,2.7 -516.3))	POLYGON((2.7 -504.3,3.9 -503.7,8.1 -464.1,98.1 -429.3,149.7 -386.1,159.3 -295.5,242.1 -181.5,226.5 -349.5,184.5 -363.9,146.7 -417.3,183.3 -461.7,175.5 -494.7,98.7 -471.9,55.5 -483.3,34.5 -516.3,2.7 -504.3))	POINT(9.9704273 -28.661944)	POLYGON((0.200441 -37.881946,18.865641 -37.588378,15.488345 -16.490511,0.165068 -16.701298,0.200441 -37.881946))	POLYGON((0.198233 -37.056416,0.286186 -37.015294,0.574738 -34.341103,6.793154 -32.007835,10.095395 -29.17314,10.228327 -23.501471,14.957569 -16.504643,15.030321 -26.751327,12.303368 -27.72161,10.097358 -31.180003,13.073529 -34.03841,12.861784 -36.263608,7.061863 -34.820687,4.003191 -35.615463,2.561896 -37.876529,0.198233 -37.056416))	SPoCA_v1.0_CH_0000014028
CH	2014-02-01T00:04:55	POINT(-88.8131 -603.356)	POLYGON((-183.3 -673.5,-13.5 -673.5,-13.5 -510.3,-183.3 -510.3,-183.3 -673.5))	POLYGON((-183.3 -578.7,-182.7 -578.1,-161.1 -563.7,-117.9 -575.7,-33.3 -510.3,-10.5 -511.5,-31.5 -536.7,-14.1 -608.7,-41.1 -661.5,-81.9 -673.5,-168.3 -641.7,-183.3 -578.7))	POINT(-7.2661327 -44.081617)	POLYGON((-16.737483 -49.354517,-1.22069 -49.575037,-0.99667 -37.467468,-13.633854 -37.314252,-16.737483 -49.354517))	POLYGON((-14.646041 -42.131338,-14.587024 -42.089005,-12.629673 -41.090134,-9.342002 -42.016506,-2.458948 -37.463265,-0.776033 -37.550381,-2.385948 -39.298258,-1.15925 -44.523518,-3.645996 -48.599419,-7.419371 -49.532501,-14.591758 -46.877621,-14.646041 -42.131338))	SPoCA_v1.0_CH_0000014104
CH	2014-02-01T00:04:55	POINT(306.007 861.341)	POLYGON((152.7 797.1,524.1 797.1,524.1 954.9,152.7 954.9,152.7 797.1))	POLYGON((152.7 813.9,153.3 814.5,196.5 892.5,258.3 878.7,286.5 889.5,275.1 917.7,185.1 954.9,386.7 893.1,524.1 819.3,462.3 819.3,426.3 842.7,387.9 832.5,346.5 882.9,318.3 890.7,293.1 827.1,233.1 813.9,190.5 822.9,168.9 797.1,152.7 813.9))	POINT(35.497863 57.301968)	POLYGON((13.762242 48.90209,61.623007 52.33529,78.644066 60.610326,34.821207 74.072504,13.762242 48.90209))	POLYGON((14.287681 50.674291,14.365962 50.740978,24.415882 60.836477,31.23226 59.29136,37.714841 61.29901,45.028982 66.489176,50.337615 75.710421,70.800281 65.142644,74.948832 56.144011,53.581306 53.902828,52.297261 56.455167,43.135301 54.436446,47.541488 61.202558,44.084083 62.015455,29.819215 52.845766,22.292431 50.988558,18.392219 51.795481,15.271046 48.949092,14.287681 50.674291))	SPoCA_v1.0_CH_0000014088
CH	2014-02-01T00:04:55	POINT(126.108 -4.07542)	POLYGON((54.9 -80.7,184.5 -80.7,184.5 63.3,54.9 63.3,54.9 -80.7))	POLYGON((54.9 16.5,55.5 17.1,126.3 62.7,148.5 60.9,144.9 21.9,184.5 8.1,162.9 -57.9,129.3 -56.7,101.7 -80.7,123.9 -11.7,54.9 16.5))	POINT(7.4486658 -6.1995038)	POLYGON((3.273633 -10.732244,11.061399 -10.632343,10.877158 -2.193918,3.218871 -2.292681,3.273633 -10.732244))	POLYGON((3.228736 -5.035541,3.263884 -5.000195,7.422217 -2.286908,8.736928 -2.373102,8.544554 -4.662328,10.918549 -5.428745,9.712981 -9.318622,7.694759 -9.279761,6.071975 -10.708795,7.324003 -6.647685,3.228736 -5.035541))	SPoCA_v1.0_CH_0000014048
CH	2014-02-01T00:04:55	POINT(54.4931 969.005)	POLYGON((25.5 964.500005,75.3 964.500005,75.3 972.299995,25.5 972.299995,25.5 964.500005))	POLYGON((25.5 972.3,26.1 972.3,73.5 969.9,64.5 964.5,25.5 972.3))	POINT(16.273212 78.486843)	POLYGON((6.127674 75.810814,19.12607 76.358693,35.254425 82.312531,9.279521 80.657753,6.127674 75.810814))	POLYGON((9.279521 80.657753,9.512479 80.670097,25.383433 79.862775,16.088276 76.181633,9.279521 80.657753))	SPoCA_v1.0_CH_0000014098
CH	2014-02-01T00:04:55	POINT(-368.013 892.018)	POLYGON((-533.1 812.1,-227.1 812.1,-227.1 945.3,-533.1 945.3,-533.1 812.1))	POLYGON((-533.1 812.1,-532.5 812.7,-366.9 900.9,-233.7 934.5,-432.3 867.9,-533.1 812.1))	POINT(-58.093883 63.587657)	POLYGON((-73.428587 55.187188,-21.578398 50.762866,-54.648155 73.392574,-78.936965 59.966066,-73.428587 55.187188))	POLYGON((-73.428587 55.187188,-73.646713 55.276263,-68.247559 66.077072,-43.623781 69.661911,-66.661805 61.104826,-73.428587 55.187188))	SPoCA_v1.0_CH_0000014089
CH	2014-02-01T04:05:07	POINT(174.076 4.88159)	POLYGON((68.1 -95.7,258.3 -95.7,258.3 140.7,68.1 140.7,68.1 -95.7))	POLYGON((68.1 -3.3,68.7 -2.7,132.3 30.3,145.5 53.7,212.7 79.5,256.5 140.7,225.9 39.3,225.9 -37.5,206.1 -58.5,113.7 -95.7,148.5 -26.1,132.3 -9.9,70.5 -14.1,68.1 -3.3))	POINT(10.29861 -5.6409211)	POLYGON((4.074559 -11.621011,15.625859 -11.418043,15.323868 2.46173,3.994116 2.259304,4.074559 -11.621011))	POLYGON((4.014339 -6.201739,4.049496 -6.166347,7.791856 -4.193229,8.562228 -2.810017,12.559229 -1.218059,15.214415 2.458656,13.37585 -3.558158,13.48512 -8.055552,12.325492 -9.314044,6.812697 -11.594301,8.80506 -7.481429,7.822186 -6.547314,4.161308 -6.833086,4.014339 -6.201739))	SPoCA_v1.0_CH_0000014048
CH	2014-02-01T04:05:07	POINT(335.521 865.286)	POLYGON((198.3 813.9,529.5 813.9,529.5 945.3,198.3 945.3,198.3 813.9))	POLYGON((198.3 845.7,198.9 846.3,235.5 867.3,213.9 890.7,300.9 884.7,230.7 945.3,394.5 889.5,529.5 815.1,477.9 815.7,426.3 844.5,366.9 854.1,289.5 815.7,198.3 845.7))	POINT(40.778329 58.216124)	POLYGON((18.756718 50.82447,72.705573 55.304045,78.858813 60.127241,41.040218 71.945677,18.756718 50.82447))	POLYGON((20.4682 54.47711,20.573051 54.553136,26.674921 57.47568,26.611846 60.690836,39.105198 60.713109,57.989026 73.78144,70.709483 64.590865,74.110812 55.589652,55.962906 53.737728,52.819923 56.717113,43.765521 57.052579,28.457646 51.50316,20.4682 54.47711))	SPoCA_v1.0_CH_0000014088
CH	2014-02-01T04:05:07	POINT(-794.303 539.492)	POLYGON((-852.3 456.9,-727.5 456.9,-727.5 644.7,-852.3 644.7,-852.3 456.9))	POLYGON((-852.3 458.7,-851.7 459.3,-727.5 644.7,-817.5 479.7,-852.3 458.7))	POINT(-74.311954 32.169796)	POLYGON((-78.900587 26.96047,-55.034469 24.563518,-79.736561 40.631103,-85.126776 36.829828,-78.900587 26.96047))	POLYGON((-79.364304 27.130836,-79.213147 27.154949,-79.736561 40.631103,-71.256161 27.692544,-79.364304 27.130836))	SPoCA_v1.0_CH_0000014086
