event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid
CH	2012-03-01T01:01:20	POINT(-624.788 -275.059)	POLYGON((-725.7 -359.7,-510.3 -359.7,-510.3 -191.1,-725.7 -191.1,-725.7 -359.7))	POLYGON((-725.7 -344.1,-725.1 -343.5,-720.3 -308.7,-686.1 -277.5,-655.5 -276.9,-583.5 -191.7,-540.3 -191.7,-510.3 -210.9,-591.9 -256.5,-592.5 -299.7,-623.1 -338.1,-678.9 -333.9,-717.9 -359.7,-725.7 -344.1))	POINT(-43.843262 -21.740918)	POLYGON((-56.252292 -25.911494,-36.368602 -27.625195,-33.397254 -17.409621,-51.041116 -15.964351,-56.252292 -25.911494))	POLYGON((-55.59458 -24.982488,-55.505196 -24.953272,-53.699019 -22.936561,-49.387064 -21.403676,-46.571704 -21.620283,-38.92675 -17.048149,-35.625417 -17.292034,-33.652082 -18.589186,-40.704846 -20.853279,-41.683911 -23.446397,-45.344339 -25.553557,-50.416437 -24.835459,-55.397354 -25.996943,-55.59458 -24.982488))	SPoCA_v1.0_CH_0000004042
CH	2012-03-01T01:01:20	POINT(-295.494 -721.662)	POLYGON((-376.5 -771.3,-231.9 -771.3,-231.9 -672.3,-376.5 -672.3,-376.5 -771.3))	POLYGON((-376.5 -764.1,-375.9 -763.5,-285.3 -705.3,-278.7 -675.3,-231.9 -678.9,-269.7 -710.1,-269.7 -732.9,-304.5 -759.3,-376.5 -764.1))	POINT(-31.486784 -54.342594)	POLYGON((-46.98798 -57.936238,-27.794088 -59.168129,-22.095405 -50.581506,-36.926804 -49.784337,-46.98798 -57.936238))	POLYGON((-45.94812 -57.312011,-45.780848 -57.266735,-29.256833 -53.028188,-26.898243 -50.612632,-22.364279 -51.115605,-27.859906 -53.516967,-29.355679 -55.468116,-35.807352 -57.560299,-45.94812 -57.312011))	SPoCA_v1.0_CH_0000004035
CH	2012-03-01T01:01:20	POINT(271.822 -862.475)	POLYGON((-161.7 -966.9,501.9 -966.9,501.9 -642.3,-161.7 -642.3,-161.7 -966.9))	POLYGON((-161.7 -952.5,-159.3 -951.9,63.3 -931.5,123.3 -902.7,182.1 -902.7,263.7 -838.5,341.1 -819.9,350.1 -789.3,395.1 -746.7,403.5 -681.9,455.1 -683.7,496.5 -642.3,444.3 -745.5,470.7 -764.1,471.3 -782.7,432.9 -811.5,485.7 -836.1,416.1 -873.3,257.7 -932.1,119.1 -959.7,-18.9 -966.9,-161.7 -952.5))	POINT(48.771077 -68.110645)	POLYGON((-54.116549 -78.2537,76.935062 -61.77427,48.67093 -46.461219,-14.531048 -48.423612,-54.116549 -78.2537))	POLYGON((-70.09347 -79.767537,-74.633669 -80.175102,24.286602 -80.861577,29.840659 -75.189337,44.331477 -74.403574,41.227901 -65.631324,50.297471 -62.791368,45.924254 -59.837692,46.180981 -55.632818,40.637374 -50.325006,46.859735 -49.996708,48.036255 -46.515152,52.920703 -54.954744,60.354415 -56.039969,64.693175 -57.464152,65.05749 -60.489794,82.997339 -59.63448,79.664397 -64.089989,73.789087 -73.904496,56.68904 -81.533931,-13.332126 -85.142941,-70.09347 -79.767537))	SPoCA_v1.0_CH_0000003991
CH	2012-03-01T01:01:20	POINT(96.0678 -274.43)	POLYGON((-11.1 -400.5,240.9 -400.5,240.9 -150.3,-11.1 -150.3,-11.1 -400.5))	POLYGON((-11.1 -265.5,-10.5 -264.9,20.7 -212.1,15.3 -161.1,54.9 -150.3,112.5 -164.7,90.9 -194.1,100.5 -222.3,126.3 -236.7,172.5 -223.5,230.7 -251.1,234.9 -288.3,204.9 -308.1,162.3 -298.5,141.9 -338.1,111.3 -338.1,93.9 -361.5,14.7 -400.5,-3.3 -333.9,50.7 -314.7,61.5 -278.7,38.7 -257.1,-11.1 -265.5))	POINT(6.1896515 -23.578072)	POLYGON((-0.767883 -31.554565,16.85898 -31.269306,14.929198 -15.878482,-0.680852 -16.113263,-0.767883 -31.554565))	POLYGON((-0.711046 -23.069207,-0.672425 -23.032493,1.296781 -19.820056,0.941619 -16.757632,3.369148 -16.101717,6.946648 -16.922777,5.664652 -18.703158,6.33178 -20.396705,8.012263 -21.24523,10.911596 -20.38698,14.826563 -21.961182,15.367199 -24.229006,13.507317 -25.511466,10.614569 -24.986913,9.471238 -27.482979,7.417962 -27.518401,6.342127 -29.013043,1.016943 -31.554116,-0.218905 -27.310685,3.329345 -26.098221,3.966562 -23.864078,2.470294 -22.549242,-0.711046 -23.069207))	SPoCA_v1.0_CH_0000004010
CH	2012-03-01T05:01:20	POINT(-652.253 -335.469)	POLYGON((-804.9 -522.9,-488.7 -522.9,-488.7 -188.7,-804.9 -188.7,-804.9 -522.9))	POLYGON((-804.9 -482.7,-803.7 -482.1,-776.7 -441.9,-770.1 -398.1,-709.5 -396.3,-696.3 -313.5,-677.7 -308.1,-660.3 -274.5,-623.7 -269.1,-555.3 -191.7,-489.9 -200.7,-495.9 -228.9,-540.9 -248.7,-597.9 -336.9,-648.3 -324.9,-687.3 -341.7,-693.9 -433.5,-740.7 -485.7,-767.7 -484.5,-780.9 -522.9,-804.9 -482.7))	POINT(-47.932272 -25.163243)	POLYGON((-85.630397 -33.528219,-39.874117 -38.263704,-31.804146 -17.371486,-59.195341 -14.996284,-85.630397 -33.528219))	POLYGON((-77.528598 -31.699621,-77.151607 -31.703281,-67.762401 -30.062475,-63.663041 -27.619478,-56.1417 -28.287469,-51.446789 -23.456248,-49.478705 -23.301632,-46.944525 -21.440928,-43.617845 -21.393968,-36.759041 -17.212397,-32.033521 -18.080798,-32.839503 -19.738041,-36.529719 -20.692377,-43.092582 -25.668199,-47.241109 -24.557892,-51.519294 -25.228176,-56.298754 -30.719603,-65.96719 -33.236565,-70.203978 -32.679467,-77.862734 -34.470654,-77.528598 -31.699621))	SPoCA_v1.0_CH_0000004042
CH	2012-03-01T05:01:20	POINT(261.783 -874.911)	POLYGON((-167.1 -966.9,494.1 -966.9,494.1 -679.5,-167.1 -679.5,-167.1 -966.9))	POLYGON((-167.1 -951.9,-148.5 -951.3,95.7 -931.5,134.7 -902.1,189.3 -900.3,285.3 -836.7,349.5 -827.1,401.7 -776.1,434.7 -679.5,482.7 -768.9,441.9 -793.5,438.3 -822.9,494.1 -830.1,372.3 -892.5,239.7 -936.9,102.3 -961.5,-167.1 -951.9))	POINT(50.963524 -69.653215)	POLYGON((-55.059909 -78.010239,76.762705 -62.130739,51.316225 -49.268588,-16.011173 -51.394298,-55.059909 -78.010239))	POLYGON((-68.735569 -79.325477,-83.063259 -81.112212,36.386915 -80.416219,32.426681 -74.980027,45.001588 -73.965889,44.526983 -65.191551,53.492165 -63.351992,51.507329 -58.045571,44.038495 -49.873252,63.523536 -56.199618,61.868035 -58.873012,70.124383 -61.251394,85.134438 -59.186503,79.323254 -66.958663,72.238798 -74.928353,53.329209 -82.428577,-68.735569 -79.325477))	SPoCA_v1.0_CH_0000003991
CH	2012-03-01T05:01:20	POINT(148.265 -304.367)	POLYGON((29.7 -397.5,277.5 -397.5,277.5 -223.5,29.7 -223.5,29.7 -397.5))	POLYGON((29.7 -339.3,30.3 -338.7,85.5 -312.3,89.7 -283.5,128.1 -238.5,171.9 -251.7,211.5 -223.5,267.3 -257.1,270.3 -292.5,245.1 -312.3,221.1 -290.7,197.7 -293.1,176.7 -341.7,142.5 -344.7,63.9 -397.5,40.5 -395.7,29.7 -339.3))	POINT(9.7187301 -25.372222)	POLYGON((2.050789 -31.359675,19.457281 -30.983517,17.708555 -20.187462,1.86912 -20.51006,2.050789 -31.359675))	POLYGON((1.976694 -27.648917,2.015944 -27.610993,5.612643 -25.930322,5.803592 -24.143709,8.133689 -21.355055,11.0029 -22.102411,13.4159 -20.325939,17.285027 -22.249025,17.782477 -24.409351,16.250888 -25.692193,14.465292 -24.407442,12.92601 -24.59916,11.844482 -27.660802,9.548911 -27.900032,4.415035 -31.344213,2.793471 -31.239708,1.976694 -27.648917))	SPoCA_v1.0_CH_0000004010
CH	2012-03-01T05:01:20	POINT(-263.384 -712.59)	POLYGON((-321.9 -755.1,-195.3 -755.1,-195.3 -671.7,-321.9 -671.7,-321.9 -755.1))	POLYGON((-321.9 -725.7,-321.3 -725.1,-251.7 -678.9,-215.7 -671.7,-195.3 -687.9,-235.5 -704.7,-278.1 -750.3,-315.9 -755.1,-321.9 -725.7))	POINT(-27.327712 -53.765142)	POLYGON((-37.590299 -57.05016,-22.224697 -57.856344,-18.504548 -50.670912,-31.127032 -50.095709,-37.590299 -57.05016))	POLYGON((-34.846557 -54.509877,-34.726874 -54.46342,-24.348705 -51.034466,-20.487881 -50.599358,-19.069777 -51.996717,-23.913606 -53.237366,-31.705015 -56.952484,-36.828693 -57.099362,-34.846557 -54.509877))	SPoCA_v1.0_CH_0000004035
CH	2012-03-01T09:01:20	POINT(181.702 -307.871)	POLYGON((55.5 -396.3,314.1 -396.3,314.1 -230.7,55.5 -230.7,55.5 -396.3))	POLYGON((55.5 -332.1,56.1 -331.5,84.9 -333.3,127.5 -309.9,164.7 -244.5,204.3 -256.5,245.7 -230.7,303.3 -260.7,306.9 -294.3,284.7 -311.7,236.1 -301.5,212.7 -347.1,176.1 -343.5,97.5 -393.9,69.3 -395.1,55.5 -332.1))	POINT(11.957799 -25.542727)	POLYGON((3.831006 -31.274332,22.107715 -30.798863,20.187594 -20.529863,3.504476 -20.939741,3.831006 -31.274332))	POLYGON((3.680404 -27.189162,3.718976 -27.151218,5.63818 -27.245792,8.37346 -25.743765,10.505151 -21.676714,13.134774 -22.344839,15.676967 -20.696801,19.724082 -22.379193,20.294019 -24.425824,18.949282 -25.560666,15.553149 -25.045582,14.342997 -27.937701,11.817026 -27.777584,6.727469 -31.088389,4.781239 -31.188526,3.680404 -27.189162))	SPoCA_v1.0_CH_0000004010
CH	2012-03-01T09:01:20	POINT(-267.425 601.656)	POLYGON((-326.1 573.9,-201.9 573.9,-201.9 629.1,-326.1 629.1,-326.1 573.9))	POLYGON((-326.1 586.5,-325.5 587.1,-306.9 629.1,-209.1 622.5,-204.3 596.7,-270.3 573.9,-326.1 586.5))	POINT(-18.839396 31.48065)	POLYGON((-22.721129 29.607726,-13.778681 29.218211,-14.421561 33.403376,-23.853481 33.840004,-22.721129 29.607726))	POLYGON((-22.952419 30.550984,-22.918487 30.593749,-22.346148 33.756528,-14.861228 32.908097,-14.194406 30.922676,-18.631727 29.406859,-22.952419 30.550984))	SPoCA_v1.0_CH_0000004049
