event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid
CH	2012-07-01T02:35:56	POINT(-520.96 612.531)	POLYGON((-562.5 533.7,-473.1 533.7,-473.1 698.1,-562.5 698.1,-562.5 533.7))	POLYGON((-562.5 643.5,-561.9 644.1,-554.7 671.7,-516.9 696.3,-518.7 654.9,-503.7 639.3,-501.3 593.7,-475.5 578.7,-475.5 544.5,-489.3 533.7,-513.3 543.3,-562.5 643.5))	POINT(-48.205415 42.352834)	POLYGON((-47.597986 36.34667,-38.54739 36.637147,-50.432304 49.512362,-65.043246 48.94401,-47.597986 36.34667))	POLYGON((-56.648905 44.561281,-56.631706 44.611798,-59.133785 46.852734,-56.693348 49.118654,-51.779772 45.69845,-48.346362 44.519125,-44.605245 40.988678,-40.970021 39.942881,-39.256629 37.413866,-40.102224 36.590872,-42.949885 37.210934,-56.648905 44.561281))	SPoCA_v1.0_CH_0000005108
CH	2012-07-01T02:35:56	POINT(63.7326 590.401)	POLYGON((-288.9 413.1,303.9 413.1,303.9 731.7,-288.9 731.7,-288.9 413.1))	POLYGON((-288.9 697.5,-287.7 698.1,-160.5 704.1,-110.1 731.1,-105.3 718.5,-140.7 679.5,-124.5 654.9,-74.1 650.7,-32.1 674.1,20.7 676.5,55.5 656.1,77.7 589.5,111.3 567.3,152.7 590.1,144.3 642.3,172.5 611.1,224.1 623.7,228.3 585.9,252.9 560.7,249.9 531.3,275.1 515.7,279.3 481.5,303.9 468.3,295.5 452.7,269.7 459.3,246.3 508.5,216.9 513.3,201.9 480.3,248.7 437.1,218.7 436.5,188.7 413.1,174.3 491.1,132.9 511.5,114.3 554.7,53.1 594.3,9.9 603.3,-2.7 636.3,-149.7 608.1,-194.7 676.5,-227.1 675.9,-242.7 643.5,-288.9 697.5))	POINT(5.1562084 41.485656)	POLYGON((-20.333614 28.599586,21.436657 28.580842,32.426307 53.177817,-30.678155 53.218881,-20.333614 28.599586))	POLYGON((-28.428582 50.09069,-28.335989 50.146736,-15.606016 50.904335,-11.275759 53.470258,-10.4832 52.284283,-13.031154 48.740673,-11.049406 46.651604,-6.51091 46.330789,-2.92486 48.334509,1.893482 48.544603,4.913685 46.791305,6.283086 41.410588,8.788612 39.694279,12.42103 41.411198,12.584194 45.586525,14.439428 43.038512,19.214463 43.984284,18.641174 41.00921,20.127328 39.064825,19.273728 36.895213,20.97646 35.732553,20.667697 33.298562,22.329721 32.345069,21.418231 31.279169,19.573912 31.766054,18.576556 35.251622,16.370794 35.628259,14.779948 33.298527,17.703223 30.267406,15.50743 30.256216,13.129204 28.698328,12.841376 34.082698,9.936053 35.567002,8.904801 38.744836,4.314768 41.792092,0.812831 42.504323,-0.231777 45.155208,-12.45246 42.82173,-18.062414 48.418368,-21.159349 48.319172,-21.491927 45.566882,-28.428582 50.09069))	SPoCA_v1.0_CH_0000005109
CH	2012-07-01T02:35:56	POINT(597.87 725.829)	POLYGON((575.1 702.3,630.3 702.3,630.3 743.1,575.1 743.1,575.1 702.3))	POLYGON((575.1 741.3,577.5 741.9,630.3 702.3,594.3 723.3,575.1 741.3))	POINT(86.026296 50.571776)	POLYGON((68.645738 49.171172,87.151198 48.029566,86.976024 49.628015,85.112838 52.29092,68.645738 49.171172))	POLYGON((83.64311 52.182024,85.735498 52.143252,87.151198 48.029566,82.022663 50.518684,83.64311 52.182024))	SPoCA_v1.0_CH_0000005018
CH	2012-07-01T02:35:56	POINT(18.7074 -937.255)	POLYGON((-39.3 -942.3,72.9 -942.3,72.9 -930.9,-39.3 -930.9,-39.3 -942.3))	POLYGON((-39.3 -941.7,-38.7 -941.1,31.5 -930.9,72.9 -939.3,-39.3 -941.7))	POINT(6.8140781 -80.382764)	POLYGON((-29.49227 -85.145805,54.40419 -84.556919,21.490137 -77.829553,-11.1953 -77.617795,-29.49227 -85.145805))	POLYGON((-23.606941 -84.029424,-20.572492 -83.296858,8.9318 -77.588665,36.476178 -82.532217,-23.606941 -84.029424))	SPoCA_v1.0_CH_0000005087
CH	2012-07-01T02:35:56	POINT(156.981 146.541)	POLYGON((-433.5 -305.7,504.9 -305.7,504.9 553.5,-433.5 553.5,-433.5 -305.7))	POLYGON((-433.5 531.3,-432.9 531.9,-397.5 553.5,-350.1 515.1,-313.5 531.3,-280.5 478.5,-225.9 450.3,-171.9 455.7,-117.9 398.7,-54.9 400.5,5.7 368.1,113.1 365.7,155.1 270.3,204.3 249.3,243.9 255.9,277.5 179.1,358.5 164.7,398.1 113.1,429.3 97.5,468.3 32.7,465.9 -29.7,504.9 -69.3,461.1 -76.5,450.3 -124.5,398.7 -165.9,386.1 -223.5,354.9 -267.3,353.7 -305.1,332.7 -297.3,305.1 -243.9,295.5 -202.5,310.5 -170.1,294.3 -90.9,258.3 -67.5,239.1 9.3,174.9 24.9,135.3 62.1,42.3 163.5,21.3 216.9,-128.1 270.3,-146.1 373.5,-191.7 365.7,-283.5 439.5,-369.3 453.3,-418.5 494.1,-433.5 531.3))	POINT(9.7434404 11.767288)	POLYGON((-28.486873 -16.281787,33.782883 -16.426998,42.624475 37.981286,-35.655289 38.187056,-28.486873 -16.281787))	POLYGON((-34.777772 36.566567,-34.745827 36.61143,-32.348943 38.273397,-27.048493 35.57341,-24.434442 36.805502,-20.708028 33.086955,-16.193166 31.193463,-12.306946 31.611227,-8.087706 27.777437,-3.761037 27.918939,0.382872 25.778588,7.607924 25.596885,9.99843 19.446061,13.113115 18.094343,15.75136 18.476564,17.546138 13.675498,22.828242 12.699367,25.22295 9.494083,27.27791 8.498766,29.737388 4.508183,29.471705 0.737774,32.238532 -1.735005,29.157356 -2.091418,28.5089 -4.997154,25.12179 -7.453681,24.538406 -11.003633,22.687989 -13.709828,22.876941 -16.114427,21.388899 -15.586618,19.239055 -12.173957,18.442838 -9.58251,19.31001 -7.59768,18.119764 -2.739112,15.825012 -1.284359,14.643071 3.379753,10.668264 4.367383,8.265057 6.639326,2.624365 12.844949,1.341035 16.144445,-8.244985 19.459601,-9.88951 26.093086,-12.963538 25.551021,-20.309855 30.391151,-27.136254 31.209214,-32.211698 33.948043,-34.777772 36.566567))	SPoCA_v1.0_CH_0000005062
CH	2012-07-01T06:35:56	POINT(20.0099 -936.828)	POLYGON((-75.3 -942.3,83.7 -942.3,83.7 -928.5,-75.3 -928.5,-75.3 -942.3))	POLYGON((-75.3 -938.1,-74.1 -937.5,48.3 -928.5,83.1 -938.7,-75.3 -938.1))	POINT(7.1139404 -80.142529)	POLYGON((-55.122726 -84.428063,57.907905 -84.005515,23.198902 -76.991588,-20.644096 -76.923246,-55.122726 -84.428063))	POLYGON((-32.996782 -81.573776,-30.571107 -81.118266,12.910843 -76.762391,41.612459 -82.378429,-32.996782 -81.573776))	SPoCA_v1.0_CH_0000005087
CH	2012-07-01T06:35:56	POINT(-502.006 612.192)	POLYGON((-548.1 529.5,-444.9 529.5,-444.9 696.9,-548.1 696.9,-548.1 529.5))	POLYGON((-548.1 645.3,-547.5 645.9,-527.7 686.1,-499.5 696.3,-486.9 602.1,-447.9 583.5,-464.1 529.5,-537.9 576.9,-548.1 645.3))	POINT(-45.976818 42.414977)	POLYGON((-45.832816 36.112148,-35.755872 36.423405,-46.502502 49.552129,-62.093632 48.96759,-45.832816 36.112148))	POLYGON((-54.798913 44.79327,-54.781326 44.843897,-56.92418 48.210158,-54.033127 49.230985,-43.587558 41.693979,-38.444074 40.402183,-37.531549 36.37333,-47.582254 39.602125,-54.798913 44.79327))	SPoCA_v1.0_CH_0000005108
CH	2012-07-01T06:35:56	POINT(244.134 109.268)	POLYGON((-99.9 -300.3,540.3 -300.3,540.3 408.3,-99.9 408.3,-99.9 -300.3))	POLYGON((-99.9 267.3,-99.3 267.9,-84.9 382.5,-56.1 408.3,78.9 352.5,143.7 365.1,188.1 319.5,189.9 269.1,230.7 251.7,288.9 252.9,306.3 185.7,405.3 153.3,431.7 108.9,465.3 93.3,501.9 -36.3,540.3 -66.9,492.9 -69.3,481.5 -126.3,422.7 -175.5,388.5 -300.3,345.3 -257.7,333.3 -87.3,287.1 -52.5,270.3 4.5,227.7 10.5,191.7 43.5,140.7 22.5,125.1 77.7,133.5 112.5,78.3 165.9,65.1 209.7,-9.3 249.3,-99.9 267.3))	POINT(15.142875 9.4518261)	POLYGON((-6.284631 -15.568633,36.459739 -16.148666,40.206904 27.81455,-6.889576 28.445675,-6.284631 -15.568633))	POLYGON((-6.414752 19.29998,-6.377559 19.338026,-5.759766 26.732547,-3.862952 28.459264,5.262949 24.764388,9.681236 25.560736,12.418465 22.574685,12.267756 19.36697,14.857609 18.242116,18.733738 18.262375,19.471983 14.069581,25.938785 11.952484,27.500749 9.203984,29.762511 8.199877,32.007477 0.287543,34.812093 -1.647137,31.381803 -1.696196,30.69917 -5.147234,26.794171 -8.066092,25.242603 -15.842375,21.979627 -13.073906,20.621128 -2.54585,17.640796 -0.384538,16.601438 3.080315,13.931744 3.479053,11.727388 5.500526,8.563078 4.258151,7.654352 7.607704,8.218236 9.719017,4.865172 13.003418,4.092909 15.709413,-0.591983 18.185602,-6.414752 19.29998))	SPoCA_v1.0_CH_0000005062
CH	2012-07-01T06:35:56	POINT(82.598 581.328)	POLYGON((-284.1 404.1,352.5 404.1,352.5 713.7,-284.1 713.7,-284.1 404.1))	POLYGON((-284.1 618.9,-283.5 619.5,-240.3 649.5,-247.5 675.3,-278.7 686.7,-275.7 704.1,-209.7 683.1,-111.3 713.7,-111.9 674.7,-81.9 662.1,-30.9 683.1,5.7 679.5,57.9 713.7,80.7 671.7,90.3 594.9,137.1 565.5,164.7 569.7,181.5 596.1,171.3 647.1,198.3 603.3,245.7 604.5,275.7 534.3,299.7 519.3,303.9 487.5,352.5 438.3,350.1 412.5,324.9 417.3,320.7 453.9,300.9 469.5,275.1 458.1,255.3 407.7,182.1 419.1,213.3 449.1,212.1 480.9,178.5 512.7,152.7 515.1,146.7 539.1,98.1 582.3,53.1 582.3,34.5 603.3,6.3 605.1,-14.1 639.9,-47.1 636.3,-63.3 608.7,-117.9 608.7,-135.3 655.5,-178.5 676.5,-204.9 641.7,-247.5 630.3,-260.1 600.3,-284.1 618.9))	POINT(6.6182574 40.796397)	POLYGON((-19.867545 28.020328,24.920697 27.92784,36.678494 51.385475,-28.903973 51.576619,-19.867545 28.020328))	POLYGON((-24.460733 43.525364,-24.426808 43.57419,-21.477717 46.083518,-23.133432 48.25051,-26.788235 49.178473,-27.416276 50.726386,-19.740534 48.987972,-10.97944 51.851699,-10.25315 48.366726,-7.33263 47.305758,-2.860948 49.137708,0.524232 48.825665,5.690286 51.886197,7.340451 48.127658,7.356798 41.842975,10.827075 39.560123,13.099469 39.856472,14.921737 41.868987,15.09761 45.975201,16.486014 42.414115,20.599448 42.448125,21.416942 37.097787,23.029855 35.974276,22.697216 33.703652,25.526144 30.229402,24.880077 28.492682,23.064119 28.851594,23.366337 31.343852,22.124553 32.449611,19.966328 31.694054,17.828197 28.293291,12.715436 29.12523,15.258258 31.14067,15.554519 33.348991,13.4132 35.638535,11.473851 35.831409,11.2757 37.584834,7.875758 40.863778,4.254567 40.881538,2.834372 42.519819,0.518584 42.664825,-1.217225 45.469042,-4.047471 45.167159,-5.241014 42.938521,-9.791664 42.911041,-12.035298 46.711265,-16.526829 48.45684,-17.990714 45.489616,-21.511993 44.499967,-21.740014 42.098512,-24.460733 43.525364))	SPoCA_v1.0_CH_0000005109
CH	2012-07-01T06:35:56	POINT(-258.907 460.625)	POLYGON((-399.3 372.9,-108.3 372.9,-108.3 548.7,-399.3 548.7,-399.3 372.9))	POLYGON((-399.3 529.5,-398.7 530.1,-366.9 546.9,-327.3 511.5,-291.9 519.3,-261.9 483.9,-203.1 455.7,-139.5 450.3,-108.3 392.1,-171.9 372.9,-203.7 412.5,-372.9 481.5,-399.3 529.5))	POINT(-18.786078 31.887656)	POLYGON((-27.929762 25.790575,-7.313964 26.090299,-8.383537 38.319068,-32.342446 37.931073,-27.929762 25.790575))	POLYGON((-31.674379 36.530313,-31.641722 36.575049,-29.412826 37.867794,-25.089483 35.370809,-22.400501 35.985728,-19.374628 33.505953,-14.585566 31.604058,-9.924711 31.278622,-7.396825 27.360404,-11.655029 26.055809,-14.189392 28.663927,-28.075572 33.170905,-31.674379 36.530313))	SPoCA_v1.0_CH_0000005115
