event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fi_length	fi_lengthunit	fi_tilt	fi_barbstot	fi_barbsr	fi_barbsl	fi_chirality
FI	2012-12-03T10:08:41	POINT(-608.237 656.414)	POLYGON((-637.3437 623.2919,-577.1223 623.2919,-577.1223 687.5281,-637.3437 687.5281,-637.3437 623.2919))	POLYGON((-609.24 633.33,-607.23 635.34,-605.23 638.35,-603.22 640.35,-603.22 643.37,-603.22 646.38,-603.22 649.39,-605.23 652.4,-603.22 655.41,-600.21 657.42,-597.2 656.41,-594.18 656.41,-591.17 659.42,-591.17 662.44,-592.18 665.45,-591.17 668.46,-588.16 671.47,-589.17 674.48,-590.17 676.49,-593.18 677.49,-594.18 674.48,-597.2 673.48,-600.21 670.47,-602.21 667.45,-603.22 664.44,-604.22 661.43,-607.23 660.43,-610.24 662.44,-612.25 663.44,-614.26 661.43,-613.26 658.42,-616.27 656.41,-619.28 658.42,-622.29 658.42,-625.3 657.42,-625.3 654.41,-626.3 651.4,-626.3 648.38,-626.3 645.37,-624.3 643.37,-621.28 641.36,-619.28 641.36,-616.27 641.36,-613.26 641.36,-610.24 638.35,-609.24 635.34,-609.24 633.33))	POINT(-57.993892 42.620495)	POLYGON((-58.640428 40.031774,-50.659179 40.073438,-57.100614 45.155035,-67.94199 45.096483,-58.640428 40.031774))	POLYGON((-55.667823 40.820468,-55.588872 40.976685,-55.611404 41.21057,-55.533711 41.366916,-55.839549 41.601506,-56.151587 41.836147,-56.471136 42.071621,-57.09052 42.3064,-57.134006 42.545124,-56.920317 42.706302,-56.371397 42.628685,-55.939446 42.630925,-55.838508 42.871594,-56.172558 43.111762,-56.661731 43.351276,-56.86407 43.59324,-56.774506 43.837702,-57.289266 44.080038,-57.690966 44.242125,-58.282982 44.320892,-58.053211 44.076063,-58.393486 43.992767,-58.478515 43.747644,-58.40901 43.503509,-58.193131 43.261948,-57.981764 43.021311,-58.318619 42.939428,-59.029182 43.096772,-59.471066 43.174727,-59.532979 43.01306,-59.000805 42.775094,-59.221381 42.613623,-59.946759 42.770017,-60.429917 42.767403,-60.788409 42.685648,-60.398689 42.448179,-60.178241 42.210695,-59.805661 41.974151,-59.444079 41.739222,-58.904213 41.585227,-58.22348 41.431584,-57.927781 41.433169,-57.487268 41.435516,-57.051975 41.437833,-56.308899 41.206912,-55.866071 40.975229,-55.667823 40.820468))		4161648380	cm	69.9739	3	0	2	1
FI	2012-12-03T10:08:41	POINT(-475.749 406.495)	POLYGON((-502.8488 385.41735,-449.6532 385.41735,-449.6532 426.56865,-502.8488 426.56865,-502.8488 385.41735))	POLYGON((-470.73 395.45,-468.72 396.46,-465.71 399.47,-462.7 398.47,-461.7 400.47,-460.69 403.48,-460.69 406.49,-460.69 409.51,-462.7 411.51,-465.71 414.52,-468.72 415.53,-471.73 415.53,-474.75 414.52,-476.75 412.52,-479.76 410.51,-482.78 408.5,-485.79 409.51,-488.8 409.51,-491.81 407.5,-491.81 405.49,-490.8 402.48,-487.79 401.48,-484.78 402.48,-481.77 401.48,-478.76 400.47,-475.75 400.47,-472.74 399.47,-471.73 396.46,-470.73 395.45))	POINT(-32.536795 25.057651)	POLYGON((-34.222579 23.696622,-30.191632 23.712855,-30.927529 26.367315,-35.083488 26.350666,-34.222579 23.696622))	POLYGON((-31.946237 24.348697,-31.812068 24.414108,-31.638564 24.608338,-31.392586 24.544968,-31.353066 24.673819,-31.331339 24.867841,-31.386661 25.061865,-31.442871 25.256838,-31.633716 25.385533,-31.921734 25.579476,-32.172605 25.644015,-32.404415 25.643097,-32.617409 25.576725,-32.732105 25.446608,-32.924814 25.315672,-33.118551 25.184862,-33.372295 25.249145,-33.606511 25.248183,-33.800282 25.117424,-33.759535 24.987772,-33.620703 24.794189,-33.36765 24.730796,-33.154535 24.796107,-32.903061 24.732693,-32.652431 24.668668,-32.421827 24.669593,-32.173157 24.606219,-32.040658 24.413201,-31.946237 24.348697))		2511342080	cm	0.215348	2	2	0	-1
FI	2012-12-03T10:08:41	POINT(-142.524 386.421)	POLYGON((-162.59765 360.32525,-121.44635 360.32525,-121.44635 407.49875,-162.59765 407.49875,-162.59765 360.32525))	POLYGON((-145.54 370.36,-143.53 372.37,-140.52 375.38,-137.51 377.39,-136.5 380.4,-135.5 383.41,-136.5 386.42,-136.5 389.43,-135.5 392.44,-132.49 393.45,-131.48 396.46,-134.49 397.46,-137.51 396.46,-140.52 396.46,-143.53 393.45,-146.54 391.44,-149.55 388.43,-151.56 385.42,-152.56 382.41,-152.56 379.4,-150.55 377.39,-148.55 374.38,-146.54 371.37,-145.54 370.36))	POINT(-9.1754708 23.830145)	POLYGON((-10.351631 22.171464,-7.71298 22.174644,-7.894759 25.185426,-10.596804 25.182193,-10.351631 22.171464))	POLYGON((-9.298626 22.80771,-9.17781 22.935373,-8.996638 23.12677,-8.810891 23.254801,-8.758455 23.446491,-8.70664 23.63845,-8.784504 23.830543,-8.797767 24.022991,-8.74613 24.2158,-8.554767 24.280752,-8.502197 24.473948,-8.702836 24.537954,-8.89523 24.473502,-9.091578 24.473273,-9.273671 24.279919,-9.46023 24.150883,-9.641712 23.958001,-9.75786 23.765479,-9.808252 23.573323,-9.793798 23.381528,-9.654089 23.253773,-9.51085 23.062596,-9.367561 22.871686,-9.298626 22.80771))		2367833860	cm	73.5562	1	1	0	0
FI	2012-12-03T10:08:41	POINT(429.58 371.366)	POLYGON((393.44665 336.2362,449.65335 336.2362,449.65335 402.4798,393.44665 402.4798,393.44665 336.2362))	POLYGON((435.6 346.27,437.61 349.28,436.61 352.3,436.61 355.31,436.61 358.32,437.61 361.33,438.61 364.34,438.61 367.35,438.61 370.36,439.62 373.37,439.62 376.38,438.61 379.4,435.6 381.4,432.59 381.4,429.58 383.41,429.58 386.42,429.58 389.43,427.57 392.44,424.56 390.44,423.56 387.42,422.55 384.41,423.56 381.4,420.55 379.4,417.54 380.4,414.52 382.41,411.51 385.42,408.5 383.41,405.49 382.41,403.48 380.4,405.49 377.39,407.5 374.38,410.51 373.37,413.52 371.37,416.53 371.37,418.54 368.35,421.55 365.34,423.56 362.33,425.56 359.32,428.58 356.31,431.59 354.3,433.59 351.29,435.6 348.28,435.6 346.27))	POINT(28.503251 22.824309)	POLYGON((25.490199 20.622479,29.462898 20.608192,30.481538 24.806624,26.349167 24.821317,25.490199 20.622479))	POLYGON((28.587 21.24005,28.771902 21.428427,28.74122 21.618482,28.782825 21.807888,28.824956 21.997534,28.940017 22.187163,29.055923 22.377044,29.099937 22.567451,29.144507 22.758117,29.263392 22.948769,29.309232 23.139961,29.281772 23.332333,29.092251 23.460519,28.87213 23.461328,28.683124 23.590259,28.729498 23.782367,28.776455 23.974751,28.676543 24.167953,28.424925 24.040693,28.305429 23.847831,28.186272 23.655895,28.214543 23.463706,27.966831 23.337116,27.763802 23.401558,27.574957 23.530395,27.401553 23.723176,27.155485 23.59567,26.924891 23.532648,26.752526 23.405069,26.854504 23.213012,26.956669 23.021221,27.158138 22.956347,27.346065 22.828698,27.562024 22.827938,27.664191 22.636035,27.838479 22.44477,27.941167 22.254008,28.043356 22.063507,28.218926 21.872987,28.40761 21.745637,28.510307 21.555785,28.613949 21.366176,28.587 21.24005))		3731130620	cm	-83.0205	1	0	1	1
FI	2012-12-03T10:08:41	POINT(190.701 264.974)	POLYGON((129.4755 215.793,263.9705 215.793,263.9705 340.251,129.4755 340.251,129.4755 215.793))	POLYGON((247.91 225.83,250.92 226.83,253.93 225.83,252.93 228.84,250.92 230.85,248.92 233.86,247.91 236.87,246.91 238.88,243.9 238.88,240.89 239.88,237.87 241.89,234.86 240.89,231.85 242.89,231.85 245.9,228.84 245.9,225.83 247.91,222.82 244.9,219.81 244.9,216.8 246.91,213.79 248.92,210.78 247.91,208.77 244.9,205.76 242.89,202.75 241.89,189.7 277.02,190.7 280.03,188.69 283.04,186.69 286.05,183.68 288.06,180.66 290.07,179.66 293.08,176.65 294.08,173.64 296.09,171.63 299.1,169.62 302.11,166.61 305.12,164.61 308.13,162.6 311.14,159.59 314.16,158.58 317.17,156.58 319.17,153.56 322.18,150.55 324.19,149.55 327.2,148.55 330.21,145.54 328.21,142.52 328.21,139.51 327.2,140.52 324.19,143.53 323.19,146.54 322.18,147.54 319.17,149.55 316.16,150.55 313.15,150.55 310.14,153.56 310.14,156.58 310.14,159.59 308.13,160.59 305.12,161.59 302.11,160.59 299.1,163.6 297.09,166.61 294.08,169.62 294.08,171.63 291.07,173.64 288.06,175.65 287.06,178.66 284.04,180.66 281.03,180.66 278.02,183.68 277.02,186.69 275.01,202.75 239.88,201.74 236.87,203.75 233.86,205.76 231.85,208.77 230.85,211.78 229.85,214.79 229.85,217.8 232.86,220.81 233.86,223.82 234.86,226.83 234.86,229.85 234.86,232.86 231.85,235.87 229.85,238.88 227.84,241.89 229.85,244.9 229.85,247.91 227.84,247.91 225.83))	POINT(11.728242 16.262011)	POLYGON((7.823325 13.291577,16.113246 13.277177,16.809642 20.897968,8.15434 20.912497,7.823325 13.291577))	POLYGON((15.148133 13.883593,15.340696 13.943454,15.525202 13.882762,15.475072 14.064373,15.357446 14.185914,15.244688 14.367897,15.194115 14.549886,15.139954 14.671541,14.95102 14.671947,14.766456 14.732828,14.585566 14.854842,14.39283 14.794716,14.212608 14.916146,14.225049 15.098442,14.036528 15.098822,13.856346 15.221014,13.655982 15.038982,13.467981 15.039345,13.287926 15.161488,13.107862 15.283695,12.916225 15.222804,12.779701 15.040632,12.58507 14.919257,12.39444 14.859062,11.711444 16.997396,11.785931 17.181457,11.671829 17.366008,11.558308 17.550739,11.377344 17.674365,11.195675 17.798071,11.144715 17.983129,10.959544 18.044912,10.778265 18.168859,10.663585 18.354392,10.548826 18.540117,10.371041 18.726129,10.256698 18.912249,10.141632 19.098569,9.963431 19.2858,9.911242 19.472446,9.792628 19.596693,9.613311 19.783858,9.430653 19.90904,9.378746 20.096395,9.326836 20.283972,9.128797 20.159606,8.937795 20.159841,8.743966 20.097179,8.797169 19.909829,8.983589 19.847427,9.169935 19.784427,9.222145 19.597435,9.337978 19.410572,9.390122 19.224003,9.379396 19.037725,9.568674 19.037477,9.758691 19.037225,9.94066 18.912689,9.992371 18.72666,10.044092 18.540835,9.970358 18.355382,10.151848 18.231329,10.32956 18.045843,10.518291 18.045571,10.633076 17.860361,10.747788 17.675336,10.869952 17.61378,11.047091 17.42829,11.160935 17.243689,11.149673 17.059465,11.33475 16.998003,11.515374 16.874821,12.38735 14.737445,12.314229 14.555557,12.428496 14.373484,12.546187 14.251907,12.729332 14.191214,12.912526 14.130534,13.099316 14.130183,13.297175 14.311489,13.488131 14.371513,13.679362 14.431548,13.867005 14.431177,14.055425 14.4308,14.231536 14.248665,14.411602 14.127589,14.591657 14.005968,14.787765 14.126801,14.976089 14.126398,15.156317 14.00476,15.148133 13.883593))		11910926300	cm	-34.6091	4	1	2	0
FI	2012-12-03T10:08:41	POINT(-563.07 213.786)	POLYGON((-579.1296 180.6639,-544.0004 180.6639,-544.0004 244.9001,-579.1296 244.9001,-579.1296 180.6639))	POLYGON((-559.06 190.7,-558.05 193.71,-557.05 196.72,-557.05 199.73,-557.05 202.75,-557.05 205.76,-559.06 208.77,-558.05 211.78,-557.05 214.79,-555.04 217.8,-554.04 220.81,-555.04 223.82,-555.04 226.83,-556.04 229.85,-556.04 232.86,-559.06 233.86,-562.07 233.86,-565.08 234.86,-568.09 233.86,-569.09 231.85,-567.09 228.84,-566.08 225.83,-566.08 222.82,-567.09 219.81,-568.09 216.8,-567.09 213.79,-567.09 210.78,-567.09 207.76,-569.09 204.75,-568.09 201.74,-568.09 198.73,-566.08 196.72,-563.07 197.73,-561.06 194.72,-560.06 191.7,-559.06 190.7))	POINT(-36.296047 13.082086)	POLYGON((-37.181434 11.092906,-34.585654 11.105927,-35.21271 14.965916,-37.871246 14.952864,-37.181434 11.092906))	POLYGON((-35.775414 11.699903,-35.727927 11.880287,-35.681581 12.06078,-35.709615 12.241023,-35.738225 12.421983,-35.767221 12.602463,-35.946106 12.782331,-35.90104 12.963425,-35.857123 13.144647,-35.738462 13.326362,-35.695329 13.50784,-35.801517 13.688721,-35.833796 13.8701,-35.941441 14.051857,-35.974829 14.233517,-36.212582 14.292789,-36.439027 14.291677,-36.677696 14.35095,-36.893947 14.28942,-36.946496 14.167691,-36.760807 13.986838,-36.650916 13.805748,-36.617824 13.624411,-36.661255 13.442832,-36.704344 13.261383,-36.597471 13.080825,-36.56634 12.90001,-36.535612 12.718728,-36.655368 12.53741,-36.550679 12.357351,-36.521472 12.177026,-36.352181 12.057434,-36.137508 12.119027,-35.960102 11.939606,-35.8584 11.759329,-35.775414 11.699903))		3444121090	cm	-83.48	2	1	0	0
FI	2012-12-03T10:08:41	POINT(272 137.506)	POLYGON((246.90825 111.4099,294.08175 111.4099,294.08175 162.5981,246.90825 162.5981,246.90825 111.4099))	POLYGON((281.03 121.45,284.04 124.46,284.04 127.47,281.03 128.47,279.03 131.48,276.01 134.49,275.01 137.51,276.01 140.52,273 143.53,269.99 145.54,267.99 147.54,264.97 149.55,261.96 151.56,258.95 150.55,257.95 148.55,257.95 145.54,259.96 142.52,261.96 139.51,264.97 138.51,267.99 136.5,269.99 133.49,271 130.48,273 127.47,276.01 127.47,279.03 125.46,280.03 122.45,281.03 121.45))	POINT(16.349057 8.6077548)	POLYGON((14.747832 7.068935,17.650939 7.061729,17.797781 10.093018,14.869384 10.100138,14.747832 7.068935))	POLYGON((16.866634 7.65668,17.060301 7.834075,17.067936 8.012021,16.884101 8.071636,16.768069 8.249994,16.589071 8.428587,16.535207 8.607531,16.605254 8.785652,16.427207 8.964473,16.246527 9.08408,16.128397 9.202976,15.94731 9.322648,15.766951 9.442354,15.578326 9.382858,15.511198 9.264352,15.503163 9.085855,15.619112 8.90656,15.734583 8.72794,15.917601 8.668269,16.098747 8.548798,16.214484 8.370326,16.269243 8.192078,16.385232 8.013754,16.571124 8.013288,16.752794 7.893982,16.807233 7.715926,16.866634 7.65668))		2798351620	cm	-52.4464	0	0	0	0
FI	2012-12-03T10:08:41	POINT(-7.02584 119.439)	POLYGON((-28.10334 94.34745,15.05536 94.34745,15.05536 142.52455,-28.10334 142.52455,-28.10334 94.34745))	POLYGON((-3.01 104.38,0 105.39,2.01 106.39,3.01 109.4,3.01 112.41,3.01 115.42,5.02 118.44,3.01 121.45,3.01 124.46,0 126.47,-3.01 128.47,-6.02 130.48,-9.03 131.48,-12.04 132.49,-15.06 131.48,-18.07 131.48,-18.07 128.47,-18.07 125.46,-18.07 122.45,-17.06 119.44,-16.06 116.43,-14.05 113.42,-12.04 110.41,-9.03 108.4,-6.02 105.39,-3.01 104.38))	POINT(-0.4154325 7.559687)	POLYGON((-1.656801 6.079759,0.887483 6.079912,0.893333 8.925271,-1.667725 8.92512,-1.656801 6.079759))	POLYGON((-0.177632 6.671115,0 6.730664,0.118647 6.789628,0.177742 6.967151,0.177811 7.144738,0.177881 7.32239,0.296787 7.500695,0.178027 7.678486,0.178103 7.856343,0 7.975153,-0.178207 8.093401,-0.356522 8.212267,-0.534867 8.271408,-0.713273 8.331145,-0.892061 8.271369,-1.070374 8.271342,-1.069893 8.093315,-1.069424 7.915362,-1.068966 7.737481,-1.008788 7.559681,-0.949263 7.381949,-0.830118 7.204291,-0.711077 7.026696,-0.533167 6.908146,-0.355309 6.730655,-0.177632 6.671115))		2367833860	cm	-54.0621	1	0	1	0
FI	2012-12-03T10:08:41	POINT(-642.362 -247.912)	POLYGON((-668.4578 -265.97845,-615.2622 -265.97845,-615.2622 -229.84555,-668.4578 -229.84555,-668.4578 -265.97845))	POLYGON((-642.36 -255.94,-640.35 -254.94,-637.34 -251.93,-634.33 -250.92,-631.32 -250.92,-628.31 -249.92,-625.3 -247.91,-628.31 -246.91,-631.32 -243.9,-634.33 -243.9,-637.34 -242.89,-640.35 -242.89,-643.37 -241.89,-646.38 -241.89,-649.39 -239.88,-651.4 -241.89,-653.4 -244.9,-656.41 -245.9,-657.42 -247.91,-654.41 -249.92,-653.4 -252.93,-651.4 -252.93,-648.38 -251.93,-645.37 -252.93,-642.36 -255.94))	POINT(-42.775007 -14.314977)	POLYGON((-45.27516 -15.433154,-40.820517 -15.40044,-40.337879 -13.203962,-44.709854 -13.235223,-45.27516 -15.433154))	POLYGON((-42.89328 -14.803685,-42.711226 -14.741532,-42.417867 -14.556421,-42.155483 -14.493167,-41.908728 -14.491406,-41.648897 -14.428814,-41.376429 -14.304855,-41.607061 -14.245799,-41.810811 -14.064681,-42.056695 -14.066433,-42.289519 -14.006868,-42.537246 -14.008648,-42.772734 -13.949739,-43.022368 -13.951549,-43.24448 -13.831393,-43.44103 -13.954599,-43.652548 -14.138632,-43.920985 -14.201273,-44.036583 -14.324106,-43.812499 -14.444495,-43.773085 -14.627102,-43.604474 -14.625854,-43.335727 -14.563098,-43.099012 -14.622143,-42.89328 -14.803685))		2439584510	cm	2.44325	1	1	0	0
FI	2012-12-03T10:08:41	POINT(-726.672 -304.118)	POLYGON((-759.7937 -324.19215,-686.5243 -324.19215,-686.5243 -286.05185,-759.7937 -286.05185,-759.7937 -324.19215))	POLYGON((-720.65 -314.16,-717.64 -313.15,-714.63 -312.15,-711.62 -310.14,-708.61 -308.13,-705.59 -307.13,-702.58 -307.13,-699.57 -307.13,-697.57 -306.13,-697.57 -303.11,-698.57 -300.1,-701.58 -300.1,-704.59 -302.11,-707.6 -300.1,-710.61 -301.11,-713.62 -302.11,-716.64 -301.11,-719.65 -301.11,-722.66 -303.11,-723.66 -305.12,-733.7 -305.12,-733.7 -302.11,-732.69 -299.1,-732.69 -296.09,-735.71 -297.09,-738.72 -297.09,-741.73 -299.1,-744.74 -300.1,-747.75 -301.11,-746.75 -304.12,-748.75 -307.13,-747.75 -308.13,-744.74 -307.13,-741.73 -309.14,-738.72 -310.14,-735.71 -309.14,-724.66 -308.13,-721.65 -311.14,-720.65 -314.16))	POINT(-51.479292 -17.825889)	POLYGON((-55.528289 -19.107539,-48.0969 -19.043067,-47.254125 -16.677615,-54.425814 -16.737946,-55.528289 -19.107539))	POLYGON((-51.136392 -18.444941,-50.812169 -18.379511,-50.490824 -18.314768,-50.147076 -18.187281,-49.806699 -18.059937,-49.492601 -17.995412,-49.20529 -17.993021,-48.919668 -17.990658,-48.707739 -17.927035,-48.638743 -17.73975,-48.664784 -17.554064,-48.948189 -17.556393,-49.279484 -17.683251,-49.52001 -17.561124,-49.832158 -17.626089,-50.146461 -17.690483,-50.415961 -17.630985,-50.710145 -17.633468,-51.055501 -17.759959,-51.204666 -17.8855,-52.212624 -17.894163,-52.134816 -17.707414,-51.95632 -17.520003,-51.881118 -17.333683,-52.210704 -17.398181,-52.516579 -17.400825,-52.876724 -17.527971,-53.214064 -17.592648,-53.55475 -17.658013,-53.531597 -17.843835,-53.824878 -18.032647,-53.74726 -18.093876,-53.403619 -18.028933,-53.145007 -18.151123,-52.860433 -18.210587,-52.523805 -18.145694,-51.380432 -18.073271,-51.157835 -18.25783,-51.136392 -18.444941))		4663917100	cm	13.8148	2	1	1	0
