event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fi_length	fi_lengthunit	fi_tilt	fi_barbstot	fi_barbsr	fi_barbsl	fi_chirality
FI	2012-04-02T18:19:08	POINT(-89.0564 652.091)	POLYGON((-117.7523 625.3734,-54.4233 625.3734,-54.4233 671.8806,-117.7523 671.8806,-117.7523 625.3734))	POLYGON((-106.87 635.27,-104.89 638.24,-101.92 640.22,-98.95 640.22,-95.98 641.21,-93.01 640.22,-90.05 638.24,-88.07 638.24,-87.08 641.21,-84.11 643.19,-81.14 644.17,-78.17 645.16,-75.2 644.17,-72.23 641.21,-69.27 641.21,-66.3 640.22,-64.32 641.21,-64.32 644.17,-65.31 647.14,-68.28 649.12,-71.25 650.11,-73.22 653.08,-72.23 656.05,-72.23 659.02,-74.21 661.99,-75.2 659.02,-78.17 657.04,-81.14 655.06,-84.11 654.07,-87.08 653.08,-90.05 655.06,-93.01 658.03,-94 660.01,-96.97 661,-99.94 661,-102.91 659.02,-105.88 658.03,-106.87 656.05,-106.87 653.08,-106.87 650.11,-106.87 647.14,-107.86 644.17,-107.86 641.21,-107.86 638.24,-106.87 635.27))	POINT(-6.5900248 36.268102)	POLYGON((-8.502433 34.167059,-3.915306 34.104795,-4.107805 37.867101,-8.92499 37.93673,-8.502433 34.167059))	POLYGON((-7.783942 34.936008,-7.661033 35.170375,-7.457209 35.325113,-7.238389 35.321585,-7.026668 35.397477,-6.80115 35.314849,-6.570512 35.153348,-6.425253 35.151277,-6.37146 35.387836,-6.165323 35.543695,-5.952492 35.619557,-5.739421 35.696409,-5.514924 35.614038,-5.280547 35.373865,-5.06341 35.371396,-4.840853 35.289779,-4.700498 35.3675,-4.714504 35.605027,-4.80178 35.845026,-5.03109 36.007418,-5.256094 36.090077,-5.418766 36.332941,-5.362053 36.574176,-5.379156 36.817248,-5.545066 37.063107,-5.601241 36.819945,-5.811045 36.660558,-6.020143 36.501696,-6.235065 36.423969,-6.449672 36.346436,-6.684924 36.511015,-6.928034 36.757241,-7.017285 36.920866,-7.248343 37.005802,-7.471968 37.00944,-7.679158 36.850424,-7.894121 36.773042,-7.951586 36.612217,-7.926473 36.36983,-7.90176 36.128413,-7.877435 35.887941,-7.926841 35.649668,-7.903126 35.411839,-7.879697 35.174099,-7.783942 34.936008))		4305156600	cm	21.3823	2	2	0	-1
FI	2012-04-02T18:19:08	POINT(-752.032 474.967)	POLYGON((-770.8329 438.35515,-721.3571 438.35515,-721.3571 512.56885,-770.8329 512.56885,-770.8329 438.35515))	POLYGON((-735.21 448.25,-733.23 450.23,-732.24 453.2,-734.22 456.17,-736.2 459.14,-738.18 462.1,-740.16 465.07,-743.13 466.06,-745.11 469.03,-746.09 472,-747.08 474.97,-749.06 477.94,-750.05 480.9,-751.04 483.87,-750.05 486.84,-748.07 489.81,-745.11 489.81,-742.14 490.8,-739.17 490.8,-736.2 490.8,-734.22 492.78,-736.2 495.75,-739.17 498.72,-742.14 500.69,-745.11 500.69,-748.07 501.68,-751.04 502.67,-754.01 502.67,-756.98 502.67,-758.96 499.71,-759.95 496.74,-759.95 493.77,-758.96 490.8,-758.96 487.83,-757.97 484.86,-757.97 481.89,-756.98 478.93,-755.99 475.96,-755.99 472.99,-754.01 470.02,-752.03 467.05,-749.06 464.08,-746.09 462.1,-745.11 459.14,-742.14 457.16,-740.16 454.19,-738.18 451.22,-735.21 448.25))	POINT(-61.141827 26.668669)	POLYGON((-61.592457 24.216255,-54.93887 23.549003,-59.222754 29.104387,-67.991261 30.035257,-61.592457 24.216255))	POLYGON((-57.156711 24.435396,-57.001183 24.554325,-57.027136 24.758786,-57.446259 25.002762,-57.874829 25.248302,-58.312808 25.494713,-58.761856 25.743563,-59.240623 25.860069,-59.711069 26.112126,-60.046434 26.350983,-60.391132 26.591349,-60.895007 26.848738,-61.258611 27.091565,-61.632297 27.336715,-61.698987 27.550418,-61.610437 27.748372,-61.144265 27.699874,-60.757333 27.728914,-60.304247 27.682128,-59.85879 27.636315,-59.703673 27.75883,-60.212519 28.019152,-60.890207 28.297725,-61.512753 28.501057,-61.992779 28.551226,-62.56401 28.68094,-63.152495 28.812823,-63.668305 28.867486,-64.196207 28.923658,-64.278529 28.723846,-64.184621 28.505023,-63.919187 28.268434,-63.489781 28.015011,-63.24052 27.781241,-62.832389 27.53127,-62.597608 27.300092,-62.209275 27.054042,-61.830435 26.808885,-61.615681 26.581353,-61.101331 26.323257,-60.601534 26.067362,-59.970679 25.798715,-59.419269 25.606766,-59.101952 25.372046,-58.572549 25.183282,-58.133963 24.93668,-57.705393 24.691703,-57.156711 24.435396))		4663917100	cm	-71.3465	1	1	0	-1
FI	2012-04-02T18:19:08	POINT(-283.991 428.46)	POLYGON((-336.4355 409.65975,-232.5365 409.65975,-232.5365 445.28225,-336.4355 445.28225,-336.4355 409.65975))	POLYGON((-314.67 419.55,-311.7 420.54,-308.73 421.53,-305.76 422.52,-302.79 422.52,-299.82 423.51,-297.84 426.48,-276.07 428.46,-273.11 428.46,-270.14 428.46,-267.17 428.46,-264.2 427.47,-261.23 427.47,-258.26 426.48,-255.29 425.49,-252.33 425.49,-249.36 424.5,-246.39 422.52,-244.41 420.54,-242.43 422.52,-245.4 425.49,-248.37 427.47,-251.34 430.44,-254.31 432.42,-257.27 433.41,-260.24 434.4,-263.21 434.4,-266.18 435.39,-269.15 434.4,-272.12 434.4,-275.09 431.43,-278.05 430.44,-300.81 428.46,-303.78 428.46,-306.75 427.47,-309.72 428.46,-312.69 428.46,-315.66 428.46,-318.62 428.46,-321.59 428.46,-324.56 428.46,-325.55 428.46,-322.58 425.49,-319.61 424.5,-316.64 421.53,-314.67 419.55))	POINT(-18.330667 20.331318)	POLYGON((-21.716836 19.224906,-14.791689 18.966551,-15.02527 21.342704,-22.076145 21.611707,-21.716836 19.224906))	POLYGON((-20.32526 19.81865,-20.132639 19.876283,-19.940149 19.934028,-19.74779 19.991888,-19.546969 19.983822,-19.354927 20.04187,-19.246847 20.234895,-17.799418 20.311613,-17.601362 20.30441,-17.402889 20.297271,-17.204662 20.290218,-16.999173 20.217124,-16.801525 20.21025,-16.596833 20.137398,-16.392597 20.064683,-16.196495 20.058103,-15.993026 19.985613,-15.783214 19.84738,-15.639304 19.711506,-15.522162 19.838965,-15.738243 20.04303,-15.948386 20.18148,-16.166408 20.386378,-16.378175 20.52546,-16.582546 20.59845,-16.788041 20.671609,-16.986294 20.678508,-17.192599 20.751899,-17.383523 20.692564,-17.58251 20.699724,-17.757615 20.507915,-17.948068 20.448923,-19.465011 20.37526,-19.666251 20.383319,-19.858846 20.325221,-20.069609 20.399712,-20.271731 20.408044,-20.474155 20.41647,-20.676205 20.42496,-20.879247 20.433572,-21.082607 20.442278,-21.150461 20.445201,-20.918647 20.237698,-20.706562 20.162913,-20.476942 19.956173,-20.32526 19.81865))		6385980900	cm	-6.35101	0	0	0	0
FI	2012-04-02T18:19:08	POINT(-604.594 441.324)	POLYGON((-620.426 390.859,-555.118 390.859,-555.118 512.569,-620.426 512.569,-620.426 390.859))	POLYGON((-573.92 400.75,-570.95 400.75,-567.98 400.75,-565.01 400.75,-566.99 403.72,-569.96 404.71,-572.93 405.7,-575.9 406.69,-578.87 408.67,-581.84 410.65,-584.8 411.64,-587.77 413.62,-590.74 416.59,-593.71 419.55,-596.68 422.52,-598.66 425.49,-598.66 428.46,-597.67 431.43,-599.65 434.4,-600.64 437.37,-601.63 440.33,-602.61 443.3,-602.61 446.27,-603.6 449.24,-605.58 452.21,-605.58 455.18,-607.56 458.15,-607.56 461.11,-607.56 464.08,-605.58 473.98,-604.59 476.95,-604.59 479.92,-602.61 482.88,-601.63 485.85,-600.64 488.82,-600.64 491.79,-600.64 494.76,-602.61 497.73,-603.6 500.69,-605.58 501.68,-607.56 498.72,-607.56 495.75,-606.57 492.78,-605.58 489.81,-604.59 486.84,-604.59 483.87,-605.58 480.9,-605.58 477.94,-606.57 474.97,-609.54 466.06,-610.53 463.09,-610.53 460.12,-609.54 457.16,-608.55 454.19,-607.56 451.22,-607.56 448.25,-607.56 445.28,-608.55 442.31,-607.56 439.34,-607.56 436.38,-607.56 433.41,-607.56 430.44,-607.56 427.47,-606.57 424.5,-605.58 421.53,-604.59 418.57,-602.61 415.6,-599.65 412.63,-598.66 409.66,-595.69 406.69,-592.72 405.7,-589.75 405.7,-586.78 403.72,-583.81 401.74,-580.85 402.73,-577.88 402.73,-574.91 401.74,-573.92 400.75))	POINT(-42.93184 22.676968)	POLYGON((-43.113766 19.342699,-37.572545 18.918953,-40.53996 27.39889,-46.904707 27.92845,-43.113766 19.342699))	POLYGON((-39.307641 19.695085,-39.059329 19.67651,-38.81202 19.658106,-38.565675 19.639868,-38.787763 19.851702,-39.055075 19.936806,-39.323874 20.022173,-39.594212 20.10781,-39.886853 20.260657,-40.181851 20.413972,-40.456775 20.500532,-40.75617 20.654689,-41.080607 20.876756,-41.408431 21.098935,-41.740241 21.32262,-41.987827 21.540141,-42.061313 21.744228,-42.047456 21.941718,-42.300563 22.160871,-42.467073 22.373543,-42.635226 22.586073,-42.804681 22.799808,-42.886373 23.006844,-43.060294 23.221772,-43.327899 23.444794,-43.414407 23.653452,-43.687299 23.87786,-43.776902 24.086938,-43.868207 24.297254,-43.99424 24.986554,-43.996664 25.191311,-44.094772 25.404452,-44.004061 25.601621,-44.010329 25.807981,-44.016633 26.014792,-44.119531 26.230106,-44.224087 26.446035,-44.522768 26.678758,-44.728653 26.903554,-44.961226 26.992738,-45.046518 26.792385,-44.936665 26.575233,-44.731514 26.350508,-44.529153 26.126555,-44.329472 25.903352,-44.227675 25.688829,-44.222532 25.482846,-44.123852 25.270173,-44.120834 25.065221,-44.117449 24.453337,-44.118157 24.250349,-44.026266 24.040075,-43.84311 23.823344,-43.661873 23.606545,-43.482844 23.390378,-43.397451 23.182312,-43.313358 22.974741,-43.321574 22.775097,-43.149 22.561082,-43.068956 22.355669,-42.989852 22.150026,-42.911958 21.944861,-42.835237 21.74015,-42.67053 21.528711,-42.507675 21.317821,-42.346846 21.108148,-42.099773 20.891325,-41.769108 20.668342,-41.614347 20.459687,-41.288897 20.238041,-41.009838 20.150995,-40.753713 20.131142,-40.456787 19.977773,-40.16226 19.824877,-39.931432 19.87244,-39.680321 19.853401,-39.410392 19.767905,-39.307641 19.695085))		9112588300	cm	-76.5225	1	1	0	-1
FI	2012-04-02T18:19:08	POINT(-497.726 379.974)	POLYGON((-524.44295 349.29875,-467.05105 349.29875,-467.05105 413.61725,-524.44295 413.61725,-524.44295 349.29875))	POLYGON((-478.93 359.19,-476.95 360.18,-478.93 363.15,-481.89 366.12,-484.86 367.11,-487.83 369.09,-490.8 371.07,-492.78 374.04,-493.77 377.01,-494.76 379.97,-495.75 382.94,-496.74 385.91,-497.73 388.88,-500.69 391.85,-502.67 394.82,-504.65 397.79,-507.62 399.76,-510.59 401.74,-513.56 403.72,-513.56 401.74,-510.59 398.77,-507.62 395.81,-505.64 392.84,-504.65 389.87,-503.66 386.9,-502.67 383.93,-500.69 380.96,-499.71 377.99,-498.72 375.03,-496.74 372.06,-493.77 369.09,-490.8 367.11,-487.83 365.13,-484.86 363.15,-481.89 361.17,-478.93 359.19))	POINT(-32.911437 17.891552)	POLYGON((-34.530116 16.018651,-30.267737 15.750078,-31.082477 19.98124,-35.513696 20.270371,-34.530116 16.018651))	POLYGON((-31.245097 16.443631,-31.111272 16.499151,-31.292004 16.701427,-31.546436 16.908577,-31.778675 16.986856,-32.024327 17.130062,-32.27133 17.273592,-32.458501 17.477677,-32.572529 17.677453,-32.687351 17.876941,-32.803246 18.077458,-32.920101 18.278356,-33.037922 18.479638,-33.307141 18.691073,-33.50331 18.898162,-33.701029 19.105734,-33.961096 19.252153,-34.222946 19.399611,-34.486458 19.547447,-34.454096 19.415077,-34.175462 19.201417,-33.899318 18.989036,-33.701337 18.781581,-33.580736 18.579562,-33.461154 18.377939,-33.342571 18.176702,-33.149792 17.970991,-33.034123 17.770601,-32.918791 17.571186,-32.729748 17.366726,-32.467914 17.157993,-32.220559 17.014483,-31.974552 16.871288,-31.729875 16.728414,-31.486479 16.585845,-31.245097 16.443631))		4376907300	cm	-51.6484	0	0	0	0
FI	2012-04-02T18:19:08	POINT(804.476 80.1508)	POLYGON((780.7279 65.308,825.2561 65.308,825.2561 100.9306,780.7279 100.9306,780.7279 65.308))	POLYGON((797.55 75.2,800.52 75.2,803.49 76.19,806.46 75.2,809.42 76.19,811.4 79.16,812.39 82.13,814.37 85.1,814.37 87.08,813.38 90.05,810.41 89.06,808.43 87.08,805.47 85.1,802.5 85.1,799.53 86.09,796.56 88.07,793.59 88.07,791.61 85.1,791.61 82.13,793.59 80.15,796.56 77.18,797.55 75.2))	POINT(56.803139 1.2720279)	POLYGON((54.267106 0.144812,59.134874 0.604605,59.243587 2.756234,54.332631 2.290106,54.267106 0.144812))	POLYGON((56.041561 0.902947,56.362303 0.933112,56.687491 1.023241,57.012283 0.994581,57.342348 1.085411,57.569774 1.285471,57.6881 1.475201,57.920008 1.67589,57.92594 1.795467,57.823293 1.964168,57.485281 1.872276,57.257936 1.731562,56.924307 1.580835,56.598085 1.549926,56.277238 1.579123,55.961726 1.668424,55.643666 1.638612,55.425973 1.439835,55.419669 1.260852,55.626102 1.16122,55.938305 1.012122,56.041561 0.902947))		2009073660	cm	-3.08783	0	0	0	0
FI	2012-04-02T18:19:08	POINT(-165.249 -102.91)	POLYGON((-182.0706 -126.65815,-139.5214 -126.65815,-139.5214 -74.21385,-182.0706 -74.21385,-182.0706 -126.65815))	POLYGON((-153.37 -116.76,-151.4 -113.79,-150.41 -110.83,-152.39 -108.85,-155.35 -106.87,-158.32 -105.88,-161.29 -103.9,-164.26 -100.93,-167.23 -97.96,-167.23 -94.99,-166.24 -92.02,-163.27 -89.06,-165.25 -86.09,-168.22 -84.11,-171.19 -85.1,-171.19 -88.07,-171.19 -91.04,-170.2 -94,-169.21 -96.97,-168.22 -99.94,-166.24 -102.91,-166.24 -105.88,-164.26 -108.85,-161.29 -110.83,-158.32 -113.79,-155.35 -115.77,-153.37 -116.76))	POINT(-10.115401 -12.461746)	POLYGON((-11.222797 -13.862013,-8.578729 -13.911599,-8.475614 -10.776874,-11.087767 -10.72806,-11.222797 -13.862013))	POLYGON((-9.41328 -13.303915,-9.284512 -13.128282,-9.216628 -12.952223,-9.334501 -12.831615,-9.512871 -12.709916,-9.694094 -12.647366,-9.873034 -12.525574,-10.049643 -12.344582,-10.226207 -12.163587,-10.219348 -11.986186,-10.151535 -11.810022,-9.961946 -11.636828,-10.077492 -11.45725,-10.256134 -11.335566,-10.441308 -11.39102,-10.447957 -11.568248,-10.454718 -11.745523,-10.400431 -11.923466,-10.34621 -12.102052,-10.292028 -12.28069,-10.17667 -12.460565,-10.183783 -12.638116,-10.068434 -12.818087,-9.889385 -12.940014,-9.712645 -13.12056,-9.533506 -13.242437,-9.41328 -13.303915))		2870102270	cm	-62.67	2	1	1	0
FI	2012-04-02T18:19:08	POINT(-250.347 -124.679)	POLYGON((-278.0539 -149.41685,-228.5781 -149.41685,-228.5781 -107.85715,-278.0539 -107.85715,-278.0539 -149.41685))	POLYGON((-245.4 -139.52,-242.43 -138.53,-240.45 -136.55,-240.45 -133.58,-240.45 -130.62,-241.44 -127.65,-241.44 -124.68,-239.46 -121.71,-239.46 -120.72,-242.43 -119.73,-245.4 -118.74,-248.37 -118.74,-251.34 -119.73,-254.31 -122.7,-257.27 -122.7,-259.25 -124.68,-262.22 -126.66,-265.19 -127.65,-268.16 -129.63,-268.16 -132.6,-266.18 -132.6,-264.2 -130.62,-261.23 -128.64,-258.26 -128.64,-255.29 -128.64,-252.33 -127.65,-249.36 -127.65,-246.39 -128.64,-245.4 -131.61,-246.39 -134.57,-247.38 -137.54,-245.4 -139.52))	POINT(-15.507826 -13.635167)	POLYGON((-17.390277 -15.064245,-14.228509 -15.157934,-14.072519 -12.667041,-17.199072 -12.574777,-17.390277 -15.064245))	POLYGON((-15.255343 -14.53392,-15.062474 -14.479891,-14.928612 -14.364639,-14.9165 -14.186512,-14.904603 -14.009052,-14.955484 -13.829312,-14.94384 -13.651399,-14.807276 -13.477066,-14.803521 -13.417798,-14.987346 -13.353273,-15.171245 -13.288683,-15.359068 -13.283278,-15.550957 -13.337048,-15.751136 -13.509274,-15.939002 -13.50367,-16.073013 -13.618429,-16.270326 -13.731259,-16.46377 -13.784732,-16.661902 -13.897451,-16.675211 -14.075423,-16.548777 -14.079365,-16.413663 -13.964616,-16.215802 -13.851786,-16.026787 -13.857511,-15.837934 -13.863171,-15.645781 -13.809427,-15.457306 -13.814945,-15.272994 -13.879707,-15.222318 -14.059505,-15.297383 -14.235169,-15.372788 -14.411497,-15.255343 -14.53392))		3085361150	cm	23.9245	1	1	0	0
FI	2012-04-02T18:19:08	POINT(159.312 -125.668)	POLYGON((102.91 -169.207,208.788 -169.207,208.788 -103.899,102.91 -103.899,102.91 -169.207))	POLYGON((193.95 -159.31,196.91 -158.32,198.89 -155.35,198.89 -152.39,196.91 -149.42,196.91 -146.45,197.9 -143.48,195.92 -141.5,193.95 -138.53,190.98 -136.55,188.01 -134.57,185.04 -131.61,182.07 -128.64,179.1 -127.65,176.13 -125.67,173.17 -124.68,170.2 -123.69,167.23 -121.71,164.26 -120.72,161.29 -120.72,158.32 -118.74,155.35 -118.74,152.39 -118.74,149.42 -117.75,146.45 -115.77,143.48 -113.79,141.5 -116.76,138.53 -117.75,135.56 -116.76,132.6 -114.78,129.63 -113.79,126.66 -113.79,123.69 -114.78,120.72 -116.76,118.74 -118.74,117.75 -121.71,116.76 -124.68,115.77 -127.65,114.78 -130.62,113.79 -133.58,113.79 -135.56,115.77 -133.58,118.74 -130.62,121.71 -130.62,124.68 -128.64,127.65 -128.64,130.62 -129.63,133.58 -132.6,136.55 -133.58,139.52 -133.58,142.49 -132.6,145.46 -131.61,148.43 -131.61,151.4 -131.61,154.36 -131.61,157.33 -131.61,160.3 -131.61,163.27 -131.61,166.24 -133.58,169.21 -136.55,171.19 -138.53,174.15 -138.53,177.12 -139.52,180.09 -142.49,183.06 -143.48,186.03 -145.46,189 -146.45,191.97 -148.43,194.93 -149.42,195.92 -152.39,195.92 -155.35,193.95 -158.32,193.95 -159.31))	POINT(9.8035453 -13.830856)	POLYGON((6.395346 -16.50365,13.053843 -16.381881,12.821568 -12.461995,6.281969 -12.58074,6.395346 -16.50365))	POLYGON((12.075692 -15.807421,12.258936 -15.743518,12.372971 -15.561805,12.36213 -15.38368,12.22667 -15.207926,12.216191 -15.029369,12.268109 -14.84946,12.136846 -14.733385,12.003173 -14.557859,11.810436 -14.44319,11.618084 -14.328482,11.423096 -14.154951,11.228619 -13.980821,11.040405 -13.925371,10.8496 -13.810521,10.662507 -13.754941,10.475003 -13.699315,10.2851 -13.584316,10.098078 -13.528574,9.913753 -13.532071,9.724643 -13.416909,9.540603 -13.420272,9.357276 -13.42356,9.171134 -13.367507,8.982968 -13.252115,8.795115 -13.136686,8.679254 -13.316521,8.497914 -13.378798,8.312443 -13.322442,8.125775 -13.206743,7.940718 -13.150274,7.757724 -13.153005,7.576656 -13.21494,7.397404 -13.336101,7.27907 -13.45639,7.223522 -13.635173,7.167971 -13.814018,7.112412 -13.992932,7.056845 -14.171914,7.001252 -14.350367,7.005013 -14.469234,7.12366 -14.348727,7.301526 -14.168582,7.485119 -14.166007,7.664754 -14.044593,7.848396 -14.04189,8.034217 -14.098505,8.223964 -14.273875,8.410254 -14.329788,8.594454 -14.32682,8.776415 -14.264978,8.958352 -14.202479,9.142708 -14.199317,9.327152 -14.196092,9.511066 -14.192811,9.695695 -14.189455,9.880417 -14.186033,10.065238 -14.182545,10.255595 -14.297184,10.449161 -14.471811,10.578496 -14.588232,10.763411 -14.584504,10.952068 -14.640144,11.147135 -14.814661,11.336377 -14.870195,11.529101 -14.985164,11.718879 -15.040584,11.912298 -15.155462,12.101996 -15.210783,12.174892 -15.388004,12.18557 -15.566132,12.072078 -15.747793,12.075692 -15.807421))		7677506600	cm	-6.53577	1	1	0	0
FI	2012-04-02T18:19:08	POINT(-420.544 -166.239)	POLYGON((-441.32385 -190.97635,-395.80615 -190.97635,-395.80615 -147.43765,-441.32385 -147.43765,-441.32385 -190.97635))	POLYGON((-429.45 -181.08,-427.47 -180.09,-424.5 -178.11,-422.52 -175.14,-419.55 -172.18,-416.59 -169.21,-414.61 -166.24,-411.64 -165.25,-408.67 -163.27,-406.69 -160.3,-405.7 -157.33,-408.67 -158.32,-410.65 -160.3,-413.62 -161.29,-416.59 -162.28,-419.55 -161.29,-422.52 -161.29,-424.5 -164.26,-425.49 -167.23,-427.47 -170.2,-429.45 -173.17,-430.44 -176.13,-430.44 -179.1,-429.45 -181.08))	POINT(-26.970029 -15.686533)	POLYGON((-28.648918 -17.101403,-25.487044 -17.257356,-25.132064 -14.639386,-28.24684 -14.486745,-28.648918 -17.101403))	POLYGON((-27.720724 -16.54798,-27.573668 -16.495339,-27.349091 -16.38653,-27.184902 -16.214705,-26.953253 -16.046882,-26.723326 -15.87839,-26.561788 -15.7066,-26.349661 -15.657014,-26.129886 -15.547892,-25.970423 -15.376055,-25.879149 -15.201039,-26.089653 -15.25077,-26.240992 -15.363089,-26.452461 -15.412683,-26.664432 -15.462189,-26.859526 -15.3928,-27.063918 -15.382707,-27.225806 -15.554182,-27.320022 -15.729102,-27.483329 -15.900649,-27.647442 -16.072218,-27.743396 -16.2467,-27.771042 -16.425347,-27.720724 -16.54798))		2511342080	cm	45.0648	1	1	0	0
FI	2012-04-02T18:19:08	POINT(238.473 -209.777)	POLYGON((206.80855 -239.4627,266.17945 -239.4627,266.17945 -185.0393,206.80855 -185.0393,206.80855 -239.4627))	POLYGON((248.37 -229.57,251.34 -228.58,251.34 -225.61,252.33 -222.64,255.29 -220.66,254.31 -217.69,253.32 -214.72,252.33 -211.76,253.32 -208.79,250.35 -205.82,250.35 -202.85,251.34 -199.88,248.37 -197.9,246.39 -194.93,244.41 -195.92,243.42 -198.89,242.43 -201.86,239.46 -203.84,236.49 -204.83,233.53 -204.83,230.56 -203.84,228.58 -200.87,225.61 -200.87,222.64 -203.84,219.67 -205.82,216.7 -206.81,218.68 -209.78,221.65 -211.76,224.62 -212.75,227.59 -212.75,229.57 -215.71,227.59 -218.68,228.58 -220.66,231.55 -223.63,233.53 -226.6,236.49 -228.58,239.46 -226.6,242.43 -225.61,245.4 -226.6,248.37 -229.57))	POINT(15.15659 -18.788814)	POLYGON((13.262049 -20.655489,17.161918 -20.545844,16.814649 -17.235386,12.995047 -17.341606,13.262049 -20.655489))	POLYGON((15.921035 -19.976651,16.109671 -19.910401,16.090749 -19.729069,16.136906 -19.54594,16.318382 -19.419391,16.23562 -19.24036,16.152594 -19.061463,16.070019 -18.883283,16.116793 -18.700762,15.905886 -18.526036,15.88871 -18.345677,15.936021 -18.163534,15.73215 -18.04911,15.587479 -17.872793,15.464743 -17.936501,15.416895 -18.118452,15.369128 -18.300513,15.187573 -18.426201,15.00057 -18.491735,14.808903 -18.497049,14.611495 -18.442168,14.468025 -18.265289,14.276399 -18.270418,14.1 -18.455839,13.918473 -18.58115,13.731907 -18.646257,13.874796 -18.823595,14.077072 -18.939078,14.274559 -18.994272,14.466987 -18.98913,14.611644 -19.165889,14.499522 -19.350333,14.574936 -19.469315,14.785185 -19.645226,14.931618 -19.822979,15.136765 -19.938531,15.319 -19.812123,15.507213 -19.746136,15.707682 -19.800958,15.921035 -19.976651))		3444121090	cm	-26.8757	3	2	1	-1
FI	2012-04-02T18:19:08	POINT(-325.551 -211.756)	POLYGON((-344.3513 -241.44145,-308.7287 -241.44145,-308.7287 -182.07055,-344.3513 -182.07055,-344.3513 -241.44145))	POLYGON((-320.6 -231.55,-318.62 -228.58,-318.62 -225.61,-318.62 -222.64,-319.61 -219.67,-320.6 -216.7,-322.58 -213.74,-320.6 -210.77,-321.59 -207.8,-321.59 -204.83,-322.58 -201.86,-322.58 -198.89,-323.57 -195.92,-323.57 -192.96,-326.54 -191.97,-328.52 -192.96,-330.5 -195.92,-332.48 -198.89,-333.47 -201.86,-332.48 -204.83,-331.49 -207.8,-331.49 -210.77,-330.5 -211.76,-327.53 -211.76,-324.56 -213.74,-324.56 -216.7,-326.54 -219.67,-324.56 -222.64,-323.57 -225.61,-323.57 -228.58,-321.59 -230.56,-320.6 -231.55))	POINT(-20.905472 -18.71786)	POLYGON((-22.433306 -20.476019,-20.0182 -20.569851,-19.575404 -16.962083,-21.934761 -16.871512,-22.433306 -20.476019))	POLYGON((-20.734317 -19.935515,-20.57639 -19.759386,-20.55203 -19.57834,-20.527963 -19.397423,-20.570485 -19.214125,-20.61316 -19.030955,-20.72229 -18.845998,-20.56679 -18.670621,-20.610034 -18.487824,-20.587439 -18.307651,-20.631039 -18.125094,-20.608924 -17.945158,-20.652882 -17.762828,-20.631316 -17.583719,-20.82143 -17.516291,-20.960346 -17.571086,-21.114211 -17.745047,-21.268824 -17.919677,-21.357887 -18.09697,-21.314815 -18.279579,-21.271907 -18.462302,-21.295549 -18.642544,-21.237085 -18.705247,-21.038014 -18.712988,-20.854814 -18.840927,-20.878413 -19.020832,-21.03532 -19.196349,-20.926639 -19.382235,-20.884599 -19.565685,-20.909369 -19.746707,-20.792662 -19.87257,-20.734317 -19.935515))		2941852670	cm	-80.6311	0	0	0	0
